_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1580 , 2FGL J1954.3+2836 , LAT PSR J1954+2836 , 298.57958 , 28.60914 , 65.25 , 0.38 , , (167+/-7) e-10 , 1.435 , 0.086 , (9.4+/-1.7) e-8 , (41.1+/-2.8) e-9 , (134+/-7.5) e-10 , (22.3+/-2.4) e-10 , < 2.01e-10 , Pulsar , N , 17.539
1581 , 2FGL J1955.2+1356 , 87GB 195252.4+135009 , 298.80708 , 13.93608 , 52.73 , -7.33 , , (18.7+/-2.2) e-10 , 2.401 , 0.078 , (39.6+/-8.8) e-9 , (8+/-1.3) e-9 , (13.7+/-2.7) e-10 , (3.9+/-1) e-10 , < 1.56e-10 , FSRQ , N , 98.276
1582 , 2FGL J1955.9-0241 , , 298.9825 , -2.69989 , 37.96 , -15.57 , , (7.1+/-1.8) e-10 , 2.584 , 0.13 , < 3.05e-8 , (7+/-1.3) e-9 , < 6.82e-10 , < 2.60e-10 , < 1.02e-10 , Unassociated , N , 23.324
1583 , 2FGL J1958.2-3848 , PKS 1954-388 , 299.55333 , -38.80572 , 1.53 , -29.02 , , (30.5+/-2.4) e-10 , 2.363 , 0.046 , (48.5+/-5.3) e-9 , (12.6+/-1.1) e-9 , (29.1+/-3) e-10 , (4.6+/-1) e-10 , < 1.02e-10 , FSRQ , N , 273.394
1584 , 2FGL J1958.4-3012 , 1RXS J195815.6-301119 , 299.61917 , -30.21211 , 10.93 , -26.83 , , (5.9+/-1.8) e-10 , 1.86 , 0.237 , < 1.16e-7 , < 2.76e-9 , < 8.88e-10 , (13.7+/-6.6) e-11 , < 1.74e-10 , BL Lac , N , 24.016
1585 , 2FGL J1959.1-4245 , PMN J1959-4246 , 299.78625 , -42.75986 , 357.12 , -29.99 , , (24.6+/-2.2) e-10 , 2.412 , 0.051 , (40.7+/-5.6) e-9 , (12.2+/-1) e-9 , (19.2+/-2.5) e-10 , (4.4+/-1) e-10 , < 5.51e-11 , FSRQ , N , 277.897
1586 , 2FGL J1959.9-4727 , SUMSS J195945-472519 , 299.98792 , -47.45508 , 351.77 , -30.88 , , (14+/-1.8) e-10 , 1.712 , 0.09 , < 5.96e-9 , < 2.35e-9 , (10.9+/-2) e-10 , (45.4+/-9.6) e-11 , (11.9+/-5.3) e-11 , AGU , N , 26.407
1587 , 2FGL J1957.9+5033 , LAT PSR J1957+5033 , 299.48042 , 50.55486 , 84.6 , 10.97 , , (33.8+/-2.6) e-10 , 1.169 , 0.185 , (31.8+/-4.4) e-9 , (14.4+/-1) e-9 , (32.5+/-3) e-10 , < 2.12e-10 , < 6.73e-11 , Pulsar , N , 23.5
1588 , 2FGL J1959.6-2931 , PMN J2000-2931 , 299.91875 , -29.51903 , 11.76 , -26.87 , , (6.6+/-1.6) e-10 , 2.584 , 0.133 , < 1.55e-7 , (4.2+/-1.3) e-9 , < 9.18e-10 , < 2.55e-10 , < 7.18e-11 , AGU , N , 25.141
1589 , 2FGL J1958.6+2845 , LAT PSR J1958+2846 , 299.66417 , 28.76231 , 65.87 , -0.36 , , (148+/-6.6) e-10 , 1.349 , 0.122 , < 6.00e-8 , (41.2+/-2.7) e-9 , (120+/-7) e-10 , (17.5+/-2.1) e-10 , (19.4+/-6.4) e-11 , Pulsar , N , 17.277
1590 , 2FGL J1958.6+4020 , , 299.65 , 40.34958 , 75.77 , 5.69 , , (9.9+/-2) e-10 , 2.295 , 0.151 , < 4.32e-8 , < 6.45e-9 , < 1.20e-9 , (23.6+/-8.6) e-11 , < 1.17e-10 , Unassociated , N , 25.224
1591 , 2FGL J1958.9+3844 , MG2 J195919+3847 , 299.73083 , 38.74008 , 74.42 , 4.81 , , (10.1+/-2.1) e-10 , 2.521 , 0.128 , (5.8+/-1.2) e-8 , (6.4+/-1.6) e-9 , < 1.20e-9 , < 3.28e-10 , < 8.77e-11 , AGU , N , 35.237
1592 , 2FGL J1959.5+2047 , PSR J1959+2048 , 299.89875 , 20.79111 , 59.18 , -4.7 , , (27.1+/-3) e-10 , 0.994 , 0.303 , < 1.98e-8 , (7.8+/-1.3) e-9 , (22.7+/-3.2) e-10 , (30.6+/-9.1) e-11 , < 4.65e-11 , Pulsar , N , 12.796
1593 , 2FGL J2000.8-1751 , PKS 1958-179 , 300.21667 , -17.85658 , 23.96 , -23.12 , , (24.7+/-2.4) e-10 , 2.38 , 0.06 , (45.5+/-8.9) e-9 , (10.7+/-1.2) e-9 , (17.8+/-2.7) e-10 , (3.9+/-1) e-10 , < 1.77e-10 , FSRQ , N , 98.612
1594 , 2FGL J1959.9+3336c , , 299.99042 , 33.60061 , 70.14 , 1.94 , , (14.7+/-3.1) e-10 , 2.525 , 0.219 , (33.3+/-7.3) e-9 , (12.7+/-2.6) e-9 , (14.5+/-4.5) e-10 , < 1.33e-10 , < 1.17e-10 , Unassociated , N , 23.418
1595 , 2FGL J1959.9+4212 , MG4 J195957+4213 , 299.97833 , 42.20989 , 77.5 , 6.44 , , (8+/-2) e-10 , 2.127 , 0.162 , < 3.93e-8 , < 5.80e-9 , (7.2+/-2.5) e-10 , < 3.47e-10 , < 1.21e-10 , AGU , N , 29.158
1596 , 2FGL J2001.1+4352 , MAGIC J2001+435 , 300.2875 , 43.87908 , 79.05 , 7.11 , , (118+/-4.4) e-10 , 1.902 , 0.026 , (55.3+/-9.5) e-9 , (23.4+/-1.6) e-9 , (74+/-4.7) e-10 , (33.1+/-2.4) e-10 , (10.6+/-1.3) e-10 , BL Lac , P , 117.981
1597 , 2FGL J2000.0+6509 , 1ES 1959+650 , 300.02 , 65.15714 , 98.01 , 17.66 , , (58.8+/-2.7) e-10 , 1.937 , 0.031 , (40.5+/-4.4) e-9 , (133+/-9.4) e-10 , (36.5+/-2.8) e-10 , (13.8+/-1.4) e-10 , (67.6+/-9.1) e-11 , BL Lac , P , 52.301
1598 , 2FGL J2002.8-2150 , , 300.71708 , -21.84328 , 20.09 , -25.03 , , (5.4+/-1.5) e-10 , 2.057 , 0.191 , < 1.22e-8 , < 4.20e-9 , < 7.34e-10 , < 2.89e-10 , < 7.45e-11 , Unassociated , N , 18.014
