_id , fermi2fgl_name ,  other_name , RA, Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1 , 2FGL J0002.7+6220 , , 0.67958 , 62.33961 , 117.31 , 0 , , (28.7+/-3.1) e-10 , 2.499 , 0.128 , (18.6+/-7.3) e-9 , (12.6+/-1.6) e-9 , (25.6+/-3.6) e-10 , (4.2+/-1.1) e-10 , < 4.93e-11 , Unassociated , N , 22.17
2 , 2FGL J0004.2+2208 , , 1.05542 , 22.1365 , 108.73 , -39.43 , , (4.3+/-1.1) e-10 , 2.494 , 0.149 , < 1.60e-8 , (31.8+/-7.3) e-10 , < 3.95e-10 , (13+/-5.6) e-11 , < 4.90e-11 , Unassociated , N , 17.977
3 , 2FGL J0004.7-4736 , PKS 0002-478 , 1.18 , -47.61156 , 323.89 , -67.58 , , (9.4+/-1.4) e-10 , 2.451 , 0.091 , (22+/-4.1) e-9 , (44.3+/-6.8) e-10 , (9.2+/-1.8) e-10 , (13.4+/-5.5) e-11 , < 6.16e-11 , FSRQ , N , 52.31
4 , 2FGL J0006.1+3821 , S4 0003+38 , 1.525 , 38.35017 , 113.24 , -23.67 , , (9.6+/-1.4) e-10 , 2.604 , 0.081 , (26.7+/-4.7) e-9 , (54+/-8.6) e-10 , (9+/-1.9) e-10 , < 2.29e-10 , < 5.97e-11 , FSRQ , N , 32.625
5 , 2FGL J0007.0+7303 , LAT PSR J0007+7303 , 1.77333 , 73.0545 , 119.66 , 10.46 , 1AGL J0006+7311 , (657+/-8.6) e-10 , 1.45 , 0.018 , (179+/-5.6) e-9 , (116+/-1.9) e-9 , (499+/-8.7) e-10 , (150+/-4.3) e-10 , (12.5+/-1.2) e-10 , Pulsar , N , 27.18
6 , 2FGL J0007.7+6825c , , 1.925 , 68.42319 , 118.91 , 5.89 , , (10.3+/-2.1) e-10 , 2.613 , 0.099 , < 2.82e-8 , (10.8+/-1.8) e-9 , (8.7+/-3) e-10 , < 1.32e-10 , < 1.02e-10 , Unassociated , N , 26.886
7 , 2FGL J0007.8+4713 , MG4 J000800+4712 , 1.97417 , 47.22981 , 115.3 , -15 , , (21.3+/-2) e-10 , 2.098 , 0.064 , (26.9+/-4.3) e-9 , (59.5+/-8.2) e-10 , (14.5+/-2.2) e-10 , (49.4+/-10) e-11 , (11.7+/-4.7) e-11 , BL Lac , N , 19.322
8 , 2FGL J0008.7-2344 , RBS 0016 , 2.19583 , -23.73628 , 49.99 , -79.8 , , (3.2+/-1.1) e-10 , 1.625 , 0.247 , < 5.46e-9 , < 1.05e-9 , < 5.74e-10 , < 1.43e-10 , < 1.80e-10 , BL Lac , N , 22.282
9 , 2FGL J0009.0+0632 , CRATES J000903.95+062821 , 2.26208 , 6.54233 , 104.45 , -54.8 , , (5.1+/-1.2) e-10 , 2.398 , 0.159 , < 2.08e-8 , < 3.06e-9 , (3.5+/-1.4) e-10 , (13.9+/-5.9) e-11 , < 7.10e-11 , BL Lac , N , 35.027
10 , 2FGL J0009.1+5030 , NVSS J000922+503028 , 2.29125 , 50.50617 , 116.08 , -11.81 , , (21.5+/-2) e-10 , 1.853 , 0.065 , < 9.42e-9 , (40.8+/-7.7) e-10 , (15.2+/-2.2) e-10 , (5.9+/-1.1) e-10 , (18.8+/-5.5) e-11 , AGU , N , 42.506
11 , 2FGL J0009.9-3206 , IC 1531 , 2.48417 , -32.11183 , 1.52 , -79.71 , , (4.5+/-1.1) e-10 , 2.167 , 0.159 , < 6.91e-9 , < 2.81e-9 , (4.9+/-1.4) e-10 , < 1.67e-10 , < 8.72e-11 , AGU , N , 20.098
12 , 2FGL J0010.5+6556c , GB6 J0011+6603 , 2.64042 , 65.93386 , 118.77 , 3.39 , , (10.2+/-2.4) e-10 , 2.413 , 0.229 , < 2.65e-8 , (12.2+/-2) e-9 , < 1.75e-9 , < 3.21e-10 , < 6.75e-11 , AGU , N , 17.732
13 , 2FGL J0011.3+0054 , PMN J0011+0058 , 2.8275 , 0.90356 , 102.31 , -60.36 , , (5.4+/-1.2) e-10 , 2.435 , 0.133 , < 1.35e-8 , (32.3+/-7.6) e-10 , (4.6+/-1.4) e-10 , < 1.88e-10 , < 6.28e-11 , FSRQ , N , 48.725
14 , 2FGL J0012.9-3954 , PKS 0010-401 , 3.24625 , -39.9005 , 332.48 , -74.95 , , (5.2+/-1.1) e-10 , 2.163 , 0.161 , < 1.53e-8 , < 2.55e-9 , (4.7+/-1.4) e-10 , < 2.08e-10 , < 1.18e-10 , BL Lac , N , 14.459
15 , 2FGL J0013.8+1907 , GB6 J0013+1910 , 3.46375 , 19.12603 , 110.78 , -42.86 , , (4+/-1.1) e-10 , 2.056 , 0.193 , < 1.03e-8 , < 2.75e-9 , < 3.52e-10 , (19+/-6.5) e-11 , < 4.73e-11 , BL Lac , N , 50.07
16 , 2FGL J0014.3-0509 , , 3.58083 , -5.15294 , 99.37 , -66.32 , , (5.1+/-1.3) e-10 , 2.445 , 0.16 , < 3.37e-8 , < 4.52e-9 , < 7.63e-10 , < 1.54e-10 , < 9.41e-11 , Unassociated , N , 28.495
17 , 2FGL J0017.4-0018 , S3 0013-00 , 4.36375 , -0.302 , 104.61 , -61.96 , , (4.1+/-1) e-10 , 2.603 , 0.138 , (19.4+/-5.2) e-9 , (29.4+/-7.5) e-10 , < 5.33e-10 , < 1.41e-10 , < 4.66e-11 , FSRQ , N , 33.827
18 , 2FGL J0017.6-0510 , PMN J0017-0512 , 4.40333 , -5.18247 , 101.27 , -66.62 , , (13.9+/-1.7) e-10 , 2.445 , 0.074 , < 3.92e-8 , (7.7+/-1.1) e-9 , (10.9+/-2) e-10 , (12.7+/-5.3) e-11 , < 1.11e-10 , FSRQ , N , 135.077
19 , 2FGL J0018.5+2945 , RBS 0042 , 4.63292 , 29.76017 , 114.45 , -32.57 , , (20.9+/-8.2) e-11 , 1.242 , 0.283 , < 5.14e-9 , < 9.40e-10 , < 2.46e-10 , < 1.46e-10 , (8.2+/-3.8) e-11 , BL Lac , N , 17.708
20 , 2FGL J0018.8-8154 , PMN J0019-8152 , 4.71583 , -81.90267 , 304.33 , -35.14 , , (9+/-1.5) e-10 , 2.135 , 0.122 , < 1.34e-8 , (36.4+/-8.4) e-10 , (4.4+/-1.7) e-10 , (24.3+/-7.5) e-11 , < 1.41e-10 , AGU , N , 48.297
21 , 2FGL J0019.4-5645 , PMN J0019-5641 , 4.85708 , -56.75581 , 311.66 , -59.83 , , (3.2+/-1.2) e-10 , 2.657 , 0.284 , (14.8+/-4.4) e-9 , < 2.89e-9 , (3.5+/-1.2) e-10 , < 2.06e-10 , < 7.24e-11 , AGU , N , 19.577
22 , 2FGL J0021.6-2551 , CRATES J002132.55-255049 , 5.41167 , -25.85203 , 42.1 , -83.22 , , (8.7+/-1.3) e-10 , 1.977 , 0.111 , < 1.25e-8 , < 2.45e-9 , (7.1+/-1.5) e-10 , (21.7+/-6.9) e-11 , < 1.51e-10 , BL Lac , N , 38.242
23 , 2FGL J0022.2-1853 , 1RXS J002209.2-185333 , 5.55875 , -18.88842 , 82.24 , -79.38 , , (8.9+/-1.4) e-10 , 1.532 , 0.116 , < 5.09e-9 , < 1.87e-9 , (5.1+/-1.4) e-10 , (25.1+/-7.2) e-11 , (17.4+/-5.6) e-11 , AGU , N , 26.539
24 , 2FGL J0022.3-5141 , 1RXS J002159.2-514028 , 5.59583 , -51.69125 , 313.55 , -64.84 , , (4.2+/-1.1) e-10 , 2.224 , 0.165 , < 9.54e-9 , < 2.48e-9 , (6+/-1.5) e-10 , < 1.40e-10 , < 5.95e-11 , AGU , N , 30.442
25 , 2FGL J0022.5+0607 , PKS 0019+058 , 5.64292 , 6.12367 , 110.01 , -56.03 , , (22.2+/-2) e-10 , 2.091 , 0.063 , (15.8+/-5) e-9 , (58.9+/-8) e-10 , (17.8+/-2.3) e-10 , (45.6+/-9.3) e-11 , (12.6+/-5) e-11 , BL Lac , N , 57.345
26 , 2FGL J0023.2+4454 , B3 0020+446 , 5.8175 , 44.90456 , 117.7 , -17.68 , , (7.2+/-1.3) e-10 , 2.36 , 0.116 , (17+/-4.3) e-9 , (21.2+/-7.1) e-10 , (7.4+/-1.7) e-10 , (10.7+/-5.1) e-11 , < 8.03e-11 , FSRQ , N , 44.378
27 , 2FGL J0023.5+0924 , PSR J0023+09 , 5.89208 , 9.40664 , 111.5 , -52.85 , , (9+/-1.5) e-10 , 2.265 , 0.104 , < 1.16e-8 , (39.8+/-8) e-10 , (8.9+/-1.9) e-10 , < 2.52e-10 , < 8.05e-11 , Pulsar , N , 25.166
28 , 2FGL J0023.9-7204 , 47 Tuc , 5.98542 , -72.08244 , 305.91 , -44.89 , , (40.4+/-2.7) e-10 , 1.712 , 0.114 , < 1.35e-8 , (89.7+/-7.8) e-10 , (34.4+/-2.9) e-10 , (6.3+/-1.1) e-10 , < 8.27e-11 , Globular Cluster , N , 17.378
29 , 2FGL J0024.5+0346 , GB6 J0024+0349 , 6.14583 , 3.78294 , 110.06 , -58.42 , , (5+/-1.3) e-10 , 2.244 , 0.156 , < 1.97e-8 , < 3.51e-9 , (3.9+/-1.5) e-10 , < 1.98e-10 , < 9.55e-11 , FSRQ , N , 60.982
30 , 2FGL J0029.2-7043 , PKS 0026-710 , 7.30042 , -70.72544 , 305.58 , -46.29 , , (6.6+/-1.3) e-10 , 2.468 , 0.145 , < 2.25e-8 , (31.9+/-7.6) e-10 , (6.2+/-1.6) e-10 , (16.6+/-6.1) e-11 , < 5.96e-11 , BL Lac , N , 23.737
31 , 2FGL J0030.4+0450 , PSR J0030+0451 , 7.60083 , 4.83867 , 113.11 , -57.63 , , (99.8+/-4) e-10 , 1.298 , 0.08 , (28+/-4.6) e-9 , (24.4+/-1.1) e-9 , (82.1+/-4.2) e-10 , (12.8+/-1.5) e-10 , < 1.03e-10 , Pulsar , N , 18.437
32 , 2FGL J0030.2-4223 , PKS 0027-426 , 7.5725 , -42.38631 , 317.35 , -74.15 , , (9.7+/-1.3) e-10 , 2.613 , 0.08 , (28+/-4) e-9 , (52.4+/-7.2) e-10 , (9.3+/-1.7) e-10 , (12+/-5.2) e-11 , < 8.70e-11 , FSRQ , N , 89.449
33 , 2FGL J0031.0+0724 , , 7.775 , 7.414 , 114.09 , -55.11 , , (3.5+/-1.1) e-10 , 1.895 , 0.266 , (14.1+/-4.7) e-9 , < 1.73e-9 , < 5.70e-10 , < 8.77e-11 , (6.9+/-3.4) e-11 , Unassociated , N , 20.881
34 , 2FGL J0032.7-5521 , , 8.17833 , -55.35628 , 308.52 , -61.57 , , (15.3+/-1.6) e-10 , 2.267 , 0.07 , (15.4+/-3.9) e-9 , (59.5+/-7) e-10 , (12.5+/-1.9) e-10 , (23.3+/-6.9) e-11 , < 1.56e-10 , Unassociated , N , 255.941
35 , 2FGL J0033.5-1921 , KUV 00311-1938 , 8.39083 , -19.35697 , 94.17 , -81.22 , , (31.2+/-2.3) e-10 , 1.758 , 0.049 , < 1.10e-8 , (39.4+/-6) e-10 , (22.3+/-2.4) e-10 , (9+/-1.3) e-10 , (34.3+/-7.6) e-11 , BL Lac , N , 25.352
36 , 2FGL J0034.4-0534 , PSR J0034-0534 , 8.61292 , -5.58217 , 111.54 , -68.08 , , (24.1+/-2.2) e-10 , 1.329 , 0.214 , (14.7+/-3.4) e-9 , (61.2+/-7.3) e-10 , (22.3+/-2.5) e-10 , (24.2+/-7) e-11 , < 4.90e-11 , Pulsar , N , 28.91
37 , 2FGL J0035.2+1515 , RX J0035.2+1515 , 8.80833 , 15.25831 , 117.14 , -47.43 , , (10.8+/-1.6) e-10 , 1.621 , 0.106 , < 1.06e-8 , < 1.78e-9 , (7.4+/-1.7) e-10 , (26.8+/-7.3) e-11 , (20.5+/-5.9) e-11 , BL Lac , N , 12.938
38 , 2FGL J0035.8+5951 , 1ES 0033+595 , 8.96417 , 59.85367 , 120.97 , -2.96 , , (24.3+/-2.5) e-10 , 1.87 , 0.074 , < 2.91e-8 , (4.9+/-1.2) e-9 , (13.5+/-2.7) e-10 , (5.4+/-1.1) e-10 , (32.9+/-6.9) e-11 , BL Lac , N , 36.517
39 , 2FGL J0037.8+1238 , NVSS J003750+123818 , 9.47292 , 12.64489 , 117.77 , -50.09 , , (11.1+/-1.5) e-10 , 2.22 , 0.101 , (14.6+/-5.3) e-9 , (37.6+/-7.9) e-10 , (7.8+/-1.8) e-10 , (19.1+/-6.9) e-11 , (8.5+/-3.8) e-11 , BL Lac , N , 16.755
40 , 2FGL J0038.1+0015 , BZB J0038+0013 , 9.54125 , 0.26497 , 115.75 , -62.42 , , (3.8+/-1.1) e-10 , 1.928 , 0.223 , < 1.42e-8 , < 1.92e-9 , < 3.27e-10 , (15.2+/-6.1) e-11 , < 1.14e-10 , BL Lac , N , 20.165
41 , 2FGL J0038.3-2457 , PKS 0035-252 , 9.5825 , -24.96317 , 68.55 , -86.35 , , (8.1+/-1.4) e-10 , 2.387 , 0.111 , (19.1+/-4.5) e-9 , (29.5+/-6.4) e-10 , (7.3+/-1.6) e-10 , < 2.18e-10 , < 1.36e-10 , FSRQ , N , 59.07
42 , 2FGL J0038.8+6259 , , 9.72042 , 62.99669 , 121.5 , 0.16 , , (12.6+/-2.3) e-10 , 2.194 , 0.103 , < 1.32e-8 , < 7.10e-9 , (11.3+/-3.2) e-10 , (5+/-1.2) e-10 , < 4.60e-11 , Unassociated , N , 20.262
43 , 2FGL J0038.7-2215 , PMN J0039-2220 , 9.69167 , -22.25219 , 91.71 , -84.34 , , (3.5+/-1) e-10 , 1.688 , 0.203 , < 6.03e-9 , < 1.34e-9 , (2.6+/-1.1) e-10 , < 2.00e-10 , < 1.27e-10 , AGU , N , 23.699
44 , 2FGL J0039.1+4331 , , 9.78 , 43.52711 , 120.56 , -19.29 , , (3.8+/-1) e-10 , 1.79 , 0.184 , < 6.72e-9 , < 1.11e-9 , < 5.55e-10 , (10.1+/-4.8) e-11 , < 1.19e-10 , Unassociated , N , 10.784
45 , 2FGL J0042.5+4114 , M 31 , 10.63292 , 41.245 , 121.13 , -21.6 , , (5.5+/-1.3) e-10 , 2.265 , 0.154 , < 1.21e-8 , (24.6+/-7.1) e-10 , (4.4+/-1.5) e-10 , < 1.63e-10 , < 1.39e-10 , Galaxy , N , 20.779
46 , 2FGL J0043.7+3426 , GB6 J0043+3426 , 10.94083 , 34.43939 , 121.13 , -28.41 , , (19+/-1.9) e-10 , 2.116 , 0.065 , (16.3+/-3.8) e-9 , (55.5+/-7.8) e-10 , (14.9+/-2.2) e-10 , (37+/-8.5) e-11 , (12.2+/-4.5) e-11 , FSRQ , N , 33.956
47 , 2FGL J0044.7-3702 , PKS 0042-373 , 11.195 , -37.04036 , 310.59 , -80 , , (5.2+/-1.1) e-10 , 2.574 , 0.12 , (12.2+/-3.7) e-9 , (35.4+/-6.5) e-10 , (4.1+/-1.3) e-10 , < 1.51e-10 , < 6.28e-11 , AGU , N , 92.672
48 , 2FGL J0045.3+2127 , GB6 J0045+2127 , 11.335 , 21.45239 , 121.04 , -41.4 , , (15.1+/-1.7) e-10 , 1.947 , 0.087 , (21+/-5.8) e-9 , (25.6+/-6.9) e-10 , (7.6+/-1.7) e-10 , (5.7+/-1) e-10 , (10.8+/-4.2) e-11 , BL Lac , N , 40.361
49 , 2FGL J0045.5+1218 , GB6 J0045+1217 , 11.39625 , 12.31214 , 120.68 , -50.54 , , (10.1+/-1.5) e-10 , 2.073 , 0.112 , < 1.43e-8 , < 3.30e-9 , (8.1+/-1.8) e-10 , (25.9+/-7.6) e-11 , < 1.24e-10 , AGU , N , 32.592
50 , 2FGL J0047.2+5657 , GB6 J0047+5657 , 11.80833 , 56.96056 , 122.35 , -5.91 , , (20+/-2.1) e-10 , 2.065 , 0.067 , < 2.40e-8 , (5+/-1) e-9 , (17.1+/-2.6) e-10 , (5.3+/-1) e-10 , (8.3+/-3.7) e-11 , BL Lac , N , 25.686
51 , 2FGL J0047.0-2516 , NGC 0253 , 11.75458 , -25.27536 , 94.56 , -87.9 , , (6.2+/-1.2) e-10 , 2.313 , 0.135 , < 1.63e-8 , (30.5+/-6.5) e-10 , (3.8+/-1.3) e-10 , (13.5+/-5.7) e-11 , < 8.46e-11 , Starburst galaxy , P , 15.22
52 , 2FGL J0047.9+2232 , NVSS J004802+223525 , 11.99458 , 22.53817 , 121.88 , -40.33 , , (14.5+/-1.7) e-10 , 2.421 , 0.069 , < 2.56e-8 , (77.4+/-8.9) e-10 , (11.2+/-1.9) e-10 , (20+/-6.3) e-11 , < 1.46e-10 , FSRQ , N , 122.696
53 , 2FGL J0046.7-8416 , PKS 0044-84 , 11.6925 , -84.26997 , 303.07 , -32.86 , , (7.2+/-1.4) e-10 , 2.533 , 0.11 , (15.9+/-5.4) e-9 , (45.6+/-9) e-10 , (6.1+/-1.8) e-10 , < 1.87e-10 , < 5.78e-11 , FSRQ , N , 27.08
54 , 2FGL J0048.8-6347 , , 12.21792 , -63.79553 , 303.4 , -53.34 , , (35.1+/-9.7) e-11 , 2.045 , 0.192 , < 5.16e-9 , < 2.17e-9 , (3.7+/-1.2) e-10 , < 1.94e-10 , < 6.19e-11 , Unassociated , N , 23.323
55 , 2FGL J0050.1-0452 , PKS 0047-051 , 12.53083 , -4.87925 , 122.06 , -67.75 , , (5.1+/-1.2) e-10 , 2.42 , 0.165 , (17.8+/-5.2) e-9 , < 3.40e-9 , (3.6+/-1.4) e-10 , (12.5+/-5.4) e-11 , < 8.02e-11 , FSRQ , N , 37.439
56 , 2FGL J0049.7-5738 , PKS 0047-579 , 12.44417 , -57.64622 , 303.36 , -59.49 , , (5.1+/-1.1) e-10 , 2.228 , 0.162 , < 1.18e-8 , (23.8+/-6.1) e-10 , (3.1+/-1.2) e-10 , < 1.67e-10 , < 1.17e-10 , FSRQ , N , 30.666
57 , 2FGL J0050.2+0234 , PKS 0047+023 , 12.55667 , 2.57614 , 122.32 , -60.3 , , (6.6+/-1.3) e-10 , 2.267 , 0.127 , < 2.06e-8 , (20.1+/-6.4) e-10 , (6.7+/-1.6) e-10 , < 2.24e-10 , < 7.37e-11 , BL Lac , N , 26.493
58 , 2FGL J0050.6-0929 , PKS 0048-09 , 12.66792 , -9.49586 , 122.3 , -72.37 , , (38.5+/-2.5) e-10 , 2.14 , 0.041 , (33.6+/-4.3) e-9 , (119+/-9) e-10 , (30.2+/-2.9) e-10 , (6.6+/-1.1) e-10 , (18.3+/-5.8) e-11 , BL Lac , N , 214.043
59 , 2FGL J0051.0-0648 , PKS 0048-071 , 12.7525 , -6.80811 , 122.62 , -69.68 , , (12.5+/-1.7) e-10 , 2.216 , 0.085 , < 1.29e-8 , (50.5+/-8.1) e-10 , (11.9+/-2.1) e-10 , (18.4+/-6.8) e-11 , < 1.10e-10 , FSRQ , N , 192.846
60 , 2FGL J0051.4-6241 , 1RXS J005117.7-624154 , 12.86 , -62.68617 , 302.93 , -54.45 , , (14.2+/-1.6) e-10 , 1.686 , 0.085 , < 9.66e-9 , (16.5+/-5.5) e-10 , (7.4+/-1.5) e-10 , (53.6+/-9.7) e-11 , (17.3+/-5.3) e-11 , AGU , N , 18.112
61 , 2FGL J0055.0-2454 , 1RXS J005447.2-245532 , 13.75667 , -24.90431 , 143.04 , -87.64 , , (4.4+/-1.1) e-10 , 1.761 , 0.174 , < 5.34e-9 , < 9.96e-10 , (3.2+/-1.2) e-10 , (21.4+/-7) e-11 , < 7.91e-11 , AGU , N , 26.033
62 , 2FGL J0056.8-2111 , PMN J0056-2117 , 14.22208 , -21.19658 , 135.05 , -83.94 , , (4.8+/-1.2) e-10 , 1.824 , 0.196 , < 1.15e-8 , < 1.79e-9 , < 5.17e-10 , (13.6+/-5.6) e-11 , < 1.62e-10 , AGU , N , 15.938
63 , 2FGL J0057.9+3311 , MG3 J005830+3311 , 14.47958 , 33.18453 , 124.49 , -29.67 , , (8.1+/-1.4) e-10 , 2.228 , 0.114 , < 1.65e-8 , (30.9+/-7) e-10 , (6.7+/-1.7) e-10 , (15.7+/-6.2) e-11 , < 8.04e-11 , FSRQ , N , 83.122
64 , 2FGL J0057.9-3236 , PKS 0055-328 , 14.4925 , -32.60717 , 288.83 , -84.35 , , (9.3+/-1.3) e-10 , 2.102 , 0.095 , < 1.00e-8 , (26.4+/-6) e-10 , (7.3+/-1.5) e-10 , (20.2+/-6.4) e-11 , < 7.19e-11 , BL Lac , N , 22.787
65 , 2FGL J0059.2-0151 , 1RXS J005916.3-015030 , 14.81875 , -1.85161 , 127.51 , -64.66 , , (2.2+/-1) e-10 , 1.154 , 0.356 , < 4.61e-9 , < 1.05e-9 , < 3.16e-10 , < 1.21e-10 , (9.1+/-4.4) e-11 , AGU , N , 13.793
66 , 2FGL J0059.0-7242e , SMC , 14.75 , -72.69997 , 302.14 , -44.42 , , (29.9+/-3) e-10 , 2.194 , 0.062 , (31.2+/-5.5) e-9 , (10.2+/-1.2) e-9 , (24.4+/-3.6) e-10 , (8.5+/-1.7) e-10 , < 1.32e-10 , Galaxy , N , 25.678
67 , 2FGL J0059.7-5700 , PKS 0056-572 , 14.93583 , -57.00419 , 300.66 , -60.09 , , (5.4+/-1.2) e-10 , 2.705 , 0.131 , (23.2+/-5.8) e-9 , (38.4+/-7) e-10 , (5.5+/-1.5) e-10 , < 2.27e-10 , < 4.68e-11 , AGU , N , 43.015
68 , 2FGL J0100.2+0746 , GB6 J0100+0745 , 15.06292 , 7.77597 , 126.74 , -55.03 , , (20+/-2) e-10 , 1.715 , 0.073 , < 9.98e-9 , (23.4+/-6.4) e-10 , (11.5+/-2) e-10 , (6.6+/-1.1) e-10 , (22.4+/-6.3) e-11 , BL Lac , N , 39.543
69 , 2FGL J0101.2-6425 , PSR J0101-6422 , 15.31208 , -64.42022 , 301.18 , -52.68 , , (22.1+/-2.2) e-10 , 0.633 , 0.382 , < 9.29e-9 , (31.4+/-5.3) e-10 , (17.9+/-2.1) e-10 , (33.7+/-8) e-11 , < 5.25e-11 , Pulsar , N , 27.55
70 , 2FGL J0102.3+4216 , GB6 J0102+4214 , 15.58583 , 42.27472 , 125.08 , -20.55 , , (7.7+/-1.3) e-10 , 2.612 , 0.093 , (25.7+/-4.4) e-9 , (52.2+/-8.1) e-10 , (6.2+/-1.7) e-10 , < 1.83e-10 , < 7.51e-11 , FSRQ , N , 54.701
71 , 2FGL J0102.2+0943 , , 15.55292 , 9.72589 , 127.35 , -53.06 , , (5.4+/-1.2) e-10 , 2.068 , 0.177 , < 1.80e-8 , < 2.84e-9 , < 5.49e-10 , (17.7+/-6.7) e-11 , < 1.20e-10 , Unassociated , N , 20.623
72 , 2FGL J0102.7+5827 , TXS 0059+581 , 15.68792 , 58.46244 , 124.41 , -4.38 , , (27.6+/-2.4) e-10 , 2.28 , 0.053 , (31.1+/-6.7) e-9 , (11.8+/-1.3) e-9 , (22.9+/-3.1) e-10 , (5.2+/-1.1) e-10 , < 1.31e-10 , FSRQ , N , 119.27
73 , 2FGL J0102.9+4838 , PSR J0103+48 , 15.74167 , 48.64656 , 124.89 , -14.18 , , (23.9+/-2.6) e-10 , 1.873 , 0.239 , < 1.45e-8 , (32.7+/-9.3) e-10 , (20.3+/-2.8) e-10 , (44.4+/-9.6) e-11 , < 6.03e-11 , Pulsar , N , 33.59
74 , 2FGL J0103.5+5336 , 1RXS J010325.9+533721 , 15.89333 , 53.60444 , 124.75 , -9.23 , , (5.7+/-1.4) e-10 , 1.749 , 0.16 , < 5.46e-9 , < 2.37e-9 , (5+/-1.8) e-10 , < 2.30e-10 , (11.4+/-4.2) e-11 , AGU , N , 15.73
75 , 2FGL J0103.8+1324 , , 15.95333 , 13.40072 , 127.55 , -49.36 , , (4.3+/-1.1) e-10 , 1.967 , 0.206 , < 9.30e-9 , < 1.46e-9 , < 4.99e-10 , (18.8+/-6.7) e-11 , < 9.17e-11 , Unassociated , N , 14.005
76 , 2FGL J0105.3+3930 , GB6 J0105+3928 , 16.34292 , 39.51614 , 125.85 , -23.28 , , (6.4+/-1.3) e-10 , 2.208 , 0.131 , < 1.28e-8 , (20.9+/-6.6) e-10 , (5.3+/-1.5) e-10 , (13+/-5.2) e-11 , < 7.48e-11 , BL Lac , N , 38.892
77 , 2FGL J0105.0-2411 , PKS 0102-245 , 16.25083 , -24.19747 , 169.86 , -85.77 , , (7.7+/-1.3) e-10 , 2.405 , 0.106 , (13.7+/-3.9) e-9 , (35.4+/-6.6) e-10 , (6+/-1.6) e-10 , (19.8+/-6.8) e-11 , < 5.53e-11 , FSRQ , N , 43.365
78 , 2FGL J0106.5+4854 , , 16.64583 , 48.91264 , 125.49 , -13.89 , , (32.6+/-2.9) e-10 , 2.013 , 0.139 , < 2.30e-8 , (7.4+/-1.1) e-9 , (21.5+/-2.9) e-10 , (8.3+/-1.2) e-10 , < 6.16e-11 , Unassociated , N , 29.707
79 , 2FGL J0108.6+0135 , 4C +01.02 , 17.17333 , 1.59069 , 131.84 , -60.99 , , (63.5+/-3) e-10 , 2.262 , 0.042 , (116+/-5.2) e-9 , (32.4+/-1.2) e-9 , (52.4+/-3.5) e-10 , (10.1+/-1.3) e-10 , < 1.85e-10 , FSRQ , N , 246.903
80 , 2FGL J0109.0+1817 , MG1 J010908+1816 , 17.26417 , 18.29164 , 128.78 , -44.38 , , (5+/-1.1) e-10 , 1.992 , 0.175 , < 1.01e-8 , < 2.00e-9 , < 6.35e-10 , (14.1+/-5.3) e-11 , < 1.03e-10 , BL Lac , N , 15.821
81 , 2FGL J0109.9+6132 , TXS 0106+612 , 17.48625 , 61.54106 , 125.13 , -1.25 , , (52.6+/-3.4) e-10 , 2.189 , 0.058 , (107+/-7.7) e-9 , (31.7+/-1.7) e-9 , (47+/-4) e-10 , (4.9+/-1.1) e-10 , < 8.47e-11 , FSRQ , N , 703.215
82 , 2FGL J0110.3+6805 , 4C +67.04 , 17.57917 , 68.09839 , 124.69 , 5.29 , , (19+/-2.2) e-10 , 2.134 , 0.08 , (21.5+/-6.5) e-9 , (6.8+/-1.3) e-9 , (10.6+/-2.8) e-10 , (38.2+/-9.4) e-11 , (15.6+/-4.9) e-11 , AGU , N , 20.523
83 , 2FGL J0112.1+2245 , S2 0109+22 , 18.0325 , 22.76367 , 129.14 , -39.86 , , (71.3+/-3.2) e-10 , 2.066 , 0.028 , (54.3+/-4.7) e-9 , (18.2+/-1) e-9 , (56.9+/-3.5) e-10 , (15.4+/-1.6) e-10 , (34.5+/-7.5) e-11 , BL Lac , N , 170.057
84 , 2FGL J0112.8+3208 , 4C 31.03 , 18.20667 , 32.13864 , 128.18 , -30.52 , , (45.6+/-2.6) e-10 , 2.31 , 0.033 , (65+/-4.7) e-9 , (18.1+/-1) e-9 , (38.6+/-3) e-10 , (7.9+/-1.2) e-10 , < 1.56e-10 , FSRQ , N , 626.019
85 , 2FGL J0113.7+4948 , S4 0110+49 , 18.44125 , 49.80053 , 126.62 , -12.91 , , (8.6+/-1.5) e-10 , 2.261 , 0.12 , (17.8+/-6.6) e-9 , (38.6+/-9.5) e-10 , (7.5+/-2) e-10 , < 2.30e-10 , (7.3+/-3.6) e-11 , FSRQ , N , 29.218
86 , 2FGL J0113.2-3557 , PMN J0113-3551 , 18.315 , -35.95069 , 276.52 , -80.04 , , (3.9+/-1.1) e-10 , 2.163 , 0.193 , < 9.71e-9 , < 2.25e-9 , (3.3+/-1.3) e-10 , < 1.66e-10 , < 1.01e-10 , FSRQ , N , 18.157
