_id , pccs1f217_name , other_name , RA , Dec , LII , BII ,Detection pipeline flux density +/- err (mJy),Aperture photometry flux density +/- err (mJy),PSF fit flux density +/- err (mJy),Gaussian fit flux density +/- err (mJy),PositionError (arcmin),Extended,Cirrus flag,External validation,ERCSC source name,Gaussian fit semimajor axis +/- err (arcmin),Gaussian fit semiminor axis +/- err (arcmin),Gaussian fit orientation +/- err (degrees),Gaussian fit effective FWHM (arcmin) 
15877 , "PCCS1 217 G101.59-29.00 ", , 351.245 , 30.26083 , 101.59892 , -29.00433 , "242.7+/-37" , "477.6+/-248.4" , "365.6+/-83.2" , "923.5+/-286.2" , 0.7 , "Yes" , 31 , 1 , " " , "17.1+/-0.9" , "6.9+/-2.7" , "129.2+/-0.000" , 10.8
15878 , "PCCS1 217 G101.72-28.73 ", , 351.25042 , 30.54972 , 101.72733 , -28.73841 , "199.6+/-38.6" , "499.2+/-247.8" , "539.4+/-70.6" , "3723.4+/-311.6" , 0.7 , "Yes" , 33 , 1 , " " , "20.7+/-2.5" , "11.1+/-1.4" , "111.2+/-0.000" , 15.2
15879 , "PCCS1 217 G121.13+22.94 ", , 351.25292 , 85.51361 , 121.13949 , 22.94588 , "287.3+/-41.6" , "774.7+/-178.4" , "626.5+/-79.6" , "1728.1+/-177.8" , 0.7 , "Yes" , 18 , 1 , "PLCKERC217 G121.14+22.95" , "15.8+/-1.2" , "6.5+/-0.8" , "127+/-0.000" , 10.1
15880 , "PCCS1 217 G102.83-26.33 ", , 351.27792 , 33.14528 , 102.83344 , -26.3351 , "193.3+/-33.9" , "466.1+/-165.4" , "311.1+/-93.6" , "1238.1+/-167.9" , 0.7 , "Yes" , 60 , 0 , " " , "17.6+/-1.5" , "7.2+/-1.2" , "156.5+/-0.000" , 11.3
15881 , "PCCS1 217 G111.95-02.20 ", , 351.29083 , 58.81639 , 111.95088 , -2.20355 , "886.8+/-178.6" , "1813.5+/-1211.1" , "-" , "-" , 0.7 , "Not available" , 60 , 0 , " " , "-" , "-" , "-" , -9.9
15882 , "PCCS1 217 G113.53+02.32 ", , 351.32875 , 63.61306 , 113.537 , 2.32331 , "1287+/-109.2" , "1848.8+/-568.7" , "1994.4+/-141.8" , "2926+/-224.9" , 0.7 , "No" , 19 , 1 , " " , "10.5+/-0.8" , "4.3+/-0.4" , "59.3+/-0.000" , 6.7
15883 , "PCCS1 217 G103.00-26.06 ", , 351.32875 , 33.44667 , 103.00009 , -26.06974 , "346.6+/-42.1" , "751.8+/-194.5" , "565.7+/-111.5" , "3968.4+/-290.5" , 0.7 , "Yes" , 59 , 1 , "PLCKERC217 G103.03-26.07" , "23.4+/-0.9" , "9.5+/-1" , "95.5+/-0.000" , 14.9
15884 , "PCCS1 217 G112.85+00.33 ", , 351.34917 , 61.50778 , 112.8582 , 0.33039 , "515.8+/-79.4" , "1704.8+/-500.6" , "1704.6+/-120.4" , "2883.9+/-251.4" , 0.7 , "No" , 40 , 1 , " " , "9.3+/-0.9" , "5.9+/-0.6" , "173.8+/-0.000" , 7.4
15885 , "PCCS1 217 G119.08+17.73 ", , 351.35083 , 79.96083 , 119.08443 , 17.73803 , "199.8+/-41.4" , "97.1+/-198.8" , "130.2+/-43.1" , "-" , 0.7 , "Not available" , 3 , 0 , " " , "-" , "-" , "-" , -9.9
15886 , "PCCS1 217 G117.10+12.41 ", , 351.35125 , 74.30583 , 117.10352 , 12.41597 , "2052.7+/-53.7" , "4340.1+/-776.6" , "4158.9+/-218.8" , "1.2e+4+/-557.8" , 0.7 , "Yes" , 7 , 2 , "PLCKERC217 G117.10+12.40" , "13.1+/-0.7" , "7.7+/-0.4" , "84.4+/-0.000" , 10.1
