_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
377 , 1FHL J1650.1-5045 , 2FGL J1650.1-5044 , PMN J1650-5044 , 252.5297 , -50.7566 , 336.11 , -3.95 , (18.01±5.17) e-11 , 2.2073 ± 0.3796 , 6.22 , (3.61±1.03) e-12 , (9.42±4.14) e-12 , 22.6645 , 1.24e-10 , -4.034e-11 +4.874e-11 , 5.14e-11 , -2.287e-11 +3.11e-11 , < 3.46e-11 , - , 4.84 , 4.07 , 0 , agu , 0 , , N , 1 , - , 
378 , 1FHL J1653.9+3945 , 2FGL J1653.9+3945 , Mkn 501 , 253.4887 , 39.7544 , 63.59 , 38.84 , (13.49±1.21) e-10 , 1.864 ± 0.1037 , 32.94 , (18.21±1.63) e-12 , (9.98±1.46) e-11 , 27.5779 , 8.29e-10 , -9.115e-11 +9.809e-11 , 3.97e-10 , -5.99e-11 +6.686e-11 , 1.11e-10 , -3.183e-11 +3.931e-11 , 24.25 , 19.44 , 10.6 , BZB , 0.034 , Mkn 501 , P , 1 , HSP , 
379 , 1FHL J1709.5+4320 , 2FGL J1709.7+4319 , B3 1708+433 , 257.3929 , 43.3489 , 68.43 , 36.24 , (12.33±3.68) e-11 , 2.6047 ± 0.5121 , 7.91 , (4.27±1.27) e-12 , (4.76±2.14) e-12 , 18.0227 , 1.08e-10 , -3.077e-11 +3.758e-11 , 1.24e-11 , -8.809e-12 +1.624e-11 , < 3.21e-11 , - , 8.06 , 2.28 , 0 , bzq , 1.027 , , N , 1 , LSP , 
380 , 1FHL J1709.7-4429 , 2FGL J1709.7-4429 , PSR J1709-4429 , 257.4487 , -44.4882 , 343.1 , -2.71 , (22.32±1.68) e-10 , 3.9994 ± 0.2357 , 30.22 , (19.56±1.47) e-11 , (53.59±4.68) e-12 , 13.5988 , 2.20e-9 , -1.618e-10 +1.694e-10 , 4.51e-11 , -2.049e-11 +2.836e-11 , < 5.56e-11 , - , 29.83 , 3.6 , 0 , HPSR , 0 , HESS J1708-443 , E , 1 , , 
381 , 1FHL J1713.5-3951e , , RX J1713.7-3946 , 258.39 , -39.85 , 347.26 , -0.53 , (10.28±1.58) e-10 , 1.8474 ± 0.1578 , 8.33 , (9.58±1.45) e-12 , (7.75±1.64) e-11 , 33.6996 , 5.89e-10 , -1.298e-10 +1.39e-10 , 3.50e-10 , -7.463e-11 +8.268e-11 , 6.53e-11 , -3.281e-11 +4.192e-11 , 5.33 , 6.35 , 2.42 , SNR , 0 , RX J1713.7-3946 , E , 1 , , RX J1713.7-3946
382 , 1FHL J1717.9-3725 , 2FGL J1718.1-3725 , , 259.4962 , -37.4266 , 349.73 , 0.17 , (31.51±8.59) e-11 , 2.0102 ± 0.2946 , 4.7 , (3.93±1.06) e-12 , (19.94±7.51) e-12 , 28.567 , 2.21e-10 , -7.079e-11 +8.158e-11 , 7.80e-11 , -3.39e-11 +4.269e-11 , 1.51e-11 , -1.104e-11 +2.104e-11 , 4.11 , 3.04 , 2.01 , spp , 0 , , N , 1 , , 
383 , 1FHL J1719.1+1745 , 2FGL J1719.3+1744 , PKS 1717+177 , 259.7982 , 17.7502 , 39.51 , 28.1 , (19.15±5.02) e-11 , 2.8494 ± 0.4888 , 8.81 , (7.6±1.99) e-12 , (6.44±2.29) e-12 , 17.1657 , 1.35e-10 , -3.829e-11 +4.641e-11 , 4.43e-11 , -1.872e-11 +2.612e-11 , < 3.81e-11 , - , 7.34 , 5.86 , 0 , bzb , 0.137 , , N , 2 , LSP , 
384 , 1FHL J1722.6+1011 , 2FGL J1722.7+1013 , TXS 1720+102 , 260.6544 , 10.1979 , 32.17 , 24.31 , (10.88±4.08) e-11 , 2.2398 ± 0.5513 , 5.16 , (22.36±8.37) e-13 , (5.52±3.31) e-12 , 22.3821 , 9.02e-11 , -3.303e-11 +4.169e-11 , < 3.57e-11 , - , 2.05e-11 , -1.371e-11 +2.313e-11 , 5.04 , 0 , 2.65 , bzq , 0.732 , , N , 1 , LSP , 
385 , 1FHL J1725.1+1151 , 2FGL J1725.0+1151 , 1H 1720+117 , 261.2928 , 11.8664 , 34.12 , 24.45 , (37.86±7.2) e-11 , 2.8415 ± 0.3759 , 12.14 , (16.52±3.14) e-12 , (12.78±3.52) e-12 , 16.6 , 3.19e-10 , -6.173e-11 +7.002e-11 , 3.13e-11 , -1.673e-11 +2.5e-11 , < 4.42e-11 , - , 11.41 , 3.84 , 0.68 , bzb , 0 , , N , 1 , HSP , 
386 , 1FHL J1728.3+5014 , 2FGL J1728.2+5015 , I Zw 187 , 262.0894 , 50.2363 , 77.08 , 33.53 , (9.93±3.15) e-11 , 1.6735 ± 0.3428 , 7.12 , (10.41±3.3) e-13 , (9.15±4.76) e-12 , 31.7787 , 5.47e-11 , -2.016e-11 +2.646e-11 , 3.60e-11 , -1.549e-11 +2.16e-11 , < 4.27e-11 , - , 5.6 , 5.14 , 0 , bzb , 0.055 , 1ES 1727+502 , P , 1 , HSP , 
