_id , fermi1fhl_name , other_name , Association , RA , Dec , LII , BII,Flux (E>10 GeV),Spectral index,Sqrt(TS),Flux Density,Energy Flux,Pivot Energy,Flux10-30GeV,Errors on Flux10-30GeV,Flux30-100GeV,Errors on Flux30-100GeV,Flux100-500GeV,Errors on Flux100-500GeV,Sqrt(TS)10-30GeV,Sqrt(TS)30-100GeV,Sqrt(TS)100-500GeV,Class,Z,TeV Assoc.,Tev Flag,Variability,Sed Class,Ext name
417 , 1FHL J1836.4+5925 , 2FGL J1836.2+5926 , LAT PSR J1836+5925 , 279.1169 , 59.4194 , 88.87 , 24.96 , (25.72±4.91) e-11 , 4.409 ± 0.651 , 12.57 , (27.71±5.27) e-12 , (5.83±1.25) e-12 , 12.982 , 2.47e-10 , -4.562e-11 +5.143e-11 , < 2.52e-11 , - , < 2.54e-11 , - , 12.23 , 0 , 0 , HPSR , 0 , , N , 1 , , 
418 , 1FHL J1836.5-0655e , , , 279.14 , -6.92 , 25.08 , 0.13 , (11.4±1.85) e-10 , 1.7386 ± 0.1697 , 7.65 , (9.25±1.48) e-12 , (9.73±2.24) e-11 , 36.8333 , 6.83e-10 , -1.516e-10 +1.624e-10 , 3.35e-10 , -8.082e-11 +9.046e-11 , 1.32e-10 , -5.516e-11 +6.588e-11 , 5.32 , 5.56 , 2.99 , , 0 , HESS J1837-069 , E , 1 , , HESS J1837-069
419 , 1FHL J1838.8+4800 , 2FGL J1838.7+4759 , GB6 J1838+4802 , 279.7126 , 48.0117 , 76.91 , 21.81 , (14.17±3.94) e-11 , 3.1736 ± 0.67 , 8.36 , (8.63±2.38) e-12 , (4.16±1.62) e-12 , 14.9305 , 1.29e-10 , -3.349e-11 +4.017e-11 , < 3.56e-11 , - , < 2.96e-11 , - , 8.61 , 0.78 , 0 , bzb , 0 , , N , 1 , HSP , 
420 , 1FHL J1839.1-0557 , 2FGL J1839.3-0558c , , 279.7841 , -5.9577 , 26.22 , 0 , (3.43±1.02) e-10 , 1.7377 ± 0.2971 , 4.35 , (26.71±7.81) e-13 , (2.93±1.2) e-11 , 37.6847 , 2.57e-10 , -8.853e-11 +1.015e-10 , 5.99e-11 , -3.348e-11 +4.508e-11 , 6.35e-11 , -3.096e-11 +4.265e-11 , 3.62 , 2.25 , 3.22 , , 0 , , N , 1 , , 
421 , 1FHL J1839.4-0708 , , , 279.8615 , -7.1445 , 25.21 , -0.61 , (32.42±9.4) e-11 , 1.5822 ± 0.2823 , 4.7 , (20.81±5.92) e-13 , (3.33±1.34) e-11 , 43.1492 , 1.77e-10 , -6.9e-11 +8.06e-11 , 3.79e-11 , -3.343e-11 +4.362e-11 , 6.19e-11 , -2.975e-11 +4.098e-11 , 3.12 , 1.16 , 3.08 , , 0 , , N , 1 , , 
422 , 1FHL J1841.1+2914 , , , 280.2908 , 29.2445 , 58.49 , 14.92 , (9.3±3.46) e-11 , 2.2923 ± 0.5118 , 5 , (20.73±7.7) e-13 , (4.52±2.53) e-12 , 21.5887 , 8.05e-11 , -2.81e-11 +3.581e-11 , 1.15e-11 , -8.106e-12 +1.556e-11 , < 3.51e-11 , - , 5.35 , 2.75 , 0 , , 0 , , N , 1 , , 
423 , 1FHL J1841.8+3219 , 2FGL J1841.7+3221 , RX J1841.7+3218 , 280.4654 , 32.3297 , 61.5 , 15.97 , (12.01±3.91) e-11 , 2.6047 ± 0.5216 , 6 , (3.7±1.2) e-12 , (4.63±2.12) e-12 , 18.8481 , 9.93e-11 , -3.253e-11 +4.029e-11 , 2.04e-11 , -1.159e-11 +1.856e-11 , < 3.40e-11 , - , 5.81 , 3.29 , 0 , bzb , 0 , , N , 1 , HSP , 
424 , 1FHL J1848.5+3219 , 2FGL J1848.5+3216 , B2 1846+32A , 282.1255 , 32.3224 , 62.06 , 14.68 , (12.02±3.97) e-11 , 2.7906 ± 0.5794 , 5.3 , (4.4±1.46) e-12 , (4.17±1.85) e-12 , 17.662 , 1.08e-10 , -3.388e-11 +4.135e-11 , 1.55e-11 , -1.082e-11 +1.942e-11 , < 3.37e-11 , - , 5.4 , 2.46 , 0 , BZQ , 0.798 , , N , 3 , LSP , 
425 , 1FHL J1849.3+6705 , 2FGL J1849.4+6706 , S4 1849+67 , 282.3481 , 67.0913 , 97.48 , 25.03 , (18.43±4.02) e-11 , 3.2992 ± 0.4994 , 10.61 , (10.36±2.26) e-12 , (5.19±1.4) e-12 , 15.3235 , 1.78e-10 , -3.694e-11 +4.263e-11 , 7.63e-12 , -5.446e-12 +1.06e-11 , < 2.45e-11 , - , 10.98 , 2.36 , 0 , bzq , 0.657 , , N , 1 , LSP , 
426 , 1FHL J1852.3+4853 , 2FGL J1852.5+4856 , S4 1851+48 , 283.082 , 48.8877 , 78.54 , 19.95 , (9.25±3.14) e-11 , 2.6025 ± 0.5508 , 5.53 , (2.98±1.01) e-12 , (3.57±1.74) e-12 , 18.5401 , 8.39e-11 , -2.694e-11 +3.363e-11 , 9.19e-12 , -6.512e-12 +1.266e-11 , < 3.00e-11 , - , 5.77 , 2.53 , 0 , bzq , 1.25 , , N , 1 , LSP , 
427 , 1FHL J1855.9+0121e , 2FGL J1855.9+0121e , SNR G034.7-00.4 , 283.99 , 1.355 , 34.65 , -0.39 , (9.73±1.52) e-10 , 3.3147 ± 0.446 , 8.18 , (64.77±9.97) e-12 , (27.27±6.08) e-12 , 14.5609 , 9.00e-10 , -1.405e-10 +1.501e-10 , 6.08e-11 , -3.969e-11 +4.942e-11 , 1.88e-11 , -1.664e-11 +2.639e-11 , 8.44 , 1.66 , 1.19 , SNR , 0 , , N , 1 , , W44
428 , 1FHL J1856.9+0252 , EGR J1856+0235 , , 284.2265 , 2.8721 , 36.11 , 0.09 , (30.68±8.87) e-11 , 0.9585 ± 0.2781 , 6.22 , (8.16±2.28) e-13 , (6.42±2.23) e-11 , 97.3191 , < 1.02e-10 , - , 6.28e-11 , -3.225e-11 +4.36e-11 , 1.53e-10 , -4.958e-11 +6.048e-11 , 0.78 , 2.86 , 5.47 , , 0 , HESS J1857+026 , E , 1 , , 
429 , 1FHL J1903.4+5541 , 2FGL J1903.3+5539 , TXS 1902+556 , 285.8592 , 55.6902 , 85.99 , 20.51 , (31.86±5.58) e-11 , 2.5128 ± 0.2814 , 13.9 , (9±1.58) e-12 , (13.06±3.37) e-12 , 19.5186 , 2.48e-10 , -4.694e-11 +5.307e-11 , 6.65e-11 , -2.154e-11 +2.727e-11 , < 2.95e-11 , - , 12.37 , 7.56 , 0 , bzb , 0 , , N , 1 , ISP , 
430 , 1FHL J1907.7+0600 , 2FGL J1907.9+0602 , LAT PSR J1907+0602 , 286.9405 , 6.0012 , 40.13 , -0.88 , (26.55±7.54) e-11 , 7.0005 ± 1.9752 , 5.43 , (7.23±1.91) e-11 , (5.1±1.61) e-12 , 11.1871 , 2.53e-10 , -6.674e-11 +7.593e-11 , < 4.13e-11 , - , < 4.91e-11 , - , 5.48 , 0 , 0 , HPSR , 0 , MGRO J1908+06 , E , 1 , , 
431 , 1FHL J1910.9-1906 , 2FGL J1911.5-1908 , PMN J1911-1908 , 287.731 , -19.104 , 17.79 , -12.75 , (14.44±4.66) e-11 , 1.8485 ± 0.3659 , 5.95 , (17.51±5.65) e-13 , (10.87±5.53) e-12 , 29.2259 , 8.48e-11 , -3.277e-11 +4.178e-11 , 5.66e-11 , -2.242e-11 +3.014e-11 , < 5.39e-11 , - , 4.3 , 5.31 , 0 , agu , 0 , , N , 1 , - , 
432 , 1FHL J1911.0+0905 , 2FGL J1911.0+0905 , SNR G043.3-00.2 , 287.7581 , 9.0879 , 43.24 , -0.18 , (5.91±1.1) e-10 , 2.3376 ± 0.2722 , 8.52 , (13.79±2.55) e-12 , (27.66±7.84) e-12 , 21.1602 , 4.76e-10 , -9.231e-11 +1.021e-10 , 8.46e-11 , -3.692e-11 +4.702e-11 , 1.59e-11 , -1.564e-11 +2.541e-11 , 8.13 , 3.55 , 1.02 , snr , 0 , W49B , P , 1 , , 
433 , 1FHL J1917.7-1921 , 2FGL J1917.6-1921 , 1H 1914-194 , 289.4409 , -19.3647 , 18.23 , -14.33 , (30.27±6.49) e-11 , 2.008 ± 0.2652 , 10.54 , (5.26±1.13) e-12 , (19.2±6.79) e-12 , 24.2266 , 2.05e-10 , -4.846e-11 +5.677e-11 , 8.04e-11 , -2.876e-11 +3.694e-11 , < 5.41e-11 , - , 8.98 , 6.01 , 0.06 , bzb , 0.137 , , N , 1 , HSP , 
434 , 1FHL J1918.1-4109 , 2FGL J1918.2-4110 , PMN J1918-4111 , 289.5381 , -41.1648 , 356.8 , -22.22 , (17.29±4.76) e-11 , 2.7295 ± 0.5005 , 7.3 , (6.43±1.77) e-12 , (6.19±2.45) e-12 , 17.5621 , 1.56e-10 , -4.17e-11 +4.972e-11 , 1.44e-11 , -1.018e-11 +1.904e-11 , < 3.68e-11 , - , 7.16 , 2.46 , 0 , bzb , 0 , , N , 1 , - , 
435 , 1FHL J1922.0-1607 , 2FGL J1921.9-1608 , PMN J1921-1607 , 290.5006 , -16.1297 , 21.7 , -13.91 , (25.89±6.02) e-11 , 2.1863 ± 0.3209 , 9.8 , (5.62±1.31) e-12 , (13.8±5.25) e-12 , 21.8426 , 1.75e-10 , -4.531e-11 +5.376e-11 , 5.61e-11 , -2.349e-11 +3.19e-11 , 2.44e-11 , -1.448e-11 +2.329e-11 , 7.78 , 5.1 , 3.48 , bzb , 0 , , N , 1 , - , 
436 , 1FHL J1923.2+1408e , 2FGL J1923.2+1408e , SNR G049.2-00.7 , 290.818 , 14.145 , 49.11 , -0.47 , (16.3±1.59) e-10 , 2.837 ± 0.1892 , 16.79 , (68.45±6.67) e-12 , (55.17±7.64) e-12 , 16.8253 , 1.39e-9 , -1.438e-10 +1.522e-10 , 2.24e-10 , -5.375e-11 +6.202e-11 , < 5.43e-11 , - , 15.64 , 6.66 , 0.44 , SNR , 0 , W51C , E , 1 , , W51C
437 , 1FHL J1926.9+6153 , 2FGL J1927.0+6153 , 1RXS J192649.5+615445 , 291.7375 , 61.8919 , 93.29 , 19.72 , (26.75±5.06) e-11 , 2.584 ± 0.3082 , 13.9 , (8.64±1.64) e-12 , (10.46±2.89) e-12 , 18.5116 , 2.10e-10 , -4.204e-11 +4.796e-11 , 5.69e-11 , -2.06e-11 +2.649e-11 , < 2.61e-11 , - , 12.16 , 6.77 , 0 , bzb , 0 , , N , 1 , HSP , 
438 , 1FHL J1931.0+0938 , 2FGL J1931.1+0938 , RX J1931.1+0937 , 292.7698 , 9.6344 , 46.04 , -4.29 , (43.41±7.78) e-11 , 2.1453 ± 0.2432 , 12.44 , (8.44±1.51) e-12 , (24.03±6.98) e-12 , 22.9756 , 3.00e-10 , -6.102e-11 +6.94e-11 , 1.19e-10 , -3.424e-11 +4.208e-11 , < 5.28e-11 , - , 9.86 , 8.22 , 0.19 , bzb , 0 , , N , 2 , HSP , 
439 , 1FHL J1936.8-4721 , 2FGL J1936.8-4721 , PMN J1936-4719 , 294.2135 , -47.3565 , 351.13 , -27.01 , (12.94±4.32) e-11 , 1.51 ± 0.3437 , 6.44 , (7.66±2.51) e-13 , (14.48±6.96) e-12 , 45.8454 , 4.02e-11 , -2.386e-11 +3.374e-11 , 5.18e-11 , -2.052e-11 +2.766e-11 , 2.34e-11 , -1.31e-11 +2.111e-11 , 2.37 , 5.63 , 4.05 , bzb , 0.265 , , N , 1 , - , 
440 , 1FHL J1942.8+1034 , 2FGL J1942.8+1033 , 1RXS J194246.3+103339 , 295.7173 , 10.5682 , 48.27 , -6.38 , (27.19±6.23) e-11 , 1.8371 ± 0.2729 , 9.53 , (36.86±8.44) e-13 , (20.73±8.06) e-12 , 27.5056 , 1.70e-10 , -4.421e-11 +5.27e-11 , 7.30e-11 , -2.74e-11 +3.565e-11 , 2.26e-11 , -1.532e-11 +2.687e-11 , 7.96 , 5.35 , 2.44 , agu , 0 , , N , 1 , HSP , 
441 , 1FHL J1953.3+3251 , 2FGL J1953.0+3253 , PSR J1952+3252 , 298.3483 , 32.8505 , 68.78 , 2.73 , (12.91±4.6) e-11 , 4.8976 ± 1.3 , 4.13 , (16.11±5.72) e-12 , (2.78±1.07) e-12 , 12.6127 , 1.21e-10 , -4.074e-11 +4.927e-11 , < 3.09e-11 , - , < 3.29e-11 , - , 4.62 , 0 , 0 , HPSR , 0 , , N , 1 , , 
442 , 1FHL J1958.4-3015 , 2FGL J1958.4-3012 , 1RXS J195815.6-301119 , 299.6008 , -30.2554 , 10.88 , -26.83 , (10.14±4.12) e-11 , 1.5438 ± 0.4165 , 4.46 , (7.34±2.97) e-13 , (10.9±6.74) e-12 , 40.0782 , 3.84e-11 , -2.223e-11 +3.188e-11 , 3.35e-11 , -1.833e-11 +2.652e-11 , 2.07e-11 , -1.346e-11 +2.243e-11 , 2.33 , 3.08 , 3.13 , bzb , 0.119 , , N , 1 , HSP , 
443 , 1FHL J1958.6+2845 , 2FGL J1958.6+2845 , LAT PSR J1958+2846 , 299.6645 , 28.7623 , 65.87 , -0.36 , (16.88±5.32) e-11 , 4.0147 ± 0.9228 , 4.55 , (15.01±4.72) e-12 , (4.04±1.46) e-12 , 13.5501 , 1.50e-10 , -4.712e-11 +5.605e-11 , 9.46e-12 , -7.48e-12 +1.452e-11 , < 3.38e-11 , - , 4.87 , 1.59 , 0 , HPSR , 0 , , N , 1 , , 
444 , 1FHL J2000.0+6509 , 2FGL J2000.0+6509 , 1ES 1959+650 , 300.0072 , 65.1576 , 98.01 , 17.67 , (64.63±7.57) e-11 , 2.1841 ± 0.1614 , 21.47 , (13.58±1.59) e-12 , (34.51±6.56) e-12 , 22.1658 , 4.68e-10 , -6.185e-11 +6.747e-11 , 1.26e-10 , -2.984e-11 +3.51e-11 , 4.10e-11 , -1.702e-11 +2.289e-11 , 17.8 , 10.5 , 5.24 , bzb , 0.047 , 1ES 1959+650 , P , 1 , HSP , 
445 , 1FHL J2001.1-1752 , 2FGL J2000.8-1751 , PKS 1958-179 , 300.2779 , -17.8676 , 23.97 , -23.18 , (11.36±4.14) e-11 , 1.6264 ± 0.3801 , 5.27 , (9.07±3.29) e-13 , (11.06±6.1) e-12 , 37.513 , 5.34e-11 , -2.607e-11 +3.582e-11 , 3.47e-11 , -1.714e-11 +2.517e-11 , 2.68e-11 , -1.502e-11 +2.405e-11 , 3.18 , 4.15 , 3.57 , bzq , 0.652 , , N , 1 , LSP , 
446 , 1FHL J2001.1+4353 , 2FGL J2001.1+4352 , MAGIC J2001+435 , 300.2989 , 43.8901 , 79.07 , 7.11 , (82.05±9.66) e-11 , 2.3807 ± 0.1767 , 19.95 , (20.87±2.46) e-12 , (37.08±6.7) e-12 , 20.3876 , 6.28e-10 , -8.101e-11 +8.8e-11 , 1.52e-10 , -3.77e-11 +4.458e-11 , 2.16e-11 , -1.217e-11 +1.945e-11 , 16.91 , 9.23 , 3.54 , bzb , 0 , MAGIC J2001+435 , P , 2 , ISP , 
447 , 1FHL J2002.6+6303 , 3EG J1959+6342 , , 300.657 , 63.055 , 96.19 , 16.45 , (5.3±2.28) e-11 , 2.5719 ± 0.6887 , 4.33 , (17.74±7.64) e-13 , (2.09±1.33) e-12 , 18.2535 , 3.65e-11 , -1.657e-11 +2.278e-11 , 1.53e-11 , -8.985e-12 +1.44e-11 , < 2.92e-11 , - , 3.94 , 2.94 , 0 , , 0 , , N , 1 , , 
448 , 1FHL J2004.4+3339 , 2FGL J2004.4+3339c , , 301.1204 , 33.6621 , 70.69 , 1.18 , (16.62±5.54) e-11 , 1.6451 ± 0.4476 , 4.16 , (16.57±5.52) e-13 , (1.58±1.01) e-11 , 32.7409 , 1.01e-10 , -3.953e-11 +4.899e-11 , 4.60e-11 , -2.299e-11 +3.116e-11 , < 6.21e-11 , - , 3.66 , 2.87 , 0.45 , , 0 , , N , 1 , , 
449 , 1FHL J2004.7+7003 , 2FGL J2004.6+7004 , , 301.1819 , 70.0656 , 102.85 , 19.46 , (10.79±3.25) e-11 , 2.0551 ± 0.3978 , 6.34 , (17.23±5.19) e-13 , (6.52±3.17) e-12 , 25.2566 , 7.98e-11 , -2.569e-11 +3.177e-11 , 1.43e-11 , -9.189e-12 +1.508e-11 , 1.69e-11 , -9.857e-12 +1.579e-11 , 5.78 , 2.71 , 3.19 , , 0 , , N , 1 , , 
450 , 1FHL J2009.4-4849 , 2FGL J2009.5-4850 , PKS 2005-489 , 302.3599 , -48.8301 , 350.37 , -32.61 , (58.73±8.39) e-11 , 1.9491 ± 0.1702 , 17.81 , (8.47±1.21) e-12 , (39.62±9.02) e-12 , 26.6317 , 3.49e-10 , -6.272e-11 +7.041e-11 , 1.51e-10 , -3.717e-11 +4.42e-11 , 5.84e-11 , -2.241e-11 +3.019e-11 , 12.7 , 10.56 , 7.4 , BZB , 0.071 , PKS 2005-489 , P , 1 , HSP , 
451 , 1FHL J2012.1+4629 , 2FGL J2012.1+4630 , 7C 2010+4619 , 303.0291 , 46.4911 , 82.32 , 6.86 , (18.59±4.82) e-11 , 3.2119 ± 0.6496 , 7.33 , (11.24±2.89) e-12 , (5.39±1.94) e-12 , 14.9721 , 1.77e-10 , -4.291e-11 +5e-11 , < 4.02e-11 , - , < 3.08e-11 , - , 7.89 , 0.66 , 0 , bzb , 0 , , N , 1 , HSP , 
452 , 1FHL J2015.3-1432 , , , 303.833 , -14.544 , 28.78 , -25.02 , (6.31±2.89) e-11 , 3.2354 ± 1.0214 , 4.22 , (3.27±1.49) e-12 , (1.81±1.03) e-12 , 15.7161 , 6.14e-11 , -2.463e-11 +3.296e-11 , < 3.45e-11 , - , < 3.81e-11 , - , 4.94 , 0 , 0 , , 0 , , N , 1 , , 
453 , 1FHL J2015.8+3710 , 2FGL J2015.6+3709 , MG2 J201534+3710 , 303.9614 , 37.1747 , 74.9 , 1.15 , (17.24±5.57) e-11 , 2.3071 ± 0.4268 , 4.45 , (3.5±1.13) e-12 , (8.27±3.79) e-12 , 22.4728 , 1.42e-10 , -4.734e-11 +5.634e-11 , 3.09e-11 , -1.787e-11 +2.602e-11 , 1.06e-11 , -8.472e-12 +1.643e-11 , 4.41 , 2.37 , 1.55 , bzq , 0.859 , VER J2016+372 , P , 1 , LSP , 
454 , 1FHL J2016.3-0907 , 2FGL J2016.3-0904 , PMN J2016-0903 , 304.0909 , -9.1207 , 34.29 , -22.99 , (11.97±4.11) e-11 , 2.5039 ± 0.5623 , 6.14 , (3.92±1.34) e-12 , (4.94±2.67) e-12 , 18.3921 , 9.87e-11 , -3.28e-11 +4.145e-11 , 2.11e-11 , -1.358e-11 +2.23e-11 , < 3.97e-11 , - , 6.11 , 2.79 , 0 , bzb , 0.367 , , N , 1 , ISP , 
455 , 1FHL J2018.3+3851 , 2FGL J2018.2+3850c , TXS 2016+386 , 304.5826 , 38.8509 , 76.56 , 1.69 , (19.46±5.61) e-11 , 4.0022 ± 0.9819 , 5.38 , (19.3±5.47) e-12 , (4.67±1.67) e-12 , 13.1847 , 1.87e-10 , -5.07e-11 +5.88e-11 , 1.12e-11 , -8.934e-12 +1.691e-11 , < 4.51e-11 , - , 5.61 , 1.56 , 0 , agu , 0 , , N , 1 , - , 
456 , 1FHL J2021.0+3651 , 2FGL J2021.0+3651 , PSR J2021+3651 , 305.27 , 36.863 , 75.23 , 0.12 , (38.88±7.72) e-11 , 3.8295 ± 0.6363 , 8.03 , (32.81±6.48) e-12 , (9.62±2.36) e-12 , 13.7117 , 3.84e-10 , -7.178e-11 +7.972e-11 , < 3.27e-11 , - , 1.21e-11 , -8.643e-12 +1.662e-11 , 8.83 , 0 , 2.33 , HPSR , 0 , MGRO J2019+37 , E , 1 , , 
457 , 1FHL J2021.0+4031e , 1AGL J2022+4032 , SNR G078.2+02.1 , 305.27 , 40.52 , 78.24 , 2.19 , (19.36±1.78) e-10 , 2.3881 ± 0.1378 , 15.71 , (48.6±4.46) e-12 , (8.7±1.21) e-11 , 20.5039 , 1.50e-9 , -1.512e-10 +1.586e-10 , 3.61e-10 , -6.946e-11 +7.657e-11 , 7.74e-11 , -3.032e-11 +3.825e-11 , 13.95 , 7.33 , 3.57 , snr , 0 , VER J2019+407 , E , 1 , , gamma Cygni
458 , 1FHL J2025.8-0734 , 2FGL J2025.6-0736 , PKS 2023-07 , 306.4662 , -7.5773 , 36.94 , -24.42 , (10.35±3.81) e-11 , 2.2442 ± 0.5108 , 5.23 , (22.27±8.2) e-13 , (5.24±3.01) e-12 , 21.9319 , 7.62e-11 , -2.873e-11 +3.719e-11 , 2.92e-11 , -1.615e-11 +2.529e-11 , < 3.97e-11 , - , 4.83 , 3.48 , 0 , bzq , 1.388 , , N , 1 , LSP , 
459 , 1FHL J2028.6+4110e , , Cygnus Cocoon , 307.17 , 41.17 , 79.6 , 1.39 , (55.5±8.19) e-10 , 2.1969 ± 0.1159 , 6.74 , (44.55±6.18) e-12 , (29.29±4.37) e-11 , 34.3601 , 3.83e-9 , -7.253e-10 +7.345e-10 , 1.41e-9 , -3.196e-10 +3.24e-10 , 2.11e-10 , -1.436e-10 +1.511e-10 , 5.37 , 4.47 , 1.49 , SFR , 0 , MGRO J2031+41 , E , 1 , , Cygnus Cocoon
460 , 1FHL J2031.4+1941 , 2FGL J2031.0+1938 , RX J2030.8+1935 , 307.8535 , 19.6949 , 62.35 , -11.56 , (11.7±4.03) e-11 , 3.3434 ± 0.8016 , 4.82 , (7.28±2.5) e-12 , (3.25±1.41) e-12 , 14.863 , 9.90e-11 , -3.273e-11 +4.069e-11 , 1.47e-11 , -1.028e-11 +1.886e-11 , < 3.62e-11 , - , 5.43 , 2.51 , 0 , agu , 0 , , N , 1 , HSP , 
461 , 1FHL J2032.1+4125 , 2FGL J2032.2+4126 , LAT PSR J2032+4127 , 308.0471 , 41.4241 , 80.19 , 1.01 , (32.69±8.23) e-11 , 4.0348 ± 0.9056 , 5.72 , (36.7±8.83) e-12 , (7.8±2.55) e-12 , 12.7914 , 3.28e-10 , -7.263e-11 +8.139e-11 , < 6.93e-11 , - , < 3.31e-11 , - , 6.85 , 0 , 0 , HPSR , 0 , TeV J2032+4130 , E , 1 , , 
462 , 1FHL J2036.9-3325 , 1FGL J2037.0-3329 , , 309.2283 , -33.4238 , 9.68 , -35.53 , (10.38±3.85) e-11 , 2.1525 ± 0.4707 , 4.83 , (21.54±7.99) e-13 , (5.71±3.34) e-12 , 22.2875 , 7.15e-11 , -2.734e-11 +3.572e-11 , 3.26e-11 , -1.819e-11 +2.757e-11 , < 3.91e-11 , - , 4.68 , 3.09 , 0 , , 0 , , N , 1 , , 
463 , 1FHL J2039.2-1045 , 2FGL J2039.1-1046 , TXS 2036-109 , 309.8009 , -10.7572 , 35.34 , -28.77 , (14.03±4.46) e-11 , 3.3761 ± 0.7309 , 6.59 , (8.62±2.74) e-12 , (3.86±1.5) e-12 , 14.9229 , 1.41e-10 , -4.036e-11 +4.893e-11 , < 3.43e-11 , - , < 3.77e-11 , - , 7.24 , 0 , 0 , bzb , 0 , , N , 1 , LSP , 
464 , 1FHL J2040.0-7119 , , AT20G J204008-711457 , 310.011 , -71.323 , 323.08 , -34.2 , (8.93±3.27) e-11 , 2.1991 ± 0.517 , 5.47 , (18.3±6.7) e-13 , (4.71±2.78) e-12 , 22.425 , 5.20e-11 , -2.157e-11 +2.878e-11 , 4.01e-11 , -1.758e-11 +2.42e-11 , < 3.19e-11 , - , 4.4 , 5.28 , 0 , agu , 0.162 , , N , 1 , - , 
465 , 1FHL J2042.4+2426 , 2FGL J2042.1+2428 , MG2 J204208+2426 , 310.606 , 24.4348 , 67.8 , -10.88 , (9.69±3.63) e-11 , 1.7238 ± 0.4087 , 4.86 , (10.05±3.76) e-13 , (8.41±5.02) e-12 , 31.9848 , 4.44e-11 , -2.122e-11 +2.953e-11 , 3.80e-11 , -1.803e-11 +2.535e-11 , 1.26e-11 , -8.858e-12 +1.722e-11 , 3.23 , 3.71 , 2.93 , bzb , 0.104 , , N , 1 , HSP , 
466 , 1FHL J2056.3-4712 , 2FGL J2056.2-4715 , PKS 2052-47 , 314.0919 , -47.2084 , 352.64 , -40.41 , (16.15±4.45) e-11 , 2.7884 ± 0.5082 , 7.67 , (6.06±1.67) e-12 , (5.61±2.14) e-12 , 17.508 , 1.46e-10 , -3.851e-11 +4.599e-11 , 1.42e-11 , -9.878e-12 +1.786e-11 , < 3.42e-11 , - , 7.75 , 2.62 , 0 , bzq , 1.489 , , N , 1 , LSP , 
467 , 1FHL J2109.2-6635 , 2FGL J2108.9-6636 , PKS 2104-668 , 317.3029 , -66.589 , 327.57 , -38.21 , (6.68±2.79) e-11 , 2.0881 ± 0.5317 , 4.5 , (11.21±4.67) e-13 , (3.91±2.54) e-12 , 24.6409 , 4.70e-11 , -2.113e-11 +2.85e-11 , 1.81e-11 , -1.038e-11 +1.665e-11 , < 3.33e-11 , - , 3.87 , 3.45 , 0 , agu , 0 , , N , 1 , LSP , 
468 , 1FHL J2115.6+2935 , 2FGL J2115.3+2932 , B2 2113+29 , 318.9079 , 29.5974 , 76.67 , -13.31 , (7.87±3.24) e-11 , 2.8718 ± 0.7568 , 4.06 , (3.11±1.28) e-12 , (2.62±1.43) e-12 , 17.1944 , 6.76e-11 , -2.585e-11 +3.336e-11 , 7.63e-12 , -7.514e-12 +1.457e-11 , < 3.43e-11 , - , 4.64 , 1.03 , 0 , bzq , 1.514 , , N , 1 , LSP , 
469 , 1FHL J2116.2+3339 , 2FGL J2116.2+3339 , B2 2114+33 , 319.0518 , 33.6624 , 79.81 , -10.65 , (35.64±6.47) e-11 , 2.792 ± 0.3424 , 12.89 , (14.25±2.59) e-12 , (12.34±3.2) e-12 , 17.1168 , 3.20e-10 , -5.739e-11 +6.455e-11 , 3.88e-11 , -1.72e-11 +2.406e-11 , < 4.20e-11 , - , 12.57 , 4.63 , 0 , bzb , 0.35 , , N , 1 , ISP , 
470 , 1FHL J2121.0+1901 , 2FGL J2121.0+1901 , OX 131 , 320.2632 , 19.0319 , 69.25 , -21.25 , (7.8±3.2) e-11 , 3.1041 ± 0.846 , 4.97 , (3.84±1.57) e-12 , (2.35±1.23) e-12 , 15.975 , 7.97e-11 , -2.818e-11 +3.636e-11 , < 3.25e-11 , - , < 3.57e-11 , - , 6.03 , 0 , 0 , bzq , 2.18 , , N , 1 , LSP , 
471 , 1FHL J2127.8+3614 , 2FGL J2127.8+3614 , B2 2125+35 , 321.9697 , 36.2379 , 83.39 , -10.56 , (12.48±3.96) e-11 , 2.2853 ± 0.4364 , 6.02 , (28.82±9.14) e-13 , (6.1±2.97) e-12 , 21.2555 , 9.88e-11 , -3.181e-11 +3.923e-11 , 3.17e-11 , -1.593e-11 +2.331e-11 , < 3.37e-11 , - , 5.47 , 3.86 , 0 , bzb , 0 , , N , 1 , ISP , 
472 , 1FHL J2131.6-0913 , 2FGL J2131.6-0914 , RBS 1752 , 322.9008 , -9.2284 , 43.92 , -39.67 , (6.59±3.26) e-11 , 1.4714 ± 0.4967 , 4.53 , (3.93±1.92) e-13 , (7.73±5.57) e-12 , 45.8557 , < 5.43e-11 , - , 4.48e-11 , -2.011e-11 +2.827e-11 , < 4.11e-11 , - , 0.48 , 5.75 , 0 , bzb , 0.449 , , N , 1 , HSP , 
473 , 1FHL J2134.6-2130 , 2FGL J2134.6-2130 , , 323.6529 , -21.5005 , 28.95 , -45.09 , (11.69±4.01) e-11 , 2.8934 ± 0.6547 , 5.54 , (5.12±1.76) e-12 , (3.85±1.81) e-12 , 16.5886 , 1.05e-10 , -3.343e-11 +4.144e-11 , 1.17e-11 , -8.26e-12 +1.605e-11 , < 4.08e-11 , - , 5.76 , 2.57 , 0 , , 0 , , N , 1 , , 
