_id , ercsc545_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC545 G304.23-31.96"    ,, 0.00958 , -85.03167 , 304.23279 , -31.96607 , "3075.7+/-325" , "5659.29+/-70.5" , "2603.2+/-196.54" , "9998+/-1041.27" , 0.406 , 0 , 1 , 3 , "0.869+/-0.041"
2 , "PLCKERC545 G112.50-21.27"    ,, 0.03458 , 40.55194 , 112.50421 , -21.27865 , "5451+/-664" , "1.73e+4+/-164.5" , "3933.1+/-445.39" , "2.2e+4+/-2532.02" , 0.406 , 0 , 1 , 1 , "0.995+/-0.045"
3 , "PLCKERC545 G107.00-40.83"    ,, 0.06167 , 20.44389 , 107.00858 , -40.83951 , "1521.6+/-221" , "2782.6+/-125.5" , "1253.1+/-161.25" , "4950.3+/-1915.21" , 0.291 , 0 , 1 , 1 , "0.865+/-0.041"
4 , "PLCKERC545 G304.76-33.88"    ,, 0.15125 , -83.05694 , 304.76757 , -33.88902 , "5250.2+/-658" , "1.05e+4+/-95.8" , "3926.4+/-394.56" , "7036.1+/-4550.45" , 0.406 , 0 , 1 , 3 , "0.901+/-0.042"
5 , "PLCKERC545 G114.63-12.34"    ,, 0.26542 , 49.71083 , 114.6334 , -12.34748 , "2607.3+/-294" , "5821.16+/-176" , "2065.2+/-168.93" , "7271.3+/-1680.29" , 0.518 , 0 , 1 , 1 , "0.853+/-0.041"
6 , "PLCKERC545 G116.67-02.21"    ,, 0.27042 , 60.04694 , 116.67989 , -2.21197 , "2.1e+4+/-3548" , "3.58e+4+/-478.4" , "1.9e+4+/-1775.42" , "7.7e+4+/-5151.2" , 0.518 , 0 , 1 , 2 , "0.831+/-0.04"
7 , "PLCKERC545 G113.83-16.26"    ,, 0.30083 , 45.71722 , 113.8329 , -16.26509 , "2701.3+/-430" , "5982.29+/-169.9" , "2406.5+/-296.62" , "4885.9+/-1718.61" , 0.406 , 0 , 1 , 2 , "0.928+/-0.043"
8 , "PLCKERC545 G118.15+05.14"    ,, 0.3125 , 67.54889 , 118.15389 , 5.14411 , "2.4e+5+/-3e+4" , "3.53e+5+/-868.7" , "1.5e+5+/-1.14e+4" , "7.3e+5+/-7.72e+4" , 0.406 , 0 , 1 , 2 , "0.996+/-0.046"
9 , "PLCKERC545 G117.60+02.31"    ,, 0.33917 , 64.66611 , 117.60527 , 2.31377 , "5.4e+4+/-3409" , "6.99e+4+/-664.5" , "5.2e+4+/-2298.52" , "9.3e+4+/-5993.88" , 0.406 , 0 , 0 , 1 , "0.867+/-0.042"
10 , "PLCKERC545 G114.44-13.56"   ,, 0.36708 , 48.47917 , 114.44956 , -13.56774 , "1.2e+4+/-1128" , "1.72e+4+/-134.7" , "9105.2+/-673.72" , "2.4e+4+/-2642.63" , 0.406 , 0 , 1 , 1 , "0.996+/-0.046"
11 , "PLCKERC545 G114.43-13.95"   ,, 0.46083 , 48.10056 , 114.43567 , -13.95126 , "1.7e+4+/-993" , "2.44e+4+/-135.4" , "1.4e+4+/-519.94" , "2.1e+4+/-1282.52" , 0.406 , 0 , 0 , 1 , "0.997+/-0.045"
12 , "PLCKERC545 G117.42+01.05"   ,, 0.47708 , 63.39583 , 117.42057 , 1.05533 , "3.3e+4+/-2439" , "5.02e+4+/-840.2" , "2.8e+4+/-1644.64" , "7.2e+4+/-5394.62" , 0.406 , 0 , 1 , 1 , "0.881+/-0.042"
13 , "PLCKERC545 G096.24-62.25"   ,, 0.78417 , -1.91111 , 96.24618 , -62.25404 , "894.8+/-128" , "846.44+/-64.5" , "920.2+/-167.86" , "1326.3+/-639.13" , 0.281 , 0 , 0 , 1 , "0.87+/-0.042"
14 , "PLCKERC545 G313.24-55.53"   ,, 0.93875 , -60.62667 , 313.24571 , -55.53625 , "580.7+/-74" , "675.53+/-34" , "440.8+/-88.6" , "1079.9+/-456.81" , 0.281 , 0 , 1 , 4 , "0.837+/-0.043"
15 , "PLCKERC545 G109.18-37.59"   ,, 0.96375 , 24.0075 , 109.18529 , -37.59067 , "5055.5+/-440" , "8384.34+/-109" , "4183.5+/-280.24" , "6687.9+/-1469.62" , 0.406 , 0 , 1 , 1 , "0.915+/-0.043"
16 , "PLCKERC545 G105.43-48.14"   ,, 0.97167 , 13.10389 , 105.43305 , -48.14561 , "3893+/-510" , "3698.85+/-90" , "3049.6+/-173.05" , "3929.1+/-1890.3" , 0.406 , 0 , 1 , 1 , "0.935+/-0.043"
17 , "PLCKERC545 G108.21-40.75"   ,, 0.9875 , 20.75167 , 108.21889 , -40.75938 , "1964+/-131" , "2304.86+/-93.4" , "1965.8+/-167.44" , "2284.7+/-484.42" , 0.281 , 0 , 0 , 1 , "0.893+/-0.042"
18 , "PLCKERC545 G118.62+06.14"   ,, 1.02708 , 68.62278 , 118.62078 , 6.14832 , "2.2e+5+/-1e+4" , "3.55e+5+/-923.9" , "1.9e+5+/-8423.58" , "3.6e+5+/-1.17e+4" , 0.406 , 0 , 1 , 2 , "0.996+/-0.046"
