_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
23 , 10.14292 , 24.79658 , 10.1668 , 24.761499 , "119.8" , "-38.01" , "SWIFT J0041.0+24" , "SRC/Radio" , "NVSS J004040+2" , 5.2 , 7.67 , 4.88 , 11.13 , -1 , -9.9 , 5.37 , 0.5 , 2.69 , 2.08 , 3.56
24 , 10.4625 , -9.35017 , 10.4075 , -9.3425 , "115.22" , "-72.08" , "SWIFT J0041.9-09" , "Galaxy Cluste" , " " , 5.6 , 5.96 , 4.16 , 8.27 , 0.055 , 43.634 , 5.04 , 0.4 , 4.63 , 3.4 , 6.97
25 , 10.65625 , 41.19458 , 10.667915 , 41.200222 , "121.14" , "-21.65" , "SWIFT J0042.6+41" , "in M31" , " " , 6.8 , 9.65 , 7.04 , 12.75 , -1 , -9.9 , 4.11 , 1.6 , 2.97 , 2.44 , 3.69
26 , 10.74542 , 30.25944 , 10.7578 , 30.288799 , "120.76" , "-32.58" , "SWIFT J0042.9+30" , "Galaxy" , "IRAS F00403+30" , 7.1 , 7.72 , 0 , 0 , -1 , -9.9 , 3.93 , 0.4 , 2.75 , 0 , 0
27 , 10.74542 , 30.25944 , 10.666292 , 30.29764 , "120.76" , "-32.58" , "SWIFT J0042.9+30" , "Sy1" , " " , 7.1 , 10.31 , 0 , 0 , 0.141 , 44.738 , 3.93 , 0.3 , 0.96 , 0 , 0
28 , 10.70875 , -23.55144 , 10.72 , -23.541 , "93.95" , "-85.93" , "SWIFT J0042.9-23" , "Sy1" , " " , 21.9 , 47.65 , 43.3 , 52.15 , 0.022 , 43.728 , 1.31 , 2.1 , 1.86 , 1.75 , 1.99
29 , 10.74958 , -11.56944 , 10.786542 , -11.601 , "115.26" , "-74.32" , "SWIFT J0042.9-11" , "Sy2" , " " , 4.8 , 8.95 , 5.37 , 13.19 , 0.019 , 42.857 , 5.82 , 0.8 , 2.23 , 1.67 , 3
30 , 11.54375 , -40.09367 , 11.585991 , -40.096966 , "307.4" , "-77" , "SWIFT J0046.2-40" , "Galaxy" , " " , 7.7 , 12.98 , 9.48 , 16.88 , 0.201 , 45.18 , 3.64 , 0.9 , 2.04 , 1.68 , 2.45
31 , 12.21625 , 31.96133 , 12.1964 , 31.957001 , "122.29" , "-30.91" , "SWIFT J0048.8+31" , "Sy2/FSRQ" , " " , 73.9 , 156 , 151.9 , 160.2 , 0.015 , 43.899 , 0.48 , 6.9 , 1.9 , 1.86 , 1.93
32 , 12.89833 , 29.47142 , 12.895877 , 29.401258 , "122.97" , "-33.4" , "SWIFT J0051.6+29" , "Sy1.0" , " " , 5.5 , 9.81 , 6.2 , 14.07 , 0.036 , 43.468 , 5.1 , 1.1 , 2.18 , 1.64 , 2.9
33 , 12.965 , 17.42489 , 12.9783 , 17.432899 , "123.07" , "-45.45" , "SWIFT J0051.9+17" , "Sy1" , " " , 15.7 , 29.7 , 25.89 , 33.71 , 0.064 , 44.468 , 1.81 , 1.4 , 2.17 , 1.99 , 2.36
34 , 13.04375 , -27.46683 , 13.0158 , -27.3969 , "277.04" , "-89.63" , "SWIFT J0052.3-27" , "Galaxy" , " " , 5 , 8.21 , 4.65 , 12.69 , 0 , -9.9 , 5.58 , 2 , 2.16 , 1.51 , 3.02
35 , 12.90417 , -73.28239 , 13.0921 , -73.3181 , "302.91" , "-43.85" , "SWIFT J0051.8-73" , "HMXB" , "2E 0050.4-7335" , 10.2 , 15.55 , 12.56 , 18.84 , 0 , -9.9 , 2.75 , 1.5 , 2.53 , 2.22 , 2.87
36 , 13.33 , -72.399 , 13.479 , -72.445999 , "302.73" , "-44.74" , "SWIFT J0053.3-72" , "HMXB" , " " , 5.1 , 9.4 , 6.1 , 13.15 , 0 , -9.9 , 5.54 , 2.2 , 2.09 , 1.63 , 2.67
37 , 13.71875 , 25.40303 , 13.717083 , 25.427221 , "123.9" , "-37.47" , "SWIFT J0054.9+25" , "Sy1.2" , " " , 6.8 , 13.7 , 9.84 , 18.04 , 0.155 , 44.952 , 4.12 , 0.9 , 1.93 , 1.56 , 2.35
38 , 13.81583 , 46.21853 , 13.8329 , 46.215801 , "123.62" , "-16.65" , "SWIFT J0055.4+46" , "CV/DQ Her" , " " , 15.4 , 20.62 , 18.1 , 23.35 , 0 , -9.9 , 1.84 , 2.3 , 2.99 , 2.75 , 3.26
39 , 14.19042 , 60.72036 , 14.1772 , 60.716702 , "123.58" , "-2.15" , "SWIFT J0056.7+60" , "Star/Be" , "4U 0054+60" , 64.1 , 83.29 , 81.07 , 85.55 , 0 , -9.9 , 0.53 , 8.8 , 3.35 , 3.29 , 3.42
40 , 14.31625 , 64.02617 , 14.3036 , 63.995201 , "123.57" , "1.16" , "SWIFT J0057.0+64" , "SRC/RADIO" , " " , 5.5 , 10.16 , 6.91 , 13.83 , -1 , -9.9 , 5.12 , 1.4 , 2.11 , 1.68 , 2.62
41 , 14.99 , 31.81433 , 14.972 , 31.8269 , "125.04" , "-31.03" , "SWIFT J0059.4+31" , "Sy1" , " " , 14.4 , 29.98 , 25.84 , 34.32 , 0.015 , 43.172 , 1.96 , 0.5 , 1.94 , 1.76 , 2.14
42 , 15.1925 , -47.87803 , 15.1457 , -47.867599 , "298.52" , "-69.18" , "SWIFT J0100.9-47" , "Sy1.8" , " " , 9.4 , 16.3 , 12.68 , 20.24 , 0.048 , 43.952 , 3.01 , 0.6 , 2 , 1.7 , 2.33
43 , 15.36167 , -3.15006 , 15.3517 , -3.1445 , "129.06" , "-65.91" , "SWIFT J0101.5-03" , "Sy1.8" , "SWIFT J0101.3-" , 5.3 , 10.34 , 6.39 , 15.08 , 0.069 , 44.084 , 5.32 , 0.7 , 2.09 , 1.55 , 2.81
44 , 15.73917 , -72.74511 , 16.172541 , -72.901299 , "301.73" , "-44.36" , "SWIFT J0102.6-72" , "HMXB in SMC" , "IGR J01054-725" , 9 , 4.9 , 2.79 , 7.33 , 0 , -9.9 , 3.14 , 2 , 2.99 , 2.31 , 4.16
45 , 15.73917 , -72.74511 , 15.721186 , -72.742531 , "301.73" , "-44.36" , "SWIFT J0102.6-72" , "HMXB" , " " , 9 , 12.13 , 9.9 , 14.62 , 0 , -9.9 , 3.14 , 1.2 , 3.16 , 2.79 , 3.62
