_id , RA  , Dec  , CounterpartRA , CounterpartDEC , LII , BII , bat70_name , Type , other_name , SNR , Flux15-195KeV, Flux_low , Flux_high , Redshift , lum , Error radius, Chi^2 , Gamma , Gamma_low , Gamma_high
317 , 92.44417 , -62.69967 , 92.161003 , -62.787998 , "272" , "-28.63" , "SWIFT J0609.5-62" , "Galaxy" , " " , 5.8 , 3.88 , 0 , 0 , -1 , -9.9 , 4.87 , 0.3 , 2.15 , 0 , 0
318 , 92.44417 , -62.69967 , 92.527199 , -62.7201 , "272" , "-28.63" , "SWIFT J0609.5-62" , "Galaxy/XMMSL" , "1RXS J061006.6" , 5.8 , 9.45 , 0 , 0 , -1 , -9.9 , 4.87 , 0.7 , 1.91 , 0 , 0
319 , 93.83625 , 71.03733 , 93.901497 , 71.037498 , "143.28" , "22.7" , "SWIFT J0615.8+71" , "Sy2" , " " , 56 , 141 , 136.4 , 145.5 , 0.014 , 43.761 , 0.58 , 6 , 1.63 , 1.59 , 1.67
320 , 93.04875 , -46.70836 , 93.111 , -46.786999 , "254.27" , "-25.85" , "SWIFT J0612.2-46" , "SRC/RADIO" , "1RXS J061227.3" , 5.6 , 7.52 , 4.62 , 10.97 , -1 , -9.9 , 5.02 , 1.5 , 2.28 , 1.74 , 3.01
321 , 93.51667 , 17.09611 , 93.5513 , 17.0756 , "193.51" , "-0.24" , "SWIFT J0614.0+17" , "SRC/X-RAY" , " " , 5.8 , 11.04 , 7.53 , 15.39 , -1 , -9.9 , 4.82 , 1.1 , 2.89 , 2.26 , 3.74
322 , 94.28417 , 9.15644 , 94.280403 , 9.1369 , "200.86" , "-3.36" , "SWIFT J0617.2+09" , "LMXB/NS" , "V1055 Ori" , 199.5 , 459.1 , 454.5 , 463.6 , 0 , -9.9 , 0.33 , 12.7 , 2.46 , 2.45 , 2.48
323 , 93.03875 , -81.82361 , 92.933624 , -81.823364 , "293.78" , "-28.23" , "SWIFT J0610.6-81" , "Nova-like" , " " , 5.2 , 8.59 , 5.65 , 12.03 , 0 , -9.9 , 5.38 , 1.2 , 2.32 , 1.83 , 2.95
324 , 95.81958 , 64.781 , 95.896378 , 64.760063 , "149.95" , "21.47" , "SWIFT J0623.8+64" , "Sy1" , " " , 5.4 , 6.86 , 4.5 , 9.91 , 0.086 , 44.101 , 5.18 , 0.6 , 3.14 , 2.41 , 4.23
325 , 96.28375 , 73.60025 , 96.317596 , 73.577499 , "140.82" , "24.12" , "SWIFT J0625.1+73" , "CV/DQ Her" , "IGR J06253+733" , 12.6 , 16.58 , 14.23 , 19.09 , 0 , -9.9 , 2.25 , 4.3 , 3.01 , 2.75 , 3.31
326 , 95.97875 , -9.65361 , 96.025208 , -9.64862 , "218.49" , "-10.47" , "SWIFT J0623.9-09" , "SRC/X-RAY" , " " , 5.5 , 9.11 , 6.09 , 12.88 , -1 , -9.9 , 5.13 , 1 , 2.91 , 2.29 , 3.77
327 , 95.93792 , -32.19294 , 95.943398 , -32.216599 , "239.91" , "-19.5" , "SWIFT J0623.8-32" , "Sy2" , " " , 10.5 , 24.36 , 20.11 , 28.83 , 0.022 , 43.445 , 2.68 , 2.8 , 1.67 , 1.45 , 1.9
328 , 91.57 , -86.62647 , 91.4235 , -86.631897 , "299.19" , "-27.75" , "SWIFT J0601.9-86" , "Sy2" , " " , 13.1 , 33.6 , 29.22 , 38.16 , 0.006 , 42.461 , 2.17 , 1.3 , 1.53 , 1.36 , 1.71
329 , 95.81917 , -64.62869 , 95.782127 , -64.605667 , "274.33" , "-27.31" , "SWIFT J0623.3-64" , "Sy1" , "PMN J0623-6436" , 5.7 , 10.98 , 7.53 , 14.84 , 0.129 , 44.682 , 4.91 , 2.5 , 1.99 , 1.55 , 2.51
330 , 95.92208 , -60.95572 , 95.940002 , -60.979 , "270.25" , "-26.8" , "SWIFT J0623.9-60" , "Sy2" , " " , 13.6 , 28.12 , 24.39 , 32.03 , 0.04 , 44.027 , 2.08 , 0.4 , 1.9 , 1.72 , 2.09
331 , 96.62875 , 7.44669 , 96.612602 , 7.458 , "203.46" , "-2.11" , "SWIFT J0626.6+07" , "Galaxy" , " " , 5.3 , 16.21 , 11 , 22.02 , -1 , -9.9 , 5.31 , 1.3 , 1.83 , 1.42 , 2.31
332 , 96.64125 , -37.02828 , 96.744209 , -37.099609 , "244.96" , "-20.59" , "SWIFT J0626.6-37" , "Sy1.5" , " " , 7.4 , 11.69 , 8.09 , 15.74 , 0.039 , 43.623 , 3.81 , 0.5 , 1.94 , 1.52 , 2.42
333 , 97.6625 , 63.70772 , 98.196541 , 63.673668 , "151.32" , "21.9" , "SWIFT J0630.7+63" , "Sy1.2" , " " , 6.1 , 10.13 , 0 , 0 , 0.013 , 42.568 , 4.58 , 0.6 , 2.3 , 0 , 0
334 , 97.67292 , 11.59344 , 97.780701 , 11.4649 , "200.26" , "0.73" , "SWIFT J0630.9+11" , "on plane" , " " , 5.1 , 10.32 , 5.85 , 15.78 , 0 , -9.9 , 5.52 , 0.4 , 2.19 , 1.56 , 3.04
335 , 98.20792 , 63.71867 , 97.606544 , 63.678112 , "151.38" , "22.14" , "SWIFT J0632.8+63" , "Sy2" , " " , 6 , 11.14 , 0 , 0 , 0.041 , 43.648 , 4.68 , 0.6 , 1.66 , 0 , 0
336 , 98.77125 , 22.48178 , 98.764198 , 22.525 , "191.03" , "6.64" , "SWIFT J0635.1+22" , "Galaxy cluste" , " " , 6.1 , 11.71 , 8.46 , 15.55 , 0.068 , 44.118 , 4.58 , 0.7 , 3.06 , 2.5 , 3.83
337 , 99.14958 , 35.59378 , 99.132919 , 35.593613 , "179.19" , "12.62" , "SWIFT J0636.6+35" , "CV" , " " , 6.8 , 12.38 , 9.34 , 15.92 , 0 , -9.9 , 4.15 , 1.2 , 3.05 , 2.56 , 3.69
338 , 98.57542 , -74.74228 , 98.504578 , -74.774719 , "285.76" , "-27.23" , "SWIFT J0634.7-74" , "SRC/X-RAY" , " " , 5.5 , 10.9 , 7.4 , 14.85 , -1 , -9.9 , 5.11 , 0.2 , 1.93 , 1.5 , 2.44
339 , 98.95083 , -75.23533 , 98.943802 , -75.271301 , "286.32" , "-27.16" , "SWIFT J0635.8-75" , "Sy1" , " " , 8.7 , 17.57 , 14.01 , 21.41 , 0.651 , 46.504 , 3.24 , 0.9 , 1.93 , 1.66 , 2.22
340 , 100.0375 , -25.90392 , 100.048698 , -25.895399 , "235.23" , "-13.81" , "SWIFT J0640.4-25" , "Sy1.2" , " " , 17.9 , 37.42 , 33.35 , 41.66 , 0.025 , 43.72 , 1.59 , 0.5 , 2.05 , 1.9 , 2.2
341 , 100.35208 , 32.83583 , 100.325203 , 32.825401 , "182.18" , "12.38" , "SWIFT J0641.3+32" , "Sy2" , " " , 10.9 , 35.08 , 29.33 , 41.13 , 0.047 , 44.261 , 2.58 , 2.1 , 1.67 , 1.44 , 1.9
342 , 100.03958 , -47.64633 , 100.056602 , -47.692402 , "256.61" , "-21.5" , "SWIFT J0640.0-47" , " " , " " , 5.6 , 13.95 , 9.71 , 18.63 , -1 , -9.9 , 5.03 , 1.1 , 1.49 , 1.04 , 1.93
343 , 100.1125 , -43.34892 , 100.158302 , -43.355801 , "252.25" , "-20.13" , "SWIFT J0640.1-43" , "Sy2" , " " , 7 , 18.32 , 14.03 , 22.93 , 0.061 , 44.214 , 3.99 , 0.9 , 1.47 , 1.15 , 1.8
344 , 101.59083 , 53.08264 , 101.610802 , 53.075802 , "162.85" , "20.65" , "SWIFT J0645.9+53" , "Sy2" , " " , 5.3 , 11.83 , 7.87 , 16.28 , 0.036 , 43.547 , 5.27 , 1.2 , 1.99 , 1.55 , 2.51
345 , 103.14125 , 74.41583 , 103.051102 , 74.427101 , "140.34" , "26.13" , "SWIFT J0651.9+74" , "Sy1.5" , " " , 29.7 , 60.6 , 56.72 , 64.58 , 0.019 , 43.685 , 0.99 , 2.2 , 1.89 , 1.81 , 1.98
346 , 103.63792 , 7.06322 , 103.641197 , 7.0533 , "206.98" , "3.9" , "SWIFT J0654.6+07" , " " , " " , 6.9 , 17.98 , 13.07 , 23.43 , -1 , -9.9 , 4.09 , 0.3 , 2.04 , 1.66 , 2.48
347 , 103.92583 , 39.97514 , 103.956398 , 40.000198 , "176.51" , "17.79" , "SWIFT J0655.8+39" , "Sy1.5" , " " , 8.7 , 21.38 , 16.86 , 26.27 , 0.017 , 43.15 , 3.22 , 1.3 , 2.02 , 1.74 , 2.35
348 , 104.09083 , -49.31564 , 104.049835 , -49.330555 , "259.2" , "-19.48" , "SWIFT J0656.4-49" , "Sy2" , " " , 5.6 , 12.17 , 8.33 , 16.49 , 0.041 , 43.679 , 4.97 , 0.6 , 1.73 , 1.28 , 2.22
349 , 104.58125 , -7.19814 , 104.571999 , -7.2098 , "220.12" , "-1.76" , "SWIFT J0658.3-07" , "HMXB / pulsar" , " " , 57.3 , 87.2 , 84.4 , 90.05 , 0 , -9.9 , 0.57 , 9.2 , 3.38 , 3.3 , 3.45
350 , 104.83583 , 24.1025 , 104.794502 , 24.0278 , "191.99" , "12.37" , "SWIFT J0659.3+24" , "Galaxy" , " " , 5.1 , 12.08 , 7.61 , 17.38 , -1 , -9.9 , 5.51 , 0.8 , 2.09 , 1.53 , 2.75
351 , 104.62042 , -55.9365 , 104.621696 , -55.952801 , "266.01" , "-21.26" , "SWIFT J0658.5-55" , "Galaxy Cluste" , " " , 5 , 8.04 , 5.29 , 11.31 , 0.296 , 45.352 , 5.58 , 0.7 , 2.56 , 2.01 , 3.33
352 , 105.30958 , -32.60481 , 105.292702 , -32.581402 , "243.44" , "-12.34" , "SWIFT J0701.3-32" , "Galaxy" , "6dF J0701103-3" , 4.9 , 7.5 , 4.57 , 11.03 , 0.044 , 43.528 , 5.76 , 1 , 2.38 , 1.82 , 3.12
353 , 106.09667 , 26.42122 , 106.032913 , 26.416945 , "190.29" , "14.35" , "SWIFT J0704.4+26" , "CV/DQ Her" , " " , 5.1 , 10.94 , 6.62 , 16.16 , -1 , -9.9 , 5.46 , 2.4 , 2.23 , 1.62 , 3.02
354 , 106.83 , 64.58808 , 106.804741 , 64.599739 , "151.37" , "25.99" , "SWIFT J0707.1+64" , "Sy1.0" , " " , 5.5 , 12.61 , 8.57 , 17.11 , 0.08 , 44.295 , 5.13 , 1.3 , 1.76 , 1.34 , 2.24
355 , 106.72542 , 3.39469 , 106.703201 , 3.413 , "211.66" , "4.98" , "SWIFT J0706.8+03" , "SRC/X-ray" , " " , 5.3 , 10.14 , 6.39 , 14.78 , -1 , -9.9 , 5.34 , 0.7 , 2.56 , 1.95 , 3.4
356 , 107.57875 , 59.13439 , 107.625298 , 59.139 , "157.4" , "25.4" , "SWIFT J0710.3+59" , "BL Lac" , " " , 13.2 , 23.18 , 19.68 , 26.93 , 0.125 , 44.977 , 2.14 , 3 , 2.26 , 2.04 , 2.49
357 , 107.315 , -15.45336 , 107.301147 , -15.450087 , "228.69" , "-3.15" , "SWIFT J0709.3-15" , "SRC/RADIO" , " " , 6.5 , 11.05 , 7.8 , 14.89 , -1 , -9.9 , 4.34 , 1.3 , 2.77 , 2.25 , 3.5
358 , 107.23042 , -46.68436 , 107.180298 , -46.713699 , "257.39" , "-16.58" , "SWIFT J0709.0-46" , "Sy2" , " " , 7.1 , 13.75 , 10.29 , 17.58 , 0.047 , 43.853 , 3.94 , 1 , 1.98 , 1.63 , 2.36
359 , 107.33333 , -36.02922 , 107.308708 , -36.022701 , "247.34" , "-12.25" , "SWIFT J0709.4-35" , "Radio Galaxy" , " " , 8.9 , 19.81 , 15.84 , 24.07 , 0.111 , 44.796 , 3.17 , 1.4 , 1.79 , 1.52 , 2.07
360 , 108.5525 , 45.67225 , 108.562798 , 45.698799 , "171.9" , "22.82" , "SWIFT J0714.3+45" , "Sy1.5" , " " , 4.9 , 8.7 , 5.41 , 12.53 , 0.056 , 43.813 , 5.68 , 1.2 , 2.3 , 1.79 , 2.96
361 , 108.545 , 35.29247 , 108.516083 , 35.279278 , "182.49" , "19.59" , "SWIFT J0714.2+35" , "Sy2" , " " , 6.1 , 16.71 , 11.97 , 21.93 , 0.016 , 42.966 , 4.61 , 1.1 , 1.7 , 1.34 , 2.1
362 , 108.69542 , -25.34317 , 108.687836 , -25.346071 , "238.12" , "-6.52" , "SWIFT J0714.7-25" , " " , " " , 7.4 , 19.11 , 14.68 , 23.92 , -1 , -9.9 , 3.81 , 0.6 , 1.72 , 1.41 , 2.05
363 , 109.52042 , 44.06561 , 109.502403 , 44.0909 , "173.78" , "23.03" , "SWIFT J0718.1+44" , "Sy1.5" , " " , 11.3 , 24.51 , 20.33 , 28.97 , 0.061 , 44.347 , 2.5 , 2.4 , 2.02 , 1.79 , 2.27
364 , 109.41 , -21.93547 , 109.450996 , -21.8836 , "235.37" , "-4.37" , "SWIFT J0717.8-21" , "in plane" , " " , 5.5 , 7.86 , 5.29 , 10.94 , 0 , -9.9 , 5.11 , 0.9 , 2.96 , 2.37 , 3.8
365 , 110.97458 , -8.06414 , 110.970703 , -8.1041 , "223.82" , "3.46" , "SWIFT J0723.8-08" , "SRC/X-RAY" , " " , 5.5 , 15.79 , 10.51 , 21.69 , 0 , -9.9 , 5.1 , 1 , 1.58 , 1.1 , 2.1
366 , 111.45 , 29.99867 , 111.405701 , 29.9541 , "188.66" , "20.06" , "SWIFT J0725.8+30" , "Radio galaxy" , " " , 4.8 , 9.97 , 5.93 , 14.71 , 0.019 , 42.903 , 5.81 , 1 , 2.15 , 1.6 , 2.87
367 , 111.43208 , -0.90753 , 111.460999 , -0.9157 , "217.67" , "7.2" , "SWIFT J0725.7-00" , "Bl Lac" , " " , 4.9 , 16.59 , 11.19 , 22.49 , 0.128 , 44.854 , 5.69 , 1.8 , 1.45 , 1.03 , 1.89
368 , 111.6775 , 36.99958 , 111.647247 , 37.000751 , "181.63" , "22.54" , "SWIFT J0726.5+36" , "QSO, Sy1" , " " , 5.3 , 10.88 , 7.17 , 15.23 , 0.19 , 45.047 , 5.26 , 1 , 2.28 , 1.78 , 2.92
369 , 111.64542 , -35.897 , 111.609795 , -35.906029 , "248.77" , "-9.05" , "SWIFT J0726.6-35" , "Sy2" , " " , 8.2 , 23.35 , 18.82 , 28.13 , 0.029 , 43.666 , 3.41 , 1.3 , 1.43 , 1.17 , 1.69
370 , 111.85125 , -24.13906 , 111.895103 , -24.103901 , "238.38" , "-3.42" , "SWIFT J0727.4-24" , "Sy1.9" , " " , 8.4 , 20.21 , 15.57 , 25.25 , 0.123 , 44.903 , 3.34 , 1.1 , 1.79 , 1.46 , 2.14
371 , 112.20042 , -26.09125 , 112.223297 , -26.108101 , "240.25" , "-4.07" , "SWIFT J0728.8-26" , "HMXB/NS" , "V441 Pup" , 17 , 23.02 , 20.58 , 25.63 , 0 , -9.9 , 1.68 , 2.1 , 3.31 , 3.07 , 3.58
372 , 112.89958 , 9.91989 , 112.870796 , 9.9396 , "208.51" , "13.37" , "SWIFT J0731.5+09" , "CV/DQ Her" , "3A 0729+103" , 14.2 , 22.82 , 20 , 25.88 , 0 , -9.9 , 2 , 1 , 3.36 , 3.08 , 3.7
373 , 113.2625 , 45.9585 , 113.2883 , 45.9184 , "172.5" , "26.07" , "SWIFT J0733.2+45" , "Sy1 QSO" , "2MASSi J073309" , 5.1 , 10.44 , 6.75 , 14.67 , 0.141 , 44.747 , 5.5 , 1.4 , 2.09 , 1.61 , 2.7
374 , 113.52292 , 51.90214 , 113.361702 , 51.898899 , "166.01" , "27.41" , "SWIFT J0733.9+51" , "Galaxy" , " " , 4.9 , 6.11 , 3.33 , 10.28 , -1 , -9.9 , 5.69 , 1.2 , 2.81 , 1.85 , 4.4
375 , 113.16375 , -13.52369 , 113.156303 , -13.5178 , "229.65" , "2.75" , "SWIFT J0732.5-13" , "CV/DQ Her" , "SWIFT J0732.5-" , 16.4 , 27.48 , 24.1 , 31.09 , 0 , -9.9 , 1.74 , 1.9 , 2.67 , 2.47 , 2.9
376 , 114.24583 , 58.78819 , 114.237411 , 58.770397 , "158.34" , "28.75" , "SWIFT J0736.9+58" , "Sy1.5" , " " , 4.9 , 8.63 , 5.59 , 11.96 , 0.04 , 43.505 , 5.72 , 3.6 , 2.21 , 1.78 , 2.77
377 , 115.56417 , 80.40603 , 115.755333 , 80.440636 , "133.62" , "28.83" , "SWIFT J0742.3+80" , "Sy1i/RADIO GA" , " " , 5.4 , 12.17 , 8.2 , 16.6 , 0.118 , 44.645 , 5.15 , 0.7 , 1.6 , 1.16 , 2.07
378 , 114.93375 , -31.70456 , 114.936165 , -31.717361 , "246.34" , "-4.67" , "SWIFT J0739.7-31" , "Sy2" , " " , 12.1 , 26.72 , 22.54 , 31.13 , 0.026 , 43.608 , 2.33 , 0.5 , 1.81 , 1.6 , 2.03
379 , 115.75875 , 65.20939 , 115.673882 , 65.177071 , "151.03" , "29.82" , "SWIFT J0743.0+65" , "Sy2" , " " , 4.9 , 10.74 , 6.73 , 15.39 , 0.037 , 43.537 , 5.66 , 0.9 , 1.74 , 1.2 , 2.33
380 , 115.65458 , 49.803 , 115.636703 , 49.8097 , "168.61" , "28.39" , "SWIFT J0742.5+49" , "Sy1.2" , " " , 22.8 , 46.57 , 42.6 , 50.67 , 0.022 , 43.716 , 1.27 , 1.8 , 2.04 , 1.92 , 2.16
381 , 115.33125 , -54.75917 , 115.288399 , -54.796101 , "267.21" , "-15.17" , "SWIFT J0741.4-54" , "Galaxy" , " " , 5.4 , 11.51 , 7.62 , 15.88 , -1 , -9.9 , 5.16 , 1.1 , 1.89 , 1.4 , 2.49
382 , 116.00583 , 29.23639 , 116.029625 , 29.249277 , "190.88" , "23.53" , "SWIFT J0744.0+29" , "Sy2, no X-ray" , " " , 6.8 , 16.98 , 12.66 , 21.75 , 0.016 , 42.985 , 4.1 , 1.4 , 1.97 , 1.64 , 2.34
383 , 115.79792 , -25.78831 , 115.811401 , -25.763901 , "241.56" , "-1.09" , "SWIFT J0743.3-25" , "Sy1.2" , " " , 10.1 , 20.7 , 16.64 , 25.08 , 0.023 , 43.396 , 2.78 , 0.6 , 2.12 , 1.84 , 2.44
384 , 116.85375 , 60.91206 , 116.871399 , 60.933498 , "156.01" , "30.2" , "SWIFT J0747.5+60" , "Sy1.2" , " " , 7.9 , 14.8 , 11.3 , 18.65 , 0.029 , 43.463 , 3.55 , 1.7 , 2.07 , 1.76 , 2.43
385 , 116.60708 , 25.80728 , 116.607803 , 25.817301 , "194.59" , "22.88" , "SWIFT J0746.3+25" , "Blazar" , "SDSS J074625.8" , 13.1 , 48.89 , 42.81 , 55.19 , 2.979 , 48.57 , 2.16 , 0.6 , 1.34 , 1.17 , 1.52
386 , 116.59375 , -16.19061 , 116.57 , -16.1908 , "233.61" , "4.34" , "SWIFT J0746.3-16" , "SRC/X-RAY" , " " , 9.8 , 15.49 , 12.38 , 18.96 , -1 , -9.9 , 2.89 , 0.7 , 2.83 , 2.48 , 3.27
387 , 119.04917 , 83.96878 , 119.555 , 83.943604 , "129.53" , "28.65" , "SWIFT J0755.4+84" , "SRC/X-RAY" , "IRAS F07463+84" , 5.1 , 8.1 , 4.44 , 12.64 , -1 , -9.9 , 5.45 , 1.9 , 2.14 , 1.4 , 3.25
388 , 116.81083 , -19.34106 , 116.880524 , -19.29443 , "236.44" , "2.94" , "SWIFT J0747.2-19" , "Galaxy Cluste" , " " , 6 , 7.27 , 5.64 , 9.1 , 0.103 , 44.291 , 4.71 , 1.2 , 4.91 , 3.99 , 6.33
389 , 117.39792 , -32.246 , 117.383202 , -32.259899 , "247.85" , "-3.12" , "SWIFT J0749.7-32" , "SRC/X-RAY" , " " , 5.8 , 8.1 , 5.46 , 11.42 , -1 , -9.9 , 4.86 , 1.2 , 2.84 , 2.22 , 3.68
390 , 116.88833 , -73.43939 , 116.909836 , -73.431442 , "285.57" , "-22.07" , "SWIFT J0747.6-73" , "Galaxy" , " " , 6.8 , 14.23 , 10.63 , 18.17 , 0.037 , 43.648 , 4.16 , 0.7 , 1.87 , 1.54 , 2.23
391 , 117.79917 , 14.75442 , 117.822502 , 14.7402 , "206.03" , "19.75" , "SWIFT J0750.9+14" , "CV/DQ Her" , "RX J0751.2+144" , 18.1 , 31.32 , 28.08 , 34.76 , 0 , -9.9 , 1.57 , 2.6 , 2.9 , 2.71 , 3.1
392 , 117.14042 , -67.75636 , 117.138802 , -67.75 , "279.98" , "-19.82" , "SWIFT J0748.8-67" , "LMXB/NS" , "UY Vol" , 141.1 , 244.6 , 241.1 , 248 , 0 , -9.9 , 0.36 , 10.2 , 2.22 , 2.2 , 2.24
393 , 118.10167 , 19.61508 , 118.074333 , 19.595083 , "201.37" , "21.93" , "SWIFT J0752.2+19" , "QSO, Sy1" , " " , 6.8 , 15.71 , 11.38 , 20.55 , 0.117 , 44.748 , 4.14 , 0.4 , 2.09 , 1.72 , 2.52
394 , 118.27417 , 45.97775 , 118.184158 , 45.949272 , "173.25" , "29.49" , "SWIFT J0753.1+45" , "Sy1" , "1RXS J075243.6" , 5.7 , 15.41 , 10.93 , 20.35 , 0.052 , 43.991 , 4.96 , 0.9 , 1.58 , 1.19 , 1.99
395 , 119.07333 , -41.62206 , 119.081703 , -41.628399 , "256.64" , "-6.73" , "SWIFT J0756.3-41" , "Sy2" , "IGR J07565-413" , 5.4 , 10.54 , 6.78 , 14.9 , 0.021 , 43.023 , 5.17 , 0.7 , 2.05 , 1.55 , 2.7
396 , 119.9575 , 23.38889 , 119.972801 , 23.3901 , "198.22" , "24.9" , "SWIFT J0800.5+23" , "Sy2" , "CGCG 118-036" , 11.9 , 34.54 , 29.31 , 40.03 , 0.029 , 43.829 , 2.36 , 0.2 , 1.7 , 1.5 , 1.91
397 , 120.08542 , 26.63261 , 120.087402 , 26.613501 , "194.88" , "26.1" , "SWIFT J0800.1+26" , "Sy1" , " " , 12.1 , 32.16 , 27.24 , 37.34 , 0.027 , 43.725 , 2.32 , 0.1 , 1.81 , 1.6 , 2.02
398 , 119.94458 , -38.74506 , 119.924248 , -38.73222 , "254.51" , "-4.68" , "SWIFT J0759.8-38" , "Sy1.2" , "IGR J07597-384" , 25.9 , 50.64 , 46.76 , 54.63 , 0.04 , 44.276 , 1.12 , 0.9 , 2.05 , 1.95 , 2.16
399 , 120.12333 , -43.12175 , 120.167297 , -43.185299 , "258.34" , "-6.84" , "SWIFT J0800.7-43" , " " , " " , 5.4 , 6.54 , 3.91 , 9.96 , -1 , -9.9 , 5.18 , 1 , 2.8 , 2.07 , 3.93
400 , 120.46875 , -49.76944 , 120.491699 , -49.776699 , "264.23" , "-10.04" , "SWIFT J0801.9-49" , "Sy1.5" , " " , 10.6 , 21.27 , 17.66 , 25.12 , 0.041 , 43.91 , 2.65 , 1.2 , 2.05 , 1.82 , 2.3
401 , 120.87 , 8.70383 , 120.864098 , 8.6978 , "213.21" , "19.93" , "SWIFT J0803.4+08" , "Sy1" , " " , 7.9 , 17.32 , 13.27 , 21.74 , 0.047 , 43.951 , 3.55 , 1.7 , 2.25 , 1.93 , 2.62
402 , 121.30708 , 61.75331 , 121.325745 , 61.739918 , "155.03" , "32.34" , "SWIFT J0805.2+61" , "QSO" , " " , 7.1 , 20.6 , 15.82 , 25.72 , 3.033 , 48.214 , 3.94 , 0.4 , 1.36 , 1.03 , 1.69
403 , 121.03792 , 5.10125 , 121.024399 , 5.1138 , "216.71" , "18.48" , "SWIFT J0804.2+05" , "Sy2" , "Phoenix galaxy" , 23 , 54.44 , 49.85 , 59.18 , 0.014 , 43.347 , 1.25 , 2.6 , 2.05 , 1.94 , 2.17
404 , 121.16167 , 10.76656 , 121.193253 , 10.776722 , "211.36" , "21.08" , "SWIFT J0804.6+10" , "Sy2Sy1 Galaxy" , " " , 5.5 , 15.22 , 9.99 , 21.12 , 0.034 , 43.62 , 5.12 , 1.2 , 1.71 , 1.21 , 2.25
405 , 121.27125 , -1.17122 , 121.220802 , -1.1466 , "222.63" , "15.76" , "SWIFT J0805.1-01" , "XBONG" , " " , 4.8 , 13.32 , 8.13 , 19.19 , 0.092 , 44.45 , 5.78 , 0.6 , 1.61 , 1.06 , 2.22
406 , 122.72542 , 76.0315 , 122.744003 , 76.044998 , "138.29" , "31.03" , "SWIFT J0810.9+76" , "Sy1" , "PG 0804+761" , 10.1 , 14.72 , 11.74 , 18.02 , 0.1 , 44.572 , 2.79 , 0.5 , 2.44 , 2.14 , 2.8
407 , 121.97125 , 38.98847 , 121.920982 , 39.004215 , "181.78" , "30.89" , "SWIFT J0807.9+38" , "Sy2" , " " , 5 , 9.65 , 6 , 13.94 , 0.023 , 43.073 , 5.59 , 1.2 , 2.07 , 1.56 , 2.7
408 , 123.12417 , -40.04914 , 123.063301 , -40.060001 , "256.93" , "-3.3" , "SWIFT J0812.3-40" , "SRC/X-RAY" , " " , 5 , 11.14 , 7.21 , 15.58 , -1 , -9.9 , 5.66 , 1 , 1.81 , 1.34 , 2.32
409 , 123.57917 , 4.36514 , 123.605499 , 4.342444 , "218.63" , "20.4" , "SWIFT J0814.3+04" , "Sy1" , " " , 8.9 , 20.88 , 16.14 , 26.01 , 0.033 , 43.721 , 3.14 , 0.7 , 1.88 , 1.59 , 2.2
410 , 124.41792 , 2.80269 , 124.455002 , 2.849917 , "220.52" , "20.42" , "SWIFT J0817.8+02" , "Sy1" , " " , 6.1 , 13.18 , 8.92 , 18.04 , 0.106 , 44.578 , 4.62 , 0.5 , 2.06 , 1.62 , 2.58
411 , 124.56958 , 1.38261 , 124.560997 , 1.374 , "221.93" , "19.88" , "SWIFT J0818.1+01" , "Sy1.8" , " " , 7.9 , 21.59 , 16.57 , 27.01 , 0.089 , 44.631 , 3.55 , 0.8 , 1.71 , 1.4 , 2.03
412 , 124.72417 , -22.87311 , 124.740997 , -22.877001 , "243.36" , "7.36" , "SWIFT J0819.2-22" , "Sy1" , " " , 4.8 , 12.06 , 7.29 , 17.6 , 0.035 , 43.523 , 5.83 , 1.8 , 1.77 , 1.16 , 2.48
413 , 125.1375 , -28.078 , 125.140419 , -28.0825 , "247.91" , "4.76" , "SWIFT J0820.6-28" , "SRC/X-RAY" , " " , 6.7 , 12.86 , 9.21 , 16.99 , -1 , -9.9 , 4.21 , 0.4 , 2.25 , 1.83 , 2.75
414 , 125.75125 , -4.91258 , 125.754601 , -4.9349 , "228.33" , "17.81" , "SWIFT J0823.4-04" , "Sy2" , " " , 17 , 46.43 , 41.25 , 51.81 , 0.022 , 43.7 , 1.68 , 1.3 , 1.69 , 1.54 , 1.84
415 , 126.525 , -70.58669 , 126.5979 , -70.528297 , "284.24" , "-18.15" , "SWIFT J0826.2-70" , "CV" , "1ES 0826-703" , 6.4 , 7.72 , 5.57 , 10.27 , -1 , -9.9 , 4.37 , 0.8 , 3.11 , 2.56 , 3.87
416 , 127.45792 , 41.90258 , 127.42775 , 41.910194 , "179.12" , "35.47" , "SWIFT J0830.1+41" , "Sy1" , " " , 6.1 , 13.03 , 9.11 , 17.44 , 0.126 , 44.737 , 4.59 , 0.5 , 1.94 , 1.53 , 2.41
417 , 128.15583 , 37.13081 , 128.106003 , 37.126999 , "185.01" , "35.34" , "SWIFT J0832.5+37" , "Sy1.2" , " " , 8.8 , 16.5 , 12.49 , 20.96 , 0.092 , 44.543 , 3.2 , 0.6 , 2.04 , 1.7 , 2.43
418 , 127.60625 , -67.38125 , 127.568916 , -67.424751 , "281.61" , "-16.13" , "SWIFT J0830.4-67" , "Sy1.8" , " " , 4.9 , 7.97 , 5.02 , 11.43 , 0.035 , 43.348 , 5.74 , 0.5 , 2.33 , 1.8 , 3.03
