_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
35 , 0FGL J0428.7-3755 , CGRaBS J0428-3756 , 67.19292 , -37.923 , 240.68 , -43.6 , 39.6 , F , (21.1+/-1.6)10^-8 , BL Lac , 4.8
36 , 0FGL J0449.7-4348 , CRATES J0449-4350 , 72.43458 , -43.81497 , 248.77 , -39.87 , 28.4 , F , (10.9+/-1.4)10^-8 , BL Lac , 4.9
37 , 0FGL J0457.1-2325 , CGRaBS J0457-2324 , 74.28792 , -23.432 , 223.73 , -34.89 , 52.3 , T , (34+/-1.8)10^-8 , FSRQ , 3.9
38 , 0FGL J0507.9+6739 , BZB J0507+6737 , 76.985 , 67.65 , 143.77 , 15.9 , 13.2 , F , < 5.410^-8 , BL Lac , 3.5
39 , 0FGL J0516.2-6200 , CGRaBS J0516-6207 , 79.06292 , -62 , 271.37 , -34.84 , 11.2 , F , < 110^-7 , Blazar uncertain type , 10.9
40 , 0FGL J0531.0+1331 , CGRaBS J0530+1331 , 82.76083 , 13.528 , 191.38 , -11 , 17.3 , T , (22.9+/-2.1)10^-8 , FSRQ , 8
41 , 0FGL J0534.6+2201 , PSR J0534+2200 , 83.65292 , 22.022 , 184.56 , -5.77 , 139.2 , F , (204+/-9.2)10^-8 , Pulsar , 2.8
42 , 0FGL J0538.8-4403 , CRATES J0538-4405 , 84.72458 , -44.062 , 250.05 , -31.08 , 48.6 , T , (31.7+/-1.8)10^-8 , BL Lac , 4.4
43 , 0FGL J0538.4-6856 , LMC , 84.61167 , -68.94 , 279.27 , -31.72 , 17.8 , F , (19.1+/-2.6)10^-8 , Unidentified , 19.5
44 , 0FGL J0613.9-0202 , PSR J0613-0200 , 93.485 , -2.047 , 210.46 , -9.28 , 10 , F , (6.8+/-2.3)10^-8 , Pulsar , 10.5
45 , 0FGL J0614.3-3330 , UNDEFINED , 93.57667 , -33.5 , 240.51 , -21.81 , 28.9 , F , (54+/-2)10^-9 , Unidentified , 5
46 , 0FGL J0617.4+2234 , UNDEFINED , 94.35583 , 22.568 , 189.07 , 3.06 , 50.7 , F , (43.1+/-2.5)10^-8 , SNR/PWN see paper , 3.8
47 , 0FGL J0631.8+1034 , PSR J0631+1036 , 97.955 , 10.57 , 201.3 , 0.5 , 10.4 , F , (6.9+/-3)10^-8 , Pulsar , 9.1
48 , 0FGL J0633.5+0634 , LAT PSR J0633+06 , 98.38667 , 6.578 , 205.04 , -0.96 , 23.4 , F , (18.9+/-2.5)10^-8 , Pulsar , 6.4
49 , 0FGL J0634.0+1745 , PSR J0633+1746 , 98.50292 , 17.76 , 195.15 , 4.28 , 283.2 , F , (286+/-3.8)10^-8 , Pulsar , 2.6
50 , 0FGL J0643.2+0858 , UNDEFINED , 100.82292 , 8.983 , 204 , 2.29 , 15.7 , T , (22.2+/-2.8)10^-8 , Unidentified , 7.3
51 , 0FGL J0654.3+5042 , CGRaBS J0654+5042 , 103.59167 , 50.711 , 165.67 , 21.1 , 15.6 , T , (4.3+/-1.2)10^-8 , Blazar uncertain type , 5
52 , 0FGL J0654.3+4513 , CGRaBS J0654+4514 , 103.58958 , 45.22 , 171.22 , 19.37 , 29.2 , T , (19.1+/-1.6)10^-8 , FSRQ , 4.5
53 , 0FGL J0700.0-6611 , CRATES J0700-6610 , 105.01583 , -66.19897 , 276.77 , -23.82 , 10.1 , F , < 3.510^-8 , Blazar uncertain type , 10.9
54 , 0FGL J0712.9+5034 , CGRaBS J0712+5033 , 108.23083 , 50.575 , 166.68 , 23.9 , 11.2 , T , (30+/-7)10^-9 , BL Lac , 8.8
55 , 0FGL J0714.2+1934 , CLASS J0713+1935 , 108.55167 , 19.574 , 197.68 , 13.64 , 15 , T , (9.5+/-1.6)10^-8 , FSRQ , 7.7
56 , 0FGL J0719.4+3302 , CRATES J0719+3307 , 109.86875 , 33.037 , 185.13 , 19.85 , 12.3 , T , (7.1+/-1.5)10^-8 , FSRQ , 8.5
57 , 0FGL J0722.0+7120 , CGRaBS J0721+7120 , 110.50792 , 71.34797 , 143.97 , 28.03 , 34.4 , T , (15.5+/-1.6)10^-8 , BL Lac , 4.8
58 , 0FGL J0730.4-1142 , BZQ J0730-1141 , 112.60667 , -11.707 , 227.79 , 3.15 , 28.9 , T , (26.2+/-2.2)10^-8 , FSRQ , 4.9
