_id , fermibsl_name , other_name , RA , Dec , LII , BII , Sqrt(TS) , Variability Flag , Gamma flux ph/cm2/s , Source classification , 95% conf. radius 
153 , 0FGL J1826.3-1451 , LS 5039 , 276.595 , -14.86 , 16.88 , -1.33 , 18.1 , F , < 6.810^-7 , HMXRB , 6.5
154 , 0FGL J1830.3+0617 , UNDEFINED , 277.58292 , 6.287 , 36.15 , 7.54 , 12.8 , T , < 1.710^-7 , Unidentified , 5.8
155 , 0FGL J1833.4-2106 , BZQ J1833-2103 , 278.36958 , -21.103 , 12.1 , -5.7 , 21 , F , (39+/-3.4)10^-8 , FSRQ , 7
156 , 0FGL J1834.4-0841 , UNDEFINED , 278.61667 , -8.693 , 23.26 , -0.22 , 11.7 , F , (44.6+/-4.1)10^-8 , SNR/PWN see paper , 6
157 , 0FGL J1836.1-0727 , UNDEFINED , 279.04083 , -7.46 , 24.55 , -0.03 , 10.4 , F , (25.8+/-3.6)10^-8 , Unidentified , 13
158 , 0FGL J1836.2+5924 , LAT PSR J1836+5925 , 279.05583 , 59.40597 , 88.85 , 24.99 , 98 , F , (44.4+/-1.7)10^-8 , Pulsar , 3.2
159 , 0FGL J1839.0-0549 , UNDEFINED , 279.775 , -5.826 , 26.34 , 0.07 , 22.2 , F , (51.5+/-3.5)10^-8 , Unidentified , 7.1
160 , 0FGL J1844.1-0335 , UNDEFINED , 281.03583 , -3.589 , 28.9 , -0.02 , 10.1 , F , (2.5+/-1.2)10^-7 , Unidentified , 8.9
161 , 0FGL J1847.8+3223 , CGRaBS J1848+3219 , 281.95458 , 32.385 , 62.06 , 14.83 , 16 , T , (88+/-6)10^-9 , FSRQ , 10.7
162 , 0FGL J1848.6-0138 , UNDEFINED , 282.15667 , -1.64 , 31.15 , -0.13 , 11.9 , F , (27.2+/-3.6)10^-8 , Unidentified , 9.6
163 , 0FGL J1849.4+6706 , CGRaBS J1849+6705 , 282.365 , 67.10197 , 97.5 , 25.02 , 28 , T , (13.8+/-1.5)10^-8 , FSRQ , 5.4
164 , 0FGL J1855.9+0126 , UNDEFINED , 283.98458 , 1.435 , 34.72 , -0.35 , 39 , F , (88.9+/-3.4)10^-8 , SNR/PWN see paper , 4.7
165 , 0FGL J1900.0+0356 , UNDEFINED , 285.00875 , 3.946 , 37.42 , -0.11 , 11.6 , F , (46.6+/-3.8)10^-8 , Unidentified , 17.4
166 , 0FGL J1907.5+0602 , LAT PSR J1907+06 , 286.89375 , 6.034 , 40.13 , -0.83 , 25.9 , F , (47.1+/-3.3)10^-8 , Pulsar , 4.6
167 , 0FGL J1911.2-2011 , CGRaBS J1911-2006 , 287.81292 , -20.186 , 16.81 , -13.27 , 20 , T , (179+/-8)10^-9 , FSRQ , 7.7
168 , 0FGL J1911.0+0905 , UNDEFINED , 287.76083 , 9.087 , 43.24 , -0.18 , 17 , F , (32.6+/-4.9)10^-8 , SNR/PWN see paper , 4.1
169 , 0FGL J1923.3-2101 , CGRaBS J1923-2104 , 290.83958 , -21.031 , 17.2 , -16.2 , 16.4 , T , (106+/-6)10^-9 , FSRQ , 7.8
170 , 0FGL J1923.0+1411 , UNDEFINED , 290.76792 , 14.191 , 49.13 , -0.4 , 23 , F , (40.9+/-4.9)10^-8 , SNR/PWN see paper , 4.8
171 , 0FGL J1953.2+3249 , PSR J1952+3252 , 298.325 , 32.818 , 68.74 , 2.73 , 18 , F , (13.6+/-2.8)10^-8 , Pulsar , 5.3
172 , 0FGL J1954.4+2838 , UNDEFINED , 298.61375 , 28.649 , 65.3 , 0.37 , 11.3 , F , < 2.310^-7 , SNR/PWN see paper , 6.6
173 , 0FGL J1958.1+2848 , LAT PSR J1958+28 , 299.53083 , 28.803 , 65.84 , -0.24 , 10.5 , F , < 1.610^-7 , Pulsar , 6.8
174 , 0FGL J2001.0+4352 , UNDEFINED , 300.27167 , 43.871 , 79.04 , 7.12 , 13.3 , F , < 9.510^-8 , Unidentified , 4.1
175 , 0FGL J2000.2+6506 , CGRaBS J1959+6508 , 300.05292 , 65.105 , 97.97 , 17.63 , 15.8 , F , (2.9+/-1.3)10^-8 , BL Lac , 4.6
176 , 0FGL J2009.4-4850 , CGRaBS J2009-4849 , 302.36292 , -48.84297 , 350.36 , -32.61 , 10.9 , F , (25+/-6)10^-9 , BL Lac , 7.9
177 , 0FGL J2017.2+0602 , CLASS J2017+0603 , 304.30167 , 6.048 , 48.59 , -16 , 12.7 , F , < 4.210^-8 , Blazar uncertain type , 7.4
178 , 0FGL J2020.8+3649 , PSR J2021+3651 , 305.22292 , 36.83 , 75.18 , 0.13 , 46.6 , F , (73.9+/-3.9)10^-8 , Pulsar , 3.6
179 , 0FGL J2021.5+4026 , LAT PSR J2021+4026 , 305.39792 , 40.43897 , 78.22 , 2.07 , 69.6 , F , (124+/-5.1)10^-8 , Pulsar , 3.2
180 , 0FGL J2025.6-0736 , CRATES J2025-0735 , 306.41458 , -7.611 , 36.88 , -24.39 , 50.6 , T , (40.8+/-2)10^-8 , FSRQ , 4.6
181 , 0FGL J2027.5+3334 , UNDEFINED , 306.88167 , 33.574 , 73.29 , -2.85 , 11.2 , F , < 1.510^-7 , Unidentified , 7.1
182 , 0FGL J2032.2+4122 , LAT PSR J2032+41 , 308.05792 , 41.376 , 80.16 , 0.97 , 23.9 , F , (51.3+/-4.7)10^-8 , Pulsar , 5.1
183 , 0FGL J2056.1-4715 , CGRaBS J2056-4714 , 314.03375 , -47.252 , 352.58 , -40.36 , 12.5 , F , (10.4+/-1.7)10^-8 , FSRQ , 14.3
184 , 0FGL J2055.5+2540 , UNDEFINED , 313.89458 , 25.673 , 70.65 , -12.48 , 17.3 , F , (54+/-8)10^-9 , Unidentified , 7.8
185 , 0FGL J2110.8+4608 , UNDEFINED , 317.70167 , 46.137 , 88.26 , -1.35 , 10.7 , F , (10.5+/-3.3)10^-8 , Unidentified , 10.3
186 , 0FGL J2124.7-3358 , PSR J2124-3358 , 321.18583 , -33.98097 , 10.92 , -45.45 , 14.3 , F , (3.5+/-1.3)10^-8 , Pulsar , 8.6
187 , 0FGL J2139.4-4238 , CRATES J2139-4235 , 324.86458 , -42.642 , 358.23 , -48.34 , 20.1 , F , (6.9+/-1.3)10^-8 , BL Lac , 5.8
188 , 0FGL J2143.2+1741 , CGRaBS J2143+1743 , 325.80667 , 17.688 , 72.01 , -26.05 , 14.5 , F , (11.5+/-1.7)10^-8 , FSRQ , 12.9
189 , 0FGL J2147.1+0931 , CGRaBS J2147+0929 , 326.77667 , 9.519 , 65.8 , -32.24 , 19.9 , T , (16+/-1.6)10^-8 , FSRQ , 8.2
190 , 0FGL J2157.5+3125 , CGRaBS J2157+3127 , 329.38375 , 31.431 , 84.74 , -18.26 , 10 , F , (6.9+/-1.5)10^-8 , FSRQ , 20.6
191 , 0FGL J2158.8-3014 , CGRaBS J2158-3013 , 329.70375 , -30.237 , 17.71 , -52.24 , 43.9 , T , (16+/-1.4)10^-8 , BL Lac , 3.8
192 , 0FGL J2202.4+4217 , BZB J2202+4216 , 330.62167 , 42.299 , 92.56 , -10.4 , 12.3 , F , (7.4+/-2)10^-8 , BL Lac , 9.6
193 , 0FGL J2203.2+1731 , CGRaBS J2203+1725 , 330.81458 , 17.532 , 75.71 , -29.53 , 12.7 , T , (7.8+/-1.6)10^-8 , FSRQ , 11.2
194 , 0FGL J2207.0-5347 , CGRaBS J2207-5346 , 331.765 , -53.786 , 339.94 , -49.84 , 12.4 , T , (10.8+/-1.8)10^-8 , FSRQ , 13.4
195 , 0FGL J2214.8+3002 , UNDEFINED , 333.70458 , 30.049 , 86.91 , -21.66 , 11.9 , F , < 4.210^-8 , Unidentified , 9.1
196 , 0FGL J2229.8-0829 , CGRaBS J2229-0832 , 337.45167 , -8.495 , 55.32 , -51.71 , 16.8 , F , (117+/-4)10^-9 , FSRQ , 11.1
197 , 0FGL J2229.0+6114 , PSR J2229+6114 , 337.25667 , 61.24 , 106.64 , 2.95 , 32.8 , F , (44.9+/-5.4)10^-8 , Pulsar , 4.6
198 , 0FGL J2232.4+1141 , BZQ J2232+1143 , 338.11667 , 11.69 , 77.37 , -38.6 , 15.2 , F , (10.8+/-1.3)10^-8 , FSRQ , 11
199 , 0FGL J2241.7-5239 , UNDEFINED , 340.43 , -52.651 , 337.39 , -54.91 , 11.6 , F , (5+/-1.5)10^-8 , Unidentified , 9.1
200 , 0FGL J2254.0+1609 , CGRaBS J2253+1608 , 343.50167 , 16.151 , 86.12 , -38.19 , 149.1 , T , (212+/-4.3)10^-8 , FSRQ , 3.1
201 , 0FGL J2302.9+4443 , UNDEFINED , 345.74583 , 44.72397 , 103.43 , -14.01 , 13.6 , F , (3.5+/-1.3)10^-8 , Unidentified , 9.3
202 , 0FGL J2325.3+3959 , CRATES J2325+3957 , 351.33375 , 39.993 , 105.53 , -19.95 , 11.4 , T , (9+/-3)10^-9 , BL Lac , 7.1
203 , 0FGL J2327.3+0947 , CGRaBS J2327+0940 , 351.83292 , 9.794 , 91.15 , -47.82 , 17.1 , T , (15.5+/-1.6)10^-8 , FSRQ , 13.1
204 , 0FGL J2339.8-0530 , UNDEFINED , 354.96167 , -5.512 , 81.48 , -62.48 , 13.6 , F , < 4.910^-8 , Unidentified , 11.3
205 , 0FGL J2345.5-1559 , CGRaBS J2345-1555 , 356.38875 , -15.985 , 65.67 , -71.1 , 15.5 , T , (9.9+/-1.3)10^-8 , FSRQ , 14.3
