_id , ercsc100_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC100 G118.15+05.11"    ,, 0.32 , 67.52333 , 118.15163 , 5.11839 , "9215.2+/-813" , "1778.33+/-128.7" , "7500.5+/-244.01" , "2.1e+4+/-6137.64" , 0.981 , 0 , 1 , 3 , "0.998+/-0.046"
2 , "PLCKERC100 G117.61+02.28"    ,, 0.36875 , 64.64111 , 117.61276 , 2.28681 , "2756.9+/-78" , "894.57+/-125.7" , "2314.8+/-56.77" , "4035.8+/-172.44" , 0.981 , 0 , 0 , 2 , "0.969+/-0.043"
3 , "PLCKERC100 G084.63-71.06"    ,, 1.00625 , -11.81222 , 84.63685 , -71.06884 , "603.1+/-94" , "443.18+/-83.4" , "563+/-55.56" , "412.3+/-759.15" , 0.981 , 0 , 1 , 1 , "0.854+/-0.071"
4 , "PLCKERC100 G118.62+06.16"    ,, 1.02208 , 68.63472 , 118.62114 , 6.16026 , "2912.7+/-128" , "1235.26+/-122.8" , "2786.4+/-66.82" , "3588.7+/-300.41" , 0.981 , 0 , 0 , 3 , "0.87+/-0.043"
5 , "PLCKERC100 G118.52+04.68"    ,, 1.47167 , 67.16833 , 118.52323 , 4.68733 , "2906.7+/-451" , "703.68+/-131.9" , "3010.7+/-128.07" , "1866.4+/-5002.9" , 0.981 , 2 , 1 , 3 , "0.97+/-0.043"
6 , "PLCKERC100 G113.19-23.68"    ,, 1.47917 , 38.32028 , 113.19915 , -23.68944 , "730.5+/-81" , "791.35+/-96.7" , "770.4+/-58.57" , "697.6+/-128.52" , 0.981 , 1 , 0 , 2 , "0.929+/-0.044"
7 , "PLCKERC100 G093.49-66.62"    ,, 1.54667 , -6.37611 , 93.49979 , -66.6266 , "1261.6+/-93" , "1533.4+/-86.7" , "-" , "1324.7+/-125.98" , 0.981 , 0 , 0 , 1 , "0.996+/-0.045"
8 , "PLCKERC100 G118.42+03.19"    ,, 1.86833 , 65.67917 , 118.42135 , 3.19333 , "1297.8+/-155" , "633.05+/-104.4" , "953.9+/-90.97" , "-" , 0.981 , 2 , 0 , 1 , "0.847+/-0.091"
9 , "PLCKERC100 G106.99-50.61"    ,, 2.63542 , 10.98944 , 106.99513 , -50.61229 , "1852.1+/-94" , "1886.87+/-92" , "1909.4+/-63.45" , "1815.4+/-144.96" , 0.981 , 0 , 0 , 2 , "0.999+/-0.044"
10 , "PLCKERC100 G116.56-10.53"   ,, 2.69875 , 51.83556 , 116.56626 , -10.53309 , "865.2+/-96" , "522.3+/-91" , "809.7+/-63.55" , "1041.6+/-255.54" , 0.981 , 0 , 0 , 1 , "0.861+/-0.049"
11 , "PLCKERC100 G117.79-03.65"   ,, 2.91375 , 58.82028 , 117.79136 , -3.65357 , "1657.2+/-92" , "830.3+/-87.2" , "1419+/-45.96" , "2076.7+/-140.98" , 0.981 , 0 , 0 , 2 , "0.947+/-0.044"
12 , "PLCKERC100 G120.00+09.90"   ,, 3.20167 , 72.55333 , 120.00528 , 9.90153 , "775.9+/-58" , "430.98+/-73" , "662.4+/-40.62" , "1044.4+/-142.38" , 0.981 , 1 , 0 , 3 , "0.854+/-0.069"
13 , "PLCKERC100 G332.46-74.93"   ,, 3.2425 , -39.91028 , 332.46752 , -74.93344 , "668.6+/-96" , "512.51+/-96.1" , "632.9+/-59.21" , "816.2+/-189.71" , 0.981 , 1 , 0 , 2 , "0.858+/-0.059"
14 , "PLCKERC100 G115.24-21.45"   ,, 3.38167 , 40.85444 , 115.2419 , -21.45031 , "1028.6+/-96" , "1158.25+/-97.3" , "1098.9+/-64.67" , "1043.4+/-143.64" , 0.981 , 0 , 0 , 2 , "0.983+/-0.045"
15 , "PLCKERC100 G118.60-01.30"   ,, 3.82542 , 61.26111 , 118.60096 , -1.30634 , "1626.5+/-78" , "735.41+/-98.2" , "1441.5+/-51.8" , "2733.6+/-183.64" , 0.981 , 0 , 0 , 2 , "0.893+/-0.043"
16 , "PLCKERC100 G119.15-00.87"   ,, 4.86208 , 61.75917 , 119.15702 , -0.87784 , "1774.8+/-135" , "517.98+/-93.9" , "1420.7+/-60.79" , "3708.5+/-296.3" , 0.981 , 2 , 1 , 2 , "0.912+/-0.043"
17 , "PLCKERC100 G120.62+10.73"   ,, 4.87417 , 73.46056 , 120.62518 , 10.73216 , "479.1+/-66" , "706.63+/-74.8" , "624.9+/-37.6" , "583.6+/-79.83" , 0.748 , 0 , 0 , 4 , "0.946+/-0.044"
18 , "PLCKERC100 G120.19+03.09"   ,, 6.16875 , 65.82 , 120.19269 , 3.09078 , "1618+/-157" , "985.38+/-121.7" , "1587.2+/-110.42" , "8308+/-827.36" , 0.981 , 1 , 1 , 2 , "0.932+/-0.044"
19 , "PLCKERC100 G120.08+01.41"   ,, 6.31417 , 64.14333 , 120.08166 , 1.4168 , "3262.9+/-83" , "2244.22+/-124.7" , "3076.8+/-52.79" , "3785.5+/-134.1" , 0.981 , 0 , 0 , 2 , "0.999+/-0.044"
