_id , ercsc353_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC353 G304.22-31.95"    ,, 0.06375 , -85.04167 , 304.22463 , -31.95724 , "968.9+/-103" , "1720.74+/-48.5" , "636+/-63.49" , "2679.7+/-647.46" , 0.335 , 0 , 1 , 2 , "0.94+/-0.045"
2 , "PLCKERC353 G112.57-21.28"    ,, 0.12167 , 40.55889 , 112.57507 , -21.28595 , "1517+/-257" , "2286.48+/-78.3" , "1077.8+/-112.1" , "3478.2+/-700.27" , 0.335 , 0 , 1 , 1 , "0.98+/-0.045"
3 , "PLCKERC353 G116.68-02.21"    ,, 0.27292 , 60.04472 , 116.68057 , -2.21436 , "5926+/-959" , "7587.74+/-117.1" , "4895.6+/-480.09" , "1.9e+4+/-1354.91" , 0.335 , 0 , 1 , 1 , "0.87+/-0.044"
4 , "PLCKERC353 G118.15+05.14"    ,, 0.3125 , 67.54972 , 118.15395 , 5.14477 , "5.4e+4+/-5989" , "8.87e+4+/-245.2" , "3.6e+4+/-2913.16" , "1.8e+5+/-2.20e+4" , 0.335 , 0 , 1 , 2 , "0.997+/-0.045"
5 , "PLCKERC353 G117.60+02.31"    ,, 0.34083 , 64.66444 , 117.60554 , 2.31181 , "1.5e+4+/-912" , "1.94e+4+/-179.4" , "1.4e+4+/-621.03" , "2.2e+4+/-1141.55" , 0.335 , 0 , 0 , 2 , "0.923+/-0.044"
6 , "PLCKERC353 G114.44-13.57"    ,, 0.36833 , 48.47528 , 114.4497 , -13.57184 , "2657+/-269" , "4022.86+/-72.9" , "2214.1+/-161.51" , "5029+/-775.3" , 0.335 , 0 , 1 , 1 , "0.994+/-0.045"
7 , "PLCKERC353 G114.44-13.95"    ,, 0.47333 , 48.10278 , 114.44454 , -13.95083 , "4129.6+/-289" , "6728.96+/-92.3" , "3552.6+/-181.62" , "5667.9+/-516.28" , 0.335 , 0 , 0 , 1 , "0.997+/-0.045"
8 , "PLCKERC353 G117.42+01.05"    ,, 0.47833 , 63.39583 , 117.42119 , 1.05537 , "9245.3+/-692" , "1.40e+4+/-223.9" , "7268.4+/-478.7" , "2.1e+4+/-1537.12" , 0.335 , 0 , 1 , 1 , "0.939+/-0.045"
9 , "PLCKERC353 G117.47+01.27"    ,, 0.505 , 63.6225 , 117.47592 , 1.27566 , "6498.3+/-546" , "8090.36+/-219.1" , "5248.1+/-373.94" , "1.3e+4+/-1061.53" , 0.335 , 0 , 1 , 1 , "0.862+/-0.045"
10 , "PLCKERC353 G109.19-37.59"   ,, 0.97083 , 24.0025 , 109.19182 , -37.59716 , "974.7+/-149" , "2093.93+/-94.2" , "908.3+/-104.04" , "6047+/-2459.44" , 0.335 , 0 , 1 , 1 , "0.941+/-0.045"
11 , "PLCKERC353 G118.62+06.15"   ,, 1.02583 , 68.62472 , 118.62069 , 6.15022 , "5.5e+4+/-3442" , "9.22e+4+/-251.2" , "4.5e+4+/-2112.9" , "8.0e+4+/-3221.96" , 0.335 , 0 , 0 , 2 , "0.996+/-0.045"
12 , "PLCKERC353 G117.51-00.42"   ,, 1.26625 , 61.95528 , 117.51032 , -0.42713 , "6336.9+/-785" , "1.19e+4+/-256.2" , "4742.6+/-451.05" , "1.8e+4+/-1134.28" , 0.335 , 0 , 1 , 1 , "0.943+/-0.045"
13 , "PLCKERC353 G119.96+12.56"   ,, 1.48625 , 75.16944 , 119.96778 , 12.56026 , "1157.9+/-168" , "2378.67+/-89.3" , "951.6+/-82.51" , "2852.8+/-421.71" , 0.335 , 0 , 1 , 3 , "0.882+/-0.043"
14 , "PLCKERC353 G093.50-66.63"   ,, 1.5525 , -6.38417 , 93.50343 , -66.63629 , "730.2+/-96" , "791.23+/-43.3" , "723.3+/-76.34" , "1022.4+/-267.48" , 0.257 , 0 , 0 , 2 , "0.927+/-0.044"
15 , "PLCKERC353 G332.77-72.91"   ,, 1.60167 , -41.50417 , 332.77359 , -72.91356 , "475.8+/-84" , "405.26+/-62.8" , "443.7+/-79.87" , "543.5+/-225.11" , 0.257 , 0 , 0 , 1 , "0.867+/-0.044"
16 , "PLCKERC353 G116.17-09.15"   ,, 1.69625 , 53.12861 , 116.17458 , -9.15626 , "2093.6+/-241" , "3855.02+/-87.5" , "1468+/-184.34" , "2.2e+4+/-1.26e+4" , 0.335 , 0 , 1 , 1 , "0.935+/-0.045"
17 , "PLCKERC353 G117.82+00.07"   ,, 1.74333 , 62.50917 , 117.82607 , 0.07905 , "4195.6+/-471" , "7867.25+/-313" , "3212.9+/-295.95" , "1.3e+4+/-945.85" , 0.335 , 0 , 1 , 2 , "0.839+/-0.041"
18 , "PLCKERC353 G119.22+07.89"   ,, 1.81917 , 70.44889 , 119.22251 , 7.89587 , "3070.1+/-520" , "8683.69+/-104.3" , "2719.9+/-237.35" , "3795.1+/-4975.63" , 0.407 , 0 , 1 , 2 , "0.81+/-0.041"
19 , "PLCKERC353 G118.40+03.16"   ,, 1.8475 , 65.64944 , 118.40791 , 3.16555 , "9340.3+/-1321" , "1.43e+4+/-281.4" , "8035.7+/-613.58" , "1.1e+4+/-3797.39" , 0.335 , 0 , 1 , 2 , "0.861+/-0.045"
20 , "PLCKERC353 G118.29+02.49"   ,, 1.85125 , 64.97028 , 118.29362 , 2.49586 , "9836.1+/-1136" , "1.61e+4+/-220.2" , "8264.6+/-602.57" , "2.3e+4+/-1491.05" , 0.335 , 0 , 1 , 2 , "0.863+/-0.045"
21 , "PLCKERC353 G121.80+21.69"   ,, 1.92542 , 84.46694 , 121.80419 , 21.69146 , "1217.3+/-112" , "2273.43+/-58" , "940.3+/-72.23" , "3144.7+/-517.15" , 0.335 , 0 , 1 , 2 , "0.856+/-0.042"
22 , "PLCKERC353 G116.25-09.92"   ,, 2.04958 , 52.38278 , 116.25825 , -9.92757 , "3335.6+/-419" , "3640.33+/-81.5" , "2841.3+/-163.91" , "2435.4+/-544.16" , 0.335 , 0 , 0 , 1 , "0.932+/-0.044"
23 , "PLCKERC353 G118.59+02.81"   ,, 2.42042 , 65.33889 , 118.59092 , 2.81988 , "1.3e+4+/-1862" , "2.77e+4+/-274.5" , "8946.2+/-557.46" , "2.1e+4+/-1920.68" , 0.335 , 0 , 1 , 2 , "0.95+/-0.044"
24 , "PLCKERC353 G110.09-41.25"   ,, 2.58375 , 20.59139 , 110.09873 , -41.2538 , "1425.9+/-221" , "2897.73+/-88.8" , "1030.3+/-140.36" , "1.4e+4+/-5029.84" , 0.257 , 0 , 1 , 1 , "0.987+/-0.045"
25 , "PLCKERC353 G106.98-50.62"   ,, 2.62917 , 10.97778 , 106.9808 , -50.62222 , "967.4+/-101" , "817.84+/-48" , "1078.1+/-85.28" , "951+/-183.97" , 0.335 , 0 , 0 , 1 , "0.881+/-0.044"
26 , "PLCKERC353 G118.46+01.21"   ,, 2.73292 , 63.73167 , 118.46809 , 1.21177 , "7602.7+/-635" , "1.18e+4+/-245.6" , "5984.6+/-385.41" , "1.3e+4+/-526.76" , 0.335 , 0 , 1 , 1 , "0.848+/-0.046"
27 , "PLCKERC353 G116.59-10.53"   ,, 2.74875 , 51.84333 , 116.59861 , -10.53034 , "7521.4+/-612" , "1.55e+4+/-106.8" , "5864.5+/-407.89" , "1.5e+4+/-909.91" , 0.335 , 0 , 1 , 1 , "0.994+/-0.045"
28 , "PLCKERC353 G117.76-03.64"   ,, 2.85583 , 58.82806 , 117.76289 , -3.64131 , "1.5e+4+/-897" , "2.62e+4+/-139.1" , "1.2e+4+/-579.7" , "2.4e+4+/-1333.71" , 0.335 , 0 , 1 , 1 , "0.984+/-0.045"
29 , "PLCKERC353 G118.20-01.58"   ,, 3.09583 , 60.92417 , 118.20288 , -1.58845 , "7283.1+/-558" , "1.16e+4+/-145.6" , "6397.4+/-310.16" , "1.3e+4+/-569.35" , 0.335 , 0 , 1 , 1 , "0.932+/-0.046"
30 , "PLCKERC353 G115.98-15.99"   ,, 3.155 , 46.35472 , 115.98058 , -15.99239 , "783.2+/-116" , "994.39+/-76.1" , "613.2+/-88.59" , "1588.8+/-520.74" , 0.335 , 0 , 1 , 1 , "0.88+/-0.044"
31 , "PLCKERC353 G110.91-40.94"   ,, 3.16042 , 21.0175 , 110.91448 , -40.94709 , "1090.4+/-167" , "2259+/-81.8" , "706.1+/-107.1" , "4186.5+/-1316.49" , 0.335 , 2 , 1 , 1 , "0.975+/-0.045"
32 , "PLCKERC353 G111.12-41.00"   ,, 3.33667 , 20.99389 , 111.12239 , -41.00269 , "996.8+/-169" , "2480.19+/-82.6" , "752+/-95.05" , "4224+/-1563.84" , 0.335 , 0 , 1 , 1 , "0.98+/-0.045"
33 , "PLCKERC353 G056.04-80.66"   ,, 3.52542 , -23.16111 , 56.04086 , -80.6699 , "457.4+/-88" , "397.91+/-55" , "412.4+/-70.7" , "464.1+/-193.26" , 0.257 , 0 , 0 , 1 , "0.872+/-0.044"
34 , "PLCKERC353 G121.22+17.12"   ,, 3.54333 , 79.86917 , 121.22462 , 17.12143 , "789.8+/-102" , "1662.14+/-59.3" , "661.9+/-63.03" , "3674.9+/-1119.25" , 0.407 , 0 , 1 , 2 , "0.859+/-0.042"
