_id , wmap5_name , RA , Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
86 , "WMAP5 J0519-4546" , 79.95667 , -45.77889 , "251.59" , "-34.64" , 0.0351 , "Misd. NT-AGN QSO-type" , 15827 , 0 , 6800 , 5300 , 4400 , 3300 , 2200 , 69.8224 , "PICTOR A "
87 , "WMAP5 J0519-0539" , 80.00875 , -5.61833 , "207.38" , "-22.87" , 0 , "LBN Nebulae" , 42 , 0 , 2400 , 1800 , 1200 , 800 , "718" , 77.7578 , "IRAS05175-0540 "
88 , "WMAP5 J0523-3627" , 80.74125 , -36.45861 , "240.6" , "-32.72" , 0.055 , "Blazar B-type" , 8180 , 15620 , 4200 , 3900 , 3800 , 3500 , 2600 , 74.5889 , "PKS0521-36 "
89 , "WMAP5 J0525-2337" , 81.27333 , -23.63611 , "226.34" , "-28.87" , 3.1 , "Blazar Q-type" , 713 , 398 , 700 , 900 , 700 , 800 , "718" , 77.6069 , " "
90 , "WMAP5 J0525-4826" , 81.56958 , -48.51 , "254.99" , "-33.76" , 0 , "Unidentified " , 425 , 0 , 900 , 1300 , 1300 , 1100 , 800 , 71.1984 , "PKS0524-485 "
91 , "WMAP5 J0527-1241" , 81.8675 , -12.69722 , "215.21" , "-24.29" , 0 , "Planetary Nebulae" , 1716 , 1096 , 1400 , 1600 , 1400 , 1200 , 1100 , 79.53 , "IC0418 "
92 , "WMAP5 J0534-6107" , 83.6475 , -61.10222 , "270.07" , "-32.74" , 1.997 , "Blazar Q-type" , 324 , 0 , 500 , 500 , 600 , 600 , "538" , 58.9552 , " "
93 , "WMAP5 J0538-4405" , 84.70958 , -44.08583 , "250.08" , "-31.1" , 0.894 , "Blazar B-type" , 4805 , 0 , 5600 , 5900 , 6000 , 5400 , 4600 , 79.4135 , "PKS0537-441 "
94 , "WMAP5 J0539-2844" , 84.97458 , -28.66361 , "232.93" , "-27.3" , 3.104 , "Blazar Q-type" , 1232 , 862 , 600 , 600 , 600 , 700 , "628" , 82.0952 , " "
95 , "WMAP5 J0540-5415" , 85.19083 , -54.30611 , "262.04" , "-31.87" , 1.185 , "Blazar Q-type" , 373 , 0 , 1400 , 1400 , 1400 , 1100 , "987" , 76.2307 , "PKS0539-543 "
96 , "WMAP5 J0542+4951" , 85.65042 , 49.85194 , "161.68" , "10.29" , 0.545 , "Misd. NT-AGN QSO-type" , 7264 , 22880 , 1700 , 1300 , 1300 , 800 , "718" , 86.1481 , "3C147.0 "
97 , "WMAP5 J0550-5731" , 87.53958 , -57.54 , "265.9" , "-30.73" , 2.001 , "Blazar Q-type" , 355 , 0 , 1200 , 1000 , 1000 , 900 , "807" , 81.3482 , "PKS0549-575 "
