_id , fava_name,RA,Dec,LII, BII ,Flares , HE_Flares , Neg_Flares , LAT_Assoc , Assoc , Atel  , src,other_name
71 , J0746+01 , 116.55 , 1.56 , 217.85 , 12.88 , 1 , 0 , 0 , 2FGL_J0739.2+0138 , PKS_0736+01 , 0 , 204,
72 , J0747+24 , 116.92 , 24.17 , 196.36 , 22.58 , 1 , 1 , 0 , none , none , 0 , 165,
73 , J0759-56 , 119.83 , -56.45 , 269.97 , -13.68 , 1 , 1 , 0 , GRB080916C , none , 0 , 15,
74 , J0804+61 , 121.02 , 61.53 , 155.3 , 32.21 , 1 , 1 , 0 , 2FGL_J0805.5+6145 , TXS_0800+618 , 0 , 34,
75 , J0806+52 , 121.5 , 52.7 , 165.75 , 32.35 , 2 , 1 , 0 , none , none , 0 , 152,
76 , J0808-08 , 122.14 , -8.21 , 229.39 , 13.04 , 6 , 6 , 0 , 2FGL_J0808.2-0750 , PKS_0805-07 , 0 , 46,
77 , J0811+02 , 122.79958 , 2.49 , 220.01 , 18.84 , 1 , 1 , 0 , none , none , 0 , 135,
78 , J0831+04 , 127.77958 , 4.21 , 220.88 , 24.04 , 1 , 1 , 0 , 2FGL_J0831.9+0429 , PKS_0829+046 , 0 , 70,
79 , J0839+00 , 129.97958 , 0.84 , 225.27 , 24.35 , 1 , 1 , 0 , 2FGL_J0839.6+0059 , PKS_0837+012 , 0 , 51,
80 , J0845+70 , 131.42958 , 70.77 , 143.55 , 34.8 , 9 , 1 , 0 , 2FGL_J0841.6+7052 , 4C_+71.07 , 0 , 158,
81 , J0849+50 , 132.31958 , 50.57 , 168.35 , 39.06 , 7 , 6 , 0 , Fermi_J0849+5108 , SBS_0846+513 , 3452 , 96,
82 , J0849-12 , 132.40958 , -12.27 , 238.62 , 19.38 , 3 , 3 , 0 , 2FGL_J0850.2-1212 , BZQ_J0850-1213 , 0 , 101,
83 , J0855+20 , 133.77 , 20.45 , 206.44 , 35.99 , 7 , 4 , 0 , 2FGL_J0854.8+2005 , OJ_287 , 0 , 154,
84 , J0905-35 , 136.29958 , -35.87 , 259.93 , 7.48 , 1 , 1 , 0 , 2FGL_J0904.8-3513 , NVSS_J090442-351423 , 0 , 18,
85 , J0908+60 , 137.02958 , 60.54 , 155.02 , 40 , 1 , 1 , 0 , none , none , 0 , 10,
86 , J0907-02 , 136.96 , -2.74 , 232.74 , 28.46 , 1 , 0 , 0 , 2FGL_J0909.7-0229 , PKS_0907-023 , 0 , 191,
87 , J0908-50 , 137.24 , -50.17 , 271 , -1.63 , 1 , 1 , 0 , 2FGL_J0910.4-5050 , AT20G_J091058-504807 , 0 , 22,
88 , J0910+01 , 137.67 , 1.59 , 228.94 , 31.36 , 1 , 1 , 0 , 2FGL_J0909.1+0121 , PKS_0906+01 , 0 , 134,
89 , J0920+44 , 140.15958 , 44.56 , 175.9 , 44.76 , 12 , 5 , 0 , 2FGL_J0920.9+4441 , S4_0917+44 , 0 , 30,
90 , J0924+28 , 141.14 , 28.17 , 199.04 , 44.53 , 1 , 1 , 0 , 2FGL_J0924.0+2819 , B2_0920+28 , 0 , 38,
91 , J0948+01 , 147.17 , 1.13 , 235.74 , 39.09 , 3 , 0 , 0 , 2FGL_J0948.8+0020 , PMN_J0948+0022 , 0 , 202,
92 , J0955+65 , 148.76 , 65.87997 , 145.67 , 42.63 , 1 , 1 , 0 , 2FGL_J0958.6+6533 , S4_0954+65 , 0 , 140,
93 , J0957+24 , 149.37958 , 24.37 , 206.93 , 50.93 , 1 , 1 , 0 , 2FGL_J0956.9+2516 , OK_290 , 0 , 100,
94 , J0957-13 , 149.43 , -13.9 , 251.66 , 31.18 , 1 , 1 , 0 , 2FGL_J0957.6-1350 , PMN_J0957-1350 , 0 , 168,
95 , J1013+24 , 153.46958 , 24.32 , 208.44 , 54.54 , 1 , 1 , 0 , 2FGL_J1012.6+2440 , MG2_J101241+2439 , 0 , 59,
96 , J1015+04 , 153.93958 , 4.84 , 236.91 , 46.75 , 1 , 1 , 0 , 2FGL_J1016.0+0513 , TXS_1013+054 , 0 , 29,
97 , J1023-31 , 155.78 , -31.93 , 269.64 , 21.18 , 1 , 1 , 0 , none , none , 0 , 150,
98 , J1033+60 , 158.34958 , 60.94 , 147.73 , 49 , 8 , 6 , 0 , 2FGL_J1033.9+6050 , S4_1030+61 , 0 , 104,
99 , J1038-53 , 159.56958 , -53.17 , 283.65 , 4.64 , 4 , 3 , 0 , Fermi_J1038-5314 , PMN_J1038-5311 , 3978 , 167,
100 , J1040+06 , 160.16958 , 6.21 , 240.91 , 52.55 , 1 , 1 , 0 , 2FGL_J1040.7+0614 , 4C_+06.41 , 0 , 156,
101 , J1045+81 , 161.49 , 81.38 , 128.35 , 34.38 , 1 , 1 , 0 , 2FGL_J1042.6+8053 , S5_1039+81 , 0 , 67,
102 , J1046-29 , 161.56958 , -29.32 , 272.65 , 26.09 , 3 , 1 , 0 , 2FGL_J1045.5-2931 , PKS_B1043-291 , 0 , 126,
103 , J1051+04 , 162.81958 , 4.69 , 245.66 , 53.62 , 1 , 1 , 0 , none , none , 0 , 160,
104 , J1100+00 , 165.17958 , 0.91 , 252.92 , 52.68 , 1 , 0 , 0 , 2FGL_J1058.4+0133 , 4C_+01.28 , 0 , 210,
105 , J1102+37 , 165.75 , 37.88997 , 180.75 , 64.85 , 1 , 1 , 0 , 2FGL_J1104.4+3812 , Mkn_421 , 0 , 182,
106 , J1110+34 , 167.57958 , 34.83 , 187.08 , 67.07 , 1 , 0 , 0 , 2FGL_J1112.4+3450 , TXS_1109+350 , 0 , 197,
107 , J1120-05 , 170.21 , -5.5 , 265.68 , 50.7 , 5 , 3 , 0 , 2FGL_J1121.5-0554 , PKS_1118-05 , 0 , 39,
108 , J1124-64 , 171.20958 , -64.43 , 293.75 , -3.12 , 1 , 0 , 0 , 1FGL_J1122.9-6415 , PMN_J1123-6417 , 0 , 186,
109 , J1129-19 , 172.33 , -19.23 , 277.5 , 39.55 , 6 , 5 , 0 , 2FGL_J1126.6-1856 , PKS_1124-186 , 3207 , 139,
110 , J1136-06 , 174.2 , -6.21 , 271.76 , 52.08 , 1 , 0 , 0 , none , none , 0 , 196,
111 , J1145+39 , 176.37 , 39.91997 , 165.64 , 71.28 , 5 , 3 , 0 , 2FGL_J1146.9+4000 , S4_1144+40 , 0 , 145,
112 , J1152+49 , 178.24 , 49.73 , 145.43 , 64.76 , 8 , 5 , 0 , 2FGL_J1153.2+4935 , OM_484 , 0 , 144,
113 , J1200+29 , 180.23 , 29.51 , 197.89 , 78.63 , 9 , 6 , 0 , 2FGL_J1159.5+2914 , Ton_599 , 0 , 108,
114 , J1205+54 , 181.36 , 54.9 , 136.6 , 60.99 , 2 , 1 , 0 , 2FGL_J1208.8+5441 , TXS_1206+549 , 0 , 89,
115 , J1217+29 , 184.35958 , 29.94 , 190.31 , 82.02 , 1 , 1 , 0 , 2FGL_J1217.8+3006 , 1ES_1215+303 , 0 , 20,
