_id , fava_name,RA,Dec,LII, BII ,Flares , HE_Flares , Neg_Flares , LAT_Assoc , Assoc , Atel  , src,other_name
156 , J1732-12 , 263.19958 , -12.98 , 12.08 , 10.91 , 3 , 3 , 0 , 2FGL_J1733.1-1307 , PKS_1730-13 , 0 , 130,
157 , J1735+39 , 263.98958 , 39.12 , 64.27 , 30.73 , 4 , 4 , 0 , 2FGL_J1734.3+3858 , B2_1732+38A , 0 , 43,
158 , J1740+27 , 265 , 27.29 , 51.47 , 26.84 , 1 , 1 , 0 , GRB090902B , none , 0 , 62,
159 , J1741+50 , 265.31958 , 50.10997 , 77.13 , 31.45 , 1 , 1 , 0 , 2FGL_J1739.5+4955 , S4_1738+49 , 0 , 98,
160 , J1743+52 , 265.79958 , 52.1 , 79.48 , 31.34 , 2 , 2 , 0 , 2FGL_J1740.2+5212 , 4C_+51.37 , 0 , 35,
161 , J1746+70 , 266.66958 , 70.23 , 100.69 , 30.86 , 4 , 3 , 0 , 2FGL_J1748.8+7006 , S4_1749+70 , 3171 , 138,
162 , J1752-32 , 267.99958 , -32.97 , 357.24 , -3.25 , 1 , 1 , 0 , Fermi_J1750-3243 , Nova_Sco_2012 , 4284 , 179,
163 , J1751+09 , 267.78 , 9.38 , 34.61 , 17.62 , 1 , 1 , 0 , 2FGL_J1751.5+0938 , OT_081 , 0 , 5,
164 , J1753+32 , 268.36 , 32.55 , 58.05 , 25.66 , 2 , 2 , 0 , 2FGL_J1754.3+3212 , RX_J1754.1+3212 , 0 , 142,
165 , J1759-48 , 269.91958 , -48.83 , 343.96 , -12.25 , 1 , 1 , 0 , 2FGL_J1759.2-4819 , PMN_J1758-4820 , 0 , 124,
166 , J1803-39 , 270.91958 , -39.31 , 352.86 , -8.43 , 8 , 6 , 0 , 2FGL_J1802.6-3940 , PMN_J1802-3940 , 0 , 26,
167 , J1807+78 , 271.95958 , 78.56 , 110.1 , 28.7 , 7 , 5 , 0 , 2FGL_J1800.5+7829 , S5_1803+784 , 0 , 79,
168 , J1827-52 , 276.98 , -52.33 , 342.6 , -17.78 , 1 , 1 , 0 , 2FGL_J1825.1-5231 , PKS_1821-525 , 0 , 113,
169 , J1825+56 , 276.32 , 56.83997 , 85.75 , 25.92 , 2 , 2 , 0 , 2FGL_J1824.0+5650 , 4C_+56.27 , 0 , 53,
170 , J1834-21 , 278.62958 , -21.06 , 12.25 , -5.89 , 10 , 10 , 0 , 2FGL_J1833.6-2104 , PKS_1830-211 , 0 , 127,
171 , J1850+32 , 282.57958 , 32.35 , 62.24 , 14.34 , 7 , 6 , 0 , 2FGL_J1848.5+3216 , B2_1846+32A , 0 , 120,
