_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
1 , "5BZQJ0000-3221 " , "PKS 2357-326 " , 0.08496 , -32.35028 , "4.64" , "-77.76" , "1.275 " , 18.2 , "QSO RLoud flat radio sp." , 521 , 0 , 0.05 , ". " , " " , " " , 0 , 0.707
2 , "5BZQJ0001-1551 " , "PKS 2358-161 " , 0.27208 , -15.85194 , "74.36" , "-73.77" , "2.044 " , 18.1 , "QSO RLoud flat radio sp." , 348 , 0 , 0 , ". " , " " , " " , 0 , 0.661
3 , "5BZQJ0001+1914 " , "TEX 2358+189 " , 0.28592 , 19.24283 , "106.86" , "-42.06" , "3.1 " , 21.6 , "QSO RLoud flat radio sp." , 265 , 0 , 0 , ". " , " " , " " , 0 , 0.917
4 , "5BZBJ0001-0746 " , "CRATESJ000117-07" , 0.32504 , -7.77408 , "89.08" , "-67.29" , "0 " , 17.9 , "BL Lac" , 208 , 0 , 0.35 , ". " , " " , " " , 5e-10 , 0.553
5 , "5BZBJ0001-0011 " , "SDSSJ00013-0011 " , 0.33954 , -0.19442 , "96.81" , "-60.5" , "0.462 ? " , 19.6 , "BL Lac" , 111 , 0 , 0 , " ? " , " " , " " , 0 , 0.706
6 , "5BZGJ0001-1031 " , "SDSSJ00019-1031 " , 0.48858 , -10.52147 , "85.52" , "-69.72" , "0.252 " , 17.8 , "BL Lac-galaxy dominated" , 41 , 0 , 0 , ". " , " " , " " , 0 , 0.393
7 , "5BZBJ0002-0024 " , "PKS0000-006 " , 0.73817 , -0.41308 , "97.39" , "-60.86" , "0.523 " , 19.7 , "BL Lac" , 178 , 0 , 0 , ". " , " " , " " , 0 , 0.757
8 , "5BZQJ0003+2129 " , "GB6J0003+2129 " , 0.83058 , 21.49572 , "108.26" , "-40.01" , "0.45 " , 20.1 , "QSO RLoud flat radio sp." , 83 , 0 , 0 , ". " , " " , " " , 0 , 0.767
9 , "5BZBJ0004-1148 " , "CGRaBSJ0004-1148" , 1.02033 , -11.81611 , "84.66" , "-71.08" , "0 " , 18.8 , "BL Lac" , 459 , 308 , 0 , ". " , " " , " " , 0 , 0.797
10 , "5BZQJ0004+4615 " , "3EGJ0004+4615 " , 1.06738 , 46.25506 , "114.48" , "-15.84" , "1.81 " , 20.4 , "QSO RLoud flat radio sp." , 120 , 0 , 0 , ". " , " " , " " , 0 , 0.735
11 , "5BZQJ0004-4736 " , "PKS 0002-478 " , 1.1485 , -47.60542 , "323.94" , "-67.57" , "0.884 " , 15.9 , "QSO RLoud flat radio sp." , 909 , 0 , 0.85 , ". " , " " , " " , 9e-10 , 0.564
12 , "5BZQJ0004+2019 " , "CRATESJ000435+20" , 1.14896 , 20.3285 , "108.27" , "-41.21" , "0.677 " , 21.6 , "QSO RLoud flat radio sp." , 55 , 0 , 0 , ". " , " " , " " , 0 , 0.834
13 , "5BZQJ0005-1648 " , "1RXSJ000517.0-16" , 1.32471 , -16.80131 , "74.61" , "-75.15" , "0.78 " , 18.4 , "QSO RLoud flat radio sp." , 263 , 0 , 0.44 , ". " , " " , " " , 0 , 0.686
14 , "5BZQJ0005+0524 " , "UM 18 " , 1.33421 , 5.40303 , "102.31" , "-55.62" , "1.9 " , 16.2 , "QSO RLoud flat radio sp." , 127 , 0 , 0.26 , ". " , " " , " " , 0 , 0.432
15 , "5BZQJ0005+3820 " , "S40003+380 " , 1.48825 , 38.33756 , "113.21" , "-23.68" , "0.229 " , 17.6 , "QSO RLoud flat radio sp." , 572 , 685 , 0.75 , ". " , " " , " " , 1e-9 , 0.638
16 , "5BZBJ0006-0623 " , "PKS0003-066 " , 1.55788 , -6.39311 , "93.5" , "-66.65" , "0.347 " , 17.9 , "BL Lac" , 2051 , 1212 , 0.82 , ". " , " " , " " , 0 , 0.799
17 , "5BZQJ0006-4245 " , "Q 0003-4302 " , 1.58221 , -42.75517 , "330.43" , "-71.89" , "1.77 ? " , 18.5 , "QSO RLoud flat radio sp." , 246 , 0 , 0 , " ? " , " " , " " , 0 , 0.657
18 , "5BZGJ0006+1051 " , "1RXSJ000620.3+10" , 1.58454 , 10.86436 , "105.37" , "-50.47" , "0.168 " , 15.6 , "BL Lac-galaxy dominated" , 12 , 0 , 1.72 , ". " , " " , " " , 0 , 0.105
19 , "5BZQJ0006+2422 " , "BZQJ0006+2422 " , 1.70329 , 24.37681 , "110.11" , "-37.39" , "1.684 " , 18.8 , "QSO RLoud flat radio sp." , 184 , 0 , 0 , ". " , " " , " " , 0 , 0.658
20 , "5BZQJ0007-6113 " , "CRATESJ000717-61" , 1.83575 , -61.21842 , "312.19" , "-55.12" , "0.857 " , 19.3 , "QSO RLoud flat radio sp." , 87 , 0 , 0 , ". " , " " , " " , 0 , 0.685
21 , "5BZBJ0007+4712 " , "RXJ00079+4712 " , 1.99988 , 47.20214 , "115.31" , "-15.03" , "0.28 ? " , 18.2 , "BL Lac" , 60 , 0 , 0.53 , " ? " , " " , " " , 2.1e-9 , 0.505
22 , "5BZQJ0008-2339 " , "PKS 0005-239 " , 2.00154 , -23.65497 , "50.04" , "-79.6" , "1.412 " , 15.8 , "QSO RLoud flat radio sp." , 375 , 0 , 0.3 , ". " , " " , " " , 0 , 0.499
23 , "5BZBJ0008-2339 " , "1RXSJ000835.4-23" , 2.14742 , -23.65772 , "50.31" , "-79.73" , "0.147 " , 16.8 , "BL Lac" , 36 , 0 , 2.42 , ". " , " " , " " , 3e-10 , 0.429
24 , "5BZQJ0008-4619 " , "C16.07 " , 2.15642 , -46.328 , "323.91" , "-69.02" , "1.85 " , 16.6 , "QSO RLoud flat radio sp." , 109 , 0 , 0 , ". " , " " , " " , 0 , 0.461
25 , "5BZBJ0009+0628 " , "1RXSJ000904.4+06" , 2.26633 , 6.47261 , "104.42" , "-54.87" , "0 " , 18.9 , "BL Lac" , 247 , 0 , 0.55 , ". " , " " , " " , 5e-10 , 0.696
26 , "5BZQJ0009+0625 " , "CRATESJ000917+06" , 2.32104 , 6.43186 , "104.49" , "-54.93" , "2.694 " , 19 , "QSO RLoud flat radio sp." , 180 , 0 , 0.08 , ". " , " " , " " , 5e-10 , 0.664
27 , "5BZBJ0009+5030 " , "2FGLJ0009.1+5030" , 2.34488 , 50.50794 , "116.12" , "-11.81" , "0 " , 19.4 , "BL Lac" , 12 , 0 , 0.24 , ". " , " " , " " , 2.2e-9 , 0.426
28 , "5BZQJ0010+2047 " , "1WGAJ0010.4+2048" , 2.61979 , 20.79725 , "110.2" , "-41.06" , "0.6 " , 19.3 , "QSO RLoud flat radio sp." , 159 , 0 , 0.51 , ". " , " " , " " , 0 , 0.671
29 , "5BZQJ0010+1058 " , "III ZW 2 " , 2.62917 , 10.97489 , "106.98" , "-50.63" , "0.089 " , 15.8 , "QSO RLoud flat radio sp." , 98 , 1404 , 6.14 , ". " , " " , " " , 0 , 0.466
30 , "5BZQJ0010+1724 " , "PKS 0008+171 " , 2.64163 , 17.40528 , "109.23" , "-44.38" , "1.601 " , 16.7 , "QSO RLoud flat radio sp." , 918 , 0 , 0.65 , ". " , " " , " " , 0 , 0.634
31 , "5BZQJ0010-3027 " , "PKS0008-307 " , 2.64883 , -30.46317 , "10.08" , "-80.46" , "1.19 " , 18.8 , "QSO RLoud flat radio sp." , 315 , 0 , 0.17 , ". " , " " , " " , 0 , 0.719
32 , "5BZQJ0010-2945 " , "PKS0008-300 " , 2.68825 , -29.75367 , "14.19" , "-80.69" , "2.344 " , 18.8 , "QSO RLoud flat radio sp." , 404 , 0 , 0 , ". " , " " , " " , 0 , 0.73
33 , "5BZQJ0011-2612 " , "PKS 0008-264 " , 2.75508 , -26.20889 , "36.46" , "-80.93" , "1.096 " , 18.8 , "QSO RLoud flat radio sp." , 210 , 0 , 0 , ". " , " " , " " , 0 , 0.691
34 , "5BZQJ0011-3620 " , "1WGAJ0011.2-3620" , 2.81133 , -36.34428 , "343.22" , "-77.45" , "2.324 " , 21.3 , "QSO RLoud flat radio sp." , 66 , 0 , 0.02 , ". " , " " , " " , 0 , 0.783
35 , "5BZQJ0011+0057 " , "1RXSJ001129.6+00" , 2.87667 , 0.96444 , "102.44" , "-60.31" , "1.492 " , 20.7 , "QSO RLoud flat radio sp." , 167 , 0 , 0.28 , ". " , " " , " " , 5e-10 , 0.803
36 , "5BZGJ0012-1628 " , "BZUJ0012-1628 " , 3.14108 , -16.46869 , "80.76" , "-76.05" , "0.151 " , 15 , "BL Lac-galaxy dominated" , 94 , 0 , 0.9 , ". " , " " , " " , 0 , 0.218
37 , "5BZQJ0012+3353 " , "GC0010+33 " , 3.19733 , 33.89406 , "113.82" , "-28.3" , "1.682 " , 20.4 , "QSO RLoud flat radio sp." , 81 , 0 , 0 , ". " , " " , " " , 0 , 0.71
38 , "5BZBJ0012-3954 " , "PKS0010-401 " , 3.2495 , -39.90717 , "332.46" , "-74.95" , "0 " , 18.9 , "BL Lac" , 494 , 257 , 0 , ". " , " " , " " , 5e-10 , 0.818
39 , "5BZQJ0013-1513 " , "CGRaBSJ0013-1513" , 3.33625 , -15.22978 , "84.35" , "-75.17" , "1.838 " , 19.2 , "QSO RLoud flat radio sp." , 117 , 0 , 0 , ". " , " " , " " , 0 , 0.666
40 , "5BZQJ0013-0423 " , "PKS 0011-046 " , 3.47546 , -4.39781 , "99.78" , "-65.57" , "1.075 " , 19.7 , "QSO RLoud flat radio sp." , 303 , 0 , 0.3 , ". " , " " , " " , 0 , 0.782
41 , "5BZGJ0013-1854 " , "A0011-1910 " , 3.4835 , -18.90181 , "74.63" , "-78.09" , "0.095 " , 13.4 , "BL Lac-galaxy dominated" , 29 , 0 , 6.49 , ". " , " " , " " , 0 , 0.023
42 , "5BZBJ0013+1910 " , "CRATESJ001356+19" , 3.48483 , 19.17833 , "110.82" , "-42.81" , "0.477 " , 17.7 , "BL Lac" , 161 , 0 , 0 , ". " , " " , " " , 0 , 0.542
43 , "5BZBJ0014-5022 " , "BZBJ0014-5022 " , 3.54763 , -50.37636 , "317.44" , "-65.7" , "0 " , 18.7 , "BL Lac" , 13 , 0 , 6.98 , ". " , " " , " " , 6e-10 , 0.409
44 , "5BZGJ0014+0854 " , "2E0011.7+0837 " , 3.58233 , 8.90039 , "107.63" , "-52.87" , "0.162 " , 17.2 , "BL Lac-galaxy dominated" , 324 , 0 , 0.67 , ". " , " " , " " , 0 , 0.486
45 , "5BZQJ0014-3059 " , "PKS0012-312 " , 3.65813 , -30.98867 , "5.11" , "-81.09" , "2.785 " , 19.3 , "QSO RLoud flat radio sp." , 193 , 0 , 0.12 , ". " , " " , " " , 0 , 0.701
46 , "5BZBJ0014+5802 " , "1RXSJ001442.2+58" , 3.67554 , 58.03367 , "118.06" , "-4.49" , "0 " , 19 , "BL Lac" , 8 , 0 , 1.28 , ". " , " " , " " , 0 , 0.171
47 , "5BZQJ0015-1812 " , "PKS0012-184 " , 3.76033 , -18.21408 , "77.8" , "-77.77" , "0.743 " , 19.6 , "QSO RLoud flat radio sp." , 387 , 0 , 0.48 , ". " , " " , " " , 0 , 0.784
48 , "5BZBJ0015+3536 " , "SHBLJ001528.3+35" , 3.86654 , 35.611 , "114.75" , "-26.69" , "0 " , 19.8 , "BL Lac" , 11 , 0 , 1.42 , ". " , " " , " " , 0 , 0.523
49 , "5BZQJ0015+1700 " , "CRATESJ001541+17" , 3.91658 , 17.01139 , "110.79" , "-45.02" , "1.709 " , 21 , "QSO RLoud flat radio sp." , 135 , 0 , 0 , ". " , " " , " " , 5e-10 , 0.813
50 , "5BZQJ0016-0015 " , "PKS 0013-00 " , 4.04621 , -0.25344 , "104" , "-61.83" , "1.577 " , 19.9 , "QSO RLoud flat radio sp." , 1086 , 0 , 0.23 , ". " , " " , " " , 4e-10 , 0.892
51 , "5BZQJ0017+8135 " , "S50014+813 " , 4.28525 , 81.58561 , "121.61" , "18.8" , "3.387 " , 15.9 , "QSO RLoud flat radio sp." , 693 , 0 , 0.77 , ". " , " " , " " , 0 , 0.478
52 , "5BZQJ0017-0512 " , "CGRaBSJ0017-0512" , 4.39921 , -5.21156 , "101.24" , "-66.65" , "0.227 " , 17.6 , "QSO RLoud flat radio sp." , 174 , 0 , 0.8 , ". " , " " , " " , 1.4e-9 , 0.588
53 , "5BZBJ0017+1451 " , "SDSSJ001736.90+1" , 4.40375 , 14.85053 , "110.85" , "-47.23" , "0.303 " , 17.8 , "BL Lac" , 59 , 0 , 0 , ". " , " " , " " , 0 , 0.48
54 , "5BZQJ0017-2748 " , "TEX0015-280 " , 4.49583 , -27.80586 , "25.8" , "-82.55" , "1.169 " , 19.3 , "QSO RLoud flat radio sp." , 344 , 0 , 0 , ". " , " " , " " , 0 , 0.751
55 , "5BZBJ0018+2947 " , "RXJ00184+2947 " , 4.61579 , 29.79189 , "114.44" , "-32.54" , "0.1 ? " , 18.4 , "BL Lac" , 33 , 0 , 5.89 , " ? " , " " , " " , 2e-10 , 0.51
56 , "5BZBJ0019-8152 " , "1RXSJ001928.1-81" , 4.83575 , -81.88092 , "304.31" , "-35.17" , "0 " , 16.1 , "BL Lac" , 83 , 0 , 0.51 , ". " , " " , " " , 9e-10 , 0.298
57 , "5BZBJ0019+2021 " , "PKS0017+200 " , 4.90767 , 20.36272 , "112.89" , "-41.89" , "0 " , 20.3 , "BL Lac" , 983 , 0 , 0.17 , ". " , " " , " " , 7e-10 , 0.962
58 , "5BZQJ0019+2602 " , "4C25.01 " , 4.91575 , 26.04789 , "114.07" , "-36.28" , "0.284 " , 15.8 , "QSO RLoud flat radio sp." , 683 , 0 , 1.92 , ". " , " " , " " , 0 , 0.498
59 , "5BZQJ0019-3031 " , "PKS0017-307 " , 4.92783 , -30.522 , "5.03" , "-82.28" , "2.677 " , 19.3 , "QSO RLoud flat radio sp." , 507 , 0 , 0 , ". " , " " , " " , 0 , 0.784
60 , "5BZQJ0019+7327 " , "1Jy0016+731 " , 4.94071 , 73.45842 , "120.64" , "10.72" , "1.781 " , 18.2 , "QSO RLoud flat radio sp." , 1136 , 486 , 0.11 , ". " , " " , " " , 0 , 0.698
61 , "5BZBJ0021-2550 " , "BZBJ0021-2550 " , 5.38558 , -25.847 , "42.1" , "-83.19" , "0 " , 17.5 , "BL Lac" , 69 , 0 , 0.18 , ". " , " " , " " , 9e-10 , 0.508
62 , "5BZBJ0021-0900 " , "SDSSJ00217-0900 " , 5.42604 , -9.01231 , "100.34" , "-70.57" , "0.648 " , 19.3 , "BL Lac" , 45 , 0 , 0 , ". " , " " , " " , 0 , 0.538
63 , "5BZBJ0022-5140 " , "2FGLJ0022.3-5141" , 5.50033 , -51.67339 , "313.69" , "-64.84" , "0 " , 15.9 , "BL Lac" , 20 , 0 , 3.22 , ". " , " " , " " , 4e-10 , 0.193
64 , "5BZGJ0022+0006 " , "1RXSJ002200.9+00" , 5.50396 , 0.11611 , "107.18" , "-61.86" , "0.306 " , 18.6 , "BL Lac-galaxy dominated" , 2 , 0 , 1.01 , ". " , " " , " " , 0 , 0.198
65 , "5BZQJ0022+4525 " , "B30019+451 " , 5.52758 , 45.42614 , "117.55" , "-17.14" , "1.897 " , 20.7 , "QSO RLoud flat radio sp." , 345 , 0 , 0.59 , ". " , " " , " " , 0 , 0.843
66 , "5BZBJ0022-1853 " , "1FGL_J0022.2-185" , 5.53863 , -18.893 , "82.14" , "-79.37" , "0 " , 18.6 , "BL Lac" , 23 , 0 , 0.69 , ". " , " " , " " , 9e-10 , 0.446
67 , "5BZBJ0022+0608 " , "PKS 0019+058 " , 5.63517 , 6.13456 , "110" , "-56.01" , "0 " , 18.5 , "BL Lac" , 340 , 0 , 0.25 , ". " , " " , " " , 2.2e-9 , 0.652
68 , "5BZUJ0023+4456 " , "S4 0020+44 " , 5.89767 , 44.94328 , "117.76" , "-17.65" , "2.023 ? " , 21.7 , "Blazar Uncertain type" , 140 , 0 , 0 , " ? " , " " , " " , 7e-10 , 0.761
69 , "5BZBJ0024+1602 " , "SDSSJ002401.28+1" , 6.00529 , 16.04278 , "113.37" , "-46.32" , "0 " , 18.9 , "BL Lac" , 57 , 0 , 0 , ". " , " " , " " , 0 , 0.533
70 , "5BZQJ0024+2439 " , "GB6B0021+2422 " , 6.11387 , 24.65739 , "115.16" , "-37.81" , "1.444 " , 21.7 , "QSO RLoud flat radio sp." , 150 , 0 , 0 , ". " , " " , " " , 0 , 0.887
71 , "5BZQJ0024+0349 " , "GB6J0024+0349 " , 6.18837 , 3.81769 , "110.15" , "-58.39" , "0.545 " , 19.6 , "QSO RLoud flat radio sp." , 22 , 0 , 0 , ". " , " " , " " , 5e-10 , 0.611
72 , "5BZQJ0024-0412 " , "PKSB0022-044 " , 6.1915 , -4.20047 , "106.25" , "-66.21" , "1.946 " , 20.5 , "QSO RLoud flat radio sp." , 260 , 0 , 0 , ". " , " " , " " , 0 , 0.834
73 , "5BZQJ0025-2227 " , "CRATESJ002523-22" , 6.35104 , -22.46322 , "69.83" , "-82.48" , "0.834 " , 18.7 , "QSO RLoud flat radio sp." , 202 , 0 , 0 , ". " , " " , " " , 0 , 0.672
74 , "5BZBJ0026-4601 " , "1RXSJ002636.3-46" , 6.64842 , -46.01936 , "315.92" , "-70.48" , "0 " , 17.5 , "BL Lac Candidate" , 38 , 0 , 8.01 , ". " , " " , " " , 0 , 0.411
75 , "5BZQJ0026-1112 " , "SDSSJ00268-1112 " , 6.71429 , -11.21458 , "101.79" , "-73.07" , "1.118 " , 19.1 , "QSO RLoud flat radio sp." , 169 , 0 , 0 , ". " , " " , " " , 0 , 0.679
76 , "5BZQJ0027+2241 " , "NAB 0024+22 " , 6.81404 , 22.69953 , "115.66" , "-39.83" , "1.119 " , 16.4 , "QSO RLoud flat radio sp." , 301 , 0 , 0.5 , ". " , " " , " " , 0 , 0.516
77 , "5BZGJ0027+2607 " , "1WGAJ0027.4+2607" , 6.8625 , 26.11853 , "116.23" , "-36.44" , "0.36 " , 18.3 , "BL Lac-galaxy dominated" , 56 , 0 , 0.85 , ". " , " " , " " , 0 , 0.466
78 , "5BZBJ0028+2408 " , "BZBJ0028+2408 " , 7.14254 , 24.13567 , "116.26" , "-38.44" , "0.373 " , 18.8 , "BL Lac Candidate" , 70 , 0 , 0 , ". " , " " , " " , 0 , 0.551
79 , "5BZUJ0028+0035 " , "GB6B0026+0019 " , 7.166 , 0.59481 , "110.83" , "-61.74" , "0.687 " , 19.6 , "Blazar Uncertain type" , 89 , 0 , 0 , ". " , " " , " " , 0 , 0.582
80 , "5BZBJ0028-7045 " , "CRATESJ002841-70" , 7.17308 , -70.75439 , "305.63" , "-46.26" , "0 " , 16.7 , "BL Lac" , 94 , 0 , 0 , ". " , " " , " " , 7e-10 , 0.525
81 , "5BZQJ0029+0509 " , "1WGAJ0029.0+0509" , 7.26492 , 5.15967 , "112.58" , "-57.27" , "1.633 " , 18.5 , "QSO RLoud flat radio sp." , 440 , 0 , 0.07 , ". " , " " , " " , 0 , 0.711
82 , "5BZQJ0029+0554 " , "PKS0027+056 " , 7.44121 , 5.91136 , "113.12" , "-56.55" , "1.314 " , 18.9 , "QSO RLoud flat radio sp." , 294 , 0 , 0.32 , ". " , " " , " " , 0 , 0.712
83 , "5BZBJ0030-0000 " , "-- " , 7.53283 , -0.002 , "111.37" , "-62.4" , "0 " , 19.5 , "BL Lac" , 51 , 0 , 0 , ". " , " " , " " , 0 , 0.738
84 , "5BZQJ0030-4224 " , "PKS 0027-426 " , 7.57287 , -42.41289 , "317.32" , "-74.13" , "0.495 " , 18.2 , "QSO RLoud flat radio sp." , 425 , 0 , 0.46 , ". " , " " , " " , 1e-9 , 0.687
85 , "5BZQJ0031-3922 " , "PKS0028-396 " , 7.85137 , -39.38039 , "320.46" , "-77.06" , "1.298 " , 19.8 , "QSO RLoud flat radio sp." , 137 , 0 , 0 , ". " , " " , " " , 0 , 0.719
86 , "5BZQJ0031-4108 " , "PKS 0029-414 " , 7.86687 , -41.13769 , "318" , "-75.41" , "0.896 " , 18.2 , "QSO RLoud flat radio sp." , 353 , 0 , 0.29 , ". " , " " , " " , 0 , 0.668
87 , "5BZQJ0032-2649 " , "1WGAJ0032.5-2648" , 8.13754 , -26.82172 , "36.04" , "-85.79" , "1.47 " , 18.4 , "QSO RLoud flat radio sp." , 135 , 0 , 0.15 , ". " , " " , " " , 0 , 0.589
88 , "5BZBJ0032-2849 " , "1WGAJ0032.5-2849" , 8.13779 , -28.82231 , "9.74" , "-85.51" , "0.324 " , 16.2 , "BL Lac" , 160 , 0 , 0.17 , ". " , " " , " " , 0 , 0.401
89 , "5BZBJ0033-1921 " , "SHBLJ003334.6-19" , 8.39317 , -19.35914 , "94.17" , "-81.22" , "0 " , 16.3 , "BL Lac" , 19 , 0 , 8.43 , ". " , " " , " " , 3.1e-9 , 0.221
90 , "5BZQJ0034+2754 " , "B2.2 0032+27 " , 8.68121 , 27.90714 , "118.43" , "-34.82" , "2.964 " , 18.4 , "QSO RLoud flat radio sp." , 828 , 0 , 0 , ". " , " " , " " , 0 , 0.746
91 , "5BZBJ0035+1515 " , "1RXSJ003514.9+15" , 8.81129 , 15.25117 , "117.15" , "-47.44" , "0 " , 16.8 , "BL Lac" , 18 , 0 , 3.02 , ". " , " " , " " , 1.1e-9 , 0.249
92 , "5BZBJ0035+5950 " , "1ES0033+595 " , 8.96925 , 59.83453 , "120.97" , "-2.98" , "0 " , 17.2 , "BL Lac" , 147 , 0 , 5.41 , ". " , " " , " " , 2.4e-9 , 0.284
93 , "5BZQJ0036-0932 " , "FIRSTJ00361-0932" , 9.02896 , -9.54156 , "110.59" , "-72.05" , "1.182 " , 18.8 , "QSO RLoud flat radio sp." , 108 , 0 , 0 , ". " , " " , " " , 0 , 0.614
94 , "5BZQJ0037-2145 " , "PKS 0034-220 " , 9.31179 , -21.75686 , "91.17" , "-83.74" , "2.513 " , 19.6 , "QSO RLoud flat radio sp." , 161 , 0 , 0 , ". " , " " , " " , 0 , 0.714
95 , "5BZBJ0037+2141 " , "GB6J0037+2142 " , 9.34808 , 21.69814 , "118.6" , "-41.06" , "0.598 " , 20.9 , "BL Lac Candidate" , 18 , 0 , 0 , ". " , " " , " " , 0 , 0.678
96 , "5BZBJ0037+1238 " , "PGC1413300 " , 9.462 , 12.63889 , "117.76" , "-50.1" , "0 " , 16 , "BL Lac" , 75 , 0 , 0.33 , ". " , " " , " " , 1.1e-9 , 0.253
97 , "5BZBJ0038+0013 " , "SDSSJ00381+0013 " , 9.53537 , 0.22683 , "115.72" , "-62.46" , "0.74 ? " , 19.3 , "BL Lac" , 96 , 0 , 0 , " ? " , " " , " " , 4e-10 , 0.586
98 , "5BZQJ0038-2459 " , "PKS 0035-252 " , 9.56137 , -24.98394 , "68.11" , "-86.35" , "0.498 " , 19.1 , "QSO RLoud flat radio sp." , 413 , 508 , 1.37 , ". " , " " , " " , 8e-10 , 0.761
99 , "5BZQJ0038-0329 " , "1RXSJ003820.3-03" , 9.58663 , -3.49967 , "114.82" , "-66.17" , "1.858 " , 17.2 , "QSO RLoud flat radio sp." , 225 , 0 , 0.51 , ". " , " " , " " , 0 , 0.555
100 , "5BZQJ0038+4137 " , "S4 0035+41 " , 9.6035 , 41.61842 , "120.32" , "-21.19" , "1.353 " , 20.3 , "QSO RLoud flat radio sp." , 692 , 0 , 0.34 , ". " , " " , " " , 0 , 0.893
101 , "5BZQJ0038+1856 " , "GB6J0038+1856 " , 9.62033 , 18.93825 , "118.68" , "-43.83" , "1.193 " , 19.5 , "QSO RLoud flat radio sp." , 72 , 0 , 0 , ". " , " " , " " , 0 , 0.64
102 , "5BZQJ0039-0942 " , "TEX0036-099 " , 9.77617 , -9.713 , "112.86" , "-72.35" , "2.102 " , 20.7 , "QSO RLoud flat radio sp." , 154 , 0 , 0 , ". " , " " , " " , 0 , 0.804
103 , "5BZQJ0039-1111 " , "TEX0037-114 " , 9.88158 , -11.184 , "112.4" , "-73.81" , "0.552 " , 19 , "QSO RLoud flat radio sp." , 309 , 0 , 0.59 , ". " , " " , " " , 0 , 0.71
104 , "5BZBJ0039+1411 " , "GB6J0039+1412 " , 9.91504 , 14.19931 , "118.61" , "-48.58" , "1.738 ? " , 19.8 , "BL Lac Candidate" , 266 , 0 , 0 , " ? " , " " , " " , 0 , 0.688
105 , "5BZUJ0040+4050 " , "1ES0037+405N " , 10.05754 , 40.83464 , "120.64" , "-21.99" , "0 " , 19.9 , "Blazar Uncertain type" , 47 , 0 , 1.05 , ". " , " " , " " , 0 , 0.53
106 , "5BZBJ0040-2719 " , "RXSJ00402-2719 " , 10.06837 , -27.31989 , "27.91" , "-87.52" , "0.172 " , 18 , "BL Lac" , 160 , 0 , 2.82 , ". " , " " , " " , 0 , 0.65
107 , "5BZGJ0040-2340 " , "BZUJ0040-2340 " , 10.10375 , -23.66683 , "86.62" , "-85.74" , "0.213 ? " , 17.3 , "BL Lac-galaxy dominated" , 53 , 0 , 0.09 , " ? " , " " , " " , 0 , 0.388
108 , "5BZBJ0040-3225 " , "PKS0038-326 " , 10.12771 , -32.42225 , "326.39" , "-84.21" , "0 " , 19.5 , "BL Lac" , 111 , 0 , 0 , ". " , " " , " " , 0 , 0.77
109 , "5BZQJ0040-0146 " , "PKS 0038-020 " , 10.24004 , -1.77553 , "116.83" , "-64.53" , "1.178 " , 18.3 , "QSO RLoud flat radio sp." , 573 , 0 , 0.36 , ". " , " " , " " , 0 , 0.723
110 , "5BZQJ0042-4030 " , "PKSB0039-407 " , 10.505 , -40.51089 , "310.6" , "-76.48" , "2.478 " , 19.3 , "QSO RLoud flat radio sp." , 190 , 0 , 0 , ". " , " " , " " , 0 , 0.704
111 , "5BZQJ0042+2320 " , "GC0039+23 " , 10.51896 , 23.33369 , "120.14" , "-39.49" , "1.426 " , 20.6 , "QSO RLoud flat radio sp." , 1269 , 0 , 0 , ". " , " " , " " , 8e-10 , 0.976
112 , "5BZBJ0042+3641 " , "1RXSJ004208.1+36" , 10.53375 , 36.68694 , "120.85" , "-26.15" , "0 " , 18.5 , "BL Lac" , 12 , 0 , 1.52 , ". " , " " , " " , 0 , 0.383
113 , "5BZQJ0042+1509 " , "GB6J0042+1509 " , 10.55658 , 15.15428 , "119.63" , "-47.66" , "1.159 " , 20.7 , "QSO RLoud flat radio sp." , 156 , 0 , 0.36 , ". " , " " , " " , 0 , 0.794
114 , "5BZQJ0042+1009 " , "GB6J0042+1009 " , 10.68483 , 10.16375 , "119.4" , "-52.65" , "1.657 " , 22.1 , "QSO RLoud flat radio sp." , 232 , 0 , 0 , ". " , " " , " " , 0 , 0.949
115 , "5BZUJ0043-2639 " , "Q 0040-2655 " , 10.84467 , -26.65167 , "47.38" , "-88.15" , "0.451 " , 17.3 , "Blazar Uncertain type" , 78 , 0 , 0.37 , ". " , " " , " " , 0 , 0.422
116 , "5BZQJ0043+0025 " , "PKS 0041+001 " , 10.88629 , 0.41667 , "118.67" , "-62.39" , "1.128 " , 19.2 , "QSO RLoud flat radio sp." , 123 , 0 , 0 , ". " , " " , " " , 0 , 0.656
117 , "5BZQJ0043+3426 " , "BZQJ0043+3426 " , 10.95371 , 34.44053 , "121.14" , "-28.41" , "0.966 " , 19.9 , "QSO RLoud flat radio sp." , 93 , 0 , 0 , ". " , " " , " " , 1.9e-9 , 0.665
118 , "5BZQJ0044-3752 " , "-- " , 11.07104 , -37.88311 , "310.44" , "-79.15" , "0.483 " , 19.3 , "QSO RLoud flat radio sp." , 19 , 0 , 0 , ". " , " " , " " , 0 , 0.579
