_id , bzcat5_name , other_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux_density_1.4/0.843GHz , Flux_density143GHz , X-ray flux0.1-2.4keV , Comment_on_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100 GeV, aro-aox-arx
550 , "5BZQJ0336-3616 " , "PKS 0335-364 " , 54.22504 , -36.26839 , "238.11" , "-53.93" , "1.537 " , 18.7 , "QSO RLoud flat radio sp." , 501 , 314 , 0.31 , ". " , " " , " " , 0 , 0.745
551 , "5BZQJ0337-1204 " , "PKS 0335-122 " , 54.48104 , -12.06792 , "200.15" , "-48.24" , "3.442 " , 21.1 , "QSO RLoud flat radio sp." , 475 , 0 , 0 , ". " , " " , " " , 0 , 0.914
552 , "5BZQJ0338+3106 " , "GB6J0338+3106 " , 54.50142 , 31.10269 , "160.05" , "-19.51" , "1.662 " , 22.2 , "QSO RLoud flat radio sp." , 139 , 0 , 0 , ". " , " " , " " , 0 , 0.866
553 , "5BZBJ0338-2443 " , "1WGAJ0338.2-2443" , 54.55208 , -24.73064 , "218.88" , "-52.6" , "0.251 " , 18.6 , "BL Lac" , 13 , 0 , 1.06 , ". " , " " , " " , 0 , 0.481
554 , "5BZQJ0339-0133 " , "PKS 0336-017 " , 54.75404 , -1.55478 , "187.65" , "-42.43" , "3.197 " , 18.8 , "QSO RLoud flat radio sp." , 593 , 0 , 0.18 , ". " , " " , " " , 0 , 0.737
555 , "5BZQJ0339-0146 " , "PKS0336-019 " , 54.87892 , -1.77661 , "187.99" , "-42.46" , "0.85 " , 17.1 , "QSO RLoud flat radio sp." , 2424 , 827 , 0.75 , ". " , " " , " " , 1.3e-9 , 0.741
556 , "5BZQJ0340-6703 " , "MC4 0340-672 " , 55.11767 , -67.05458 , "282.07" , "-42.59" , "0.478 " , 18.4 , "QSO RLoud flat radio sp." , 400 , 0 , 0.64 , ". " , " " , " " , 0 , 0.663
557 , "5BZBJ0340-2119 " , "PKS0338-214 " , 55.14838 , -21.32533 , "213.79" , "-51.19" , "0.233 " , 16.5 , "BL Lac" , 1075 , 382 , 0.47 , ". " , " " , " " , 5e-10 , 0.603
558 , "5BZQJ0341+3352 " , "GC0337+33 " , 55.29158 , 33.87267 , "158.77" , "-16.94" , "0.725 " , 20.6 , "QSO RLoud flat radio sp." , 357 , 0 , 0 , ". " , " " , " " , 0 , 0.809
559 , "5BZQJ0341-5954 " , "PKS 0340-600 " , 55.34004 , -59.90247 , "273.54" , "-46.36" , "2.064 " , 18.3 , "QSO RLoud flat radio sp." , 377 , 0 , 0.35 , ". " , " " , " " , 0 , 0.68
560 , "5BZUJ0342+3859 " , "1FGL_J0342.2+385" , 55.56775 , 38.98506 , "155.65" , "-12.8" , "0.945 " , 20.9 , "Blazar Uncertain type" , 62 , 188 , 0 , ". " , " " , " " , 1.1e-9 , 0.602
561 , "5BZQJ0343-2530 " , "PKS 0341-256 " , 55.83133 , -25.50483 , "220.53" , "-51.64" , "1.419 " , 18.3 , "QSO RLoud flat radio sp." , 503 , 0 , 0.15 , ". " , " " , " " , 4e-10 , 0.71
562 , "5BZQJ0343+3622 " , "S4 0340+36 " , 55.87063 , 36.37011 , "157.53" , "-14.69" , "1.485 " , 20.2 , "QSO RLoud flat radio sp." , 513 , 0 , 0 , ". " , " " , " " , 0 , 0.783
563 , "5BZQJ0343-1141 " , "BZQJ0343-1141 " , 55.92492 , -11.69381 , "200.62" , "-46.82" , "2.259 " , 22.7 , "QSO RLoud flat radio sp." , 60 , 0 , 0.04 , ". " , " " , " " , 0 , 0.904
564 , "5BZQJ0344+1559 " , "CRATESJ034423+15" , 56.09654 , 15.99539 , "172.32" , "-29.85" , "2.276 " , 19.9 , "QSO RLoud flat radio sp." , 284 , 0 , 0 , ". " , " " , " " , 0 , 0.727
565 , "5BZQJ0345+1453 " , "GB6J0345+1453 " , 56.27675 , 14.89711 , "173.36" , "-30.5" , "1.556 " , 20.8 , "QSO RLoud flat radio sp." , 317 , 0 , 0.08 , ". " , " " , " " , 0 , 0.814
566 , "5BZQJ0345-0023 " , "SDSSJ03455-0023 " , 56.39033 , -0.38408 , "187.69" , "-40.42" , "0.799 " , 20 , "QSO RLoud flat radio sp." , 93 , 0 , 0 , ". " , " " , " " , 0 , 0.691
567 , "5BZQJ0347+4842 " , "GB6J0347+4842 " , 56.79837 , 48.71042 , "150.27" , "-4.61" , "2.043 " , 20.9 , "QSO RLoud flat radio sp." , 76 , 0 , 0 , ". " , " " , " " , 0 , 0.518
568 , "5BZQJ0348-2749 " , "PKS 0346-27 " , 57.15892 , -27.82044 , "224.52" , "-50.91" , "0.991 " , 17.7 , "QSO RLoud flat radio sp." , 840 , 380 , 1.02 , ". " , " " , " " , 7e-10 , 0.732
569 , "5BZBJ0348-1610 " , "PKS 0346-163 " , 57.16363 , -16.17161 , "207.35" , "-47.63" , "0 " , 16.2 , "BL Lac" , 437 , 565 , 0.63 , ". " , " " , " " , 0 , 0.504
570 , "5BZBJ0349-1159 " , "1ES0347-121 " , 57.34667 , -11.99083 , "201.92" , "-45.71" , "0.188 " , 17.4 , "BL Lac" , 24 , 0 , 14.3 , ". " , " " , " " , 0 , 0.361
571 , "5BZQJ0349-2102 " , "PKS 0347-211 " , 57.49096 , -21.04658 , "214.39" , "-49.02" , "2.944 " , 19.7 , "QSO RLoud flat radio sp." , 305 , 0 , 0.4 , ". " , " " , " " , 2.2e-9 , 0.763
572 , "5BZQJ0350+5138 " , "GB6J0350+5138 " , 57.60437 , 51.64408 , "148.85" , "-1.99" , "1.437 " , 21.6 , "QSO RLoud flat radio sp." , 121 , 0 , 0 , ". " , " " , " " , 0 , 0.468
573 , "5BZQJ0351-1153 " , "PKS 0348-120 " , 57.79575 , -11.88964 , "202.07" , "-45.28" , "1.52 " , 18.6 , "QSO RLoud flat radio sp." , 503 , 0 , 0 , ". " , " " , " " , 0 , 0.726
574 , "5BZQJ0351-7921 " , "CRATESJ035132-79" , 57.85629 , -79.36564 , "293.83" , "-34.36" , "1.333 " , 18.6 , "QSO RLoud flat radio sp." , 57 , 0 , 0 , ". " , " " , " " , 0 , 0.534
575 , "5BZBJ0351-3703 " , "MS0350.0-3712 " , 57.97737 , -37.06228 , "239.24" , "-50.9" , "0.165 " , 16.4 , "BL Lac" , 35 , 0 , 1.24 , ". " , " " , " " , 0 , 0.298
576 , "5BZBJ0353-3623 " , "1WGAJ0353.0-3623" , 58.27096 , -36.38567 , "238.16" , "-50.67" , "0 " , 18.2 , "BL Lac" , 6 , 0 , 2.29 , ". " , " " , " " , 0 , 0.289
577 , "5BZQJ0354-1616 " , "PKS 0352-164 " , 58.60425 , -16.27292 , "208.26" , "-46.39" , "1.187 " , 18.5 , "QSO RLoud flat radio sp." , 244 , 0 , 0 , ". " , " " , " " , 0 , 0.659
