_id , ercsc30_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC030 G118.11+04.94"   ,, 0.32125 , 67.34306 , 118.1171 , 4.94142 , "5.3e+4+/-839" , "1.30e+4+/-1227.2" , "4.4e+4+/-606.71" , "7.8e+4+/-872.78" , 5.336 , 0 , 0 , 2 , "0.977+/-0.047"
2 , "PLCKERC030 G117.62+02.22"   ,, 0.43583 , 64.58083 , 117.62942 , 2.22199 , "1776.4+/-138" , "2037.67+/-298.1" , "NaN+/-NaN" , "-278.7+/-645.67" , 5.336 , 0 , 1 , 2 , "0.887+/-0.046"
3 , "PLCKERC030 G084.65-71.12"   ,, 1.04542 , -11.85778 , 84.6562 , -71.12824 , "719.5+/-119" , "805.91+/-131.8" , "NaN+/-NaN" , "678.1+/-123.38" , 5.336 , 1 , 0 , 2 , "0.831+/-0.047"
4 , "PLCKERC030 G093.49-66.62"   ,, 1.54667 , -6.37611 , 93.49979 , -66.6266 , "1514.1+/-82" , "1893.41+/-135.8" , "1750.5+/-69.43" , "1545.6+/-128.38" , 5.336 , 0 , 0 , 1 , "0.964+/-0.048"
5 , "PLCKERC030 G107.03-50.60"   ,, 2.66208 , 11.00083 , 107.03913 , -50.6077 , "2441.9+/-80" , "2556.77+/-141.2" , "2594.1+/-67.9" , "2474.2+/-137.24" , 5.336 , 0 , 0 , 1 , "0.972+/-0.047"
6 , "PLCKERC030 G115.29-21.45"   ,, 3.44125 , 40.86 , 115.29055 , -21.45196 , "1145.8+/-88" , "989.78+/-153.6" , "1123.1+/-76" , "1317.9+/-183.48" , 5.336 , 0 , 0 , 1 , "0.852+/-0.046"
7 , "PLCKERC030 G119.41-00.96"   ,, 5.42292 , 61.70667 , 119.41433 , -0.96174 , "3586.1+/-150" , "1957.78+/-267.7" , "3329.3+/-77.09" , "4136.7+/-222.38" , 5.336 , 0 , 0 , 2 , "0.902+/-0.046"
8 , "PLCKERC030 G306.60-48.58"   ,, 6.25417 , -68.35361 , 306.60956 , -48.58528 , "544.4+/-62" , "489.35+/-86.4" , "569.2+/-36.02" , "677.2+/-86.12" , 4.343 , 0 , 0 , 5 , "0.797+/-0.051"
9 , "PLCKERC030 G120.09+01.39"   ,, 6.35792 , 64.12222 , 120.09856 , 1.39367 , "7027.3+/-101" , "6574.34+/-311.9" , "6908.4+/-70.71" , "6843.2+/-140.11" , 5.336 , 0 , 0 , 2 , "0.978+/-0.048"
10 , "PLCKERC030 G042.09-84.13"  ,, 6.41083 , -26.0475 , 42.09139 , -84.1339 , "933.9+/-80" , "956.39+/-136.2" , "975.5+/-65.62" , "816.2+/-143.14" , 5.336 , 1 , 0 , 2 , "0.873+/-0.046"
