_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1 , "BZBJ0002-0024 " , 0.73825 , -0.41314 , "97.39" , "-60.86" , "0.523 " , 19.7 , "BL Lac" , 178 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.758 , "PKS0000-006 "
2 , "BZQJ0003+2129 " , 0.83063 , 21.49569 , "108.26" , "-40.01" , "0.45 " , 19.7 , "QSO RLoud flat radio sp." , 83 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.735 , "GB6B0000+2113 "
3 , "BZQJ0004+4615 " , 1.06721 , 46.255 , "114.48" , "-15.84" , "1.81 " , 20.4 , "QSO RLoud flat radio sp." , 120 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.735 , "3EGJ0004+4615 "
4 , "BZQJ0004+2019 " , 1.149 , 20.32842 , "108.27" , "-41.21" , "0.677 " , 20.2 , "QSO RLoud flat radio sp." , 55 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.718 , "BZQJ0004+2019 "
5 , "BZQJ0004-4736 " , 1.14867 , -47.60517 , "323.94" , "-67.57" , "0.88 " , 15.9 , "QSO RLoud flat radio sp." , 909 , 0 , 0.85 , ". " , ". " , "s " , 9.2e-10 , 2.45 , 0.58 , "PKS 0002-478 "
6 , "BZQJ0005+0524 " , 1.33425 , 5.40297 , "102.31" , "-55.62" , "1.9 " , 16.3 , "QSO RLoud flat radio sp." , 127 , 0 , 0.26 , ". " , ". " , ". " , 0 , 0 , 0.44 , "UM 18 "
7 , "BZQJ0005+3820 " , 1.48825 , 38.33753 , "113.21" , "-23.68" , "0.229 " , 17.6 , "QSO RLoud flat radio sp." , 572 , 684.7 , 0.75 , ". " , ". " , ". " , 8.97e-10 , 2.6 , 0.638 , "S40003+380 "
8 , "BZQJ0006-0623 " , 1.55788 , -6.39314 , "93.5" , "-66.65" , "0.347 " , 17.8 , "QSO RLoud flat radio sp." , 2051 , 1029.9 , 0.82 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS0003-066 "
9 , "BZBJ0006+1051 " , 1.5845 , 10.86433 , "105.37" , "-50.47" , "0.168 " , 14.6 , "BL Lac Candidate" , 12 , 0 , 1.72 , ". " , "g " , ". " , 0 , 0 , 0.033 , "1RXS J000620.3+1"
10 , "BZQJ0006+2422 " , 1.70329 , 24.37681 , "110.11" , "-37.39" , "1.684 " , 18.7 , "QSO RLoud flat radio sp." , 184 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.652 , "CRATESJ000649+24"
11 , "BZBJ0007+4712 " , 1.99988 , 47.20217 , "115.31" , "-15.03" , "0.28 " , 18.2 , "BL Lac" , 60 , 0 , 0.53 , ". " , ". " , ". " , 1.45e-9 , 2.1 , 0.505 , "RXJ00079+4712 "
12 , "BZQJ0008-2339 " , 2.00154 , -23.65503 , "50.04" , "-79.6" , "1.412 " , 15.8 , "QSO RLoud flat radio sp." , 375 , 0 , 0 , ". " , ". " , ". " , 5.74e-10 , 1.62 , -9.9 , "PKS 0005-239 "
13 , "BZBJ0008-2339 " , 2.14746 , -23.65783 , "50.31" , "-79.73" , "0.147 " , 16.8 , "BL Lac Candidate" , 36 , 0 , 2.42 , ". " , ". " , ". " , 5.74e-10 , 1.62 , 0.308 , "1RXS J000835.4-2"
14 , "BZQJ0008-4619 " , 2.15642 , -46.328 , "323.91" , "-69.02" , "1.85 " , 16.6 , "QSO RLoud flat radio sp." , 109 , 0 , 0 , ". " , ". " , "s " , 0 , 0 , 0.373 , "C16.07 "
15 , "BZBJ0009+0628 " , 2.26638 , 6.47256 , "104.42" , "-54.87" , "0 " , 19.1 , "BL Lac Candidate" , 247 , 0 , 0.55 , ". " , ". " , ". " , 3.47e-10 , 2.4 , 0.675 , "1RXS J000904.4+0"
16 , "BZBJ0009+0625 " , 2.32104 , 6.43186 , "104.49" , "-54.93" , "0 " , 19 , "BL Lac Candidate" , 180 , 0 , 0 , ". " , ". " , ". " , 3.47e-10 , 2.4 , 0.624 , "CRATESJ000917+06"
17 , "BZQJ0010+2047 " , 2.61975 , 20.79714 , "110.2" , "-41.06" , "0.6 " , 18.4 , "QSO RLoud flat radio sp." , 159 , 0 , 0.51 , ". " , ". " , ". " , 0 , 0 , 0.601 , "1RXS J001029.4+2"
18 , "BZQJ0010+1058 " , 2.62921 , 10.97486 , "106.98" , "-50.63" , "0.089 " , 13.9 , "QSO RLoud flat radio sp." , 98 , 1404.2 , 6.14 , ". " , "g " , ". " , 0 , 0 , 0.316 , "III ZW 2 "
19 , "BZQJ0010+1724 " , 2.64158 , 17.40519 , "109.23" , "-44.38" , "1.601 " , 16.9 , "QSO RLoud flat radio sp." , 918 , 0 , 0.65 , ". " , ". " , ". " , 0 , 0 , 0.652 , "PKS 0008+171 "
20 , "BZQJ0010-3027 " , 2.64867 , -30.46275 , "10.09" , "-80.46" , "1.19 " , 18.8 , "QSO RLoud flat radio sp." , 315 , 0 , 0.17 , ". " , ". " , ". " , 0 , 0 , 0.761 , "PKS0008-307 "
21 , "BZQJ0011-2612 " , 2.75521 , -26.20928 , "36.46" , "-80.93" , "1.096 " , 18.8 , "QSO RLoud flat radio sp." , 210 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.765 , "PKS 0008-264 "
22 , "BZQJ0011-3620 " , 2.81133 , -36.34428 , "343.22" , "-77.45" , "2.324 " , 21.3 , "QSO RLoud flat radio sp." , 66 , 0 , 0.02 , ". " , ". " , ". " , 0 , 0 , 0.785 , "1WGA J0011.2-362"
23 , "BZQJ0011+0057 " , 2.87667 , 0.96439 , "102.44" , "-60.31" , "1.492 " , 20.1 , "QSO RLoud flat radio sp." , 167 , 0 , 0.28 , ". " , ". " , ". " , 4.63e-10 , 2.43 , 0.754 , "1RXS J001129.6+0"
24 , "BZUJ0012-1628 " , 3.14092 , -16.46847 , "80.76" , "-76.05" , "0.151 " , 15 , "Blazar Uncertain type" , 94 , 0 , 0.9 , ". " , "g " , ". " , 0 , 0 , 0.234 , "1RXS J001234.8-1"
25 , "BZQJ0012+3353 " , 3.19742 , 33.89403 , "113.82" , "-28.3" , "1.682 " , 19.6 , "QSO RLoud flat radio sp." , 81 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.647 , "GC0010+33 "
26 , "BZBJ0012-3954 " , 3.24962 , -39.90725 , "332.46" , "-74.95" , "0 " , 18.9 , "BL Lac Candidate" , 494 , 394.7 , 0 , ". " , ". " , ". " , 4.73e-10 , 2.16 , 0.843 , "PKS0010-401 "
27 , "BZQJ0013-1513 " , 3.33629 , -15.22997 , "84.35" , "-75.17" , "1.838 " , 19.2 , "QSO RLoud flat radio sp." , 117 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , -9.9 , "CGRaBSJ0013-1513"
28 , "BZQJ0013-0423 " , 3.47554 , -4.39786 , "99.78" , "-65.57" , "1.075 " , 19.9 , "QSO RLoud flat radio sp." , 303 , 0 , 0.3 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS 0011-046 "
29 , "BZBJ0013+1910 " , 3.48487 , 19.17831 , "110.82" , "-42.81" , "0 " , 18.1 , "BL Lac Candidate" , 161 , 0 , 0 , ". " , ". " , ". " , 3.52e-10 , 2.06 , 0.593 , "BZBJ0013+1910 "
30 , "BZBJ0013-1854 " , 3.48354 , -18.90189 , "74.63" , "-78.09" , "0.094 " , 13.4 , "BL Lac Candidate" , 29 , 0 , 6.49 , ". " , "g " , ". " , 0 , 0 , 0.033 , "1RXS J001356.6-1"
31 , "BZBJ0014-5022 " , 3.54675 , -50.37572 , "317.45" , "-65.7" , "0 " , 18.7 , "BL Lac Candidate" , 13 , 0 , 6.98 , ". " , ". " , "s " , 0 , 0 , 0.375 , "1RXS J001411.8-5"
32 , "BZUJ0014+0854 " , 3.58217 , 8.90056 , "107.63" , "-52.87" , "0.162 " , 15.8 , "Blazar Uncertain type" , 324 , 0 , 0.67 , ". " , "g " , ". " , 0 , 0 , 0.402 , "1RXS J001420.5+0"
33 , "BZQJ0014-3059 " , 3.65817 , -30.98856 , "5.11" , "-81.09" , "2.785 " , 19.3 , "QSO RLoud flat radio sp." , 193 , 0 , 0.12 , ". " , ". " , ". " , 0 , 0 , 0.704 , "PKS0012-312 "
34 , "BZQJ0015-1812 " , 3.76038 , -18.21414 , "77.8" , "-77.77" , "0.743 " , 19.6 , "QSO RLoud flat radio sp." , 387 , 0 , 0.48 , ". " , ". " , ". " , 0 , 0 , -9.9 , "1RXS J001501.8-1"
35 , "BZBJ0015+3536 " , 3.86646 , 35.61125 , "114.75" , "-26.69" , "0 " , 18.5 , "BL Lac" , 11 , 0 , 1.42 , ". " , ". " , ". " , 0 , 0 , 0.354 , "1RXS J001528.3+3"
36 , "BZQJ0015+1700 " , 3.91663 , 17.01125 , "110.79" , "-45.02" , "1.709 " , 21 , "QSO RLoud flat radio sp." , 135 , 0 , 0 , ". " , "r " , ". " , 0 , 0 , 0.814 , "1FGL_J0016.6+170"
37 , "BZQJ0016-0015 " , 4.04621 , -0.25344 , "104" , "-61.83" , "1.577 " , 19.3 , "QSO RLoud flat radio sp." , 1086 , 326.1 , 0.23 , ". " , ". " , ". " , 5.33e-10 , 2.6 , -9.9 , "PKS 0013-00 "
38 , "BZQJ0017+8135 " , 4.28529 , 81.58558 , "121.61" , "18.8" , "3.387 " , 15.9 , "QSO RLoud flat radio sp." , 693 , 0 , 0.77 , ". " , ". " , ". " , 0 , 0 , 0.481 , "S50014+813 "
39 , "BZBJ0017+1451 " , 4.40379 , 14.85053 , "110.85" , "-47.23" , "0.303 " , 17.2 , "BL Lac" , 59 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.409 , "BZBJ0017+1451 "
40 , "BZQJ0017-0512 " , 4.39925 , -5.21158 , "101.24" , "-66.65" , "0.227 " , 17.6 , "QSO RLoud flat radio sp." , 174 , 292.3 , 0.8 , ". " , ". " , ". " , 1.09e-9 , 2.44 , -9.9 , "1RXS J001736.1-0"
41 , "BZBJ0018+2947 " , 4.61562 , 29.79178 , "114.44" , "-32.54" , "0.1? " , 17.4 , "BL Lac" , 33 , 0 , 5.89 , "? " , ". " , ". " , 2.46e-10 , 1.24 , 0.431 , "RXJ00184+2947 "
42 , "BZQJ0019+7327 " , 4.94079 , 73.45833 , "120.64" , "10.72" , "1.781 " , 18.2 , "QSO RLoud flat radio sp." , 1136 , 398.1 , 0.11 , ". " , ". " , ". " , 0 , 0 , 0.7 , "1Jy0016+731 "
43 , "BZBJ0019+2021 " , 4.90771 , 20.36267 , "112.89" , "-41.89" , "0 " , 19.4 , "BL Lac" , 983 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.86 , "PKS0017+200 "
44 , "BZQJ0019+2602 " , 4.91575 , 26.04786 , "114.07" , "-36.28" , "0.284 " , 14.8 , "QSO RLoud flat radio sp." , 683 , 0 , 1.92 , ". " , ". " , ". " , 0 , 0 , 0.42 , "4C25.01 "
45 , "BZQJ0019-3031 " , 4.92783 , -30.52206 , "5.03" , "-82.28" , "2.677 " , 19.3 , "QSO RLoud flat radio sp." , 507 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.778 , "PKS0017-307 "
46 , "BZBJ0021-2550 " , 5.38542 , -25.847 , "42.1" , "-83.19" , "0 " , 17.5 , "BL Lac Candidate" , 69 , 0 , 0.18 , ". " , ". " , ". " , 7.07e-10 , 1.98 , 0.498 , "1FGL_J0021.7-255"
47 , "BZBJ0021-0900 " , 5.42608 , -9.01233 , "100.34" , "-70.57" , "0.648 " , 19.7 , "BL Lac" , 45 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.587 , "SDSSJ00217-0900 "
48 , "BZQJ0022+4525 " , 5.52754 , 45.42606 , "117.55" , "-17.14" , "1.897 " , 20.7 , "QSO RLoud flat radio sp." , 345 , 0 , 0.59 , ". " , ". " , ". " , 0 , 0 , 0.845 , "B30019+451 "
49 , "BZBJ0022+0006 " , 5.50333 , 0.11556 , "107.18" , "-61.86" , "0.306 " , 18.3 , "BL Lac Candidate" , 2 , 0 , 1.01 , ". " , ". " , "f " , 0 , 0 , 0.174 , "1RXS J002200.9+0"
50 , "BZBJ0022+0608 " , 5.63517 , 6.13453 , "110" , "-56.01" , "0 " , 18.9 , "BL Lac" , 340 , 0 , 0 , ". " , ". " , ". " , 1.78e-9 , 2.09 , 0.698 , "PKS 0019+058 "
51 , "BZQJ0023+4456 " , 5.89767 , 44.94328 , "117.76" , "-17.65" , "1.062 " , 21.7 , "QSO RLoud flat radio sp." , 140 , 0 , 0 , ". " , ". " , ". " , 7.37e-10 , 2.36 , 0.87 , "S4 0020+44 "
52 , "BZBJ0024+1602 " , 6.00537 , 16.04275 , "113.37" , "-46.32" , "0 " , 19.8 , "BL Lac" , 57 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.669 , "GB6J0024+1602 "
53 , "BZQJ0024+2439 " , 6.11387 , 24.65731 , "115.16" , "-37.81" , "1.444 " , 19.2 , "QSO RLoud flat radio sp." , 150 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.681 , "GB6B0021+2422 "
54 , "BZQJ0024+0349 " , 6.18837 , 3.81764 , "110.15" , "-58.39" , "0.545 " , 19.2 , "QSO RLoud flat radio sp." , 22 , 0 , 0 , ". " , ". " , ". " , 3.94e-10 , 2.24 , 0.56 , "GB6B0022+0332 "
55 , "BZQJ0024-0412 " , 6.19158 , -4.20042 , "106.25" , "-66.21" , "1.946 " , 18.8 , "QSO RLoud flat radio sp." , 260 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS0022-044 "
56 , "BZBJ0026-0005 " , 6.53487 , -0.09639 , "109.22" , "-62.3" , "0.107 " , 17.4 , "BL Lac Candidate" , 0.9 , 0 , 0.24 , ". " , ". " , "f " , 0 , 0 , 0.041 , "1RXS J002608.2-0"
57 , "BZBJ0026-4601 " , 6.6475 , -46.01972 , "315.92" , "-70.48" , "0 " , 17.5 , "BL Lac Candidate" , 38 , 0 , 8.01 , ". " , ". " , "s " , 0 , 0 , 0.372 , "1RXS J002636.3-4"
58 , "BZQJ0027+2241 " , 6.81404 , 22.6995 , "115.66" , "-39.83" , "1.119 " , 15.6 , "QSO RLoud flat radio sp." , 301 , 0 , 0.5 , ". " , ". " , ". " , 0 , 0 , 0.453 , "NAB 0024+22 "
59 , "BZBJ0027+2607 " , 6.86263 , 26.11875 , "116.23" , "-36.44" , "0.36? " , 17.4 , "BL Lac" , 56 , 0 , 0.85 , "? " , ". " , ". " , 0 , 0 , 0.414 , "1RXS J002728.9+2"
60 , "BZBJ0028+2408 " , 7.14254 , 24.13558 , "116.26" , "-38.44" , "0.373 " , 18 , "BL Lac Candidate" , 70 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.488 , "BZBJ0028+2408 "
61 , "BZUJ0028+0035 " , 7.16571 , 0.59506 , "110.83" , "-61.74" , "0.687 " , 18.7 , "Blazar Uncertain type" , 89 , 0 , 0 , ". " , "p " , ". " , 0 , 0 , 0.511 , "GB6B0026+0019 "
62 , "BZQJ0029+0509 " , 7.26496 , 5.15969 , "112.58" , "-57.27" , "1.633 " , 18.6 , "QSO RLoud flat radio sp." , 440 , 0 , 0.07 , ". " , ". " , ". " , 0 , 0 , 0.721 , "1WGA J0029.0+050"
63 , "BZBJ0028-7045 " , 7.17312 , -70.75442 , "305.63" , "-46.26" , "0 " , 16.7 , "BL Lac Candidate" , 94 , 0 , 0 , ". " , ". " , "s " , 6.22e-10 , 2.47 , 0.476 , "CRATESJ002841-70"
64 , "BZQJ0029+0554 " , 7.44121 , 5.91128 , "113.12" , "-56.55" , "1.314 " , 19.5 , "QSO RLoud flat radio sp." , 294 , 0 , 0.32 , ". " , ". " , ". " , 0 , 0 , 0.76 , "PKS0027+056 "
65 , "BZQJ0030-4224 " , 7.57325 , -42.41278 , "317.32" , "-74.13" , "0.495 " , 18.2 , "QSO RLoud flat radio sp." , 425 , 0 , 0.46 , ". " , ". " , "s " , 9.26e-10 , 2.61 , 0.701 , "PKS 0027-426 "
66 , "BZQJ0031-4108 " , 7.86646 , -41.137 , "318" , "-75.41" , "0.896 " , 18.2 , "QSO RLoud flat radio sp." , 353 , 0 , 0.29 , ". " , ". " , "s " , 0 , 0 , 0.651 , "PKS 0029-414 "
67 , "BZQJ0032-2649 " , 8.13762 , -26.82156 , "36.05" , "-85.79" , "1.47 " , 18.4 , "QSO RLoud flat radio sp." , 135 , 0 , 0.15 , ". " , ". " , ". " , 0 , 0 , 0.599 , "1WGA J0032.5-264"
68 , "BZBJ0032-2849 " , 8.13788 , -28.82228 , "9.74" , "-85.51" , "0.324 " , 16.2 , "BL Lac" , 160 , 0 , 0.17 , ". " , ". " , ". " , 0 , 0 , 0.41 , "1WGAJ0032.5-2849"
69 , "BZBJ0033-1921 " , 8.39304 , -19.35936 , "94.17" , "-81.22" , "0.61 " , 16.6 , "BL Lac" , 19 , 0 , 8.43 , ". " , ". " , ". " , 2.23e-9 , 1.76 , 0.228 , "1RXS J003334.6-1"
70 , "BZBJ0035+1515 " , 8.81092 , 15.25078 , "117.15" , "-47.44" , "0 " , 16.7 , "BL Lac" , 18 , 0 , 3.02 , ". " , ". " , ". " , 7.39e-10 , 1.62 , 0.241 , "1RXS J003514.9+1"
71 , "BZBJ0035+5950 " , 8.96933 , 59.83439 , "120.97" , "-2.98" , "0 " , 17.2 , "BL Lac" , 147 , 0 , 5.41 , ". " , ". " , ". " , 1.35e-9 , 1.87 , 0.284 , "1ES0033+595 "
72 , "BZBJ0037+2141 " , 9.34808 , 21.69811 , "118.6" , "-41.06" , "0.598 " , 20.2 , "BL Lac Candidate" , 18 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.622 , "GB6B0034+2125 "
73 , "BZBJ0037+1238 " , 9.462 , 12.63886 , "117.76" , "-50.1" , "0 " , 14.7 , "BL Lac Candidate" , 75 , 0 , 0.33 , ". " , "g " , ". " , 7.84e-10 , 2.22 , 0.161 , "1RXS J003751.8+1"
74 , "BZBJ0038+0013 " , 9.53542 , 0.22683 , "115.72" , "-62.46" , "0 " , 19.3 , "BL Lac" , 96 , 0 , 0 , ". " , ". " , ". " , 3.27e-10 , 1.93 , 0.65 , "SDSSJ00381+0013 "
75 , "BZQJ0038+4137 " , 9.6035 , 41.61833 , "120.32" , "-21.19" , "1.353 " , 18.9 , "QSO RLoud flat radio sp." , 692 , 0 , 0.34 , ". " , ". " , ". " , 0 , 0 , 0.782 , "S4 0035+41 "
76 , "BZQJ0038-2459 " , 9.56142 , -24.98394 , "68.11" , "-86.35" , "1.196 " , 19.1 , "QSO RLoud flat radio sp." , 413 , 507.6 , 1.37 , ". " , ". " , ". " , 7.29e-10 , 2.39 , 0.786 , "PKS 0035-252 "
77 , "BZQJ0038-0329 " , 9.58663 , -3.49972 , "114.82" , "-66.17" , "1.858 " , 18.5 , "QSO RLoud flat radio sp." , 225 , 0 , 0.51 , ". " , ". " , ". " , 0 , 0 , -9.9 , "1RXS J003820.3-0"
78 , "BZQJ0038+1856 " , 9.62037 , 18.93825 , "118.68" , "-43.83" , "1.193 " , 19.6 , "QSO RLoud flat radio sp." , 72 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.651 , "GB6J0038+1856 "
79 , "BZBJ0039+1411 " , 9.91504 , 14.19931 , "118.61" , "-48.58" , "1.738?? " , 19.8 , "BL Lac Candidate" , 266 , 0 , 0 , "?? " , ". " , ". " , 0 , 0 , 0.688 , "GB6J0039+1412 "
80 , "BZUJ0040+4050 " , 10.0575 , 40.83464 , "120.64" , "-21.99" , "0 " , 19.9 , "Blazar Uncertain type" , 47 , 0 , 1.05 , ". " , ". " , ". " , 0 , 0 , 0.507 , "1ES0037+405N "
81 , "BZBJ0040-2719 " , 10.0685 , -27.32006 , "27.91" , "-87.52" , "0.172 " , 18 , "BL Lac Candidate" , 160 , 0 , 2.82 , ". " , ". " , ". " , 0 , 0 , 0.529 , "1RXS J004016.5-2"
82 , "BZUJ0040-2340 " , 10.10379 , -23.66689 , "86.62" , "-85.74" , "0.213?? " , 16.3 , "Blazar Uncertain type" , 53 , 0 , 0.09 , "?? " , ". " , ". " , 0 , 0 , 0.309 , "1WGA J0040.4-234"
83 , "BZBJ0040-3225 " , 10.12779 , -32.42244 , "326.39" , "-84.21" , "0 " , 19.5 , "BL Lac" , 111 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.787 , "PKS0038-326 "
84 , "BZQJ0040-0146 " , 10.24004 , -1.77558 , "116.83" , "-64.53" , "1.178 " , 17.7 , "QSO RLoud flat radio sp." , 573 , 0 , 0.36 , ". " , ". " , ". " , 0 , 0 , -9.9 , "PKS 0038-020 "
85 , "BZBJ0042+3641 " , 10.53375 , 36.68692 , "120.85" , "-26.15" , "0 " , 17.5 , "BL Lac" , 12 , 0 , 1.52 , ". " , ". " , ". " , 0 , 0 , 0.269 , "1RXS J004208.1+3"
86 , "BZQJ0042+2320 " , 10.51896 , 23.33367 , "120.14" , "-39.49" , "1.426 " , 19.4 , "QSO RLoud flat radio sp." , 1269 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.88 , "GC0039+23 "
87 , "BZQJ0042+1509 " , 10.55667 , 15.15425 , "119.63" , "-47.66" , "1.159 " , 19.8 , "QSO RLoud flat radio sp." , 156 , 0 , 0.36 , ". " , ". " , ". " , 0 , 0 , 0.722 , "1RXS J004214.4+1"
88 , "BZQJ0042-4030 " , 10.50625 , -40.51119 , "310.6" , "-76.48" , "2.478 " , 19.3 , "QSO RLoud flat radio sp." , 190 , 0 , 0 , ". " , ". " , "s " , 0 , 0 , 0.702 , "CRATESJ004201-40"
89 , "BZQJ0042+1009 " , 10.68487 , 10.16367 , "119.4" , "-52.65" , "1.657 " , 21.6 , "QSO RLoud flat radio sp." , 232 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.905 , "GB6B0040+0953 "
90 , "BZUJ0043-2639 " , 10.84417 , -26.65139 , "47.38" , "-88.14" , "0.451 " , 17.3 , "Blazar Uncertain type" , 78 , 0 , 0.37 , ". " , ". " , ". " , 0 , 0 , 0.422 , "Q 0040-2655 "
91 , "BZQJ0043+0025 " , 10.8855 , 0.41681 , "118.67" , "-62.39" , "1.128 " , 19.3 , "QSO RLoud flat radio sp." , 123 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.665 , "PKS 0041+001 "
92 , "BZQJ0043+3426 " , 10.95346 , 34.44061 , "121.14" , "-28.41" , "0.966 " , 19.9 , "QSO RLoud flat radio sp." , 93 , 0 , 0 , ". " , ". " , ". " , 1.49e-9 , 2.12 , 0.665 , "1FGL_J0043.6+342"
93 , "BZBJ0045+2127 " , 11.33029 , 21.46189 , "121.03" , "-41.39" , "0 " , 17.3 , "BL Lac" , 49 , 0 , 1.85 , ". " , ". " , ". " , 7.55e-10 , 1.95 , 0.403 , "RXJ00453+2127 "
94 , "BZQJ0045-2243 " , 11.415 , -22.732 , "106.03" , "-85.42" , "1.538 " , 16.2 , "QSO RLoud flat radio sp." , 156 , 0 , 0.52 , ". " , ". " , ". " , 0 , 0 , 0.431 , "1RXS J004540.4-2"
95 , "BZQJ0046+3900 " , 11.69825 , 39.01311 , "121.94" , "-23.85" , "0.958 " , 20.2 , "QSO RLoud flat radio sp." , 195 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.772 , "CRATESJ004648+39"
96 , "BZQJ0044-8422 " , 11.10512 , -84.37778 , "303.13" , "-32.75" , "1.032 " , 17.8 , "QSO RLoud flat radio sp." , 530 , 0 , 0 , ". " , ". " , ". " , 6.06e-10 , 2.53 , 0.662 , "1FGL_J0048.0-841"
97 , "BZUJ0047+5657 " , 11.75179 , 56.96178 , "122.32" , "-5.91" , "0.747 " , 18.9 , "Blazar Uncertain type" , 190 , 0 , 0 , ". " , ". " , ". " , 1.71e-9 , 2.06 , 0.507 , "GB6J0047+5657 "
98 , "BZQJ0047+2435 " , 11.93283 , 24.58781 , "121.85" , "-38.28" , "0.62 " , 19.5 , "QSO RLoud flat radio sp." , 268 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.755 , "CRATESJ004743+24"
99 , "BZBJ0047+3948 " , 11.98004 , 39.816 , "122.19" , "-23.05" , "0.252 " , 16.4 , "BL Lac" , 92 , 0 , 0.22 , ". " , "g " , ". " , 0 , 0 , 0.333 , "5C 3.178 "
100 , "BZQJ0048+2235 " , 12.01083 , 22.59008 , "121.9" , "-40.28" , "1.161 " , 19 , "QSO RLoud flat radio sp." , 84 , 0 , 0.05 , ". " , ". " , ". " , 1.12e-9 , 2.42 , 0.596 , "2FGLJ0047.9+2232"
101 , "BZUJ0048+3157 " , 12.19642 , 31.95697 , "122.27" , "-30.91" , "0.015 " , 9.3 , "Blazar Uncertain type" , 292 , 0 , 0.12 , ". " , "g " , ". " , 0 , 0 , -0.083 , "MARK 348 "
102 , "BZQJ0049+5128 " , 12.40829 , 51.47047 , "122.64" , "-11.4" , "0.87 " , 20.8 , "QSO RLoud flat radio sp." , 144 , 0 , 0.37 , ". " , ". " , ". " , 0 , 0 , 0.761 , "1RXS J004937.7+5"
103 , "BZUJ0049-4457 " , 12.31933 , -44.95319 , "304.18" , "-72.18" , "0.121 " , 15.8 , "Blazar Uncertain type" , 206 , 0 , 2.31 , ". " , "g " , "s " , 0 , 0 , 0.5 , "1RXS J004917.3-4"
104 , "BZQJ0049-3116 " , 12.34529 , -31.27453 , "308.98" , "-85.84" , "2.721 " , 17.7 , "QSO RLoud flat radio sp." , 161 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.561 , "PKS 0046-315 "
105 , "BZQJ0049-2509 " , 12.39046 , -25.15967 , "110.76" , "-87.99" , "1.472 " , 21.5 , "QSO RLoud flat radio sp." , 95 , 0 , 0.05 , ". " , ". " , ". " , 0 , 0 , 0.819 , "1WGA J0049.5-250"
106 , "BZBJ0049+0237 " , 12.43017 , 2.61772 , "122.06" , "-60.25" , "0 " , 18.9 , "BL Lac" , 425 , 0 , 0 , ". " , ". " , ". " , 6.74e-10 , 2.27 , 0.718 , "PKS 0047+023 "
107 , "BZQJ0049-5738 " , 12.49779 , -57.64092 , "303.31" , "-59.49" , "1.797 " , 16.5 , "QSO RLoud flat radio sp." , 2111 , 585.5 , 0.47 , ". " , ". " , "s " , 3.1e-10 , 2.23 , 0.705 , "PKS0047-579 "
108 , "BZQJ0050-0452 " , 12.58971 , -4.87242 , "122.22" , "-67.75" , "0.92 " , 18.6 , "QSO RLoud flat radio sp." , 254 , 0 , 0 , ". " , ". " , ". " , 3.6e-10 , 2.42 , -9.9 , "PKS 0047-051 "
109 , "BZBJ0050-0929 " , 12.67217 , -9.48478 , "122.32" , "-72.36" , "0 " , 15.7 , "BL Lac" , 814 , 630.1 , 2.33 , ". " , ". " , ". " , 3.02e-9 , 2.14 , -9.9 , "PKS0048-09 "
110 , "BZQJ0051-0650 " , 12.78421 , -6.83394 , "122.71" , "-69.71" , "1.975 " , 19.3 , "QSO RLoud flat radio sp." , 905 , 1072.5 , 0 , ". " , ". " , ". " , 1.19e-9 , 2.22 , -9.9 , "PKS0048-71 "
111 , "BZQJ0051-4226 " , 12.78958 , -42.44258 , "303.12" , "-74.69" , "1.749 " , 19.5 , "QSO RLoud flat radio sp." , 676 , 0 , 0.23 , ". " , ". " , ". " , 0 , 0 , 0.854 , "PKS0048-427 "
