_id , bzcat4_name , RA , Dec , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4GHz, Flux density143GHz , X-ray flux0.1-2.4 keV , Commenton_redshift , Comment_on_rmag , Commenton_radio_flux , Fermi flux1-100GeV, Fermi_slope , aro-aox-arx, other_name
1327 , "BZQJ1049+3737 " , 162.29096 , 37.63306 , "182.93" , "62.28" , "2.987 " , 16.7 , "QSO RLoud flat radio sp." , 53 , 0 , 0 , ". " , "p " , ". " , 0 , 0 , 0.389 , "BZQJ1049+3737 "
1328 , "BZQJ1049-2231 " , 162.34113 , -22.51872 , "269.24" , "32.24" , "1.609 " , 19.7 , "QSO RLoud flat radio sp." , 232 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.763 , "PKS1046-222 "
1329 , "BZQJ1050+3430 " , 162.74217 , 34.50303 , "189.51" , "63.21" , "2.52? " , 19.9 , "QSO RLoud flat radio sp." , 553 , 0 , 0.11 , "? " , ". " , ". " , 0 , 0 , 0.845 , "B2 1048+34 "
1330 , "BZQJ1051+2027 " , 162.75571 , 20.45556 , "220.03" , "61.73" , "1.035 " , 19.3 , "QSO RLoud flat radio sp." , 105 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.669 , "GB6J1051+2027 "
1331 , "BZUJ1051+4644 " , 162.81625 , 46.73817 , "165.19" , "59.32" , "0 " , 17.2 , "Blazar Uncertain type" , 321 , 0 , 0 , ". " , "p " , ". " , 0 , 0 , 0.537 , "GB6B1048+4700 "
1332 , "BZQJ1050-3517 " , 162.72258 , -35.29581 , "276.82" , "21.38" , "2.971 " , 19.5 , "QSO RLoud flat radio sp." , 176 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.712 , "CGRaBSJ1050-3517"
1333 , "BZBJ1051+3943 " , 162.85575 , 39.72381 , "178.36" , "62.15" , "0.498 " , 18.8 , "BL Lac" , 10 , 0 , 3.21 , ". " , ". " , ". " , 5.05e-10 , 1.56 , 0.385 , "1RXS J105125.1+3"
1334 , "BZQJ1051-3138 " , 162.76992 , -31.63731 , "274.93" , "24.6" , "1.429 " , 19.2 , "QSO RLoud flat radio sp." , 1198 , 0 , 0 , ". " , ". " , ". " , 0 , 0 , 0.798 , "PKS1048-313 "
1335 , "BZQJ1051+2119 " , 162.95329 , 21.33119 , "218.4" , "62.18" , "1.3 " , 18.2 , "QSO RLoud flat radio sp." , 1253 , 0 , 0.32 , ". " , ". " , ". " , 0 , 0 , 0.777 , "1Jy1049+215 "
1336 , "BZUJ1052+4241 " , 163.01721 , 42.69811 , "172.38" , "61.23" , "0.136 " , 15.8 , "Blazar Uncertain type" , 96 , 0 , 0 , ". " , "g " , ". " , 0 , 0 , 0.358 , "GB6B1049+4257 "
