_id , 1whsp_name , other_name , BZcat_name , RA , Dec , WISE magnitudes , WISE mag2 , WISE mag3 , NVSS/FIRSTflux density , Redshift , Log(νpeak) , Log(peak flux) , γ-ray counterpart , Blazar type , Fermi γ-ray slope , TEV FOM, LII, BII
525 , "1WHSP J123123.9+142124" , "2E1228.8+1438 " , "5BZBJ1231+1421 " , 187.84962 , 14.35678 , 0 , 12.6 , 0 , 55.6 , 0.256 , 15.8 , -11.6 , "3FGL J1231.8+1421 " , "Known blazar " , "2.1+/-0.17" , 0.5 , "281.84" , "76.39"
526 , "1WHSP J123131.39+641418" , "MS1229.2+6430 " , "5BZBJ1231+6414 " , 187.88083 , 64.23842 , 0 , 12.6 , 0 , 58.9 , 0.163 , 16 , -11.4 , "3FGL J1231.5+6414 " , "Known blazar " , "1.9+/-0.2" , 0.79 , "126.5" , "52.75"
527 , "1WHSP J123417.15-385635" , "SHBLJ12342-3856 " , "5BZBJ1234-3856 " , 188.57146 , -38.94306 , 0 , 14.2 , 0 , 7 , 0.23 , 16.2 , -11.7 , " -- " , "Sedentary but not 1WHSP" , " -- " , 0.4 , "299.28" , "23.8"
528 , "1WHSP J123511.18-140323" , "SHBLJ12351-1403 " , "5BZBJ1235-1403 " , 188.79662 , -14.0565 , 0 , 14.3 , 0 , 4.2 , 0.4 , 16.3 , -11.9 , " -- " , "Sedentary but not 1WHSP" , " -- " , 0.25 , "296.96" , "48.62"
529 , "1WHSP J123705.61+302005" , "SHBLJ123705.6+30200 " , "5BZBJ1237+3020 " , 189.27338 , 30.33475 , 0 , 15 , 0 , 5.8 , "0.33?" , 16.1 , -12.1 , " -- " , "Known blazar " , " -- " , 0.16 , "166.53" , "85.51"
530 , "1WHSP J123739.07+625842" , "SHBLJ123739.2+62584 " , "5BZBJ1237+6258 " , 189.41283 , 62.97858 , 0 , 13.5 , 0 , 12.6 , 0.297 , 16 , -11.9 , "3FGL J1237.9+6258 " , "Known blazar " , "1.8+/-0.22" , 0.25 , "125.6" , "54.07"
531 , "1WHSP J123922.63+413251" , "RXSJ12393+4132 " , "5BZBJ1239+4132 " , 189.84433 , 41.54756 , 0 , 14.5 , 0 , 9.2 , "0.16?" , 16.9 , -12.1 , " -- " , "Known blazar " , " -- " , 0.16 , "131.89" , "75.37"
532 , "1WHSP J124141.4+344030" , "ROXAJ124140.9+344038" , "5BZBJ1241+3440 " , 190.4225 , 34.67522 , 0 , 14.5 , 0 , 10.4 , " > 0.7" , 16.6 , -12 , " -- " , "Known blazar " , " -- " , 0.2 , "137.8" , "82.17"
533 , "1WHSP J124148.27+063601" , "1RXSJ124148.3+063602" , "5BZBJ1241+0636 " , 190.45113 , 6.60033 , 0 , 14.2 , 0 , 16.6 , " > 0.51" , 16.5 , -12 , "3FGL J1241.9+0639 " , "Known blazar " , "1.8+/-0.24" , 0.2 , "296.13" , "69.34"
534 , "1WHSP J124149.39-145558" , "SHBLJ124149.8-14555 " , "5BZBJ1241-1455 " , 190.45583 , -14.93289 , 0 , 12.1 , 0 , 17.3 , " > 0.44" , 15.2 , -11.5 , "3FGL J1241.6-1456 " , "Sedentary but not 1WHSP" , "2+/-0.17" , 0.63 , "299.46" , "47.87"
535 , "1WHSP J124232.33+763417" , "RXSJ12425+7634 " , "5BZBJ1242+7634 " , 190.63475 , 76.57158 , 0 , 14.8 , 0 , 8.8 , 0 , 16.5 , -12.2 , " -- " , "Known blazar " , " -- " , 0.13 , "123.61" , "40.54"
536 , "1WHSP J124312.73+362743" , "GB6B1240+3644 " , "5BZBJ1243+3627 " , 190.80308 , 36.46222 , 0 , 11.2 , 0 , 148 , " > 0.31" , 16.2 , -10.8 , "3FGL J1243.1+3627 " , "Known blazar " , "1.8+/-0.04" , 3.16 , "133" , "80.5"
537 , "1WHSP J124348.42-153305" , " - " , " -- " , 190.95175 , -15.55164 , 0 , 13.4 , 0 , 128.3 , 0 , "17?" , "-12.2?" , " -- " , "Candidate blazar" , " -- " , 0.13 , "300.22" , "47.27"
538 , "1WHSP J124601.79-181453" , " - " , " -- " , 191.5075 , -18.24825 , 0 , 12.8 , 0 , 81.7 , 0.624 , 15.4 , -11.8 , " -- " , "New blazar" , " -- " , 0.32 , "301.12" , "44.6"
539 , "1WHSP J124700.73+442318" , "1RXSJ124701.3+442325" , "5BZBJ1247+4423 " , 191.75308 , 44.38856 , 0 , 13.8 , 0 , 10.7 , "0.6?" , 16.2 , -12 , "3FGL J1247.0+4421 " , "Known blazar " , "2.1+/-0.25" , 0.2 , "125.59" , "72.71"
540 , "1WHSP J124816.63+074258" , " - " , " -- " , 192.06933 , 7.71628 , 0 , 14.5 , 0 , 14.8 , 0.57 , 17.2 , -12.7 , " -- " , "New blazar" , " -- " , 0.04 , "300.57" , "70.57"
541 , "1WHSP J125015.53+315559" , "SHBLJ125015.0+31560 " , "5BZBJ1250+3155 " , 192.56471 , 31.93317 , 0 , 14.5 , 0 , 5.7 , 0 , 16.2 , -11.9 , " -- " , "Known blazar " , " -- " , 0.25 , "125.91" , "85.18"
542 , "1WHSP J125117.87+103907" , "1RXSJ125117.4+103914" , "5BZBJ1251+1039 " , 192.8245 , 10.65197 , 0 , 12.6 , 0 , 5.2 , 0 , 15.6 , -11.6 , "3FGL J1251.3+1041 " , "Known blazar " , "2.4+/-0.16" , 0.5 , "302.81" , "73.52"
543 , "1WHSP J125134.83-295843" , "1WGAJ1251.5-2958 " , "5BZBJ1251-2958 " , 192.89513 , -29.97867 , 0 , 14.2 , 0 , 10.5 , 0.48 , "17.4?" , "-11.6?" , " -- " , "Known blazar " , " -- " , 0.5 , "302.96" , "32.89"
544 , "1WHSP J125300.96+382625" , "SHBLJ125301.0+38262 " , "5BZBJ1253+3826 " , 193.25404 , 38.44053 , 0 , 14.5 , 0 , 4.9 , 0.372 , 16.9 , -12 , " -- " , "Known blazar " , " -- " , 0.2 , "121.35" , "78.68"
545 , "1WHSP J125341.26-393159" , "SHBLJ12536-3931 " , "5BZGJ1253-3931 " , 193.42192 , -39.53314 , 0 , 13.3 , 0 , 53.9 , 0.179 , 17.9 , -11.3 , " -- " , "Known blazar " , " -- " , 1 , "303.4" , "23.33"
