_id , ercsc217_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC217 G112.54-21.31"    ,, 0.09208 , 40.52639 , 112.54427 , -21.31288 , "496.2+/-69" , "729.8+/-45.4" , "458.7+/-43.69" , "855.9+/-188.7" , 0.222 , 0 , 0 , 2 , "0.907+/-0.043"
2 , "PLCKERC217 G118.14+05.14"    ,, 0.30125 , 67.55056 , 118.14999 , 5.14636 , "1.4e+4+/-1702" , "2.33e+4+/-68.8" , "9785.2+/-738.52" , "2.1e+4+/-9117.54" , 0.318 , 0 , 1 , 4 , "1+/-0.045"
3 , "PLCKERC217 G116.70-02.21"    ,, 0.32208 , 60.04694 , 116.70525 , -2.21706 , "1881.9+/-293" , "4292.42+/-52.2" , "1303.8+/-158.65" , "6534.9+/-591.04" , 0.318 , 0 , 1 , 1 , "0.949+/-0.044"
4 , "PLCKERC217 G117.60+02.31"    ,, 0.3375 , 64.66417 , 117.60409 , 2.31191 , "4741+/-268" , "6308.57+/-55.1" , "4137.8+/-166.37" , "6936.6+/-311.8" , 0.318 , 0 , 0 , 2 , "0.957+/-0.044"
5 , "PLCKERC217 G114.44-13.56"    ,, 0.36458 , 48.47972 , 114.448 , -13.56691 , "616.3+/-97" , "762.63+/-33.5" , "562.7+/-54.88" , "1325.4+/-310.29" , 0.318 , 0 , 1 , 2 , "0.919+/-0.043"
6 , "PLCKERC217 G114.43-13.94"    ,, 0.45792 , 48.10889 , 114.43539 , -13.94279 , "999+/-103" , "1039.48+/-32.3" , "802.5+/-52.03" , "1307.6+/-176.63" , 0.318 , 0 , 0 , 2 , "0.983+/-0.045"
7 , "PLCKERC217 G117.41+01.05"    ,, 0.47333 , 63.39722 , 117.4192 , 1.05707 , "2262.7+/-180" , "2962.66+/-51.7" , "1974.5+/-122.4" , "5495.1+/-427.98" , 0.318 , 0 , 1 , 2 , "0.914+/-0.043"
8 , "PLCKERC217 G117.47+01.27"    ,, 0.50875 , 63.61778 , 117.47668 , 1.27059 , "1670.8+/-187" , "2000.06+/-55.9" , "1301.7+/-104.75" , "3372.5+/-302.2" , 0.318 , 0 , 1 , 2 , "0.852+/-0.04"
9 , "PLCKERC217 G118.61+06.15"    ,, 1.0175 , 68.62778 , 118.61819 , 6.15378 , "1.4e+4+/-785" , "2.33e+4+/-76.1" , "1.1e+4+/-515.86" , "2.4e+4+/-943.5" , 0.318 , 0 , 1 , 4 , "1+/-0.046"
10 , "PLCKERC217 G115.75-09.25"   ,, 1.05333 , 52.96111 , 115.75897 , -9.25143 , "521.2+/-99" , "582.84+/-35.2" , "475.7+/-59.44" , "1505+/-298.53" , 0.318 , 0 , 1 , 2 , "0.86+/-0.041"
