_id , pccs1f353_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 353 G304.77-33.88 "     ,, 0.08708 , -83.05639 , 304.77682 , -33.88773 , "548.2+/-79.6" , "1744.3+/-469.8" , "1452+/-114.1" , "4490.3+/-444.8" , 0.8 , "Yes" , 7 , 2 , " " , "11.5+/-1.4" , "10.8+/-1.4" , "120+/-0.000" , 11.2
2 , "PCCS1 353 G112.58-21.29 "     ,, 0.135 , 40.55528 , 112.58511 , -21.29166 , "772.5+/-81" , "1857.1+/-321.6" , "1574.1+/-135.7" , "4481.9+/-387.4" , 0.8 , "Yes" , 5 , 2 , "PLCKERC353 G112.57-21.28" , "15.9+/-1.7" , "8.5+/-0.9" , "116+/-0.000" , 11.6
3 , "PCCS1 353 G118.33+06.38 "     ,, 0.13542 , 68.79806 , 118.33466 , 6.38183 , "1824.7+/-242.1" , "5366.2+/-1769.9" , "3562.8+/-1149.6" , "2848.2+/-922.2" , 0.8 , "No" , 31 , 2 , " " , "5.5+/-1.8" , "5.3+/-1.8" , "78+/-0.000" , 5.4
4 , "PCCS1 353 G116.66-02.22 "     ,, 0.25292 , 60.03611 , 116.66928 , -2.22088 , "1838.3+/-292.7" , "6626.3+/-1450" , "6154+/-784.6" , "1.1e+4+/-1611.1" , 0.8 , "Yes" , 24 , 1 , "PLCKERC353 G116.68-02.21" , "9.5+/-1.6" , "8.7+/-1.4" , "4+/-0.000" , 9.1
5 , "PCCS1 353 G118.18+05.29 "     ,, 0.31917 , 67.70444 , 118.18669 , 5.29624 , "2771.5+/-335" , "9107.6+/-4604.2" , "-" , "-" , 0.8 , "Not available" , 39 , 0 , " " , "-" , "-" , "-" , -9.9
6 , "PCCS1 353 G117.60+02.30 "     ,, 0.34375 , 64.66194 , 117.60642 , 2.30928 , "7996.4+/-431.1" , "1.8e+4+/-2542.9" , "1.8e+4+/-1044.9" , "4.5e+4+/-2160.8" , 0.8 , "Yes" , 24 , 2 , "PLCKERC353 G117.60+02.31" , "10.4+/-0.6" , "9.8+/-0.6" , "158+/-0.000" , 10.1
7 , "PCCS1 353 G118.17+05.13 "     ,, 0.36042 , 67.54417 , 118.17086 , 5.13578 , "1.4e+4+/-383.3" , "5.9e+4+/-1.4e+4" , "4.9e+4+/-5254.6" , "1.0e+5+/-1.0e+4" , 0.8 , "Yes" , 40 , 1 , "PLCKERC353 G118.15+05.14" , "11.2+/-1.3" , "8.3+/-1" , "22+/-0.000" , 9.6
8 , "PCCS1 353 G114.45-13.56 "     ,, 0.37292 , 48.48139 , 114.45399 , -13.56627 , "1434.9+/-87.1" , "3679+/-393.4" , "3098.1+/-199.3" , "9163.9+/-460.6" , 0.8 , "Yes" , 19 , 2 , "PLCKERC353 G114.44-13.57" , "13.8+/-0.8" , "7.7+/-0.5" , "150+/-0.000" , 10.3
9 , "PCCS1 353 G118.09+04.70 "     ,, 0.39125 , 67.10833 , 118.09829 , 4.70603 , "4443.2+/-499.7" , "6648.1+/-5424.6" , "4092.8+/-4665.7" , "-" , 0.8 , "Not available" , 44 , 2 , " " , "-" , "-" , "-" , -9.9
10 , "PCCS1 353 G117.98+04.05 "    ,, 0.43458 , 66.45333 , 117.9886 , 4.05993 , "3813.8+/-615.1" , "4966.5+/-3007.7" , "6811.2+/-1270.6" , "3.5e+4+/-2933.8" , 0.8 , "Yes" , 41 , 1 , " " , "13.1+/-1.5" , "11.3+/-1.3" , "6+/-0.000" , 12.2
