_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
59 , "J0245.2+6228 " , 41.32375 , 62.477 , "135.66" , "2.45" , "(48+/-1.5)x10-12" , "Sy1 " , 0.044 , " -- "
60 , "J0249.2+2628 " , 42.32 , 26.483 , "153.26" , "-29.36" , "(13.5+/-1.8)x10-12" , "AGN " , 0.058 , " -- "
61 , "J0250.5+4650 " , 42.64875 , 46.847 , "143.2" , "-11.28" , "(10.6+/-1.7)x10-12" , "AGN " , 0 , " -- "
62 , "J0250.9+5442 " , 42.74875 , 54.703 , "139.71" , "-4.23" , "(12.1+/-1.6)x10-12" , "Sy2 " , 0.015 , " -- "
63 , "J0252.0-1642 " , 43 , -16.7 , "198.7" , "-60.26" , "(8.1+/-1.5)x10-12" , "Sy2 " , 0.011 , " -- "
64 , "J0252.7-0831 " , 43.18375 , -8.518 , "185.65" , "-55.83" , "(12.9+/-1.6)x10-12" , "Sy2 " , 0.017 , " -- "
65 , "J0255.5-0010 " , 43.89875 , -0.175 , "175.97" , "-49.82" , "(42.1+/-1.7)x10-12" , "Sy2 " , 0.029 , " -- "
66 , "J0256.6-3214 " , 44.15375 , -32.239 , "231.21" , "-62.44" , "(13.1+/-1.4)x10-12" , "Sy2 " , 0.016 , " -- "
67 , "J0259.0-5717 " , 44.75083 , -57.3 , "275.06" , "-52.37" , "(7+/-1.3)x10-12" , "AGN " , 0.043 , " -- "
68 , "J0300.5+1634 " , 45.13375 , 16.567 , "162.32" , "-36.25" , "(9.4+/-1.8)x10-12" , "Sy1 " , 0.035 , " -- "
69 , "J0300.4-1048 " , 45.10083 , -10.801 , "190.89" , "-55.58" , "(11.5+/-1.6)x10-12" , "Sy1 " , 0.032 , " -- "
70 , "J0304.1-0107 " , 46.04167 , -1.122 , "179.28" , "-48.91" , "(12.6+/-1.7)x10-12" , "Sy1 " , 0.013 , " -- "
71 , "J0308.3-7247 " , 47.1 , -72.8 , "290.23" , "-40.79" , "(6.9+/-1.4)x10-12" , "Sy1 " , 0.028 , " -- "
72 , "J0311.6-2046 " , 47.91875 , -20.78 , "209.38" , "-57.45" , "(11.7+/-1.4)x10-12" , "Sy1 " , 0.066 , " -- "
73 , "J0312.4-7651 " , 48.12167 , -76.853 , "293.39" , "-37.55" , "(9.2+/-1.4)x10-12" , "BLAZAR" , 0.223 , "BZQ (FSRQ)"
74 , "J0318.9+6830 " , 49.75 , 68.5 , "135.81" , "9.4" , "(8.4+/-1.5)x10-12" , "Sy1 " , 0.09 , " -- "
75 , "J0320.0+4130 " , 50.01375 , 41.507 , "150.61" , "-13.24" , "(71.6+/-1.8)x10-12" , "Sy2 " , 0.018 , "BZU (uncertain type)"
76 , "J0325.1+3410 " , 51.27583 , 34.174 , "155.8" , "-18.71" , "(15.5+/-1.9)x10-12" , "Sy1 " , 0.063 , " -- "
77 , "J0325.3+4042 " , 51.35 , 40.7 , "151.94" , "-13.35" , "(10.5+/-1.9)x10-12" , "Sy2 " , 0.048 , " -- "
78 , "J0331.2+0538 " , 52.8 , 5.649 , "178.64" , "-39.36" , "(10.4+/-1.8)x10-12" , "Sy1 " , 0.043 , " -- "
79 , "J0333.6+3716 " , 53.40083 , 37.274 , "155.34" , "-15.19" , "(15.6+/-1.9)x10-12" , "Sy1 " , 0.057 , " -- "
80 , "J0333.7-3607 " , 53.44375 , -36.129 , "237.93" , "-54.57" , "(35+/-1.3)x10-12" , "Sy1.8 " , 0.005 , " -- "
81 , "J0336.7+3218 " , 54.18375 , 32.301 , "159.04" , "-18.74" , "(19.7+/-2)x10-12" , "BLAZAR" , 1.258 , "BZQ (FSRQ)"
82 , "J0342.3-2114 " , 55.59583 , -21.245 , "213.86" , "-50.76" , "(21.7+/-1.4)x10-12" , "Sy1 " , 0.014 , " -- "
83 , "J0347.4-3030 " , 56.85083 , -30.5 , "228.7" , "-51.55" , "(7.4+/-1.4)x10-12" , "Sy1 " , 0.095 , " -- "
84 , "J0349.7-1200 " , 57.45 , -12 , "202" , "-45.63" , "(8.7+/-1.6)x10-12" , "BLAZAR" , 0.188 , " -- "
85 , "J0350.9-5021 " , 57.72875 , -50.351 , "259.71" , "-48.91" , "(10.9+/-1.3)x10-12" , "AGN " , 0.036 , " -- "
86 , "J0354.4+0254 " , 58.6 , 2.9 , "186.03" , "-36.68" , "(9.7+/-1.9)x10-12" , "Sy1 " , 0.036 , " -- "
87 , "J0353.2-6831 " , 58.31083 , -68.532 , "282.79" , "-40.76" , "(9.8+/-1.3)x10-12" , "BLAZAR" , 0.087 , " -- "
88 , "J0357.0-4041 " , 59.25292 , -40.7 , "244.84" , "-49.71" , "(7.6+/-1.3)x10-12" , "Sy " , 0.075 , " -- "
89 , "J0357.0-6253 " , 59.25083 , -62.9 , "275.99" , "-43.29" , "(6.9+/-1.3)x10-12" , "AGN " , 0 , " -- "
90 , "J0359.4-3014 " , 59.85292 , -30.248 , "228.8" , "-48.95" , "(8.3+/-1.4)x10-12" , "AGN " , 0 , " -- "
91 , "J0402.6-1805 " , 60.66875 , -18.085 , "211.72" , "-45.22" , "(13.9+/-1.5)x10-12" , "Sy2 " , 0.026 , " -- "
92 , "J0406.0-1305 " , 61.5 , -13.1 , "205.77" , "-42.55" , "(8.2+/-1.6)x10-12" , "BLAZAR" , 0.571 , " -- "
93 , "J0407.5+0341 " , 61.885 , 3.692 , "187.65" , "-33.58" , "(16.6+/-1.9)x10-12" , "Sy2 " , 0.089 , " -- "
94 , "J0415.1-0757 " , 63.79875 , -7.951 , "201.07" , "-38.21" , "(14.3+/-1.7)x10-12" , "Sy1 " , 0.038 , " -- "
95 , "J0418.5+3801 " , 64.64292 , 38.019 , "161.71" , "-8.8" , "(70.7+/-2)x10-12" , "Sy1 " , 0.049 , " -- "
96 , "J0420.0-5456 " , 65.00583 , -54.948 , "264.32" , "-43.39" , "(9.4+/-1.3)x10-12" , "Sy1 " , 0.005 , " -- "
97 , "J0423.8+0409 " , 65.95292 , 4.151 , "189.99" , "-30.01" , "(12+/-2)x10-12" , "Sy2 " , 0.046 , " -- "
98 , "J0422.7-5613 " , 65.69792 , -56.218 , "265.86" , "-42.69" , "(10+/-1.3)x10-12" , "Sy2 " , 0.043 , " -- "
99 , "J0426.4-5711 " , 66.62292 , -57.199 , "266.96" , "-41.94" , "(14.5+/-1.3)x10-12" , "Sy1 " , 0.104 , " -- "
100 , "J0433.4+0522 " , 68.37167 , 5.368 , "190.4" , "-27.33" , "(51.5+/-2)x10-12" , "Sy1 " , 0.033 , "BZU (uncertain type)"
101 , "J0436.4-1023 " , 69.1 , -10.4 , "206.74" , "-34.67" , "(8.8+/-1.8)x10-12" , "Sy1 " , 0.036 , " -- "
102 , "J0438.5-1048 " , 69.62667 , -10.802 , "207.46" , "-34.38" , "(14+/-1.8)x10-12" , "Sy1 " , 0.036 , " -- "
103 , "J0440.8-5942 " , 70.2 , -59.7 , "269.53" , "-39.5" , "(6.5+/-1.3)x10-12" , "Sy2 " , 0.058 , " -- "
104 , "J0444.0+2859 " , 71.01875 , 28.987 , "172.11" , "-10.94" , "(24.9+/-2.1)x10-12" , "Sy1 " , 0.022 , " -- "
105 , "J0444.3+2812 " , 71.085 , 28.207 , "172.76" , "-11.39" , "(24.9+/-2.1)x10-12" , "Sy2 " , 0.01 , " -- "
106 , "J0444.8-2812 " , 71.21667 , -28.215 , "228.56" , "-38.84" , "(9.8+/-1.4)x10-12" , "Sy2 " , 0.147 , " -- "
107 , "J0452.3+4932 " , 73.07875 , 49.546 , "157.27" , "3.45" , "(30.6+/-1.8)x10-12" , "Sy1 " , 0.029 , " -- "
108 , "J0451.9-0349 " , 72.98167 , -3.821 , "201.98" , "-28.22" , "(14.1+/-1.9)x10-12" , "Sy1 " , 0.013 , " -- "
109 , "J0451.8-5809 " , 72.95292 , -58.152 , "267.2" , "-38.43" , "(9+/-1.3)x10-12" , "Sy1 " , 0.09 , " -- "
110 , "J0453.6+0404 " , 73.40083 , 4.071 , "194.65" , "-23.85" , "(17.6+/-2)x10-12" , "Sy2 " , 0.03 , " -- "
111 , "J0500.1+3503 " , 75.03167 , 35.067 , "169.48" , "-4.48" , "(11.9+/-2.1)x10-12" , "BLAZAR" , 1.479 , " -- "
112 , "J0500.2+2702 " , 75.05 , 27.05 , "175.9" , "-9.35" , "(13.8+/-2.2)x10-12" , "RG " , 0 , " -- "
113 , "J0455.8-7531 " , 73.975 , -75.523 , "287.74" , "-33.3" , "(11.8+/-1.4)x10-12" , "Sy2 " , 0.018 , " -- "
114 , "J0503.0+2259 " , 75.775 , 22.999 , "179.6" , "-11.24" , "(14.5+/-2.2)x10-12" , "Sy1 " , 0.058 , " -- "
115 , "J0506.0-2351 " , 76.50792 , -23.851 , "224.96" , "-33.08" , "(26.4+/-1.6)x10-12" , "Sy2 " , 0.035 , " -- "
116 , "J0508.5+1722 " , 77.13292 , 17.37 , "185.06" , "-13.45" , "(13.8+/-2.2)x10-12" , "Sy2 " , 0.018 , " -- "
117 , "J0510.9+1630 " , 77.75 , 16.501 , "186.14" , "-13.45" , "(51.3+/-2.2)x10-12" , "Sy1.5 " , 0.018 , " -- "
118 , "J0516.4+1930 " , 79.1 , 19.5 , "184.33" , "-10.71" , "(12.1+/-2.2)x10-12" , "AGN? " , 0.021 , " -- "
119 , "J0516.4-0009 " , 79.10167 , -0.163 , "201.73" , "-21.1" , "(36.3+/-2)x10-12" , "Sy1 " , 0.033 , " -- "
120 , "J0519.8-3240 " , 79.95083 , -32.681 , "236.06" , "-32.54" , "(25.7+/-1.5)x10-12" , "Sy2 " , 0.035 , " -- "
121 , "J0519.9-4546 " , 79.99 , -45.773 , "251.59" , "-34.62" , "(21.4+/-1.3)x10-12" , "Sy1 " , 0.035 , " -- "
122 , "J0521.2-2523 " , 80.3 , -25.4 , "227.94" , "-30.27" , "(9.6+/-1.6)x10-12" , "Sy2 " , 0.043 , " -- "
123 , "J0523.2-3626 " , 80.8 , -36.447 , "240.6" , "-32.67" , "(16.1+/-1.4)x10-12" , "BLAZAR" , 0.055 , "BZU (uncertain type)"
124 , "J0524.2-1213 " , 81.06792 , -12.23 , "214.38" , "-24.81" , "(11.7+/-1.8)x10-12" , "Sy1 " , 0.049 , " -- "
125 , "J0525.6-4557 " , 81.4 , -45.951 , "251.91" , "-33.66" , "(9.6+/-1.3)x10-12" , "BLAZAR" , 1.479 , "BZQ (FSRQ)"
126 , "J0540.1-2839 " , 85.04792 , -28.65 , "232.94" , "-27.23" , "(10.1+/-1.6)x10-12" , "BLAZAR" , 3.104 , "BZQ (FSRQ)"
127 , "J0544.4+5908 " , 86.10083 , 59.15 , "153.49" , "15.06" , "(11.6+/-1.7)x10-12" , "AGN " , 0 , " -- "
128 , "J0543.7-2739 " , 85.94667 , -27.651 , "232.15" , "-26.17" , "(10.2+/-1.6)x10-12" , "Sy1 " , 0.009 , " -- "
129 , "J0552.5+5928 " , 88.14667 , 59.47 , "153.69" , "16.13" , "(10.9+/-1.7)x10-12" , "Sy1 " , 0.058 , " -- "
130 , "J0550.8-3218 " , 87.71667 , -32.307 , "237.61" , "-26.12" , "(22.1+/-1.5)x10-12" , "BLAZAR" , 0.069 , "BZB (BL Lac)"
131 , "J0552.4-0727 " , 88.10292 , -7.458 , "212.95" , "-16.5" , "(154.2+/-2)x10-12" , "Sy2 " , 0.008 , " -- "
132 , "J0555.1+4625 " , 88.78292 , 46.431 , "165.75" , "10.44" , "(75+/-1.9)x10-12" , "Sy1.5 " , 0.021 , " -- "
133 , "J0558.2-3820 " , 89.56167 , -38.345 , "244.54" , "-26.33" , "(20.7+/-1.5)x10-12" , "Sy1 " , 0.034 , " -- "
134 , "J0603.0+6523 " , 90.75792 , 65.391 , "148.55" , "19.68" , "(12.1+/-1.6)x10-12" , "AGN " , 0.015 , " -- "
135 , "J0600.8+0006 " , 90.2 , 0.1 , "206.99" , "-11.21" , "(11+/-2.2)x10-12" , "QSO " , 0.115 , " -- "
136 , "J0600.1-5025 " , 90.02667 , -50.418 , "257.93" , "-28.52" , "(10.1+/-1.3)x10-12" , "RG " , 0.137 , " -- "
137 , "J0602.3+2827 " , 90.59083 , 28.461 , "182.26" , "2.92" , "(40.7+/-2.2)x10-12" , "Sy1 " , 0.033 , " -- "
138 , "J0606.0-2753 " , 91.5 , -27.9 , "234.18" , "-21.62" , "(8.7+/-1.7)x10-12" , "Sy1.5 " , 0.09 , " -- "
139 , "J0615.8+7101 " , 93.97167 , 71.031 , "143.31" , "22.74" , "(62.2+/-1.5)x10-12" , "Sy2 " , 0.014 , " -- "
140 , "J0604.7-8637 " , 91.19667 , -86.625 , "299.19" , "-27.77" , "(14+/-1.6)x10-12" , "Sy2 " , 0.006 , " -- "
141 , "J0623.9-3213 " , 95.99667 , -32.23 , "239.96" , "-19.47" , "(13.5+/-1.6)x10-12" , "AGN " , 0.022 , " -- "
142 , "J0624.0-6059 " , 96.00792 , -60.996 , "270.3" , "-26.77" , "(15+/-1.3)x10-12" , "Sy2 " , 0.041 , " -- "
143 , "J0636.1-7516 " , 99.03875 , -75.275 , "286.37" , "-27.14" , "(10.8+/-1.4)x10-12" , "BLAZAR" , 0.635 , "BZQ (FSRQ)"
144 , "J0641.5+3252 " , 100.385 , 32.869 , "182.16" , "12.42" , "(15.8+/-2.2)x10-12" , "Sy2 " , 0.047 , " -- "
145 , "J0640.4-2555 " , 100.11083 , -25.918 , "235.27" , "-13.76" , "(23.1+/-1.8)x10-12" , "Sy1.2 " , 0.026 , " -- "
146 , "J0640.7-4321 " , 100.19875 , -43.35 , "252.27" , "-20.07" , "(8+/-1.4)x10-12" , "AGN " , 0.061 , " -- "
147 , "J0652.3+7425 " , 103.09667 , 74.431 , "140.32" , "26.12" , "(31.1+/-1.5)x10-12" , "Sy1.5 " , 0.019 , " -- "
148 , "J0655.9+3957 " , 103.98292 , 39.966 , "176.53" , "17.83" , "(15.7+/-2)x10-12" , "Sy1 " , 0.017 , " -- "
149 , "J0710.5+5909 " , 107.63667 , 59.15 , "157.39" , "25.43" , "(14.4+/-1.6)x10-12" , "BLAZAR" , 0.125 , "BZB (BL Lac)"
150 , "J0709.6-3600 " , 107.415 , -36.015 , "247.35" , "-12.18" , "(11.1+/-1.6)x10-12" , "RG " , 0.218 , " -- "
151 , "J0718.2+4405 " , 109.56292 , 44.089 , "173.77" , "23.07" , "(15.7+/-1.8)x10-12" , "Sy1 " , 0.061 , " -- "
152 , "J0726.6+3700 " , 111.65083 , 37 , "181.62" , "22.52" , "(10.2+/-1.9)x10-12" , "QSO " , 0.19 , " -- "
153 , "J0726.9-3553 " , 111.74792 , -35.9 , "248.81" , "-8.98" , "(9.8+/-1.6)x10-12" , "Sy2 " , 0.03 , " -- "
154 , "J0727.5-2406 " , 111.88583 , -24.116 , "238.37" , "-3.38" , "(13.8+/-1.8)x10-12" , "Sy1.9 " , 0.123 , " -- "
155 , "J0737.2+5848 " , 114.3 , 58.8 , "158.33" , "28.78" , "(7.6+/-1.5)x10-12" , "Sy1 " , 0.006 , " -- "
156 , "J0739.6-3143 " , 114.90292 , -31.727 , "246.35" , "-4.7" , "(15+/-1.7)x10-12" , "Sy2 " , 0.026 , " -- "
157 , "J0742.5+4948 " , 115.645 , 49.802 , "168.61" , "28.38" , "(29.2+/-1.6)x10-12" , "Sy1.2 " , 0.022 , " -- "
158 , "J0743.2-2545 " , 115.825 , -25.761 , "241.55" , "-1.06" , "(13.2+/-1.8)x10-12" , "Sy2 " , 0.026 , " -- "
159 , "J0747.8+6056 " , 116.97083 , 60.943 , "155.98" , "30.26" , "(9.9+/-1.5)x10-12" , "Sy1 " , 0.029 , " -- "
160 , "J0746.5+2548 " , 116.65 , 25.802 , "194.61" , "22.92" , "(13.9+/-1.9)x10-12" , "BLAZAR" , 2.979 , "BZQ (FSRQ)"
161 , "J0752.7+1933 " , 118.19667 , 19.55 , "201.47" , "21.98" , "(11.6+/-1.9)x10-12" , "Sy1 " , 0.117 , " -- "
162 , "J0800.1+2323 " , 120.03 , 23.398 , "198.24" , "24.97" , "(16.5+/-1.9)x10-12" , "AGN " , 0.029 , " -- "
163 , "J0800.4+2636 " , 120.10292 , 26.605 , "194.91" , "26.11" , "(15.9+/-1.8)x10-12" , "Sy1 " , 0.027 , " -- "
164 , "J0759.8-3844 " , 119.96792 , -38.744 , "254.52" , "-4.66" , "(29.7+/-1.6)x10-12" , "Sy1.2 " , 0.04 , " -- "
165 , "J0802.1-4948 " , 120.53667 , -49.808 , "264.29" , "-10.02" , "(12.7+/-1.4)x10-12" , "Sy1 " , 0.04 , " -- "
166 , "J0805.5+6145 " , 121.38 , 61.757 , "155.02" , "32.37" , "(9.1+/-1.4)x10-12" , "BLAZAR" , 3.033 , "BZQ (FSRQ)"
167 , "J0804.2+0507 " , 121.05875 , 5.122 , "216.7" , "18.51" , "(33.4+/-2)x10-12" , "Sy2 " , 0.014 , " -- "
168 , "J0811.2+7602 " , 122.82 , 76.037 , "138.28" , "31.05" , "(12.2+/-1.4)x10-12" , "Sy1 " , 0.1 , " -- "
169 , "J0814.5+0421 " , 123.64875 , 4.351 , "218.68" , "20.46" , "(10.9+/-1.9)x10-12" , "Sy1 " , 0.033 , " -- "
170 , "J0818.4+0118 " , 124.6 , 1.3 , "222.02" , "19.87" , "(9.5+/-1.9)x10-12" , "Sy1 " , 0.08 , " -- "
171 , "J0823.2-0455 " , 125.80167 , -4.93 , "228.38" , "17.84" , "(18.2+/-1.9)x10-12" , "Sy2 " , 0.022 , " -- "
172 , "J0832.7+3706 " , 128.18375 , 37.116 , "185.04" , "35.36" , "(10.8+/-1.5)x10-12" , "Sy1.2 " , 0.092 , " -- "
173 , "J0841.5+7053 " , 130.37875 , 70.887 , "143.54" , "34.43" , "(27.3+/-1.4)x10-12" , "BLAZAR" , 2.172 , "BZQ (FSRQ)"
174 , "J0838.5-3559 " , 129.62667 , -35.988 , "256.58" , "3.23" , "(21.6+/-1.7)x10-12" , "Sy1 " , 0.032 , " -- "
175 , "J0840.1+2948 " , 130.05 , 29.8 , "194.21" , "35.41" , "(9.8+/-1.6)x10-12" , "Sy2 " , 0.065 , " -- "
176 , "J0839.9-1215 " , 129.97583 , -12.258 , "237.19" , "17.43" , "(12.2+/-1.7)x10-12" , "Sy1 " , 0.198 , " -- "
177 , "J0855.2+6424 " , 133.81 , 64.41 , "150.77" , "37.51" , "(8.8+/-1.3)x10-12" , "Sy2 " , 0.037 , " -- "
178 , "J0905.0+5537 " , 136.25083 , 55.633 , "161.41" , "40.76" , "(8.1+/-1.3)x10-12" , "Sy1 " , 0.037 , " -- "
179 , "J0903.1-6812 " , 135.78083 , -68.209 , "284.18" , "-14.12" , "(9.1+/-1.4)x10-12" , "AGN " , 0.014 , " -- "
180 , "J0909.2+0354 " , 137.3 , 3.9 , "226.38" , "32.22" , "(9.1+/-1.8)x10-12" , "BLAZAR" , 3.2 , " -- "
181 , "J0911.5+4529 " , 137.89792 , 45.498 , "174.75" , "43.1" , "(9.5+/-1.4)x10-12" , "Sy2 " , 0.027 , " -- "
182 , "J0916.2-6219 " , 139.05792 , -62.32 , "280.61" , "-9.19" , "(17.5+/-1.4)x10-12" , "Sy1 " , 0.057 , " -- "
183 , "J0918.5+1619 " , 139.64583 , 16.32 , "213.82" , "39.76" , "(16.8+/-1.6)x10-12" , "Sy1.5 " , 0.029 , " -- "
184 , "J0920.0+3711 " , 140.01875 , 37.184 , "186.29" , "44.73" , "(10.1+/-1.4)x10-12" , "AGN " , 0.008 , " -- "
185 , "J0920.9-0804 " , 140.24375 , -8.074 , "239.83" , "28.09" , "(25.9+/-1.7)x10-12" , "Sy2 " , 0.02 , " -- "
186 , "J0923.8+2256 " , 140.96292 , 22.934 , "206.03" , "43.11" , "(17.5+/-1.5)x10-12" , "Sy1.2 " , 0.033 , " -- "
187 , "J0923.6-2135 " , 140.9 , -21.6 , "251.73" , "20" , "(9.4+/-1.7)x10-12" , "BLAZAR" , 0.053 , "BZU (uncertain type)"
188 , "J0923.9-3142 " , 140.98583 , -31.714 , "259.51" , "13.16" , "(13.8+/-1.8)x10-12" , "AGN " , 0.042 , " -- "
189 , "J0925.3+5216 " , 141.33667 , 52.278 , "165.01" , "44.38" , "(29.9+/-1.3)x10-12" , "Sy1 " , 0.035 , " -- "
190 , "J0926.1+1244 " , 141.54875 , 12.75 , "219.05" , "40.03" , "(8.9+/-1.7)x10-12" , "Sy1 " , 0.028 , " -- "
191 , "J0945.8-1420 " , 146.45083 , -14.347 , "249.74" , "28.78" , "(11.7+/-1.8)x10-12" , "Sy2 " , 0.008 , " -- "
192 , "J0947.8+0726 " , 146.95167 , 7.449 , "228.56" , "42.31" , "(11.2+/-1.7)x10-12" , "RG " , 0.086 , " -- "
193 , "J0950.0+7312 " , 147.5 , 73.2 , "138.08" , "38.11" , "(6.9+/-1.3)x10-12" , "RG " , 0.059 , " -- "
194 , "J0947.7-3056 " , 146.94083 , -30.949 , "262.76" , "17.24" , "(116.3+/-1.9)x10-12" , "Sy2 " , 0.009 , " -- "
195 , "J0952.0-0647 " , 148 , -6.8 , "244.26" , "34.91" , "(9.5+/-1.8)x10-12" , "Sy1 " , 0.015 , " -- "
196 , "J0952.6-6234 " , 148.15 , -62.568 , "283.89" , "-6.51" , "(8.5+/-1.5)x10-12" , "Sy1.9 " , 0.252 , " -- "
197 , "J0955.9+6905 " , 148.99375 , 69.086 , "142.04" , "40.92" , "(9.7+/-1.3)x10-12" , "LINER " , 0 , " -- "
198 , "J0959.6-2250 " , 149.90875 , -22.838 , "259.05" , "25.04" , "(39.5+/-1.9)x10-12" , "Sy2 " , 0.008 , " -- "
199 , "J1001.8+5541 " , 150.47 , 55.698 , "157.79" , "48.34" , "(14.3+/-1.2)x10-12" , "Sy2 " , 0.004 , " -- "
200 , "J1006.0-2305 " , 151.5 , -23.1 , "260.46" , "25.81" , "(9.8+/-1.9)x10-12" , "Sy1 " , 0.013 , " -- "
201 , "J1010.0-4248 " , 152.515 , -42.816 , "274.01" , "10.81" , "(18.2+/-1.9)x10-12" , "Sy2 " , 0.033 , " -- "
202 , "J1021.8-0326 " , 155.45083 , -3.45 , "247.32" , "42.7" , "(12.1+/-1.8)x10-12" , "Sy1 " , 0.041 , " -- "
203 , "J1023.5+1951 " , 155.89375 , 19.861 , "217" , "55.45" , "(66.6+/-1.6)x10-12" , "Sy1.5 " , 0.004 , " -- "
204 , "J1031.6-4202 " , 157.9 , -42.05 , "276.96" , "13.66" , "(10.2+/-2)x10-12" , "AGN " , 0.02 , " -- "
205 , "J1032.0-1417 " , 158.01 , -14.286 , "259.36" , "36.53" , "(22.6+/-1.9)x10-12" , "Sy1 " , 0.086 , " -- "
206 , "J1031.8-3451 " , 157.97375 , -34.857 , "273.01" , "19.78" , "(50+/-2.1)x10-12" , "Sy2 " , 0.011 , " -- "
207 , "J1038.9-4945 " , 159.74375 , -49.751 , "282.06" , "7.67" , "(14.3+/-1.8)x10-12" , "Sy1 " , 0.06 , " -- "
208 , "J1040.2-4624 " , 160.07292 , -46.412 , "280.6" , "10.69" , "(15.8+/-1.9)x10-12" , "Sy2 " , 0.024 , " -- "
209 , "J1044.0+7024 " , 161 , 70.4 , "136.96" , "43.09" , "(7.3+/-1.3)x10-12" , "Sy2 " , 0.033 , " -- "
210 , "J1046.6+2556 " , 161.66875 , 25.943 , "208.19" , "62.14" , "(11+/-1.5)x10-12" , "LINER " , 0.02 , " -- "
211 , "J1048.4-2509 " , 162.1 , -25.154 , "270.65" , "29.89" , "(13.2+/-2.2)x10-12" , "Sy2 " , 0.013 , " -- "
212 , "J1049.5+2257 " , 162.39167 , 22.959 , "214.74" , "62.15" , "(15.5+/-1.5)x10-12" , "Sy2 " , 0.033 , " -- "
213 , "J1052.7+1040 " , 163.19792 , 10.671 , "237.72" , "57.6" , "(11.5+/-1.7)x10-12" , "Sy1 " , 0.088 , " -- "
214 , "J1104.5+3812 " , 166.13292 , 38.209 , "179.82" , "65.04" , "(107.8+/-1.3)x10-12" , "BLAZAR" , 0.03 , "BZB (BL Lac)"
215 , "J1106.0+5854 " , 166.5 , 58.9 , "145.53" , "53.35" , "(6+/-1.2)x10-12" , "QSO " , 0.193 , " -- "
216 , "J1106.6+7234 " , 166.66792 , 72.569 , "133.24" , "42.39" , "(60.3+/-1.3)x10-12" , "Sy1.5 " , 0.009 , "BZQ (FSRQ)"
217 , "J1125.4+5422 " , 171.36667 , 54.379 , "147.06" , "58.53" , "(11+/-1.2)x10-12" , "Sy1 " , 0.021 , " -- "
218 , "J1127.5+1906 " , 171.88375 , 19.114 , "231.08" , "69.14" , "(11.6+/-1.5)x10-12" , "Sy1 " , 0.105 , " -- "
219 , "J1130.0-1449 " , 172.51792 , -14.817 , "275.26" , "43.63" , "(18.8+/-2.1)x10-12" , "BLAZAR" , 1.187 , "BZQ (FSRQ)"
220 , "J1132.6+5259 " , 173.15 , 52.997 , "147.09" , "60.27" , "(8.1+/-1.2)x10-12" , "Sy1 " , 0.028 , " -- "
221 , "J1132.9+1016 " , 173.23375 , 10.27 , "251.54" , "64.97" , "(9.6+/-1.6)x10-12" , "BLAZAR" , 0.54 , " -- "
222 , "J1136.4+2132 " , 174.12375 , 21.542 , "227" , "72.06" , "(9.8+/-1.5)x10-12" , "Sy1 " , 0.03 , " -- "
223 , "J1136.8+6737 " , 174.21583 , 67.633 , "133.39" , "47.95" , "(6.6+/-1.2)x10-12" , "BLAZAR" , 0.135 , "BZB (BL Lac)"
224 , "J1139.2+5912 " , 174.80792 , 59.207 , "139.23" , "55.57" , "(11.6+/-1.2)x10-12" , "Sy1.5 " , 0.06 , " -- "
225 , "J1139.0-3744 " , 174.765 , -37.74 , "287.46" , "22.94" , "(101+/-2.1)x10-12" , "Sy1 " , 0.01 , " -- "
226 , "J1139.2+0336 " , 174.8 , 3.6 , "263.54" , "60.82" , "(8.8+/-1.7)x10-12" , "AGN " , 0.019 , " -- "
227 , "J1139.6+3157 " , 174.90292 , 31.951 , "191.46" , "73.67" , "(8.7+/-1.3)x10-12" , "Sy1.8 " , 0.009 , " -- "
228 , "J1141.4+2156 " , 175.35083 , 21.949 , "227.15" , "73.26" , "(9.3+/-1.5)x10-12" , "Sy1 " , 0.063 , " -- "
229 , "J1144.9+7939 " , 176.24792 , 79.662 , "126.61" , "36.98" , "(18+/-1.4)x10-12" , "Sy1.2 " , 0.015 , " -- "
230 , "J1145.4+5900 " , 176.35083 , 59 , "138.15" , "56.13" , "(7.1+/-1.2)x10-12" , "AGN " , 0.008 , " -- "
231 , "J1145.7-1826 " , 176.43375 , -18.44 , "281.86" , "41.72" , "(31.3+/-2.2)x10-12" , "Sy1 " , 0.033 , " -- "
232 , "J1145.7-6954 " , 176.45 , -69.9 , "297.3" , "-7.75" , "(8.5+/-1.6)x10-12" , "QSO " , 0.244 , " -- "
233 , "J1148.8+2938 " , 177.20375 , 29.649 , "198.89" , "76.01" , "(10.8+/-1.3)x10-12" , "LINER " , 0.023 , " -- "
234 , "J1153.8+4928 " , 178.465 , 49.468 , "145.46" , "65.06" , "(6.4+/-1.2)x10-12" , "BLAZAR" , 0.334 , " -- "
235 , "J1158.1+5526 " , 179.54583 , 55.449 , "138.11" , "60.08" , "(8.3+/-1.2)x10-12" , "Sy1 " , 0.004 , " -- "
236 , "J1158.8+4235 " , 179.70167 , 42.6 , "154.23" , "71.18" , "(6.7+/-1.2)x10-12" , "Sy2 " , 0.031 , " -- "
237 , "J1200.9+0649 " , 180.24 , 6.819 , "270.09" , "66.41" , "(11.3+/-1.6)x10-12" , "Sy2 " , 0.036 , " -- "
238 , "J1202.7-5350 " , 180.67583 , -53.843 , "295.7" , "8.34" , "(27.6+/-1.8)x10-12" , "Sy2 " , 0.028 , " -- "
