_id , bat60_name , RA , Dec , LII , BII , Flux_15-55keV , Type , Redshift , other_name
361 , "J1904.0+3348 " , 286 , 33.8 , "64.8" , "12.3" , "(9+/-1.7)x10-12" , "AGN " , 0.015 , " -- "
362 , "J1913.6-5011 " , 288.4 , -50.2 , "347.11" , "-23.92" , "(10.7+/-2.1)x10-12" , "AGN " , 0.062 , " -- "
363 , "J1921.4-5841 " , 290.355 , -58.69 , "338.16" , "-26.74" , "(35.1+/-2)x10-12" , "Sy1 " , 0.037 , " -- "
364 , "J1930.4+3411 " , 292.60167 , 34.186 , "67.6" , "7.56" , "(18.3+/-1.6)x10-12" , "Sy1 " , 0.063 , " -- "
365 , "J1928.2+7357 " , 292.05292 , 73.961 , "105.62" , "23.51" , "(8.6+/-1.5)x10-12" , "Sy1 " , 0.36 , "BZQ (FSRQ)"
366 , "J1933.9+3253 " , 293.47583 , 32.899 , "66.8" , "6.31" , "(10.3+/-1.6)x10-12" , "Sy1 " , 0.058 , " -- "
367 , "J1937.6-0612 " , 294.42083 , -6.213 , "32.61" , "-13.11" , "(21.1+/-2.3)x10-12" , "Sy1 " , 0.011 , " -- "
368 , "J1942.8-1018 " , 295.70083 , -10.315 , "29.37" , "-16.04" , "(44.5+/-2.4)x10-12" , "Sy1 " , 0.005 , " -- "
369 , "J1947.4+4448 " , 296.86667 , 44.802 , "78.63" , "9.69" , "(15+/-1.6)x10-12" , "Sy2 " , 0.053 , " -- "
370 , "J1952.4+0229 " , 298.10083 , 2.5 , "42.27" , "-12.35" , "(14.8+/-2.1)x10-12" , "Sy2 " , 0.059 , " -- "
371 , "J1959.6+4044 " , 299.90792 , 40.743 , "76.21" , "5.73" , "(64.7+/-1.6)x10-12" , "Sy2 " , 0.056 , " -- "
372 , "J2001.2-1808 " , 300.3 , -18.149 , "23.7" , "-23.3" , "(14.1+/-2.6)x10-12" , "Sy1 " , 0.038 , " -- "
373 , "J2000.0+6509 " , 300.00083 , 65.154 , "98" , "17.67" , "(21.4+/-1.5)x10-12" , "BLAZAR" , 0.048 , "BZB (BL Lac)"
374 , "J2009.0-6105 " , 302.26667 , -61.086 , "335.79" , "-32.83" , "(33.1+/-1.9)x10-12" , "Sy1 " , 0.015 , " -- "
375 , "J2018.3-5539 " , 304.58875 , -55.65 , "342.27" , "-34.23" , "(17.2+/-2)x10-12" , "RG " , 0.06 , " -- "
376 , "J2021.8+4400 " , 305.45083 , 44 , "81.18" , "4.06" , "(9.3+/-1.6)x10-12" , "Sy2 " , 0.017 , " -- "
377 , "J2028.6+2543 " , 307.17375 , 25.729 , "67.01" , "-7.6" , "(34.4+/-1.6)x10-12" , "Sy2 " , 0.014 , " -- "
378 , "J2033.7+2147 " , 308.44375 , 21.793 , "64.43" , "-10.82" , "(16.7+/-1.7)x10-12" , "QSO " , 0.173 , " -- "
379 , "J2044.2-1043 " , 311.06 , -10.726 , "35.97" , "-29.88" , "(60.7+/-2.3)x10-12" , "Sy1.2 " , 0.034 , " -- "
380 , "J2044.1+2836 " , 311.04875 , 28.6 , "71.41" , "-8.68" , "(9+/-1.6)x10-12" , "Sy1 " , 0.05 , " -- "
381 , "J2042.9+7507 " , 310.72875 , 75.126 , "109" , "19.5" , "(31.3+/-1.4)x10-12" , "RG " , 0.104 , " -- "
382 , "J2052.1-5704 " , 313.04292 , -57.075 , "339.98" , "-38.76" , "(40.3+/-1.8)x10-12" , "Sy2 " , 0.011 , " -- "
383 , "J2056.0-4711 " , 314 , -47.2 , "352.65" , "-40.34" , "(10.2+/-2)x10-12" , "BLAZAR" , 1.489 , "BZQ (FSRQ)"
384 , "J2109.2-0942 " , 317.31375 , -9.707 , "40.24" , "-34.98" , "(18+/-2.2)x10-12" , "Sy1 " , 0.026 , " -- "
385 , "J2114.5+8203 " , 318.62667 , 82.064 , "115.97" , "22.32" , "(19.8+/-1.4)x10-12" , "BLAZAR" , 0.084 , " -- "
386 , "J2123.8+2506 " , 320.95375 , 25.1 , "74.51" , "-17.69" , "(10+/-1.7)x10-12" , "Sy2 " , 0.102 , " -- "
387 , "J2124.7+5058 " , 321.18667 , 50.97 , "93.32" , "0.38" , "(108.5+/-1.5)x10-12" , "Sy1 " , 0.02 , " -- "
388 , "J2127.7+5656 " , 321.94292 , 56.945 , "97.8" , "4.36" , "(27+/-1.5)x10-12" , "Sy1 " , 0.015 , " -- "
389 , "J2129.3-1537 " , 322.33375 , -15.631 , "35.96" , "-41.9" , "(12.7+/-2.2)x10-12" , "BLAZAR" , 3.28 , "BZQ (FSRQ)"
390 , "J2132.1-3342 " , 323.03667 , -33.714 , "11.51" , "-46.95" , "(22.6+/-2.1)x10-12" , "Sy1 " , 0.03 , " -- "
391 , "J2136.0-6223 " , 324.01292 , -62.399 , "331.16" , "-42.5" , "(19.1+/-1.7)x10-12" , "Sy1 " , 0.059 , " -- "
392 , "J2136.1+4729 " , 324.03292 , 47.491 , "92.29" , "-3.43" , "(15.4+/-1.6)x10-12" , "Sy1 " , 0.025 , " -- "
393 , "J2139.1+3205 " , 324.78792 , 32.089 , "82.15" , "-15.17" , "(11.7+/-1.6)x10-12" , "Sy1 " , 0.025 , " -- "
394 , "J2148.2+0655 " , 327.06667 , 6.931 , "63.66" , "-34.13" , "(10.5+/-1.8)x10-12" , "BLAZAR" , 0.99 , "BZQ (FSRQ)"
395 , "J2152.0-3028 " , 328.01083 , -30.474 , "17.06" , "-50.82" , "(35.3+/-2)x10-12" , "BLAZAR" , 2.345 , "BZQ (FSRQ)"
396 , "J2200.7+1033 " , 330.19375 , 10.563 , "69.42" , "-34.04" , "(17.9+/-1.8)x10-12" , "Sy1.9 " , 0.027 , " -- "
397 , "J2202.1-3152 " , 330.54 , -31.872 , "15.13" , "-53.1" , "(82.5+/-2)x10-12" , "Sy2 " , 0.009 , " -- "
398 , "J2203.0+3144 " , 330.75083 , 31.749 , "85.9" , "-18.76" , "(9.5+/-1.6)x10-12" , "BLAZAR" , 0.298 , "BZQ (FSRQ)"
399 , "J2203.0+4217 " , 330.76292 , 42.288 , "92.64" , "-10.47" , "(13.9+/-1.6)x10-12" , "BLAZAR" , 0.069 , "BZB (BL Lac)"
400 , "J2204.5+0335 " , 331.12875 , 3.584 , "63.68" , "-39.38" , "(14+/-1.8)x10-12" , "Sy2 " , 0.061 , " -- "
401 , "J2209.5-4709 " , 332.4 , -47.161 , "349.57" , "-52.64" , "(24.6+/-1.7)x10-12" , "Sy1.5 " , 0.028 , "BZU (uncertain type)"
402 , "J2212.0+1842 " , 333 , 18.7 , "78.39" , "-30.06" , "(9.1+/-1.7)x10-12" , "BLAZAR" , 0.07 , "BZQ (FSRQ)"
403 , "J2223.9-0206 " , 335.98792 , -2.103 , "61.89" , "-46.74" , "(21.1+/-1.8)x10-12" , "Sy1 " , 0.056 , " -- "
404 , "J2229.6-0830 " , 337.4 , -8.5 , "55.27" , "-51.67" , "(9.9+/-1.9)x10-12" , "BLAZAR" , 1.561 , "BZQ (FSRQ)"
405 , "J2235.9-2603 " , 338.97583 , -26.06 , "27.12" , "-59.78" , "(30+/-1.9)x10-12" , "Sy1.9 " , 0.005 , " -- "
406 , "J2236.1+3357 " , 339.04 , 33.961 , "93.29" , "-21.01" , "(17.2+/-1.6)x10-12" , "Sy2 " , 0.023 , " -- "
407 , "J2236.8-1235 " , 339.21375 , -12.587 , "51.01" , "-55.34" , "(15.2+/-1.9)x10-12" , "Sy1 " , 0.024 , " -- "
