_id ,egcat3_name , RA, Dec, Sp.index , Err.Sp.index , other_name , other_name1 , other_name2, LII, BII
189 , "3EG J1738+5203 " , 264.64 , 52.05 , 2.42 , 0.23 , "2EG J1739+5152" , "1739+522 " , " -------- " , "79.36" , "32.05"
190 , "3EG J1741-2312 " , 265.42 , -23.21 , 2.49 , 0.14 , "2EG J1742-2250" , " -------- " , " -------- " , "4.41" , "3.75"
191 , "3EG J1741-2050 " , 265.41 , -20.84 , 2.25 , 0.12 , " -------- " , " -------- " , " -------- " , "6.43" , "5"
192 , "3EG J1744-3934 " , 266.2 , -39.57 , 2.42 , 0.17 , " -------- " , " -------- " , " -------- " , "350.81" , "-5.39"
193 , "3EG J1744-0310 " , 266.02 , -3.18 , 2.42 , 0.42 , "1741-038 " , " -------- " , " -------- " , "22.19" , "13.42"
194 , "3EG J1744-3011 " , 266.23 , -30.19 , 2.17 , 0.08 , "2EG J1747-3039" , " -------- " , " -------- " , "358.85" , "-0.53"
195 , "3EG J1746-2851 " , 266.51 , -28.86 , 1.7 , 0.07 , "2EG J1746-2852" , "GEV J1746-2854" , " -------- " , "0.11" , "-0.04"
196 , "3EG J1746-1001 " , 266.5 , -10.03 , 2.55 , 0.18 , "2EG J1746-0935" , " -------- " , " -------- " , "16.34" , "9.63"
197 , "3EG J1757-0711 " , 269.48 , -7.2 , 2.51 , 0.2 , " -------- " , " -------- " , " -------- " , "20.3" , "8.46"
198 , "3EG J1800-3955 " , 270.22 , -39.93 , 3.1 , 0.35 , "2EGS J1800-400" , "1759-396 " , " -------- " , "352.04" , "-8.25"
199 , "3EG J1800-2338 " , 270.12 , -23.65 , 2.1 , 0.1 , "2EG J1801-2312" , "GEV J1800-2328" , "W28 SNR? " , "6.24" , "-0.19"
200 , "3EG J1800-0146 " , 270.22 , -1.78 , 2.79 , 0.22 , " -------- " , " -------- " , " -------- " , "25.49" , "10.39"
201 , "3EG J1806-5005 " , 271.54 , -50.1 , 2.93 , 0.43 , "PMN J1808-5011" , " -------- " , " -------- " , "343.28" , "-13.76"
202 , "3EG J1809-2328 " , 272.49 , -23.47 , 2.06 , 0.08 , "2EG J1811-2339" , "GEV J1809-2327" , " -------- " , "7.46" , "-1.99"
203 , "3EG J1810-1032 " , 272.52 , -10.54 , 2.29 , 0.16 , " -------- " , " -------- " , " -------- " , "18.81" , "4.22"
204 , "3EG J1813-6419 " , 273.34 , -64.33 , 2.85 , 0.44 , " -------- " , " -------- " , " -------- " , "330.03" , "-20.32"
205 , "3EG J1812-1316 " , 273.14 , -13.27 , 2.29 , 0.11 , "2EG J1813-1229" , "GEV J1814-1228" , " -------- " , "16.7" , "2.38"
206 , "3EG J1825-7926 " , 276.26 , -79.44 , 2.47 , 0.31 , "2EG J1821-7915" , " -------- " , " -------- " , "314.56" , "-25.44"
207 , "3EG J1822+1641 " , 275.57 , 16.7 , 3.06 , 0.68 , " -------- " , " -------- " , " -------- " , "44.83" , "13.83"
208 , "3EG J1823-1314 " , 275.77 , -13.24 , 2.69 , 0.19 , "2EG J1825-1307" , "GEV J1825-1310" , "KES 67 SNR? " , "17.94" , "0.14"
209 , "3EG J1824-1514 " , 276.2 , -15.24 , 2.19 , 0.18 , " -------- " , " -------- " , " -------- " , "16.37" , "-1.17"
210 , "3EG J1824+3441 " , 276.21 , 34.69 , 2.03 , 0.5 , " -------- " , " -------- " , " -------- " , "62.48" , "20.13"
211 , "3EG J1825+2854 " , 276.29 , 28.91 , 4.47 , 1.15 , " -------- " , " -------- " , " -------- " , "56.78" , "18.03"
212 , "3EG J1826-1302 " , 276.55 , -13.04 , 2 , 0.11 , "2EG J1825-1307" , " -------- " , " -------- " , "18.47" , "-0.44"
213 , "3EG J1828+0142 " , 277.25 , 1.72 , 2.76 , 0.39 , "2EG J1828+0145" , " -------- " , " -------- " , "31.9" , "5.77"
214 , "3EG J1832-2110 " , 278.1 , -21.18 , 2.59 , 0.13 , "2EG J1834-2138" , "GEV J1832-2128" , "1830-210 " , "11.92" , "-5.51"
215 , "3EG J1834-2803 " , 278.59 , -28.06 , 2.62 , 0.2 , "2EGS J1833-275" , " -------- " , " -------- " , "5.92" , "-8.98"
216 , "3EG J1836-4933 " , 279.52 , -49.56 , 2.14 , 0.35 , " -------- " , " -------- " , " -------- " , "345.92" , "-18.27"
217 , "3EG J1837-0606 " , 279.26 , -6.1 , 1.82 , 0.14 , "GRO J1835-06 " , "GEV J1837-0610" , " -------- " , "25.86" , "0.4"
218 , "3EG J1835+5918 " , 278.87 , 59.32 , 1.69 , 0.07 , "2EG J1835+5919" , "GEV J1835+5921" , " -------- " , "88.74" , "25.07"
219 , "3EG J1837-0423 " , 279.41 , -4.4 , 2.71 , 0.44 , " -------- " , " -------- " , " -------- " , "27.44" , "1.05"
220 , "3EG J1847-3219 " , 281.9 , -32.32 , 2.67 , 0.42 , "2EG J1847-3220" , " -------- " , " -------- " , "3.21" , "-13.37"
221 , "3EG J1850-2652 " , 282.67 , -26.88 , 2.29 , 0.45 , "2EG J1850-2638" , " -------- " , " -------- " , "8.57" , "-11.75"
222 , "3EG J1850+5903 " , 282.54 , 59.05 , 2.58 , 0.41 , " -------- " , " -------- " , " -------- " , "88.91" , "23.18"
223 , "3EG J1856+0114 " , 284.1 , 1.24 , 1.93 , 0.1 , "2EG J1857+0118" , "GEV J1856+0115" , "W44 SNR? " , "34.6" , "-0.54"
224 , "3EG J1858-2137 " , 284.61 , -21.62 , 3.45 , 0.38 , " -------- " , " -------- " , " -------- " , "14.2" , "-11.15"
225 , "3EG J1903+0550 " , 285.91 , 5.84 , 2.38 , 0.17 , "2EGS J1903+052" , "GEV J1907+0557" , "G40.5-0.5 SNR?" , "39.51" , "-0.05"
226 , "3EG J1904-1124 " , 286.21 , -11.41 , 2.6 , 0.21 , "2EGS J1905-112" , " -------- " , " -------- " , "24.22" , "-8.12"
227 , "3EG J1911-2000 " , 287.93 , -20 , 2.39 , 0.18 , "2EG J1911-1945" , "1908-201 " , " -------- " , "17.03" , "-13.29"
228 , "3EG J1921-2015 " , 290.5 , -20.26 , 0 , 0 , "1920-211? " , " -------- " , " -------- " , "17.8" , "-15.6"
229 , "3EG J1928+1733 " , 292.1 , 17.56 , 2.23 , 0.32 , " -------- " , " -------- " , " -------- " , "52.7" , "0.07"
230 , "3EG J1935-4022 " , 293.98 , -40.38 , 2.86 , 0.4 , "2EG J1934-4014" , "1933-400 " , " -------- " , "358.64" , "-25.23"
231 , "3EG J1937-1529 " , 294.47 , -15.49 , 3.45 , 1.27 , "1936-155 " , " -------- " , " -------- " , "23.94" , "-17.13"
232 , "3EG J1940-0121 " , 295.23 , -1.36 , 3.15 , 0.39 , " -------- " , " -------- " , " -------- " , "37.41" , "-11.63"
233 , "3EG J1949-3456 " , 297.29 , -34.94 , 0 , 0 , "2EG J1950-3503" , " -------- " , " -------- " , "5.24" , "-26.3"
234 , "3EG J1955-1414 " , 298.94 , -14.25 , 2.53 , 0.28 , "2EGS J1954-141" , " -------- " , " -------- " , "27" , "-20.56"
235 , "3EG J1958-4443 " , 299.5 , -44.72 , 0 , 0 , " -------- " , " -------- " , " -------- " , "354.85" , "-30.13"
236 , "3EG J1958+2909 " , 299.69 , 29.16 , 1.85 , 0.2 , "GEV J1957+2859" , " -------- " , " -------- " , "66.22" , "-0.17"
237 , "3EG J1959+6342 " , 299.78 , 63.71 , 2.45 , 0.25 , " -------- " , " -------- " , " -------- " , "96.61" , "17.1"
238 , "3EG J2006-2321 " , 301.54 , -23.35 , 2.33 , 0.36 , "2EG J2006-2253" , " -------- " , " -------- " , "18.82" , "-26.26"
239 , "3EG J2016+3657 " , 304.05 , 36.94 , 2.09 , 0.11 , "2EG J2019+3719" , "(PARTIAL) " , "GEV J2020+3658" , "74.74" , "0.97"
240 , "3EG J2020-1545 " , 305.1 , -15.75 , 3.4 , 0.55 , " -------- " , " -------- " , " -------- " , "28.09" , "-26.62"
241 , "3EG J2020+4017 " , 305.25 , 40.3 , 2.08 , 0.04 , "2EG J2020+4026" , "GEV J2020+4023" , "GAMMA CYG SNR?" , "78.05" , "2.08"
242 , "3EG J2021+3716 " , 305.3 , 37.27 , 1.86 , 0.1 , "2EG J2019+3719" , "(PARTIAL) " , " -------- " , "75.57" , "0.33"
243 , "3EG J2022+4317 " , 305.52 , 43.29 , 2.31 , 0.19 , " -------- " , " -------- " , " -------- " , "80.62" , "3.61"
244 , "3EG J2025-0744 " , 306.36 , -7.75 , 2.38 , 0.17 , "2EG J2023-0836" , "GEV J2024-0812" , "2022-077 " , "36.71" , "-24.41"
245 , "3EG J2027+3429 " , 306.95 , 34.5 , 2.28 , 0.15 , "2EG J2026+3610" , " -------- " , " -------- " , "74.08" , "-2.36"
246 , "3EG J2034-3110 " , 308.73 , -31.18 , 3.43 , 0.78 , " -------- " , " -------- " , " -------- " , "12.25" , "-34.64"
247 , "3EG J2033+4118 " , 308.41 , 41.32 , 1.96 , 0.1 , "2EG J2033+4112" , " -------- " , " -------- " , "80.27" , "0.73"
248 , "3EG J2035+4441 " , 308.85 , 44.69 , 2.08 , 0.26 , " -------- " , " -------- " , " -------- " , "83.16" , "2.48"
249 , "3EG J2036+1132 " , 309.18 , 11.54 , 2.83 , 0.26 , "2EG J2039+1131" , "2032+107 " , " -------- " , "56.11" , "-17.19"
250 , "3EG J2046+0933 " , 311.58 , 9.57 , 2.22 , 0.51 , " -------- " , " -------- " , " -------- " , "55.76" , "-20.24"
251 , "3EG J2055-4716 " , 313.8 , -47.28 , 2.04 , 0.35 , "2EG J2058-4657" , "2052-474 " , " -------- " , "352.55" , "-40.2"
252 , "3EG J2100+6012 " , 315.18 , 60.21 , 2.21 , 0.25 , "2105+598? " , " -------- " , " -------- " , "97.76" , "9.16"
253 , "3EG J2158-3023 " , 329.68 , -30.4 , 2.35 , 0.26 , "2155-304 " , " -------- " , " -------- " , "17.44" , "-52.24"
254 , "3EG J2202+4217 " , 330.6 , 42.29 , 2.6 , 0.28 , "2200+420 " , "BL LACERTAE " , " -------- " , "92.54" , "-10.4"
255 , "3EG J2206+6602 " , 331.6 , 66.05 , 2.29 , 0.26 , "2206+650? " , " -------- " , " -------- " , "107.23" , "8.34"
256 , "3EG J2209+2401 " , 332.41 , 24.03 , 2.48 , 0.5 , "2EG J2210+2358" , "2209+236 " , " -------- " , "81.83" , "-25.65"
257 , "3EG J2219-7941 " , 335 , -79.69 , 2.5 , 0.29 , " -------- " , " -------- " , " -------- " , "310.64" , "-35.06"
258 , "3EG J2227+6122 " , 336.81 , 61.37 , 2.24 , 0.14 , "2EG J2227+6122" , "GEV J2227+6101" , " -------- " , "106.52" , "3.18"
259 , "3EG J2232+1147 " , 338.11 , 11.8 , 2.45 , 0.14 , "2EG J2233+1140" , "2230+114 " , "CTA 102 " , "77.45" , "-38.51"
260 , "3EG J2241-6736 " , 340.26 , -67.6 , 2.39 , 0.36 , " -------- " , " -------- " , " -------- " , "319.81" , "-45.02"
261 , "3EG J2243+1509 " , 340.78 , 15.17 , 0 , 0 , "2EG J2243+1545" , " -------- " , " -------- " , "82.69" , "-37.48"
262 , "3EG J2248+1745 " , 342.24 , 17.77 , 2.11 , 0.39 , " -------- " , " -------- " , " -------- " , "86" , "-36.17"
263 , "3EG J2251-1341 " , 342.8 , -13.69 , 2.43 , 0.46 , " -------- " , " -------- " , " -------- " , "52.48" , "-58.91"
264 , "3EG J2254+1601 " , 343.51 , 16.02 , 2.21 , 0.06 , "2EG J2253+1615" , "GEV J2253+1622" , "2251+158 " , "86.04" , "-38.3"
265 , "3EG J2255-5012 " , 343.99 , -50.21 , 2.79 , 0.53 , " -------- " , " -------- " , " -------- " , "338.74" , "-58.13"
266 , "3EG J2255+1943 " , 343.99 , 19.73 , 2.36 , 0.61 , "2250+1926? " , " -------- " , " -------- " , "89.03" , "-35.43"
267 , "3EG J2314+4426 " , 348.7 , 44.44 , 2.34 , 0.32 , " -------- " , " -------- " , " -------- " , "105.31" , "-15.1"
268 , "3EG J2321-0328 " , 350.41 , -3.48 , 0 , 0 , "2EGS J2322-032" , "2320-035 " , " -------- " , "76.82" , "-58.07"
269 , "3EG J2352+3752 " , 358.1 , 37.88 , 2.47 , 0.68 , "2EGS J2354+381" , "2346+385? " , " -------- " , "110.26" , "-23.54"
270 , "3EG J2358+4604 " , 359.57 , 46.07 , 2.38 , 0.38 , "2351+456 " , " -------- " , " -------- " , "113.39" , "-15.82"
271 , "3EG J2359+2041 " , 359.99 , 20.7 , 2.09 , 0.35 , "2356+196 " , "2EG J0000+2041" , " -------- " , "107.01" , "-40.58"
