_id , pccs1f30_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
15 , "PCCS1 030 G121.65+18.80 "   ,, 4.50792 , 81.58917 , 121.646 , 18.801 , "561.5+/-101.8" , "189.1+/-299" , "956.6+/-35.9" , "507.8+/-63.8" , 1.8 , "No" , 0 , 2 , " " , "54.6+/-1" , "22+/-3.4" , "35+/-5.6" , 34.6
16 , "PCCS1 030 G120.67+10.68 "   ,, 5.04792 , 73.41917 , 120.67 , 10.685 , "895.9+/-114.2" , "154.1+/-686" , "1175.1+/-44.4" , "279.6+/-64.6" , 1.8 , "No" , 0 , 2 , " " , "24.6+/-5.9" , "18.3+/-4.4" , "30.7+/-32" , 21.2
17 , "PCCS1 030 G119.40-00.91 "   ,, 5.39042 , 61.75778 , 119.405 , -0.909 , "2033.1+/-235.6" , "3701.3+/-874" , "3293.3+/-108.1" , "8857+/-287.2" , 1.8 , "Yes" , 0 , 2 , "PLCKERC030 G119.41-00.96" , "73.7+/-3.5" , "48.3+/-2.5" , "110.4+/-3" , 59.7
18 , "PCCS1 030 G105.25-66.08 "   ,, 5.76458 , -4.18833 , 105.245 , -66.08099 , "427.4+/-103.1" , "690.3+/-372.2" , "295+/-45.3" , "938.1+/-85.7" , 1.8 , "No" , 0 , 0 , " " , "54+/-6.1" , "37.9+/-4.4" , "16.9+/-10.4" , 45.3
19 , "PCCS1 030 G118.17-15.84 "   ,, 6.15417 , 46.78611 , 118.165 , -15.837 , "491+/-107.4" , "564.3+/-310.6" , "503+/-44.2" , "854.8+/-74.9" , 1.8 , "No" , 0 , 0 , " " , "60.2+/-6.3" , "32.2+/-3.4" , "115.2+/-5.4" , 44
20 , "PCCS1 030 G306.62-48.60 "   ,, 6.235 , -68.33667 , 306.62399 , -48.601 , "452.8+/-89.7" , "413.7+/-252.1" , "358.7+/-37.3" , "641.1+/-51.5" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G306.60-48.58" , "48.9+/-4.5" , "31+/-2.9" , "37.2+/-7" , 38.9
21 , "PCCS1 030 G117.39-23.38 "   ,, 6.29042 , 39.20583 , 117.39 , -23.383 , "466.2+/-115.4" , "902.8+/-327" , "664.5+/-45.7" , "2508.8+/-159.6" , 1.8 , "Yes" , 0 , 2 , " " , "97.7+/-9" , "45.6+/-4.2" , "32.4+/-3.1" , 66.8
22 , "PCCS1 030 G120.09+01.40 "   ,, 6.34042 , 64.13278 , 120.092 , 1.405 , "6265.6+/-354.9" , "7052.7+/-526.9" , "6517.9+/-69.4" , "6880.6+/-85.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G120.09+01.39" , "37.3+/-0.5" , "29.3+/-0.4" , "44.7+/-2.1" , 33.1
23 , "PCCS1 030 G042.45-84.13 "   ,, 6.41875 , -26.01111 , 42.452 , -84.133 , "809.2+/-111.2" , "959.7+/-437.6" , "732.7+/-44.4" , "938.4+/-61.7" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G042.09-84.13" , "40.4+/-2.9" , "28.7+/-2.1" , "151.3+/-7.8" , 34.1
24 , "PCCS1 030 G335.00-80.31 "   ,, 6.57833 , -35.20139 , 335.00201 , -80.30701 , "825+/-109.8" , "535+/-402.9" , "538.2+/-45.8" , "540+/-53.9" , 1.8 , "No" , 0 , 2 , " " , "31.7+/-3.4" , "25.2+/-2.7" , "60.3+/-17.7" , 28.3
25 , "PCCS1 030 G113.07-56.57 "   ,, 7.41667 , 5.88528 , 113.071 , -56.569 , "712.2+/-108.5" , "1036.4+/-332.3" , "792.4+/-47.5" , "1543.7+/-90.5" , 1.8 , "No" , 0 , 2 , " " , "58.1+/-4.1" , "35.8+/-2.6" , "84.7+/-4.8" , 45.6
26 , "PCCS1 030 G116.49-52.02 "   ,, 8.82792 , 10.65278 , 116.486 , -52.017 , "465.5+/-115.7" , "728.2+/-265.5" , "568+/-45.1" , "2401.8+/-159.8" , 1.8 , "Yes" , 0 , 0 , " " , "98.4+/-10.4" , "47.5+/-4.8" , "72+/-3.3" , 68.4
27 , "PCCS1 030 G115.13-64.85 "   ,, 9.55 , -2.18083 , 115.131 , -64.85201 , "1015.6+/-110.9" , "575.1+/-302.3" , "666.9+/-45.9" , "594+/-46.9" , 1.8 , "No" , 0 , 2 , " " , "33.6+/-2.8" , "20.1+/-1.7" , "69.2+/-6.1" , 26
28 , "PCCS1 030 G068.23-86.33 "   ,, 9.55917 , -24.97167 , 68.227 , -86.334 , "643.6+/-115" , "448.6+/-340.1" , "511.6+/-41.6" , "546.4+/-52.2" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G067.67-86.35" , "38.9+/-4.1" , "26.8+/-2.8" , "131.2+/-10.3" , 32.3
29 , "PCCS1 030 G121.60-05.70 "   ,, 10.41917 , 57.14833 , 121.602 , -5.698 , "796.7+/-164.7" , "575.1+/-311.6" , "6047.1+/-293" , "510.8+/-57.1" , 1.8 , "No" , 0 , 2 , " " , "33.3+/-4" , "24.2+/-2.9" , "16.6+/-14.2" , 28.4
30 , "PCCS1 030 G120.16-39.65 "   ,, 10.53667 , 23.16861 , 120.158 , -39.653 , "528+/-129.8" , "715.7+/-487.6" , "638.8+/-46.5" , "1654.6+/-110.5" , 1.8 , "Yes" , 0 , 2 , " " , "80+/-7.3" , "34.7+/-2.9" , "103.4+/-3" , 52.7
31 , "PCCS1 030 G121.64-10.79 "   ,, 10.78708 , 52.05667 , 121.635 , -10.794 , "625.3+/-124.7" , "757.3+/-296.2" , "736.6+/-49" , "816.6+/-66.3" , 1.8 , "No" , 0 , 2 , " " , "38.7+/-3.6" , "34.3+/-3.2" , "24.7+/-27.9" , 36.4
32 , "PCCS1 030 G306.85-75.00 "   ,, 11.49292 , -42.09056 , 306.85101 , -74.996 , "719.1+/-103.2" , "794.4+/-266.5" , "960.2+/-44.1" , "1734.2+/-130" , 1.8 , "Yes" , 0 , 2 , " " , "94.4+/-3.8" , "38.5+/-3.9" , "23.9+/-3.3" , 60.3
33 , "PCCS1 030 G303.09-32.82 "   ,, 11.51083 , -84.30944 , 303.091 , -32.817 , "406+/-95.8" , "843.3+/-284.1" , "758.2+/-35.3" , "2743.2+/-132.5" , 1.8 , "Yes" , 0 , 2 , " " , "108.2+/-9.2" , "44.9+/-3.1" , "164+/-2" , 69.7
34 , "PCCS1 030 G097.44-87.95 "   ,, 11.88292 , -25.2725 , 97.438 , -87.948 , "895.6+/-114.8" , "1055+/-312.2" , "984.1+/-43.9" , "1303.1+/-69.9" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G098.22-87.95" , "49.2+/-3" , "30.6+/-1.9" , "49.8+/-4.5" , 38.8
35 , "PCCS1 030 G303.27-43.89 "   ,, 12.00917 , -73.23889 , 303.272 , -43.88699 , "1112.8+/-105" , "3147.1+/-336.1" , "2179.7+/-74" , "7566.7+/-273.4" , 1.8 , "Yes" , 0 , 2 , "PLCKERC030 G303.25-43.88" , "100.4+/-5.1" , "46.3+/-2.4" , "130.9+/-1.7" , 68.2
36 , "PCCS1 030 G122.28-30.91 "   ,, 12.19708 , 31.96111 , 122.277 , -30.907 , "761.9+/-131" , "803.7+/-375.6" , "672.2+/-49.3" , "1789.4+/-107" , 1.8 , "Yes" , 0 , 2 , " " , "81.3+/-2.5" , "33.1+/-2.5" , "42.2+/-2.6" , 51.9
37 , "PCCS1 030 G303.32-59.51 "   ,, 12.49167 , -57.61306 , 303.32001 , -59.51401 , "1262.2+/-100.9" , "1227.8+/-212.7" , "1200+/-36.2" , "1238.6+/-45.7" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G303.25-59.50" , "34.7+/-1.4" , "30.7+/-1.2" , "60.5+/-12.1" , 32.6
38 , "PCCS1 030 G303.15-74.74 "   ,, 12.78167 , -42.38611 , 303.14999 , -74.742 , "703+/-102.9" , "1161.2+/-328.9" , "960.2+/-44.1" , "1699+/-87.3" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G303.01-74.73" , "54.2+/-3.6" , "41.4+/-2.8" , "12.5+/-7.7" , 47.4
39 , "PCCS1 030 G122.71-69.70 "   ,, 12.78333 , -6.83111 , 122.715 , -69.703 , "1226.7+/-115.5" , "1235.9+/-340.8" , "1258.9+/-48.3" , "1299.4+/-65.6" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G122.83-69.68" , "36.2+/-2" , "29.3+/-1.6" , "41.1+/-9.8" , 32.6
40 , "PCCS1 030 G123.14-06.28 "   ,, 13.235 , 56.59611 , 123.14 , -6.275 , "1.0e+4+/-152.1" , "1.6e+4+/-468.7" , "1.4e+4+/-89.8" , "1.7e+4+/-86.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G123.09-06.28" , "43.7+/-0.3" , "34.4+/-0.2" , "50.2+/-0.8" , 38.8
41 , "PCCS1 030 G123.22+02.88 "   ,, 13.56208 , 65.74917 , 123.221 , 2.879 , "2263.8+/-188.6" , "4562.2+/-445.2" , "3864.9+/-75.9" , "5984.6+/-124.3" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G123.20+02.86" , "52+/-1.3" , "38.6+/-1" , "5.9+/-2.8" , 44.8
42 , "PCCS1 030 G124.55-32.50 "   ,, 14.43792 , 30.35194 , 124.547 , -32.5 , "1069.2+/-120.1" , "706.8+/-286.3" , "657.7+/-47.1" , "828.7+/-61.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G124.57-32.50" , "38.4+/-3.1" , "25.2+/-2" , "52.6+/-7" , 31.1
43 , "PCCS1 030 G126.62-64.33 "   ,, 14.45458 , -1.50583 , 126.616 , -64.332 , "616.8+/-124.2" , "902.7+/-263" , "817.8+/-44.2" , "1297.1+/-74.3" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G126.44-64.29" , "48.5+/-3.4" , "38+/-2.7" , "63.6+/-9.5" , 42.9
44 , "PCCS1 030 G127.42-68.55 "   ,, 14.50583 , -5.73639 , 127.416 , -68.55099 , "650+/-127.1" , "-" , "-" , "104.7+/-31.4" , 1.8 , "No" , 0 , 2 , " " , "18.4+/-5.7" , "16.6+/-5.1" , "41.2+/-118.9" , 17.5
45 , "PCCS1 030 G126.71-62.69 "   ,, 14.59292 , 0.12972 , 126.713 , -62.69099 , "524.9+/-121.3" , "607+/-310.3" , "494.2+/-45.4" , "1264.2+/-91.2" , 1.8 , "No" , 0 , 1 , " " , "76+/-6.9" , "31.3+/-2.8" , "70.1+/-3" , 48.8
46 , "PCCS1 030 G300.96-60.12 "   ,, 14.65792 , -56.9775 , 300.96399 , -60.123 , "983+/-96.9" , "864.1+/-220.3" , "799.1+/-43.4" , "860.8+/-44" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G301.08-60.14" , "32.5+/-1.8" , "28.6+/-1.6" , "63.4+/-16.7" , 30.5
47 , "PCCS1 030 G293.81-79.77 "   ,, 14.88542 , -37.21806 , 293.81299 , -79.76601 , "443.8+/-103.8" , "915.9+/-256.4" , "668.3+/-44.3" , "1640.3+/-92.8" , 1.8 , "Yes" , 0 , 0 , " " , "68.1+/-5" , "39.3+/-3" , "33.5+/-4" , 51.8
48 , "PCCS1 030 G301.20-55.55 "   ,, 14.91917 , -61.54639 , 301.19699 , -55.554 , "435.5+/-96" , "392.6+/-242" , "427.1+/-32.5" , "1020.5+/-78.4" , 1.8 , "Yes" , 0 , 2 , " " , "87.4+/-7.7" , "36+/-3.6" , "43.1+/-3.2" , 56.1
49 , "PCCS1 030 G301.95-44.97 "   ,, 15.12708 , -72.14083 , 301.94901 , -44.97 , "1260.4+/-96.8" , "3346.3+/-356.8" , "2447.7+/-71.3" , "4324.9+/-143" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G301.64-45.02" , "58.6+/-2.5" , "40.2+/-1.8" , "138.6+/-3.5" , 48.5
50 , "PCCS1 030 G302.12-41.35 "   ,, 15.33583 , -75.76556 , 302.121 , -41.347 , "524.4+/-99.6" , "381.4+/-233.7" , "453.6+/-31.4" , "455.9+/-40.8" , 1.8 , "No" , 0 , 2 , " " , "40.8+/-3.9" , "22.5+/-2.2" , "32.9+/-5.8" , 30.3
51 , "PCCS1 030 G124.41-04.45 "   ,, 15.67542 , 58.38917 , 124.412 , -4.45 , "1798.6+/-176.8" , "2016+/-804.1" , "1915.9+/-79.5" , "2028.1+/-108.2" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G124.43-04.47" , "37.2+/-2.2" , "31.1+/-1.8" , "23+/-12.2" , 34
52 , "PCCS1 030 G170.90-85.80 "   ,, 16.27625 , -24.27833 , 170.89799 , -85.80499 , "957.3+/-114.9" , "1306.9+/-294.1" , "1126.3+/-42.8" , "1623.5+/-75.4" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G170.74-85.79" , "42.8+/-2.4" , "41.7+/-2.4" , "61.7+/-73.8" , 42.2
53 , "PCCS1 030 G215.80-86.67 "   ,, 16.59833 , -27.245 , 215.79601 , -86.672 , "707.5+/-110.3" , "318.3+/-260.5" , "365.2+/-42.3" , "406.7+/-48.1" , 1.8 , "No" , 0 , 2 , " " , "39.2+/-5" , "21.3+/-2.7" , "167.7+/-7.5" , 28.9
54 , "PCCS1 030 G290.71-76.19 "   ,, 16.67167 , -40.57111 , 290.71399 , -76.19299 , "1324.7+/-102.7" , "1241.1+/-256.8" , "1297.1+/-37.5" , "1270.8+/-50.6" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G290.59-76.21" , "36.8+/-1.6" , "28.3+/-1.2" , "76.3+/-6.1" , 32.3
55 , "PCCS1 030 G126.84-30.30 "   ,, 16.85833 , 32.45333 , 126.84 , -30.297 , "672.6+/-133" , "517.1+/-488.2" , "503.7+/-50.7" , "963.2+/-81.4" , 1.8 , "No" , 0 , 2 , " " , "70+/-2.6" , "28.6+/-3.1" , "74.2+/-3.8" , 44.7
56 , "PCCS1 030 G131.84-60.98 "   ,, 17.16833 , 1.59528 , 131.838 , -60.978 , "3365.4+/-143.1" , "3532.1+/-507.1" , "3414+/-53.3" , "3634.1+/-70.5" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G131.82-60.99" , "39.9+/-0.9" , "28.4+/-0.6" , "46.3+/-2.3" , 33.6
57 , "PCCS1 030 G129.46-49.29 "   ,, 17.22667 , 13.35833 , 129.455 , -49.29201 , "1133.8+/-118.8" , "1010+/-316" , "1097.1+/-48.5" , "975.4+/-56.2" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G129.43-49.31" , "32.2+/-2" , "28.8+/-1.8" , "78.2+/-21.3" , 30.5
58 , "PCCS1 030 G127.71-27.34 "   ,, 18.06583 , 35.34028 , 127.712 , -27.338 , "784.7+/-131.9" , "389.5+/-361.6" , "327+/-46.8" , "476.5+/-53.8" , 1.8 , "No" , 0 , 2 , " " , "28.9+/-3.5" , "26.9+/-3.2" , "76.9+/-64.6" , 27.9
59 , "PCCS1 030 G128.20-30.49 "   ,, 18.22667 , 32.16667 , 128.20399 , -30.485 , "846.1+/-136.6" , "550+/-477.3" , "567.6+/-52.2" , "615.8+/-53.8" , 1.8 , "No" , 0 , 2 , " " , "30.9+/-2.9" , "26.1+/-2.4" , "64.6+/-21.2" , 28.4
60 , "PCCS1 030 G276.21-80.11 "   ,, 18.32833 , -35.85611 , 276.20801 , -80.10899 , "583+/-107.1" , "722.6+/-393.8" , "648.9+/-52.3" , "1333.9+/-100.6" , 1.8 , "No" , 0 , 2 , " " , "76+/-3.4" , "31+/-3" , "74.4+/-3.3" , 48.6
61 , "PCCS1 030 G126.57-12.92 "   ,, 18.35167 , 49.7975 , 126.566 , -12.919 , "673.7+/-142.4" , "391.4+/-336.6" , "-" , "513.1+/-66.9" , 1.8 , "No" , 0 , 2 , " " , "29.8+/-4.2" , "29.8+/-4.2" , "60+/-0.000" , 29.8
62 , "PCCS1 030 G133.99-59.93 "   ,, 18.38167 , 2.46528 , 133.995 , -59.931 , "649.2+/-139.6" , "595.1+/-545.5" , "241.9+/-80.8" , "556.4+/-70.4" , 1.8 , "No" , 0 , 2 , " " , "35+/-4.8" , "25.6+/-3.5" , "66.6+/-16.4" , 29.9
63 , "PCCS1 030 G300.66-43.79 "   ,, 18.56333 , -73.24222 , 300.65701 , -43.785 , "545+/-100.3" , "957.4+/-251.7" , "1776.3+/-80.7" , "1200.2+/-97.3" , 1.8 , "No" , 0 , 2 , " " , "71.2+/-6.7" , "29.3+/-2.9" , "36.4+/-3.4" , 45.6
64 , "PCCS1 030 G136.32-63.73 "   ,, 18.7425 , -1.47444 , 136.319 , -63.733 , "659.3+/-130.2" , "1092.3+/-356.5" , "944.9+/-49.6" , "1919.5+/-105.1" , 1.8 , "Yes" , 0 , 2 , " " , "65.6+/-4.6" , "38.4+/-2.8" , "66.3+/-4" , 50.2
65 , "PCCS1 030 G144.73-73.43 "   ,, 19.0675 , -11.61278 , 144.729 , -73.425 , "1298.4+/-107.9" , "1172.2+/-315" , "1150.8+/-44.3" , "1290.3+/-58.8" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G144.69-73.42" , "43.8+/-2.2" , "26.1+/-1.3" , "37.7+/-3.5" , 33.8
66 , "PCCS1 030 G132.40-48.14 "   ,, 19.36042 , 14.25222 , 132.397 , -48.14101 , "654.4+/-146.2" , "576.5+/-342.7" , "316.2+/-51.9" , "612.7+/-67.8" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G132.42-48.05" , "43.2+/-5.2" , "21.6+/-2.6" , "30.8+/-6" , 30.6
67 , "PCCS1 030 G136.08-59.16 "   ,, 19.56792 , 3.02861 , 136.084 , -59.15601 , "577.2+/-139.6" , "482.8+/-396.8" , "501.7+/-56.5" , "606.5+/-73.1" , 1.8 , "No" , 0 , 0 , " " , "39.4+/-5.2" , "29.9+/-4" , "83.8+/-17.8" , 34.3
68 , "PCCS1 030 G172.99-81.67 "   ,, 19.71917 , -21.61917 , 172.995 , -81.673 , "863.9+/-108.3" , "1219.2+/-282.8" , "1128.6+/-42.4" , "1339.9+/-69.2" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G173.54-81.65" , "46.1+/-2.7" , "30.7+/-1.8" , "5.9+/-5.1" , 37.6
69 , "PCCS1 030 G129.81-30.39 "   ,, 19.86375 , 32.11111 , 129.80901 , -30.386 , "736.2+/-130.3" , "724.5+/-413.9" , "457+/-52.3" , "2072.1+/-148.1" , 1.8 , "Yes" , 0 , 2 , " " , "100.9+/-1.3" , "40.4+/-3.9" , "64.1+/-3" , 63.9
70 , "PCCS1 030 G213.88-83.53 "   ,, 20.1225 , -27.04833 , 213.881 , -83.534 , "707.3+/-104.5" , "549.5+/-432.5" , "210.6+/-41.9" , "674.8+/-62.2" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G213.86-83.53" , "37.9+/-3.8" , "27.7+/-2.8" , "171.6+/-11.8" , 32.4
71 , "PCCS1 030 G134.59-50.34 "   ,, 20.43125 , 11.84778 , 134.589 , -50.33701 , "1609.5+/-130.7" , "1578.6+/-355.8" , "1334.8+/-52.2" , "1720.8+/-71.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G134.60-50.35" , "40+/-1.8" , "28.1+/-1.3" , "51.7+/-4.7" , 33.5
72 , "PCCS1 030 G137.29-57.65 "   ,, 20.50542 , 4.36361 , 137.289 , -57.653 , "864.5+/-127" , "1070.3+/-346.7" , "802.8+/-50.6" , "1165.2+/-74.4" , 1.8 , "No" , 0 , 2 , " " , "40.4+/-2.9" , "33.3+/-2.4" , "76+/-13.5" , 36.6
73 , "PCCS1 030 G130.97-32.48 "   ,, 20.68167 , 29.90583 , 130.97099 , -32.477 , "492.7+/-119.2" , "261.8+/-296.3" , "295.8+/-45.6" , "293.8+/-49.5" , 1.8 , "No" , 0 , 2 , " " , "36.1+/-6.5" , "20.6+/-3.7" , "38.2+/-11.7" , 27.3
74 , "PCCS1 030 G126.66-00.79 "   ,, 20.78625 , 61.84861 , 126.663 , -0.793 , "2282.1+/-182" , "2939.3+/-901.9" , "2542.5+/-100.4" , "2904.9+/-122.8" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G126.64-00.79" , "39.3+/-1.9" , "30.4+/-1.4" , "47+/-6.6" , 34.5
75 , "PCCS1 030 G141.23-61.79 "   ,, 21.39417 , -0.14222 , 141.233 , -61.795 , "994.3+/-119.9" , "1141.5+/-371.5" , "1034+/-50.3" , "1227.3+/-70.4" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G141.26-61.77" , "39.5+/-2.5" , "32.3+/-2.1" , "37.2+/-11.5" , 35.7
76 , "PCCS1 030 G132.79-36.24 "   ,, 21.69 , 25.95472 , 132.786 , -36.24 , "631.8+/-116.6" , "128.3+/-493" , "66.2+/-49.5" , "231.8+/-42.8" , 1.8 , "No" , 0 , 2 , " " , "26.4+/-5.1" , "17.2+/-3.3" , "83.5+/-17.2" , 21.3
77 , "PCCS1 030 G129.09-13.46 "   ,, 22.00667 , 48.97056 , 129.092 , -13.463 , "1020.4+/-117.1" , "1122.2+/-294.1" , "638.7+/-45.7" , "1218.4+/-64.7" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G129.09-13.44" , "39.1+/-2.3" , "31.7+/-1.9" , "75+/-10.4" , 35.2
78 , "PCCS1 030 G127.21+00.79 "   ,, 22.43625 , 63.34278 , 127.213 , 0.79 , "1019+/-198.7" , "4091.1+/-761.8" , "3267.1+/-84.9" , "9751.9+/-225.7" , 1.8 , "Yes" , 0 , 0 , " " , "77.5+/-2.7" , "52.1+/-2" , "166.7+/-2.2" , 63.6
79 , "PCCS1 030 G133.87-37.15 "   ,, 22.45917 , 24.90667 , 133.871 , -37.148 , "547.8+/-119" , "945.2+/-344.8" , "645.8+/-48.9" , "1127.4+/-84.9" , 1.8 , "No" , 0 , 1 , " " , "48.8+/-4.5" , "37.5+/-3.5" , "123.8+/-11.6" , 42.8
80 , "PCCS1 030 G130.75-18.75 "   ,, 23.09167 , 43.49917 , 130.75301 , -18.75 , "594.9+/-128.3" , "527.2+/-420.7" , "524.8+/-60.9" , "497+/-69.1" , 1.8 , "No" , 0 , 2 , " " , "33.6+/-5" , "23.3+/-3.5" , "19+/-15.4" , 28
