_id , pccs1f30_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 030 G118.20+04.89 "    ,, 0.54958 , 67.30778 , 118.197 , 4.89 , "2.1e+4+/-483.6" , "5.7e+4+/-2900" , "4.7e+4+/-588.4" , "8.3e+4+/-835.4" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G118.11+04.94" , "54.5+/-0.7" , "43.8+/-0.6" , "19.2+/-1.9" , 48.8
2 , "PCCS1 030 G118.62+06.06 "    ,, 1.06083 , 68.53639 , 118.617 , 6.061 , "5587.8+/-510.5" , "8010.3+/-5034.1" , "4.5e+4+/-623.7" , "5459.1+/-1218.7" , 1.8 , "No" , 0 , 2 , " " , "44.1+/-10.7" , "22.2+/-5.4" , "29.6+/-12.3" , 31.2
3 , "PCCS1 030 G084.71-71.14 "    ,, 1.06458 , -11.85556 , 84.708 , -71.13699 , "736.1+/-111.6" , "463+/-281.2" , "463.3+/-43.3" , "508.8+/-48.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G084.65-71.12" , "35.3+/-3.6" , "22+/-2.2" , "52.3+/-7.9" , 27.9
4 , "PCCS1 030 G323.93-67.58 "    ,, 1.16667 , -47.59389 , 323.93201 , -67.582 , "456.2+/-100.1" , "284.1+/-369.8" , "411.5+/-42.1" , "505.5+/-60.2" , 1.8 , "No" , 0 , 2 , " " , "57.6+/-4.6" , "23.6+/-3.4" , "79.7+/-5.2" , 36.9
5 , "PCCS1 030 G108.31-41.20 "    ,, 1.17333 , 20.34083 , 108.312 , -41.2 , "454.3+/-103.5" , "214.5+/-326.6" , "-" , "401.3+/-56.7" , 1.8 , "No" , 0 , 2 , " " , "52.2+/-0.8" , "21+/-3.6" , "82.6+/-6.3" , 33.1
6 , "PCCS1 030 G113.24-23.71 "    ,, 1.53083 , 38.31139 , 113.241 , -23.706 , "590.1+/-125.7" , "503+/-293" , "281.6+/-45.3" , "897.8+/-77.9" , 1.8 , "No" , 0 , 2 , " " , "65.3+/-1.6" , "26.5+/-2.9" , "121.5+/-3.8" , 41.6
7 , "PCCS1 030 G093.49-66.62 "    ,, 1.54208 , -6.37667 , 93.488 , -66.625 , "1793.1+/-115.9" , "1590.1+/-401.6" , "1549.8+/-46" , "1428.3+/-52.1" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G093.49-66.62" , "34.4+/-1.3" , "24.6+/-1" , "86.8+/-4.4" , 29.1
8 , "PCCS1 030 G036.43-80.72 "    ,, 2.52542 , -26.18361 , 36.432 , -80.71899 , "474.1+/-115.3" , "86.7+/-287.8" , "103+/-42.9" , "219.2+/-38.7" , 1.8 , "No" , 0 , 2 , " " , "40.2+/-2.4" , "16.5+/-3.4" , "122.3+/-8" , 25.7
9 , "PCCS1 030 G107.00-50.62 "    ,, 2.64167 , 10.98333 , 107.002 , -50.62 , "1883+/-109.9" , "1678.9+/-278.5" , "1580.3+/-45.4" , "1640+/-53.6" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G107.03-50.60" , "33.7+/-1.2" , "27.9+/-1" , "77.8+/-7.1" , 30.7
10 , "PCCS1 030 G009.91-80.50 "   ,, 2.71 , -30.47528 , 9.909 , -80.502 , "412.5+/-100.8" , "380.8+/-362.3" , "388.3+/-43.6" , "593.9+/-64.2" , 1.8 , "No" , 0 , 2 , " " , "61.8+/-1.3" , "25+/-3.4" , "17.4+/-4.8" , 39.3
11 , "PCCS1 030 G332.55-74.90 "   ,, 3.19667 , -39.92167 , 332.55301 , -74.90401 , "655.8+/-96.2" , "690.9+/-208.5" , "612.1+/-34.1" , "1244.5+/-69.1" , 1.8 , "Yes" , 0 , 2 , " " , "65.9+/-4.7" , "38.2+/-2.8" , "145.7+/-4" , 50.2
12 , "PCCS1 030 G115.31-21.42 "   ,, 3.46167 , 40.89694 , 115.313 , -21.418 , "882.5+/-117.3" , "1167+/-397.9" , "967.5+/-43" , "1343.9+/-68.8" , 1.8 , "No" , 0 , 2 , "PLCKERC030 G115.29-21.45" , "43+/-2.5" , "32.9+/-1.9" , "57.8+/-7.7" , 37.6
13 , "PCCS1 030 G099.79-65.54 "   ,, 3.4675 , -4.37194 , 99.791 , -65.54201 , "557+/-126.2" , "822.5+/-419.9" , "173.6+/-46" , "1634+/-115.6" , 1.8 , "Yes" , 0 , 2 , " " , "82.3+/-8.5" , "40.2+/-3.9" , "2.2+/-3.7" , 57.5
14 , "PCCS1 030 G103.95-61.75 "   ,, 4.00458 , -0.18917 , 103.954 , -61.74899 , "456.8+/-105.7" , "894+/-355.8" , "263.8+/-54.4" , "1850.2+/-137.6" , 1.8 , "Yes" , 0 , 2 , " " , "76.4+/-8" , "42.4+/-4.5" , "80.9+/-4.8" , 56.9
