_id , ercsc70_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC070 G118.05+04.96"   ,, 0.1525 , 67.35611 , 118.05556 , 4.96695 , "1.5e+4+/-1067" , "3770.45+/-221.8" , "1.1e+4+/-490.69" , "1.5e+4+/-1464.63" , 0.996 , 0 , 0 , 3 , "0.999+/-0.045"
2 , "PLCKERC070 G117.59+02.27"   ,, 0.34208 , 64.62972 , 117.59944 , 2.27781 , "1884.9+/-128" , "1352.01+/-219.5" , "1725.2+/-99.57" , "2608+/-328.9" , 0.87 , 0 , 0 , 2 , "0.975+/-0.044"
3 , "PLCKERC070 G118.57+04.76"   ,, 1.56292 , 67.24917 , 118.57244 , 4.76075 , "7872.7+/-1266" , "2035.04+/-215" , "5195.1+/-437.82" , "2.9e+4+/-3631.46" , 0.996 , 0 , 1 , 2 , "0.992+/-0.046"
4 , "PLCKERC070 G093.57-66.63"   ,, 1.5775 , -6.37528 , 93.57024 , -66.63929 , "1358.1+/-193" , "1295.58+/-163.4" , "-265.3+/-395.63" , "1399.9+/-306.2" , 0.996 , 1 , 0 , 3 , "0.925+/-0.044"
5 , "PLCKERC070 G107.00-50.62"   ,, 2.64792 , 10.97611 , 107.00832 , -50.62833 , "2149.6+/-201" , "1974.4+/-171.4" , "2077.3+/-140.38" , "2173.6+/-346.48" , 0.996 , 0 , 0 , 2 , "0.982+/-0.044"
6 , "PLCKERC070 G120.02+09.88"   ,, 3.28375 , 72.53833 , 120.02774 , 9.88311 , "688.3+/-135" , "672.68+/-127.3" , "665.4+/-88.5" , "568.3+/-165.83" , 0.87 , 1 , 0 , 5 , "0.835+/-0.061"
7 , "PLCKERC070 G115.26-21.47"   ,, 3.42 , 40.83139 , 115.26875 , -21.47775 , "1363.8+/-183" , "1426.52+/-177.1" , "1467.3+/-151.23" , "1562.6+/-362.13" , 0.996 , 0 , 0 , 2 , "0.933+/-0.044"
8 , "PLCKERC070 G118.57-01.29"   ,, 3.76667 , 61.26694 , 118.57389 , -1.2964 , "886.4+/-157" , "847.69+/-127.6" , "-546.9+/-245.38" , "884.1+/-230.26" , 0.996 , 0 , 0 , 2 , "0.855+/-0.044"
9 , "PLCKERC070 G119.28-00.87"   ,, 5.13083 , 61.77722 , 119.28542 , -0.87538 , "1505.3+/-143" , "725.24+/-130.2" , "1249+/-101.42" , "3188.5+/-565.12" , 0.87 , 2 , 1 , 2 , "0.891+/-0.042"
10 , "PLCKERC070 G120.07+01.41"  ,, 6.30833 , 64.14111 , 120.07892 , 1.41481 , "3981.1+/-144" , "3150.24+/-141.1" , "3662.2+/-100.46" , "4385.2+/-263.12" , 0.87 , 0 , 0 , 3 , "1+/-0.046"
