_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
507 , 3FGL J0433.7-6028 , PKS 0432-606 , bcu , 68.42833 , -60.48228 , 16.102 , 7.91e-10 , 8.31e-11 , 2.509 , 0.063 , -9.9 , PowerLaw , 2.509 , N , , , 306.485
508 , 3FGL J0434.0-5726 , SUMSS J043344-572613 , bcu , 68.50833 , -57.44178 , 10.017 , 4.81e-10 , 6.93e-11 , 1.999 , 0.113 , -9.9 , PowerLaw , 1.999 , N , , , 62.956
509 , 3FGL J0437.2-4713 , PSR J0437-4715 , PSR , 69.305 , -47.22789 , 34.527 , 2.21e-9 , 1.35e-10 , 1.278 , 0.139 , -9.9 , PLExpCuto , 2.312 , N , , 1FGL J0437.2-4715 , 24.749
510 , 3FGL J0438.3-1258 , PKS 0436-129 , fsrq , 69.58292 , -12.98169 , 5.726 , 3.81e-10 , 7.98e-11 , 2.106 , 0.16 , -9.9 , PowerLaw , 2.106 , N , , 1FGL J0438.8-1250 , 48.057
511 , 3FGL J0438.8-4519 , PKS 0437-454 , bll , 69.7025 , -45.32219 , 15.842 , 8.26e-10 , 8.80e-11 , 2.391 , 0.07 , -9.9 , PowerLaw , 2.391 , N , , , 59.87
512 , 3FGL J0440.3+1444 , TXS 0437+145 , bcu , 70.09333 , 14.734 , 7.418 , 7.51e-10 , 1.25e-10 , 2.395 , 0.098 , -9.9 , PowerLaw , 2.395 , N , , , 43.177
513 , 3FGL J0439.6-3159 , 1RXS J043931.4-320045 , bcu , 69.90333 , -31.98908 , 6.437 , 2.7e-10 , 6.80e-11 , 1.771 , 0.168 , -9.9 , PowerLaw , 1.771 , N , , , 36.464
514 , 3FGL J0439.9-1859 , PMN J0439-1900 , bcu , 69.97708 , -18.99919 , 10.788 , 5.26e-10 , 8.01e-11 , 1.919 , 0.12 , -9.9 , PowerLaw , 1.919 , N , , 1FGL J0439.8-1857 , 60.326
515 , 3FGL J0440.8+2751 , B2 0437+27B , bll , 70.21792 , 27.85289 , 7.45 , 5.6e-10 , 1.13e-10 , 1.949 , 0.139 , -9.9 , PowerLaw , 1.949 , N , , 1FGL J0440.6+2748 , 49.386
516 , 3FGL J0440.3-2500 , RBS 0570 , bll , 70.08208 , -25.01489 , 4.675 , 1.68e-10 , 5.48e-11 , 1.724 , 0.213 , -9.9 , PowerLaw , 1.724 , N , , , 35.135
517 , 3FGL J0437.7-7330 , , , 69.43875 , -73.51489 , 6.578 , 3.71e-10 , 7.26e-11 , 2.099 , 0.183 , -9.9 , PowerLaw , 2.099 , N , , , 54.519
518 , 3FGL J0442.6-0017 , PKS 0440-00 , fsrq , 70.66167 , -0.29889 , 50.842 , 3.49e-9 , 1.62e-10 , 2.496 , 0.026 , -9.9 , PowerLaw , 2.496 , N , , 1FGL J0442.7-0019 , 798.647
519 , 3FGL J0444.5+3425 , B2 0441+34 , bcu , 71.135 , 34.424 , 4.568 , 4.96e-10 , 1.18e-10 , 2.183 , 0.134 , -9.9 , PowerLaw , 2.183 , N , , , 54.686
520 , 3FGL J0444.6-6012 , PMN J0444-6014 , fsrq , 71.17042 , -60.21497 , 6.477 , 3.17e-10 , 6.44e-11 , 1.975 , 0.163 , -9.9 , PowerLaw , 1.975 , N , , 1FGL J0445.2-6008 , 44.533
521 , 3FGL J0447.1-2540 , , , 71.79458 , -25.67569 , 7.138 , 3.53e-10 , 6.93e-11 , 2.501 , 0.131 , -9.9 , PowerLaw , 2.501 , N , , , 38.696
