_id , fermi3fgl_name , other_name , Class , RA, Dec, Significance , Flux 1-100 GeV, Flux 1-100 GeV Error , Spectral Index , Spectral Index Error , Beta , Spectral Type , Power Law Index , TeV Cat , Gamma Assoc. , Prev. Fermi Assoc. , Variability index
1 , 3FGL J0002.6+6218 , , , 0.67417 , 62.30058 , 17.972 , 2.84e-9 , 2.11e-10 , 2.086 , 0.111 , 0.45 , LogParabo , 2.347 , N , , , 48.024
2 , 3FGL J0003.2-5246 , RBS 0006 , bcu , 0.815 , -52.77708 , 5.67 , 2.59e-10 , 6.53e-11 , 1.895 , 0.174 , -9.9 , PowerLaw , 1.895 , N , , , 45.28
3 , 3FGL J0003.4+3100 , , , 0.8575 , 31.0085 , 6.295 , 3.14e-10 , 6.98e-11 , 2.554 , 0.131 , -9.9 , PowerLaw , 2.554 , N , , , 38.536
4 , 3FGL J0003.5+5721 , , , 0.89 , 57.35969 , 5.381 , 4.72e-10 , 9.65e-11 , 2.183 , 0.126 , -9.9 , PowerLaw , 2.183 , N , , , 31.121
5 , 3FGL J0003.8-1151 , PMN J0004-1148 , bcu , 0.95875 , -11.86269 , 4.181 , 2.34e-10 , 6.33e-11 , 2.024 , 0.176 , -9.9 , PowerLaw , 2.024 , N , , , 48.492
6 , 3FGL J0004.2+6757 , , , 1.055 , 67.95928 , 6.006 , 8.16e-10 , 1.40e-10 , 2.497 , 0.094 , -9.9 , PowerLaw , 2.497 , N , , , 34.815
7 , 3FGL J0004.2+0843 , , , 1.05708 , 8.72739 , 4.716 , 2.68e-10 , 7.17e-11 , 2.05 , 0.191 , -9.9 , PowerLaw , 2.05 , N , , , 45.332
8 , 3FGL J0004.7-4740 , PKS 0002-478 , fsrq , 1.18042 , -47.67108 , 14.52 , 6.93e-10 , 8.13e-11 , 2.404 , 0.076 , -9.9 , PowerLaw , 2.404 , N , , 1FGL J0004.7-4737 , 112.933
9 , 3FGL J0006.2+0135 , , , 1.57167 , 1.58528 , 5.521 , 2.99e-10 , 6.77e-11 , 2.187 , 0.167 , -9.9 , PowerLaw , 2.187 , N , , , 45.566
10 , 3FGL J0006.4+3825 , S4 0003+38 , fsrq , 1.61208 , 38.41828 , 10.546 , 6.06e-10 , 8.90e-11 , 2.617 , 0.082 , -9.9 , PowerLaw , 2.617 , N , , 1FGL J0005.7+3815 , 80.463
11 , 3FGL J0006.6+4618 , , , 1.65083 , 46.30539 , 4.606 , 3.1e-10 , 7.41e-11 , 2.417 , 0.188 , -9.9 , PowerLaw , 2.417 , N , , , 48.82
12 , 3FGL J0007.0+7302 , LAT PSR J0007+7303 , PSR , 1.76542 , 73.04989 , 288.746 , 6.49e-8 , 5.73e-10 , 1.208 , 0.048 , -9.9 , PLSuperEx , 1.879 , E , 1AGL J0006+7311 , 1FGL J0007.0+7303 , 46.169
13 , 3FGL J0007.4+1742 , , , 1.86917 , 17.711 , 4.561 , 2.74e-10 , 6.74e-11 , 2.312 , 0.171 , -9.9 , PowerLaw , 2.312 , N , , , 46.571
14 , 3FGL J0007.9+4006 , , , 1.9825 , 40.10678 , 4.519 , 3e-10 , 7.07e-11 , 2.276 , 0.161 , -9.9 , PowerLaw , 2.276 , N , , , 44.39
15 , 3FGL J0008.0+4713 , MG4 J000800+4712 , bll , 2.01625 , 47.22808 , 24.745 , 1.97e-9 , 1.29e-10 , 2.021 , 0.05 , -9.9 , PowerLaw , 2.021 , N , , , 36.713
16 , 3FGL J0008.3+1456 , , , 2.08792 , 14.93358 , 6.461 , 4.12e-10 , 7.78e-11 , 2.27 , 0.128 , -9.9 , PowerLaw , 2.27 , N , , 1FGL J0008.3+1452 , 34.44
17 , 3FGL J0008.5+6853 , , , 2.14083 , 68.887 , 8.449 , 1.05e-9 , 1.81e-10 , 2.423 , 0.23 , 0.936 , LogParabo , 2.455 , N , , 1FGL J0005.1+6829 , 35.034
18 , 3FGL J0008.7+6558 , , , 2.19125 , 65.96769 , 8.738 , 7.19e-10 , 1.49e-10 , 2.508 , 0.202 , 0.999 , LogParabo , 2.458 , N , , , 42.767
19 , 3FGL J0008.6-2340 , RBS 0016 , bll , 2.17417 , -23.67208 , 6.656 , 2.28e-10 , 6.37e-11 , 1.599 , 0.178 , -9.9 , PowerLaw , 1.599 , N , , , 47.349
20 , 3FGL J0009.1+0630 , CRATES J000903.95+062821 , bll , 2.295 , 6.50519 , 8.971 , 5.49e-10 , 8.46e-11 , 2.179 , 0.11 , -9.9 , PowerLaw , 2.179 , N , , 1FGL J0008.9+0635 , 61.357
21 , 3FGL J0009.3+5030 , NVSS J000922+503028 , bll , 2.33333 , 50.51039 , 36.493 , 3.09e-9 , 1.49e-10 , 1.929 , 0.032 , -9.9 , PowerLaw , 1.929 , N , , 1FGL J0009.1+5031 , 99.437
22 , 3FGL J0009.6-3211 , IC 1531 , bcu , 2.40125 , -32.19869 , 5.536 , 2.77e-10 , 6.16e-11 , 2.31 , 0.145 , -9.9 , PowerLaw , 2.31 , N , , , 42.534
23 , 3FGL J0010.5-1425 , , , 2.62875 , -14.4195 , 4.297 , 2.49e-10 , 6.33e-11 , 2.308 , 0.149 , -9.9 , PowerLaw , 2.308 , N , , , 56.522
24 , 3FGL J0012.4+7040 , TXS 0008+704 , bcu , 3.11 , 70.67208 , 4.55 , 4.36e-10 , 9.79e-11 , 2.484 , 0.144 , -9.9 , PowerLaw , 2.484 , N , , , 51.576
25 , 3FGL J0013.2-3954 , PKS 0010-401 , bll , 3.30375 , -39.90828 , 12.025 , 6.07e-10 , 7.77e-11 , 2.212 , 0.09 , -9.9 , PowerLaw , 2.212 , N , , 1FGL J0013.1-3952 , 55.228
26 , 3FGL J0013.9-1853 , RBS 0030 , bll , 3.47583 , -18.89658 , 5.585 , 2.37e-10 , 5.93e-11 , 1.935 , 0.167 , -9.9 , PowerLaw , 1.935 , P , , , 36.459
27 , 3FGL J0014.0-5025 , RBS 0032 , bll , 3.515 , -50.4285 , 5.65 , 2.45e-10 , 5.80e-11 , 1.924 , 0.16 , -9.9 , PowerLaw , 1.924 , N , , 1FGL J0013.7-5022 , 46.377
28 , 3FGL J0014.3-0455 , , , 3.58542 , -4.91958 , 6.325 , 4.4e-10 , 8.55e-11 , 2.504 , 0.128 , -9.9 , PowerLaw , 2.504 , N , , , 54.382
29 , 3FGL J0014.6+6119 , 4C +60.01 , bcu , 3.65917 , 61.31819 , 7.394 , 6.7e-10 , 1.25e-10 , 1.887 , 0.11 , -9.9 , PowerLaw , 1.887 , N , , , 50.785
30 , 3FGL J0014.7+5802 , 1RXS J001442.2+580201 , bll , 3.6825 , 58.04239 , 5.546 , 3.7e-10 , 1.01e-10 , 1.913 , 0.165 , -9.9 , PowerLaw , 1.913 , N , , , 39.51
31 , 3FGL J0015.7+5552 , GB6 J0015+5551 , bcu , 3.94042 , 55.87469 , 6.39 , 4.45e-10 , 9.36e-11 , 2.115 , 0.139 , -9.9 , PowerLaw , 2.115 , N , , , 37.672
32 , 3FGL J0016.3-0013 , S3 0013-00 , fsrq , 4.0775 , -0.22958 , 13.631 , 6.41e-10 , 8.50e-11 , 2.618 , 0.073 , -9.9 , PowerLaw , 2.618 , N , , , 153.078
33 , 3FGL J0016.5+1713 , , , 4.135 , 17.221 , 4.088 , 2.42e-10 , 6.42e-11 , 2.438 , 0.158 , -9.9 , PowerLaw , 2.438 , N , , 1FGL J0016.6+1706 , 52.884
34 , 3FGL J0017.1+1445 , , , 4.29333 , 14.76119 , 4.795 , 2.45e-10 , 6.94e-11 , 1.883 , 0.178 , -9.9 , PowerLaw , 1.883 , N , , , 36.143
35 , 3FGL J0017.2-0643 , PMN J0017-0650 , bcu , 4.30458 , -6.72369 , 6.223 , 3.88e-10 , 7.60e-11 , 2.116 , 0.145 , -9.9 , PowerLaw , 2.116 , N , , , 37.39
36 , 3FGL J0017.6-0512 , PMN J0017-0512 , FSRQ , 4.40417 , -5.205 , 11.998 , 7.95e-10 , 9.66e-11 , 2.506 , 0.079 , -9.9 , PowerLaw , 2.506 , N , , 1FGL J0017.4-0510 , 230.086
37 , 3FGL J0018.4+2947 , RBS 0042 , bll , 4.60292 , 29.794 , 4.958 , 2.14e-10 , 6.35e-11 , 1.865 , 0.215 , -9.9 , PowerLaw , 1.865 , N , , 1FGL J0018.6+2945 , 56.301
38 , 3FGL J0019.1-5645 , PMN J0019-5641 , bcu , 4.79667 , -56.7515 , 6.805 , 2.86e-10 , 5.81e-11 , 2.391 , 0.174 , -9.9 , PowerLaw , 2.391 , N , , , 62.856
39 , 3FGL J0019.4+2021 , PKS 0017+200 , bll , 4.86167 , 20.36639 , 5.036 , 2.95e-10 , 6.73e-11 , 2.249 , 0.156 , -9.9 , PowerLaw , 2.249 , N , , 1FGL J0019.3+2017 , 55.781
40 , 3FGL J0018.9-8152 , PMN J0019-8152 , bll , 4.745 , -81.87689 , 10.65 , 6.53e-10 , 8.74e-11 , 2.075 , 0.102 , -9.9 , PowerLaw , 2.075 , N , , , 85.652
41 , 3FGL J0020.9+0323 , , , 5.23083 , 3.39528 , 5.734 , 2.06e-10 , 6.23e-11 , 1.64 , 0.179 , -9.9 , PowerLaw , 1.64 , N , , , 54.415
42 , 3FGL J0021.6-2553 , CRATES J002132.55-255049 , bll , 5.41458 , -25.88669 , 11.574 , 5.97e-10 , 7.77e-11 , 2.099 , 0.1 , -9.9 , PowerLaw , 2.099 , N , , 1FGL J0021.7-2556 , 71.568
43 , 3FGL J0021.6-6835 , PKS 0021-686 , bcu , 5.40875 , -68.59169 , 5.37 , 2.12e-10 , 5.61e-11 , 2.652 , 0.159 , -9.9 , PowerLaw , 2.652 , N , , , 51.851
44 , 3FGL J0022.1-1855 , 1RXS J002209.2-185333 , bll , 5.53542 , -18.923 , 16.685 , 9.01e-10 , 9.41e-11 , 1.799 , 0.072 , -9.9 , PowerLaw , 1.799 , N , , 1FGL J0022.2-1850 , 67.868
45 , 3FGL J0022.1-5141 , 1RXS J002159.2-514028 , bll , 5.5475 , -51.691 , 13.712 , 7.01e-10 , 8.01e-11 , 1.987 , 0.081 , -9.9 , PowerLaw , 1.987 , N , , , 59.411
46 , 3FGL J0022.5+0608 , PKS 0019+058 , bll , 5.64292 , 6.13778 , 28.175 , 2.16e-9 , 1.36e-10 , 2.073 , 0.043 , -9.9 , PowerLaw , 2.073 , N , , 1FGL J0022.5+0607 , 95.205
47 , 3FGL J0022.7+4651 , , , 5.68708 , 46.85278 , 4.16 , 1.88e-10 , 6.25e-11 , 2.784 , 0.193 , -9.9 , PowerLaw , 2.784 , N , , , 38.162
48 , 3FGL J0023.5+4454 , B3 0020+446 , fsrq , 5.87792 , 44.90547 , 8.957 , 4.63e-10 , 7.65e-11 , 2.568 , 0.103 , -9.9 , PowerLaw , 2.568 , N , , 1FGL J0023.0+4453 , 69.713
49 , 3FGL J0023.4+0923 , PSR J0023+0923 , PSR , 5.86458 , 9.38919 , 13.328 , 1.12e-9 , 1.25e-10 , 0.971 , 0.303 , -9.9 , PLExpCuto , 2.283 , N , , 1FGL J0023.5+0930 , 51.375
50 , 3FGL J0023.9-7203 , 47 Tuc , glc , 5.98167 , -72.06519 , 46.378 , 4.15e-9 , 1.82e-10 , 1.773 , 0.067 , 0.336 , LogParabo , 2.095 , N , , 1FGL J0023.9-7204 , 37.379
51 , 3FGL J0024.4+0350 , GB6 J0024+0349 , fsrq , 6.11042 , 3.84289 , 5.714 , 3.92e-10 , 7.98e-11 , 2.278 , 0.123 , -9.9 , PowerLaw , 2.278 , N , , 1FGL J0024.6+0346 , 74.951
52 , 3FGL J0025.7+6404 , Tycho , snr , 6.4325 , 64.06928 , 4.405 , 5.65e-10 , 1.35e-10 , 2.087 , 0.139 , -9.9 , PowerLaw , 2.087 , P , , , 31.293
53 , 3FGL J0026.2-4812 , , , 6.55708 , -48.21008 , 6.035 , 3.14e-10 , 6.29e-11 , 2.187 , 0.148 , -9.9 , PowerLaw , 2.187 , N , , , 51.541
54 , 3FGL J0026.7-4603 , 1RXS J002636.3-460101 , bll , 6.68458 , -46.05969 , 5.081 , 2.08e-10 , 5.07e-11 , 2.45 , 0.178 , -9.9 , PowerLaw , 2.45 , N , , , 56.854
55 , 3FGL J0028.6+7507 , GB6 J0028+7506 , bcu , 7.16083 , 75.11858 , 7.31 , 5.45e-10 , 8.81e-11 , 2.341 , 0.112 , -9.9 , PowerLaw , 2.341 , N , , , 37.736
56 , 3FGL J0028.8+1951 , TXS 0025+197 , bcu , 7.20083 , 19.85078 , 6.315 , 3.79e-10 , 7.66e-11 , 2.434 , 0.124 , -9.9 , PowerLaw , 2.434 , N , , , 42.544
57 , 3FGL J0029.1-7045 , PKS 0026-710 , bll , 7.29583 , -70.7555 , 12.061 , 6.63e-10 , 8.03e-11 , 2.285 , 0.095 , -9.9 , PowerLaw , 2.285 , N , , , 74.494
58 , 3FGL J0030.2-1646 , 1RXS J003019.6-164723 , bcu , 7.56542 , -16.77489 , 9.16 , 3.32e-10 , 6.72e-11 , 1.647 , 0.13 , -9.9 , PowerLaw , 1.647 , N , , , 64.298
59 , 3FGL J0030.4+0451 , PSR J0030+0451 , PSR , 7.61583 , 4.86558 , 80.763 , 9.83e-9 , 2.76e-10 , 1.284 , 0.054 , -9.9 , PLExpCuto , 2.042 , N , , 1FGL J0030.4+0451 , 49.567
60 , 3FGL J0030.3-4223 , PKS 0027-426 , fsrq , 7.58917 , -42.39539 , 28.754 , 1.21e-9 , 9.70e-11 , 2.581 , 0.044 , -9.9 , PowerLaw , 2.581 , N , , 1FGL J0029.9-4221 , 169.77
61 , 3FGL J0030.7-0209 , PKS B0027-024 , bcu , 7.6975 , -2.15739 , 14.974 , 8.71e-10 , 9.70e-11 , 2.378 , 0.068 , -9.9 , PowerLaw , 2.378 , N , , , 350.863
62 , 3FGL J0031.3+0724 , NVSS J003119+072456 , bcu , 7.82958 , 7.4145 , 5.097 , 2.25e-10 , 6.71e-11 , 1.824 , 0.191 , -9.9 , PowerLaw , 1.824 , N , , , 33.017
63 , 3FGL J0031.2-2320 , , , 7.81292 , -23.34269 , 4.245 , 2.37e-10 , 6.11e-11 , 2.139 , 0.17 , -9.9 , PowerLaw , 2.139 , N , , , 33.506
64 , 3FGL J0031.6+0938 , , , 7.9225 , 9.64778 , 5.067 , 2.35e-10 , 6.17e-11 , 2.657 , 0.164 , -9.9 , PowerLaw , 2.657 , N , , , 28.82
65 , 3FGL J0032.3-2852 , PMN J0032-2849 , bll , 8.09 , -28.87669 , 4.89 , 2.27e-10 , 5.65e-11 , 2.19 , 0.182 , -9.9 , PowerLaw , 2.19 , N , , , 38.017
66 , 3FGL J0032.5+3912 , , , 8.14625 , 39.21308 , 4.954 , 2.38e-10 , 6.07e-11 , 2.564 , 0.167 , -9.9 , PowerLaw , 2.564 , N , , , 35.193
67 , 3FGL J0032.3-5522 , , , 8.09375 , -55.36878 , 18.135 , 9.33e-10 , 8.87e-11 , 2.275 , 0.065 , -9.9 , PowerLaw , 2.275 , N , , 1FGL J0032.7-5519 , 510.761
68 , 3FGL J0033.6-1921 , KUV 00311-1938 , bll , 8.40208 , -19.36378 , 39.216 , 2.77e-9 , 1.45e-10 , 1.715 , 0.035 , -9.9 , PowerLaw , 1.715 , P , , 1FGL J0033.5-1921 , 64.624
69 , 3FGL J0034.3-0534 , PSR J0034-0534 , PSR , 8.58958 , -5.5825 , 28.903 , 2.36e-9 , 1.52e-10 , 1.68 , 0.107 , -9.9 , PLExpCuto , 2.209 , N , , 1FGL J0034.3-0534 , 47.584
70 , 3FGL J0035.2+1513 , RX J0035.2+1515 , bll , 8.80833 , 15.22219 , 14.004 , 8.29e-10 , 9.81e-11 , 1.806 , 0.086 , -9.9 , PowerLaw , 1.806 , N , , 1FGL J0035.1+1516 , 52.722
71 , 3FGL J0035.9+5949 , 1ES 0033+595 , bll , 8.98875 , 59.83178 , 27.485 , 2.67e-9 , 1.61e-10 , 1.898 , 0.042 , -9.9 , PowerLaw , 1.898 , P , , 1FGL J0035.9+5951 , 69.549
72 , 3FGL J0037.9+1239 , NVSS J003750+123818 , bll , 9.47625 , 12.65178 , 13.337 , 9.03e-10 , 1.01e-10 , 2.151 , 0.077 , -9.9 , PowerLaw , 2.151 , N , , 1FGL J0038.0+1236 , 66.434
73 , 3FGL J0038.0+0012 , NVSS J003808+001336 , bll , 9.5225 , 0.2095 , 7.453 , 4.19e-10 , 7.53e-11 , 2.157 , 0.123 , -9.9 , PowerLaw , 2.157 , N , , , 33.367
74 , 3FGL J0038.0-2501 , PKS 0035-252 , fsrq , 9.50833 , -25.032 , 10.099 , 4.77e-10 , 7.24e-11 , 2.439 , 0.095 , -9.9 , PowerLaw , 2.439 , N , , 1FGL J0038.4-2504 , 106.477
75 , 3FGL J0039.3+6256 , , , 9.83417 , 62.9415 , 11.99 , 2.05e-9 , 2.12e-10 , 1.875 , 0.216 , 0.772 , LogParabo , 2.121 , N , , 1FGL J0038.6+6306 , 57.843
76 , 3FGL J0039.1+4330 , NVSS J003907+433015 , bcu , 9.7975 , 43.50158 , 7.013 , 3.35e-10 , 6.80e-11 , 1.963 , 0.139 , -9.9 , PowerLaw , 1.963 , N , , 1FGL J0039.2+4331 , 35.432
77 , 3FGL J0039.0-2218 , PMN J0039-2220 , bcu , 9.75042 , -22.30678 , 4.411 , 1.73e-10 , 5.49e-11 , 1.715 , 0.198 , -9.9 , PowerLaw , 1.715 , N , , , 36.569
78 , 3FGL J0039.1-0939 , TXS 0036-099 , fsrq , 9.78208 , -9.65778 , 4.757 , 2.35e-10 , 6.31e-11 , 2.594 , 0.151 , -9.9 , PowerLaw , 2.594 , N , , , 46.444
79 , 3FGL J0040.3+4049 , B3 0037+405 , bcu , 10.08292 , 40.81778 , 6.379 , 8.73e-11 , 5.51e-11 , 1.132 , 0.333 , -9.9 , PowerLaw , 1.132 , N , , , 30.274
80 , 3FGL J0040.5-2339 , PMN J0040-2340 , bcu , 10.14708 , -23.65128 , 4.324 , 1.88e-10 , 5.68e-11 , 1.946 , 0.194 , -9.9 , PowerLaw , 1.946 , N , , , 49.249
81 , 3FGL J0041.9+3639 , RX J0042.0+3641 , bll , 10.49958 , 36.66158 , 4.628 , 2.19e-10 , 6.49e-11 , 1.976 , 0.208 , -9.9 , PowerLaw , 1.976 , N , , , 30.663
82 , 3FGL J0042.0+2318 , PKS 0039+230 , fsrq , 10.51792 , 23.30458 , 6.093 , 3.62e-10 , 7.20e-11 , 2.354 , 0.133 , -9.9 , PowerLaw , 2.354 , N , , 1FGL J0041.9+2318 , 52.242
83 , 3FGL J0042.5+4117 , M31 , gal , 10.62917 , 41.29569 , 5.832 , 3.7e-10 , 7.33e-11 , 2.562 , 0.112 , -9.9 , PowerLaw , 2.562 , N , , , 39.548
84 , 3FGL J0043.5-0444 , 1RXS J004333.7-044257 , bcu , 10.89167 , -4.73978 , 5.84 , 2.28e-10 , 7.27e-11 , 1.735 , 0.226 , -9.9 , PowerLaw , 1.735 , N , , , 40.312
85 , 3FGL J0043.8+3425 , GB6 J0043+3426 , fsrq , 10.96917 , 34.42939 , 22.645 , 1.61e-9 , 1.18e-10 , 2.045 , 0.051 , -9.9 , PowerLaw , 2.045 , N , , 1FGL J0043.6+3424 , 105.092
86 , 3FGL J0043.7-1117 , 1RXS J004349.3-111612 , bcu , 10.935 , -11.28808 , 5.896 , 2.45e-10 , 6.59e-11 , 1.594 , 0.159 , -9.9 , PowerLaw , 1.594 , N , , , 27.656
87 , 3FGL J0045.3+2126 , GB6 J0045+2127 , bll , 11.34917 , 21.44589 , 22.339 , 1.39e-9 , 1.11e-10 , 1.899 , 0.059 , -9.9 , PowerLaw , 1.899 , N , , 1FGL J0045.3+2127 , 59.49
88 , 3FGL J0045.2-3704 , PKS 0042-373 , bcu , 11.31083 , -37.07958 , 13.563 , 5.59e-10 , 7.54e-11 , 2.543 , 0.078 , -9.9 , PowerLaw , 2.543 , N , , , 173.747
89 , 3FGL J0045.7+1217 , GB6 J0045+1217 , bll , 11.43458 , 12.28808 , 14.523 , 9.52e-10 , 1.02e-10 , 1.96 , 0.076 , -9.9 , PowerLaw , 1.96 , N , , , 54.064
90 , 3FGL J0047.0+5658 , GB6 J0047+5657 , bll , 11.76667 , 56.9715 , 18.094 , 1.58e-9 , 1.25e-10 , 2.224 , 0.054 , -9.9 , PowerLaw , 2.224 , N , , 1FGL J0046.8+5658 , 74.438
91 , 3FGL J0047.9+5447 , 1RXS J004754.5+544758 , bcu , 11.98417 , 54.797 , 5.042 , 1.34e-10 , 6.52e-11 , 1.334 , 0.266 , -9.9 , PowerLaw , 1.334 , N , , , 29.89
92 , 3FGL J0047.5-2516 , NGC 253 , sbg , 11.88625 , -25.275 , 12.934 , 7.64e-10 , 8.91e-11 , 2.169 , 0.079 , -9.9 , PowerLaw , 2.169 , P , , 1FGL J0047.3-2512 , 57.51
93 , 3FGL J0048.0+3950 , B3 0045+395 , bll , 12.00667 , 39.843 , 9.222 , 4.98e-10 , 8.18e-11 , 1.877 , 0.116 , -9.9 , PowerLaw , 1.877 , N , , , 67.365
94 , 3FGL J0048.0+2236 , NVSS J004802+223525 , fsrq , 12.01292 , 22.60078 , 14.232 , 9.38e-10 , 9.89e-11 , 2.333 , 0.069 , -9.9 , PowerLaw , 2.333 , N , , 1FGL J0048.0+2232 , 240.662
95 , 3FGL J0048.1-6343 , , , 12.04958 , -63.73178 , 6.835 , 3.47e-10 , 6.40e-11 , 2.108 , 0.135 , -9.9 , PowerLaw , 2.108 , N , , , 51.954
96 , 3FGL J0049.0+4224 , , , 12.25292 , 42.41297 , 6.948 , 2.61e-10 , 6.98e-11 , 1.765 , 0.167 , -9.9 , PowerLaw , 1.765 , N , , , 35.606
97 , 3FGL J0046.7-8419 , PKS 0044-84 , fsrq , 11.6875 , -84.32 , 6.24 , 2.77e-10 , 6.86e-11 , 2.821 , 0.133 , -9.9 , PowerLaw , 2.821 , N , , 1FGL J0048.0-8412 , 62.984
98 , 3FGL J0049.4-4149 , 1RXS J004939.9-415133 , bcu , 12.36 , -41.825 , 5.655 , 2.52e-10 , 5.78e-11 , 2.155 , 0.216 , -9.9 , PowerLaw , 2.155 , N , , , 31.808
99 , 3FGL J0049.4-5401 , PMN J0049-5402 , bcu , 12.35292 , -54.0225 , 5.966 , 2.79e-10 , 5.94e-11 , 2.143 , 0.163 , -9.9 , PowerLaw , 2.143 , N , , , 44.965
100 , 3FGL J0049.7+0237 , PKS 0047+023 , bll , 12.44083 , 2.6245 , 13.101 , 7.9e-10 , 9.30e-11 , 2.244 , 0.079 , -9.9 , PowerLaw , 2.244 , N , , 1FGL J0050.2+0235 , 87.98
101 , 3FGL J0049.8-5737 , PKS 0047-579 , fsrq , 12.4625 , -57.6245 , 10.083 , 4.33e-10 , 6.50e-11 , 2.462 , 0.111 , -9.9 , PowerLaw , 2.462 , N , , 1FGL J0049.8-5738 , 51.49
102 , 3FGL J0050.0-4458 , PMN J0049-4457 , bcu , 12.51333 , -44.97169 , 6.089 , 2.47e-10 , 5.65e-11 , 2.528 , 0.149 , -9.9 , PowerLaw , 2.528 , N , , , 68.526
103 , 3FGL J0050.4-0449 , PKS 0047-051 , fsrq , 12.62083 , -4.83228 , 9.033 , 5.37e-10 , 8.64e-11 , 2.45 , 0.11 , -9.9 , PowerLaw , 2.45 , N , , 1FGL J0050.0-0446 , 62.907
104 , 3FGL J0050.6-0929 , PKS 0048-09 , BLL , 12.67417 , -9.48489 , 41.978 , 3.62e-9 , 1.68e-10 , 2.093 , 0.03 , -9.9 , PowerLaw , 2.093 , N , , 1FGL J0050.6-0928 , 311.907
105 , 3FGL J0051.0-0649 , PKS 0048-071 , fsrq , 12.76542 , -6.81769 , 18.392 , 1.4e-9 , 1.28e-10 , 2.105 , 0.104 , 0.229 , LogParabo , 2.293 , N , , 1FGL J0051.1-0649 , 268.096
106 , 3FGL J0051.6+6445 , , , 12.90375 , 64.75919 , 5.553 , 6.87e-10 , 1.32e-10 , 2.279 , 0.115 , -9.9 , PowerLaw , 2.279 , N , , , 44.156
107 , 3FGL J0051.2-6241 , 1RXS J005117.7-624154 , bcu , 12.81958 , -62.68808 , 23.415 , 1.17e-9 , 9.79e-11 , 1.663 , 0.06 , -9.9 , PowerLaw , 1.663 , N , , 1FGL J0051.4-6242 , 50.182
108 , 3FGL J0054.8-2455 , FRBA J0054-2455 , bll , 13.72333 , -24.9235 , 15.798 , 8.34e-10 , 9.14e-11 , 1.778 , 0.077 , -9.9 , PowerLaw , 1.778 , N , , 1FGL J0054.9-2455 , 47.183
109 , 3FGL J0055.2-1213 , TXS 0052-125 , bcu , 13.80125 , -12.23258 , 4.707 , 2.42e-10 , 6.09e-11 , 2.397 , 0.167 , -9.9 , PowerLaw , 2.397 , N , , , 68.791
110 , 3FGL J0056.3-0935 , TXS 0053-098 , bll , 14.08958 , -9.59369 , 9.892 , 5.23e-10 , 8.74e-11 , 1.79 , 0.12 , -9.9 , PowerLaw , 1.79 , N , , , 55.524
111 , 3FGL J0056.3-2116 , PMN J0056-2117 , bll , 14.07625 , -21.28008 , 12.034 , 6.3e-10 , 8.33e-11 , 1.808 , 0.091 , -9.9 , PowerLaw , 1.808 , N , , , 60.013
112 , 3FGL J0057.9-0542 , PKS 0055-059 , fsrq , 14.4825 , -5.70828 , 5.203 , 3.11e-10 , 7.17e-11 , 2.415 , 0.166 , -9.9 , PowerLaw , 2.415 , N , , , 43.445
113 , 3FGL J0058.3+3315 , MG3 J005830+3311 , fsrq , 14.58708 , 33.26658 , 8.254 , 4.65e-10 , 7.78e-11 , 2.407 , 0.106 , -9.9 , PowerLaw , 2.407 , N , , 1FGL J0058.0+3314 , 112.817
114 , 3FGL J0058.0-3233 , PKS 0055-328 , bll , 14.5125 , -32.56658 , 20.524 , 1.22e-9 , 1.02e-10 , 2.058 , 0.056 , -9.9 , PowerLaw , 2.058 , N , , 1FGL J0058.4-3235 , 63.991
115 , 3FGL J0059.2-0152 , 1RXS J005916.3-015030 , bll , 14.80833 , -1.883 , 6.006 , 2.58e-10 , 7.37e-11 , 1.738 , 0.201 , -9.9 , PowerLaw , 1.738 , N , , , 37.219
116 , 3FGL J0059.1-5701 , PKS 0056-572 , bcu , 14.79542 , -57.02178 , 11.238 , 4.95e-10 , 7.08e-11 , 2.616 , 0.085 , -9.9 , PowerLaw , 2.616 , N , , , 64.369
117 , 3FGL J0059.6+0003 , PKS 0056-00 , fsrq , 14.905 , 0.05208 , 4.504 , 2.65e-10 , 6.78e-11 , 2.484 , 0.162 , -9.9 , PowerLaw , 2.484 , N , , , 52.172
118 , 3FGL J0059.0-7242e , SMC , GAL , 14.75 , -72.69997 , 27.946 , 3.5e-9 , 2.06e-10 , 2.221 , 0.034 , -9.9 , PowerLaw , 2.221 , N , , 1FGL J0101.3-7257 , 43.899
119 , 3FGL J0100.2+0745 , GB6 J0100+0745 , bll , 15.0675 , 7.76619 , 23.085 , 1.56e-9 , 1.21e-10 , 1.797 , 0.055 , -9.9 , PowerLaw , 1.797 , N , , 1FGL J0100.2+0747 , 91.495
120 , 3FGL J0101.0-6422 , PSR J0101-6422 , PSR , 15.27125 , -64.373 , 26.883 , 1.87e-9 , 1.29e-10 , 1.481 , 0.149 , -9.9 , PLExpCuto , 2.162 , N , , 1FGL J0101.0-6423 , 55.322
121 , 3FGL J0102.1+4458 , , , 15.53667 , 44.97178 , 4.13 , 2.52e-10 , 6.37e-11 , 2.265 , 0.215 , -9.9 , PowerLaw , 2.265 , N , , , 40.732
122 , 3FGL J0102.1+0943 , , , 15.54 , 9.728 , 7.093 , 4.66e-10 , 8.31e-11 , 2.065 , 0.131 , -9.9 , PowerLaw , 2.065 , N , , 1FGL J0102.3+0942 , 41.741
