_id ,plotkin10_name , RA, Dec, LII , BII , Redshift , SDSSclassification , RMAG , RadioFluxDensityat1.4GHz, other_name
 44 , "SDSS J075437.85+422115.2" , 118.6575 , 42.35425 , "177.39" , "29.09" , -1 , "H " , 20 , 1.06 ,,
 45 , "SDSS J075437.07+391047.7" , 118.65417 , 39.17992 , "180.93" , "28.41" , 0.096 , "H " , 17.2 , 48.81 ,,
 46 , "SDSS J075551.44+352549.8" , 118.96417 , 35.4305 , "185.12" , "27.74" , 2.07 , "L " , 19.1 , 0.94 ,,
 47 , "SDSS J075602.72+414039.8" , 119.01125 , 41.67772 , "178.21" , "29.21" , 0.579 , "H " , 19.9 , 4.02 ,,
 48 , "SDSS J075936.13+132117.8" , 119.90042 , 13.35494 , "208.28" , "21.04" , -1 , "H " , 18.5 , 3.92 ,,
 49 , "SDSS J080018.79+164557.1" , 120.07792 , 16.76586 , "204.99" , "22.56" , 0.309 , "H " , 18.4 , 58.24 ,,
 50 , "SDSS J080115.01+133642.2" , 120.3125 , 13.61172 , "208.21" , "21.51" , -1 , "H " , 19 , 15.26 ,,
 51 , "SDSS J080204.81+100637.8" , 120.52 , 10.1105 , "211.7" , "20.23" , -1 , "H " , 17.3 , 10.6 ,,
 52 , "SDSS J080323.01+481618.6" , 120.84583 , 48.27183 , "170.9" , "31.55" , 0.5 , "H " , 19.3 , 9.92 ,,
 53 , "SDSS J080307.30+243750.8" , 120.78042 , 24.63078 , "197.21" , "26.03" , -1 , "H " , 18.8 , 26.46 ,,
 54 , "SDSS J080615.30+133019.7" , 121.56375 , 13.50547 , "208.85" , "22.58" , -1 , "H " , 19.8 , 13.32 ,,
 55 , "SDSS J080831.59+092304.0" , 122.13125 , 9.38444 , "213.13" , "21.35" , -1 , "H " , 20 , 1 ,,
 56 , "SDSS J080949.18+521858.2" , 122.45458 , 52.31617 , "166.24" , "32.91" , -1 , "H " , 15.4 , 188.29 ,,
 57 , "SDSS J081042.53+325401.4" , 122.67708 , 32.90039 , "188.81" , "30.06" , -1 , "H " , 19.7 , 0.85 ,,
 58 , "SDSS J081058.17+284618.6" , 122.74208 , 28.77183 , "193.39" , "28.99" , 0.272 , "H " , 19.7 , 27.28 ,,
 59 , "SDSS J081251.44+555421.8" , 123.21417 , 55.90606 , "161.97" , "33.44" , 0.383 , "H " , 18.4 , 11.93 ,,
 60 , "SDSS J081250.80+522530.8" , 123.21167 , 52.42522 , "166.14" , "33.37" , 1.152 , "H " , 18.1 , 0.96 ,,
 61 , "SDSS J081231.27+282056.2" , 123.13 , 28.34894 , "193.97" , "29.2" , 0.491 , "H " , 19.1 , 2.63 ,,
 62 , "SDSS J081226.00+114158.5" , 123.10833 , 11.69958 , "211.31" , "23.2" , -1 , "H " , 19.8 , 21.48 ,,
 63 , "SDSS J081258.40+153152.2" , 123.24333 , 15.53117 , "207.53" , "24.88" , -1 , "H " , 20.1 , 2.89 ,,
 64 , "SDSS J081322.91+343758.5" , 123.34542 , 34.63292 , "187.01" , "31.02" , -1 , "H " , 19.6 , 1.03 ,,
 65 , "SDSS J081421.27+294020.9" , 123.58833 , 29.67247 , "192.64" , "29.96" , -1 , "H " , 18.5 , 27.34 ,,
 66 , "SDSS J081609.57+491004.4" , 124.03958 , 49.16789 , "170.07" , "33.72" , -1 , "H " , 17.9 , 52.99 ,,
 67 , "SDSS J081649.78+205106.4" , 124.20708 , 20.85178 , "202.41" , "27.71" , -1 , "H " , 18 , 29.8 ,,
 68 , "SDSS J081751.00+324340.4" , 124.4625 , 32.72792 , "189.44" , "31.47" , 0.796 , "H " , 18.5 , 10.19 ,,
 69 , "SDSS J081815.99+422245.2" , 124.56625 , 42.37922 , "178.22" , "33.4" , -1 , "H " , 18.1 , 1004.62 ,,
 70 , "SDSS J081827.35+281402.8" , 124.61375 , 28.23411 , "194.53" , "30.41" , 0.225 , "H " , 17.6 , 84.12 ,,
 71 , "SDSS J081840.06+315348.1" , 124.66667 , 31.89669 , "190.43" , "31.44" , -1 , "H " , 19.2 , 62.33 ,,
 72 , "SDSS J081918.84+274730.8" , 124.82833 , 27.79189 , "195.09" , "30.47" , -1 , "H " , 18.9 , 150.78 ,,
 73 , "SDSS J081931.58+142937.6" , 124.88125 , 14.49378 , "209.28" , "25.92" , 0.494 , "H " , 19.4 , 6.81 ,,
 74 , "SDSS J082020.19+364004.4" , 125.08375 , 36.66792 , "185.03" , "32.84" , -1 , "H " , 18.8 , 102.07 ,,
 75 , "SDSS J081956.03+132100.9" , 124.98333 , 13.35025 , "210.49" , "25.55" , -1 , "H " , 19 , 0.94 ,,
