_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1016 , "PBC J1812.7-0648" , 273.19875 , -6.80503 , "22.43" , "5.4" , "(12.6+/-8.2)x10-12" , " " , 0 , " -- " , "PBC J1812.7-06"
1017 , "PBC J1813.6-1753" , 273.41042 , -17.86711 , "12.79" , "-0.05" , "(3.4+/-1.5)x10-11" , "SNR " , 0 , " -- " , "IGR J18135-175"
1018 , "PBC J1814.5-1709" , 273.63583 , -17.14994 , "13.52" , "0.1" , "(218.6+/-2.8)x10-12" , "LXB " , 0 , " -- " , "GX 13+1 "
1019 , "PBC J1815.1-1205" , 273.77917 , -12.08953 , "18.04" , "2.39" , "(544.2+/-3.2)x10-12" , "LXB " , 0 , " -- " , "4U 1812-12 "
1020 , "PBC J1815.2-1053" , 273.81292 , -10.88936 , "19.11" , "2.93" , "(9.5+/-5.5)x10-12" , "X " , 0 , " -- " , "PBCX J181503.9"
1021 , "PBC J1816.0-1402" , 274.00667 , -14.0345 , "16.43" , "1.27" , "(1014+/-2)x10-12" , "LXB " , 0 , " -- " , "GX 17+2 "
1022 , "PBC J1817.3-2507" , 274.32583 , -25.12897 , "6.8" , "-4.25" , "(7.1+/-8.1)x10-12" , "CV* " , 0 , " -- " , "IGR J18173-250"
1023 , "PBC J1817.7-3300" , 274.44917 , -32.99308 , "359.84" , "-8" , "(45.3+/-5)x10-12" , "LXB " , 0 , " -- " , "[KRL2007b] 312"
1024 , "PBC J1819.3-6344" , 274.83792 , -63.747 , "330.85" , "-20.74" , "(9.1+/-6)x10-12" , "BLA " , 0.063 , "BZU (uncertain type)" , "PKS J1819-6345"
1025 , "PBC J1816.2+4236" , 274.05333 , 42.60442 , "70.08" , "24.14" , "(9.4+/-5.8)x10-12" , "Sy2 " , 0.041 , " -- " , "MCG+07-37-031 "
1026 , "PBC J1816.0+4952" , 274.03083 , 49.86253 , "77.85" , "25.89" , "(19.6+/-4.9)x10-12" , "AM* " , 0 , " -- " , "AM Her "
1027 , "PBC J1818.7-1701" , 274.68875 , -17.02717 , "14.11" , "-0.73" , "(13.4+/-7.1)x10-12" , "HXB " , 0 , " -- " , "SAX J1818.6-17"
1028 , "PBC J1820.5-1433" , 275.13583 , -14.55386 , "16.49" , "0.06" , "(1.9+/-1)x10-11" , "HXB " , 0 , " -- " , "AX J1820.5-143"
1029 , "PBC J1821.4-1318" , 275.35333 , -13.30867 , "17.69" , "0.46" , "(2.4+/-1.2)x10-11" , "gam " , 0 , " -- " , "CXOU J182119.7"
1030 , "PBC J1824.3-5622" , 276.04917 , -56.36353 , "338.43" , "-18.74" , "(41.1+/-5.4)x10-12" , "Sy2 " , 0.017 , " -- " , "IGR J18244-562"
1031 , "PBC J1823.6-3021" , 275.915 , -30.35708 , "2.79" , "-7.91" , "(656.3+/-2.2)x10-12" , "LXB " , 0 , " -- " , "H 1820-303 "
1032 , "PBC J1821.2+5957" , 275.3175 , 59.96561 , "89.1" , "26.95" , "(7.9+/-5)x10-12" , " " , 0 , " -- " , "PBC J1821.2+59"
1033 , "PBC J1824.3-1423" , 276.08333 , -14.39858 , "17.06" , "-0.67" , "(16.8+/-9)x10-12" , "X " , 0 , " -- " , "XTE J1824-141 "
1034 , "PBC J1821.5+6421" , 275.43667 , 64.33758 , "93.99" , "27.44" , "(18.9+/-5.2)x10-12" , "Sy1 " , 0.297 , " -- " , "1ES 1821+643 "
1035 , "PBC J1824.2+1846" , 276.06417 , 18.77547 , "46.98" , "14.26" , "(10.6+/-6.2)x10-12" , " " , 0 , " -- " , "PBC J1824.2+18"
1036 , "PBC J1825.7-3706" , 276.45375 , -37.10586 , "356.85" , "-11.3" , "(428.5+/-2.5)x10-12" , "LXB " , 0 , " -- " , "3A 1822-371 "
1037 , "PBC J1825.3-0001" , 276.34083 , -0.02492 , "29.92" , "5.78" , "(32.1+/-6)x10-12" , "LXB " , 0 , " -- " , "H 1822-000 "
1038 , "PBC J1826.0-0708" , 276.5125 , -7.14944 , "23.67" , "2.34" , "(14.6+/-8.6)x10-12" , "X " , 0.037 , " -- " , "IGR J18257-070"
1039 , "PBC J1826.3-1450" , 276.57917 , -14.84939 , "16.88" , "-1.31" , "(2+/-1.2)x10-11" , "HXB " , 0 , " -- " , "V* V479 Sct "
