_id , bat54_name , RA, Dec, LII, BII, Flux, Type , Redshift , Bzcat counterpart, other_name
1127 , "PBC J2008.9-6105" , 302.195 , -61.10581 , "335.77" , "-32.8" , "(44.7+/-4.7)x10-12" , "Sy1 " , 0.015 , " -- " , "NGC 6860 "
1128 , "PBC J2010.2-7137" , 302.555 , -71.62344 , "323.37" , "-31.83" , "(6.6+/-3.8)x10-12" , " " , 0 , " -- " , "PBC J2010.2-71"
1129 , "PBC J2010.3-2522" , 302.59417 , -25.36975 , "17.03" , "-27.84" , "(12.9+/-8.2)x10-12" , "X " , 0 , " -- " , "1RXS J201020.0"
1130 , "PBC J2010.8-2910" , 302.71208 , -29.17742 , "12.94" , "-29.1" , "(8.2+/-5.6)x10-12" , " " , 0 , " -- " , "PBC J2010.8-29"
1131 , "PBC J2011.8-5650" , 303.03583 , -56.83647 , "340.85" , "-33.35" , "(6+/-3.1)x10-12" , "ClG " , 0.055 , " -- " , "ABELL 3667 "
1132 , "PBC J2010.2+4759" , 302.56833 , 47.99581 , "83.43" , "7.93" , "(10.1+/-6.6)x10-12" , " " , 0 , " -- " , "PBC J2010.2+47"
1133 , "PBC J2013.0+5306" , 303.26292 , 53.10153 , "88.04" , "10.27" , "(8.9+/-5.8)x10-12" , " " , 0 , " -- " , "PBC J2013.0+53"
1134 , "PBC J2015.3+2303" , 303.84083 , 23.06072 , "63.07" , "-6.58" , "(5+/-3.2)x10-12" , " " , 0 , " -- " , "PBC J2015.3+23"
1135 , "PBC J2015.9+3712" , 303.97625 , 37.21092 , "74.93" , "1.16" , "(8.6+/-5.3)x10-12" , "CV* " , 0 , " -- " , "RX J2015.6+371"
1136 , "PBC J2018.1-5539" , 304.52917 , -55.65661 , "342.26" , "-34.19" , "(2.9+/-1.4)x10-11" , "Sy2 " , 0.06 , " -- " , "2MASX J2018012"
1137 , "PBC J2018.6+4041" , 304.66625 , 40.69464 , "78.12" , "2.67" , "(27.6+/-6.4)x10-12" , "Sy2 " , 0.014 , " -- " , "IGR J20187+404"
1138 , "PBC J2021.7+4359" , 305.42958 , 43.99233 , "81.17" , "4.07" , "(11.4+/-6.8)x10-12" , "gam " , 0.017 , " -- " , "IGR J20216+435"
1139 , "PBC J2027.0-0216" , 306.7575 , -2.27269 , "42.21" , "-22.24" , "(10+/-5.4)x10-12" , "Sy2 " , 0.029 , " -- " , "6dFGS gJ202655"
1140 , "PBC J2030.7-7530" , 307.68583 , -75.51331 , "318.52" , "-32.35" , "(8.7+/-5)x10-12" , " " , 0 , " -- " , "PBC J2030.7-75"
1141 , "PBC J2029.4-6146" , 307.37333 , -61.78056 , "334.7" , "-35.2" , "(11.5+/-6.9)x10-12" , " " , 0 , " -- " , "PBC J2029.4-61"
1142 , "PBC J2028.6+2544" , 307.14167 , 25.72678 , "66.99" , "-7.58" , "(61+/-4.6)x10-12" , "Sy2 " , 0.014 , " -- " , "IGR J20286+254"
1143 , "PBC J2030.8+3834" , 307.705 , 38.57464 , "77.74" , "-0.46" , "(9.3+/-5.4)x10-12" , " " , 0 , " -- " , "PBC J2030.8+38"
1144 , "PBC J2032.2+3738" , 308.06667 , 37.63367 , "77.15" , "-1.25" , "(1044+/-3)x10-12" , "HXB " , 0 , " -- " , "EXO 2030+375 "
1145 , "PBC J2032.4+4057" , 308.10542 , 40.96208 , "79.84" , "0.7" , "(2009+/-2.5)x10-12" , "HXB " , 0 , " -- " , "Cyg X-3 "
1146 , "PBC J2033.5+2144" , 308.38 , 21.76639 , "64.37" , "-10.78" , "(2.9+/-1.2)x10-11" , "QSO " , 0.174 , " -- " , "4C +21.55 "
1147 , "PBC J2034.3-3038" , 308.59833 , -30.63775 , "12.86" , "-34.4" , "(9.5+/-5.7)x10-12" , "Sy1 " , 0.019 , " -- " , "2MASX J2034313"
1148 , "PBC J2035.2+2604" , 308.82292 , 26.08072 , "68.17" , "-8.6" , "(12.6+/-7.9)x10-12" , "X " , 0 , " -- " , "1RXS J203505.9"
1149 , "PBC J2037.1+4149" , 309.28958 , 41.83731 , "81.08" , "0.51" , "(9.8+/-5.2)x10-12" , "X " , 0 , " -- " , "SWIFT J2037.2+"
1150 , "PBC J2044.1-1043" , 311.03375 , -10.73258 , "35.95" , "-29.86" , "(84.6+/-4)x10-12" , "Sy1 " , 0.034 , " -- " , "Mrk 509 "
1151 , "PBC J2044.0+2834" , 311.01375 , 28.58542 , "71.38" , "-8.66" , "(14.1+/-7.7)x10-12" , "Sy1 " , 0.05 , " -- " , "RX J2044.0+283"
1152 , "PBC J2042.6+7508" , 310.65875 , 75.14572 , "109" , "19.53" , "(43.3+/-3.1)x10-12" , "Sy1 " , 0.104 , " -- " , "4C 74.26 "
1153 , "PBC J2048.3+3812" , 312.08417 , 38.2125 , "79.54" , "-3.41" , "(7.8+/-4.8)x10-12" , " " , 0 , " -- " , "PBC J2048.3+38"
1154 , "PBC J2052.0-5704" , 313.00208 , -57.07367 , "339.98" , "-38.74" , "(64.4+/-3.8)x10-12" , "Sy2 " , 0.011 , " -- " , "IC 5063 "
1155 , "PBC J2045.9+8321" , 311.48 , 83.36208 , "116.56" , "23.8" , "(5.4+/-3.2)x10-12" , " " , 0 , " -- " , "PBC J2045.9+83"
1156 , "PBC J2054.8-4706" , 313.7 , -47.10164 , "352.79" , "-40.14" , "(7.3+/-4.4)x10-12" , " " , 0 , " -- " , "PBC J2054.8-47"
1157 , "PBC J2055.7-4711" , 313.92708 , -47.18853 , "352.67" , "-40.29" , "(10.1+/-6.9)x10-12" , "BLA " , 1.491 , " -- " , "PKS 2052-47 "
1158 , "PBC J2055.7+4925" , 313.94875 , 49.41667 , "89.03" , "2.71" , "(3.8+/-2.2)x10-12" , " " , 0 , " -- " , "PBC J2055.7+49"
1159 , "PBC J2056.5+4938" , 314.13583 , 49.64172 , "89.28" , "2.76" , "(9.4+/-5.5)x10-12" , "X " , 0 , " -- " , "RX J2056.6+494"
1160 , "PBC J2103.6+4544" , 315.91125 , 45.75767 , "87.14" , "-0.69" , "(35.6+/-3.2)x10-12" , "HXB " , 0 , " -- " , "SAX J2103.5+45"
1161 , "PBC J2105.9-0417" , 316.48833 , -4.29289 , "45.5" , "-31.72" , "(6.1+/-4)x10-12" , " " , 0 , " -- " , "PBC J2105.9-04"
1162 , "PBC J2109.0-0940" , 317.27917 , -9.68272 , "40.24" , "-34.94" , "(13+/-7.6)x10-12" , "Sy1 " , 0.027 , " -- " , "RBS 1727 "
1163 , "PBC J2112.5-4242" , 318.135 , -42.70578 , "358.57" , "-43.4" , "(6.4+/-4.1)x10-12" , " " , 0 , " -- " , "PBC J2112.5-42"
1164 , "PBC J2113.5+5423" , 318.37917 , 54.38431 , "94.56" , "3.99" , "(7.2+/-4.2)x10-12" , " " , 0 , " -- " , "PBC J2113.5+54"
1165 , "PBC J2116.2+2519" , 319.07125 , 25.3235 , "73.49" , "-16.28" , "(4.4+/-2.6)x10-12" , " " , 0 , " -- " , "PBC J2116.2+25"
1166 , "PBC J2117.6+5137" , 319.42667 , 51.63639 , "93.01" , "1.63" , "(2.2+/-1.3)x10-11" , "AG? " , 0 , " -- " , "IGR J21178+513"
1167 , "PBC J2113.7+8206" , 318.39083 , 82.093 , "115.97" , "22.36" , "(26+/-6.2)x10-12" , "Sy1 " , 0.086 , " -- " , "S5 2116+81 "
1168 , "PBC J2119.7+3329" , 319.85042 , 33.53622 , "80.18" , "-11.22" , "(6.8+/-4.1)x10-12" , "X " , 0 , " -- " , "1RXS J211928.4"
1169 , "PBC J2123.8+2502" , 320.96 , 25.07436 , "74.49" , "-17.71" , "(11.2+/-7.6)x10-12" , "Sy2 " , 0.102 , " -- " , "3C 433 "
1170 , "PBC J2123.6+4217" , 320.93292 , 42.27689 , "87.1" , "-5.7" , "(13+/-7)x10-12" , "CV* " , 0 , " -- " , "V2069 Cyg "
1171 , "PBC J2123.9+3407" , 320.97917 , 34.117 , "81.27" , "-11.49" , "(10.2+/-6.4)x10-12" , "G " , 0 , " -- " , "2MASX J2124002"
1172 , "PBC J2124.5+0503" , 321.12833 , 5.06239 , "57.64" , "-30.59" , "(6.4+/-3.7)x10-12" , " " , 0 , " -- " , "PBC J2124.5+05"
1173 , "PBC J2124.6+5058" , 321.16083 , 50.96994 , "93.31" , "0.39" , "(160.8+/-3.2)x10-12" , "Sy1 " , 0.02 , " -- " , "IGR J21247+505"
1174 , "PBC J2127.7+5657" , 321.90125 , 56.95722 , "97.79" , "4.39" , "(31.3+/-3.6)x10-12" , "Sy1 " , 0.014 , " -- " , "IGR J21277+565"
1175 , "PBC J2129.2-1537" , 322.31542 , -15.61694 , "35.97" , "-41.88" , "(2.4+/-1.4)x10-11" , "BLA " , 3.268 , "BZQ (FSRQ)" , "PKS 2126-158 "
1176 , "PBC J2129.9+1210" , 322.4975 , 12.17258 , "65.02" , "-27.32" , "(77+/-3.1)x10-12" , "LXB " , 0 , " -- " , "4U 2129+12 "
1177 , "PBC J2131.8-3343" , 323.00417 , -33.71003 , "11.51" , "-46.92" , "(38.2+/-5.6)x10-12" , "Sy1 " , 0.03 , " -- " , "RBS 1756 "
1178 , "PBC J2134.8-2727" , 323.69292 , -27.45239 , "20.68" , "-46.61" , "(1.9+/-1.2)x10-11" , "Sy1 " , 0.067 , " -- " , "1RXS J213445.2"
1179 , "PBC J2133.9+5106" , 323.43583 , 51.10908 , "94.44" , "-0.49" , "(47.7+/-3.1)x10-12" , "CV* " , 0 , " -- " , "IGR J21335+510"
1180 , "PBC J2136.4-6225" , 324.10792 , -62.41972 , "331.11" , "-42.53" , "(26.8+/-3.7)x10-12" , "Sy1 " , 0.059 , " -- " , "RBS 1763 "
1181 , "PBC J2136.3+2003" , 324.07708 , 20.05139 , "72.66" , "-23.24" , "(7.6+/-4.7)x10-12" , " " , 0 , " -- " , "PBC J2136.3+20"
1182 , "PBC J2136.0+4728" , 324.00083 , 47.47767 , "92.27" , "-3.43" , "(19.2+/-8.6)x10-12" , "Sy1 " , 0.025 , " -- " , "RX J2135.9+472"
1183 , "PBC J2137.7-1433" , 324.43667 , -14.55669 , "38.39" , "-43.34" , "(11.6+/-7.2)x10-12" , "QSO " , 0.2 , " -- " , "2MASX J2137451"
1184 , "PBC J2138.4+3205" , 324.63708 , 32.10136 , "82.07" , "-15.07" , "(15.4+/-9.3)x10-12" , "Sy1 " , 0.025 , " -- " , "2MASX J2138334"
1185 , "PBC J2139.3+5659" , 324.82833 , 56.99583 , "98.99" , "3.33" , "(3.5+/-2)x10-12" , "HXB " , 0 , " -- " , "V* V490 Cep "
1186 , "PBC J2139.6+5955" , 324.89708 , 59.86533 , "100.93" , "5.46" , "(8.4+/-4.7)x10-12" , "X " , 0 , " -- " , "1RXS J213944.3"
1187 , "PBC J2141.1-2647" , 325.27708 , -26.78706 , "22.06" , "-47.86" , "(7.1+/-4.2)x10-12" , "Sy1 " , 0.129 , " -- " , "2MASS J2141102"
1188 , "PBC J2143.4-5637" , 325.85625 , -56.62994 , "338.04" , "-45.62" , "(4.3+/-2.6)x10-12" , "X " , 0.082 , " -- " , "1RXS J214358.7"
1189 , "PBC J2142.7+4334" , 325.68292 , 43.57594 , "90.55" , "-7.12" , "(47.8+/-3.2)x10-12" , "DN* " , 0 , " -- " , "SS Cyg "
1190 , "PBC J2144.6+3819" , 326.1725 , 38.32108 , "87.32" , "-11.32" , "(442.2+/-1.6)x10-12" , "LXB " , 0 , " -- " , "Cyg X-2 "
1191 , "PBC J2146.4-3051" , 326.6425 , -30.87369 , "16.23" , "-49.69" , "(7.7+/-5)x10-12" , "Sy1 " , 0.075 , " -- " , "6dFGS gJ214636"
1192 , "PBC J2146.9+2514" , 326.74917 , 25.24208 , "78.52" , "-21.33" , "(5.2+/-3)x10-12" , " " , 0 , " -- " , "PBC J2146.9+25"
1193 , "PBC J2148.2-3455" , 327.05583 , -34.98522 , "9.89" , "-50.34" , "(1.5+/-1)x10-11" , "EmG " , 0.016 , " -- " , "NGC 7130 "
1194 , "PBC J2148.0+0657" , 327.03167 , 6.94892 , "63.65" , "-34.09" , "(2.1+/-1.2)x10-11" , "BLA " , 0.99 , "BZQ (FSRQ)" , "4C +06.69 "
1195 , "PBC J2150.1-1856" , 327.54167 , -18.94339 , "34.15" , "-47.73" , "(8.6+/-4.8)x10-12" , "Sy1 " , 0.158 , " -- " , "1RXS J214958.2"
1196 , "PBC J2150.7+1405" , 327.69708 , 14.08711 , "70.47" , "-29.85" , "(10.8+/-5.9)x10-12" , "G " , 0.03 , " -- " , "CGCG 427-028 "
1197 , "PBC J2152.0-3027" , 327.99542 , -30.45886 , "17.09" , "-50.8" , "(7.1+/-1.7)x10-11" , "BLA " , 2.345 , "BZQ (FSRQ)" , "PKS 2149-306 "
1198 , "PBC J2157.3-6945" , 329.3475 , -69.75289 , "321.23" , "-40.64" , "(8.4+/-5)x10-12" , "Sy1 " , 0.028 , " -- " , "2MASX J2157059"
1199 , "PBC J2155.1+6205" , 328.77917 , 62.09519 , "103.82" , "5.95" , "(5.8+/-3.4)x10-12" , " " , 0 , " -- " , "PBC J2155.1+62"
1200 , "PBC J2157.4-0611" , 329.35875 , -6.18833 , "51.72" , "-43.71" , "(6.6+/-3.9)x10-12" , "X " , 0 , " -- " , "1RXS J215727.0"
1201 , "PBC J2200.7+1033" , 330.17875 , 10.56256 , "69.4" , "-34.03" , "(27+/-4.9)x10-12" , "Sy1 " , 0.027 , " -- " , "Mrk 520 "
1202 , "PBC J2202.0-3152" , 330.5075 , -31.87789 , "15.11" , "-53.07" , "(135.8+/-3.6)x10-12" , "Sy2 " , 0.009 , " -- " , "NGC 7172 "
1203 , "PBC J2202.7+4217" , 330.72792 , 42.27361 , "92.61" , "-10.47" , "(22.8+/-9)x10-12" , "BLA " , 0.069 , "BZB (BL Lac)" , "BL Lac "
1204 , "PBC J2203.3+3148" , 330.79792 , 31.79447 , "85.96" , "-18.75" , "(8.1+/-4.8)x10-12" , "BLA " , 0.298 , "BZQ (FSRQ)" , "4C 31.63 "
1205 , "PBC J2204.4+0336" , 331.07708 , 3.57867 , "63.63" , "-39.34" , "(14.8+/-8.2)x10-12" , "Sy2 " , 0.061 , " -- " , "2MASX J2204191"
1206 , "PBC J2207.0+1014" , 331.76208 , 10.24825 , "70.44" , "-35.37" , "(8.6+/-5.2)x10-12" , "Sy2 " , 0.026 , " -- " , "NGC 7212 "
1207 , "PBC J2209.2-4710" , 332.30375 , -47.14986 , "349.62" , "-52.58" , "(40.2+/-9)x10-12" , "BLA " , 0.006 , "BZU (uncertain type)" , "NGC 7213 "
1208 , "PBC J2207.9+5430" , 331.99292 , 54.51347 , "100.6" , "-1.12" , "(174.9+/-2.7)x10-12" , "HXB " , 0 , " -- " , "3A 2206+543 "
1209 , "PBC J2209.1-2746" , 332.27458 , -27.78164 , "22.26" , "-54.15" , "(11.9+/-7.6)x10-12" , "Sy1 " , 0.023 , " -- " , "NGC 7214 "
1210 , "PBC J2211.9+1843" , 332.93375 , 18.74386 , "78.37" , "-29.99" , "(12.3+/-7.3)x10-12" , "BLA " , 0.07 , "BZQ (FSRQ)" , "BZQJ2211+1841 "
1211 , "PBC J2214.1-2557" , 333.54958 , -25.9625 , "25.68" , "-54.96" , "(12.1+/-7.4)x10-12" , " " , 0 , " -- " , "PBC J2214.1-25"
1212 , "PBC J2213.9+1242" , 333.4925 , 12.72314 , "74.04" , "-34.8" , "(14.1+/-7.4)x10-12" , "DN* " , 0 , " -- " , "V* RU Peg "
1213 , "PBC J2214.7-3849" , 333.67042 , -38.81942 , "3.08" , "-55.42" , "(10.3+/-6.3)x10-12" , "Sy1 " , 0.039 , " -- " , "RBS 1835 "
1214 , "PBC J2217.1+1410" , 334.27542 , 14.22714 , "75.95" , "-34.22" , "(9.5+/-5.5)x10-12" , "Sy1 " , 0.066 , " -- " , "Mrk 304 "
1215 , "PBC J2217.9-0820" , 334.48583 , -8.34061 , "53.01" , "-49.16" , "(47.3+/-3.4)x10-12" , "DQ* " , 0 , " -- " , "FO Aqr "
1216 , "PBC J2218.4+1925" , 334.62042 , 19.42169 , "80.28" , "-30.51" , "(6.8+/-3.9)x10-12" , "X " , 0 , " -- " , "RX J2218.5+192"
1217 , "PBC J2219.8+2613" , 334.94792 , 26.22111 , "85.34" , "-25.37" , "(17.2+/-9.6)x10-12" , "BLA " , 0.085 , "BZQ (FSRQ)" , "BZQJ2219+2613 "
1218 , "PBC J2223.6+1152" , 335.91125 , 11.87325 , "75.47" , "-37.03" , "(10.5+/-6.3)x10-12" , "Sy1 " , 0.029 , " -- " , "MCG+02-57-002 "
1219 , "PBC J2223.8-0206" , 335.96583 , -2.10017 , "61.88" , "-46.72" , "(40.6+/-4.5)x10-12" , "Sy1 " , 0.056 , " -- " , "3C 445 "
1220 , "PBC J2227.2-7022" , 336.8175 , -70.37867 , "318.39" , "-42.16" , "(7.2+/-4.2)x10-12" , "H2G " , 0.028 , " -- " , "FRL 357 "
1221 , "PBC J2227.2+0736" , 336.815 , 7.60842 , "72.57" , "-40.76" , "(5.7+/-3.3)x10-12" , " " , 0 , " -- " , "PBC J2227.2+07"
1222 , "PBC J2227.0+3623" , 336.75292 , 36.3655 , "93" , "-17.98" , "(16+/-9.8)x10-12" , "Sy1 " , 0.021 , " -- " , "MCG+06-49-019 "
1223 , "PBC J2229.6-0831" , 337.4075 , -8.51969 , "55.25" , "-51.68" , "(1.5+/-1)x10-11" , "BLA " , 1.561 , "BZQ (FSRQ)" , "PKS 2227-08 "
1224 , "PBC J2229.4+6647" , 337.25708 , 66.79064 , "109.54" , "7.69" , "(14.2+/-8.4)x10-12" , "AGN " , 0.113 , " -- " , "IGR J22292+664"
1225 , "PBC J2232.4+1144" , 338.13542 , 11.73317 , "77.42" , "-38.57" , "(2.4+/-1.5)x10-11" , "BLA " , 1.037 , "BZQ (FSRQ)" , "4C +11.69 "
1226 , "PBC J2234.5-3709" , 338.62792 , -37.16322 , "5.05" , "-59.53" , "(6.9+/-4.4)x10-12" , "Sy1 " , 0.043 , " -- " , "2MASX J2234409"
1227 , "PBC J2234.8-2541" , 338.71042 , -25.72875 , "27.69" , "-59.49" , "(16+/-9.9)x10-12" , "Sy2 " , 0.026 , " -- " , "ESO 533-50 "
1228 , "PBC J2235.6-2601" , 338.93667 , -26.01633 , "27.2" , "-59.74" , "(42.9+/-4.6)x10-12" , "Sy1 " , 0.005 , " -- " , "NGC 7314 "
1229 , "PBC J2236.0+3358" , 339.0075 , 33.99217 , "93.28" , "-20.97" , "(32.6+/-9.6)x10-12" , "Sy2 " , 0.022 , " -- " , "NGC7319 (Steph"
1230 , "PBC J2236.7-1232" , 339.21042 , -12.55167 , "51.06" , "-55.32" , "(2.5+/-1.5)x10-11" , "Sy1 " , 0.024 , " -- " , "Mrk 915 "
1231 , "PBC J2238.9+4050" , 339.72833 , 40.83481 , "97.53" , "-15.41" , "(6.7+/-4.4)x10-12" , " " , 0 , " -- " , "PBC J2238.9+40"
1232 , "PBC J2240.2+0802" , 340.07333 , 8.03544 , "76.16" , "-42.62" , "(15.5+/-8.9)x10-12" , "Sy1 " , 0.025 , " -- " , "RHS 59 "
1233 , "PBC J2245.8+3939" , 341.4725 , 39.68258 , "98.14" , "-17.07" , "(3.6+/-1.8)x10-11" , "Sy2 " , 0.081 , " -- " , "3C 452 "
1234 , "PBC J2248.8+1725" , 342.21083 , 17.42689 , "85.73" , "-36.44" , "(8.1+/-4.8)x10-12" , " " , 0 , " -- " , "PBC J2248.8+17"
1235 , "PBC J2250.7-0853" , 342.67917 , -8.89569 , "59.81" , "-56.17" , "(11.3+/-6.9)x10-12" , "AGN " , 0.065 , " -- " , "2MASS J2250517"
1236 , "PBC J2251.8+2215" , 342.9275 , 22.27792 , "89.63" , "-32.74" , "(15.8+/-9.6)x10-12" , "BLA " , 3.668 , "BZQ (FSRQ)" , "87GB 224928.1+"
1237 , "PBC J2254.0-1734" , 343.51708 , -17.578 , "46.2" , "-61.32" , "(89.6+/-3.8)x10-12" , "Sy1 " , 0.064 , " -- " , "RBS 1913 "
1238 , "PBC J2253.9+1609" , 343.48375 , 16.15308 , "86.1" , "-38.18" , "(105.1+/-8.5)x10-12" , "BLA " , 0.859 , "BZQ (FSRQ)" , "3C 454.3 "
1239 , "PBC J2254.3+1146" , 343.59292 , 11.77472 , "82.96" , "-41.84" , "(17.5+/-9.7)x10-12" , "Sy2 " , 0.029 , " -- " , "MCG+02-58-032 "
1240 , "PBC J2255.3-0310" , 343.83375 , -3.17681 , "68.68" , "-53.35" , "(26.5+/-4.6)x10-12" , "DQ* " , 0 , " -- " , "AO Psc "
1241 , "PBC J2258.9+4055" , 344.7075 , 40.926 , "101.03" , "-17.11" , "(2.1+/-1.3)x10-11" , "Sy1 " , 0.017 , " -- " , "MCG +07 -47 -0"
1242 , "PBC J2259.6+2454" , 344.91583 , 24.926 , "93.07" , "-31.39" , "(22.1+/-5.6)x10-12" , "Sy1 " , 0.034 , " -- " , "RBS 1922 "
1243 , "PBC J2301.6-5912" , 345.40125 , -59.21614 , "325.87" , "-52.75" , "(7.8+/-4.7)x10-12" , "Sy1 " , 0.15 , " -- " , "6dFGS gJ230136"
1244 , "PBC J2301.5+3945" , 345.37583 , 39.76319 , "100.98" , "-18.38" , "(3+/-2.3)x10-12" , " " , 0 , " -- " , "PBC J2301.5+39"
1245 , "PBC J2302.1+1558" , 345.52125 , 15.95869 , "88.08" , "-39.4" , "(16.1+/-9.8)x10-12" , "LIN " , 0.007 , " -- " , "NGC 7465 "
1246 , "PBC J2302.9-1841" , 345.74583 , -18.68622 , "45.89" , "-63.71" , "(7.8+/-4.5)x10-12" , "BLA " , 0.129 , "BZU (uncertain type)" , "PKS 2300-18 "
1247 , "PBC J2303.3+0852" , 345.815 , 8.86139 , "83.08" , "-45.48" , "(60.8+/-3.3)x10-12" , "Sy1 " , 0.016 , " -- " , "NGC 7469 "
1248 , "PBC J2304.7-0841" , 346.1875 , -8.68822 , "64.09" , "-58.77" , "(99.6+/-3.4)x10-12" , "Sy1 " , 0.047 , " -- " , "Mrk 926 "
1249 , "PBC J2304.8+1217" , 346.19083 , 12.30703 , "86.2" , "-42.83" , "(1.9+/-1.1)x10-11" , "Sy2 " , 0.008 , " -- " , "NGC 7479 "
1250 , "PBC J2305.3+0010" , 346.32875 , 0.18278 , "75.53" , "-52.64" , "(8.4+/-4.7)x10-12" , "Sy2 " , 0.025 , " -- " , "MCG+00-58-028 "
1251 , "PBC J2307.2+0433" , 346.79375 , 4.57289 , "80.5" , "-49.52" , "(14.5+/-8.4)x10-12" , "Sy1 " , 0.042 , " -- " , "RBS 1944 "
1252 , "PBC J2307.8+2244" , 346.95042 , 22.73722 , "93.77" , "-34.2" , "(12.8+/-7.9)x10-12" , " " , 0 , " -- " , "PBC J2307.8+22"
1253 , "PBC J2307.9+4015" , 346.99208 , 40.26592 , "102.38" , "-18.45" , "(9.3+/-5.3)x10-12" , "G " , 0 , " -- " , "2MASX J2307572"
1254 , "PBC J2318.3-4221" , 349.59958 , -42.35142 , "348.11" , "-65.71" , "(66.7+/-3.9)x10-12" , "Sy2 " , 0.005 , " -- " , "NGC 7582 "
1255 , "PBC J2318.9+0014" , 349.7275 , 0.24406 , "80.05" , "-54.74" , "(38.4+/-4.5)x10-12" , "Sy1 " , 0.029 , " -- " , "Mrk 530 "
1256 , "PBC J2319.6+2616" , 349.91083 , 26.28247 , "98.52" , "-32.21" , "(9+/-5.1)x10-12" , "CV* " , 0 , " -- " , "RX J2319.5+261"
1257 , "PBC J2322.2-0645" , 350.56583 , -6.75781 , "72.76" , "-60.63" , "(9.9+/-6.8)x10-12" , "G " , 0.033 , " -- " , "2MASX J2322244"
1258 , "PBC J2322.6+2903" , 350.66792 , 29.06433 , "100.54" , "-29.92" , "(8.7+/-6.3)x10-12" , " " , 0 , " -- " , "PBC J2322.6+29"
1259 , "PBC J2323.3+5849" , 350.84083 , 58.82014 , "111.73" , "-2.13" , "(61.9+/-2.4)x10-12" , "SNR " , 0 , " -- " , "Cas A "
1260 , "PBC J2325.4-3827" , 351.36667 , -38.48175 , "355.23" , "-68.75" , "(14.5+/-8.8)x10-12" , "Sy1 " , 0.036 , " -- " , "RBS 2004 "
1261 , "PBC J2325.8+2152" , 351.4625 , 21.89486 , "97.92" , "-36.79" , "(14.3+/-8)x10-12" , "Sy1 " , 0.12 , " -- " , "RHS 61 "
1262 , "PBC J2327.3+1527" , 351.84167 , 15.45533 , "94.83" , "-42.79" , "(9.8+/-6.5)x10-12" , "BLA " , 0.046 , "BZU (uncertain type)" , "BZUJ2327+1524 "
1263 , "PBC J2327.3+1527" , 351.84167 , 15.45533 , "94.83" , "-42.79" , "(9.8+/-6.5)x10-12" , "BLA " , 0.989 , "BZU (uncertain type)" , "BZQJ2327+1533 "
1264 , "PBC J2327.3+1527" , 351.84167 , 15.45533 , "94.83" , "-42.79" , "(9.8+/-6.5)x10-12" , "QSO " , 0.46 , "BZU (uncertain type)" , "SDSS J232709.3"
1265 , "PBC J2327.4+0939" , 351.8925 , 9.63314 , "91.12" , "-47.99" , "(2.8+/-1.7)x10-11" , "BLA " , 1.843 , "BZQ (FSRQ)" , "PKS J2327+0940"
1266 , "PBC J2329.0+0329" , 352.20292 , 3.48272 , "86.66" , "-53.47" , "(12.9+/-7.7)x10-12" , "Sy2 " , 0.017 , " -- " , "NGC 7682 "
1267 , "PBC J2331.0+7123" , 352.69708 , 71.38081 , "116.52" , "9.52" , "(8.1+/-4.5)x10-12" , "Sy2 " , 0.037 , " -- " , "IGR J23308+712"
1268 , "PBC J2333.9-2343" , 353.46208 , -23.73031 , "39.61" , "-72.18" , "(12.7+/-7.7)x10-12" , "BLA " , 0.048 , "BZU (uncertain type)" , "BZUJ2333-2343 "
1269 , "PBC J2337.1+2150" , 354.27875 , 21.83336 , "100.93" , "-37.85" , "(5.5+/-3.4)x10-12" , " " , 0 , " -- " , "PBC J2337.1+21"
1270 , "PBC J2337.7+4309" , 354.44917 , 43.15972 , "108.93" , "-17.71" , "(4.2+/-2.7)x10-12" , "X " , 0 , " -- " , "1RXS J233801.0"
1271 , "PBC J2340.1+0227" , 355.02708 , 2.46494 , "89.97" , "-55.78" , "(5.8+/-3.4)x10-12" , " " , 0 , " -- " , "PBC J2340.1+02"
1272 , "PBC J2341.0+7642" , 355.25542 , 76.70942 , "118.81" , "14.4" , "(5.3+/-2.9)x10-12" , " " , 0 , " -- " , "PBC J2341.0+76"
1273 , "PBC J2341.9+3036" , 355.47542 , 30.59297 , "105.66" , "-29.94" , "(2+/-1.1)x10-11" , "Sy2 " , 0.017 , " -- " , "MCG+05-55-047 "
1274 , "PBC J2343.8+0539" , 355.97333 , 5.65606 , "93.95" , "-53.38" , "(11.1+/-6.8)x10-12" , " " , 0 , " -- " , "PBC J2343.8+05"
1275 , "PBC J2344.8-4245" , 356.21042 , -42.75633 , "339.51" , "-69.34" , "(9.3+/-5.8)x10-12" , "Sy2 " , 0.598 , " -- " , "2MASX J2344438"
1276 , "PBC J2346.7-3837" , 356.69375 , -38.6195 , "348.49" , "-72.27" , "(5.3+/-3.4)x10-12" , "X " , 0 , " -- " , "PBCX J234629.0"
1277 , "PBC J2346.7-3837" , 356.69375 , -38.6195 , "348.49" , "-72.27" , "(5.3+/-3.4)x10-12" , "G " , 0.05 , " -- " , "6dFGS gJ234643"
1278 , "PBC J2348.9+4153" , 357.23875 , 41.89256 , "110.65" , "-19.49" , "(4.2+/-2.7)x10-12" , " " , 0 , " -- " , "PBC J2348.9+41"
1279 , "PBC J2351.7-0109" , 357.97292 , -1.16569 , "91.63" , "-60.37" , "(14.8+/-9.3)x10-12" , "Sy1 " , 0.174 , " -- " , "4C -01.61 "
