_id , pccs1f44_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 044 G118.14+04.92 "   ,, 0.37625 , 67.32833 , 118.135 , 4.923 , "1.6e+4+/-550.7" , "4.3e+4+/-2288.1" , "3.5e+4+/-690.6" , "7.8e+4+/-925.5" , 2.1 , "Yes" , 0 , 2 , "PLCKERC044 G118.07+04.94" , "52.3+/-0.8" , "41+/-0.6" , "13.8+/-2" , 46.3
2 , "PCCS1 044 G118.61+06.07 "   ,, 1.03167 , 68.53944 , 118.607 , 6.066 , "4047.4+/-620.7" , "5076.3+/-2867.6" , "3.6e+4+/-666" , "5538.8+/-1121.5" , 2.1 , "No" , 0 , 2 , " " , "43.7+/-9.5" , "21+/-4.6" , "28.3+/-10.4" , 30.3
3 , "PCCS1 044 G084.52-71.19 "   ,, 1.0425 , -11.93111 , 84.52 , -71.187 , "958.8+/-204.8" , "740.7+/-446.9" , "175.7+/-100.8" , "880+/-132.9" , 2.1 , "No" , 0 , 2 , " " , "46.7+/-7.2" , "19.2+/-3.2" , "9.1+/-6.2" , 30
4 , "PCCS1 044 G093.41-66.59 "   ,, 1.49667 , -6.3575 , 93.408 , -66.588 , "1732.8+/-224.5" , "1522.8+/-707.3" , "931.3+/-105.1" , "1197.2+/-120.9" , 2.1 , "No" , 0 , 2 , "PLCKERC044 G093.38-66.59" , "26.2+/-2.8" , "21.9+/-2.3" , "13.6+/-23.3" , 23.9
5 , "PCCS1 044 G107.02-50.59 "   ,, 2.64708 , 11.01222 , 107.021 , -50.593 , "2100.1+/-222.5" , "2214.1+/-483.1" , "2058.7+/-103.1" , "2369+/-147.1" , 2.1 , "No" , 0 , 2 , "PLCKERC044 G107.03-50.60" , "34.2+/-2.3" , "26+/-1.7" , "149.5+/-9.1" , 29.8
6 , "PCCS1 044 G115.31-21.38 "   ,, 3.44792 , 40.93778 , 115.309 , -21.376 , "1142.1+/-211.9" , "1083.9+/-700.8" , "1021.7+/-93" , "1010.6+/-133" , 2.1 , "No" , 0 , 2 , " " , "30.1+/-4.2" , "25.6+/-3.6" , "42.8+/-33.1" , 27.8
7 , "PCCS1 044 G119.40-00.91 "   ,, 5.39 , 61.75972 , 119.405 , -0.907 , "1782.6+/-238.7" , "3282.7+/-769.7" , "2770.5+/-119.3" , "-" , 2.1 , "Not available" , 0 , 2 , "PLCKERC044 G119.45-00.92" , "-" , "-" , "-" , -9.9
8 , "PCCS1 044 G120.08+01.42 "   ,, 6.32208 , 64.14194 , 120.085 , 1.415 , "5943.6+/-280.3" , "5196.1+/-519.5" , "5068+/-91.4" , "5068.1+/-111.2" , 2.1 , "No" , 0 , 2 , "PLCKERC044 G120.07+01.41" , "28.6+/-0.7" , "25.4+/-0.6" , "35.8+/-7.6" , 26.9
9 , "PCCS1 044 G117.80-27.84 "   ,, 7.33167 , 34.81333 , 117.801 , -27.838 , "903.7+/-224.9" , "165.5+/-501.3" , "1088+/-105.6" , "307.1+/-114.3" , 2.1 , "No" , 0 , 2 , " " , "23+/-8.9" , "22.9+/-8.9" , "123.2+/-6.6" , 22.9
10 , "PCCS1 044 G112.98-56.55 "  ,, 7.36375 , 5.89722 , 112.98 , -56.549 , "986.6+/-208.2" , "1290.6+/-593.5" , "209.4+/-104.5" , "-" , 2.1 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
