_id , pccs1f143_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
1 , "PCCS1 143 G118.11+04.99 "    ,, 0.2975 , 67.39667 , 118.11855 , 4.99584 , "698.2+/-64.9" , "6234.1+/-1832.9" , "5684.5+/-423.6" , "-" , 0.7 , "Not available" , 42 , 1 , " " , "-" , "-" , "-" , -9.9
2 , "PCCS1 143 G118.14+05.11 "    ,, 0.3025 , 67.52333 , 118.14504 , 5.1198 , "1773.3+/-56.5" , "7192.8+/-2184.1" , "4959.6+/-501.9" , "-" , 0.7 , "Not available" , 40 , 1 , " " , "-" , "-" , "-" , -9.9
3 , "PCCS1 143 G117.60+02.29 "    ,, 0.34833 , 64.65 , 117.60587 , 2.29717 , "601.8+/-55.2" , "2280+/-369.3" , "1936.9+/-82.4" , "6627.2+/-269.8" , 0.7 , "Yes" , 24 , 2 , "PLCKERC143 G117.61+02.31" , "17.2+/-1.1" , "13.9+/-0.9" , "134.6+/-0.000" , 15.4
4 , "PCCS1 143 G117.42+01.08 "    ,, 0.47958 , 63.42861 , 117.42798 , 1.08743 , "374.7+/-54.4" , "686.7+/-235.7" , "629.5+/-47.5" , "-" , 0.7 , "Not available" , 14 , 1 , "PLCKERC143 G117.43+01.08" , "-" , "-" , "-" , -9.9
5 , "PCCS1 143 G117.47+01.25 "    ,, 0.52125 , 63.60028 , 117.47891 , 1.25246 , "301.4+/-53.5" , "411.3+/-206.5" , "454+/-52.2" , "904.3+/-92.1" , 0.7 , "No" , 17 , 0 , " " , "17.1+/-0.9" , "6.9+/-0.9" , "158.1+/-0.000" , 10.9
6 , "PCCS1 143 G055.29-77.64 "    ,, 0.54625 , -21.9 , 55.29157 , -77.64627 , "259.5+/-40.7" , "410.1+/-144.5" , "315.6+/-39.6" , "608.6+/-73.6" , 0.7 , "Yes" , 0 , 1 , " " , "16.1+/-2.4" , "8.5+/-1.3" , "160.9+/-0.000" , 11.7
7 , "PCCS1 143 G118.61+06.14 "    ,, 1.00667 , 68.62028 , 118.61301 , 6.14723 , "1993.5+/-55.8" , "3989.2+/-256.5" , "3395.1+/-76.9" , "5295.2+/-103.4" , 0.7 , "No" , 33 , 2 , "PLCKERC143 G118.63+06.13" , "11.1+/-0.3" , "9.4+/-0.2" , "26.6+/-0.000" , 10.3
8 , "PCCS1 143 G084.66-71.08 "    ,, 1.02625 , -11.82361 , 84.66774 , -71.08942 , "308.3+/-42.8" , "388.8+/-225.4" , "431.5+/-47.5" , "947.6+/-139.8" , 0.7 , "Yes" , 2 , 1 , "PLCKERC143 G084.63-71.06" , "18.2+/-3.5" , "9.7+/-2" , "54.3+/-0.000" , 13.3
9 , "PCCS1 143 G108.26-41.22 "    ,, 1.14458 , 20.30583 , 108.26597 , -41.22765 , "226.1+/-36.3" , "270.9+/-97.5" , "255.3+/-23.5" , "355.7+/-42.2" , 0.7 , "No" , 1 , 2 , " " , "11.6+/-1.6" , "7.2+/-1" , "153.1+/-0.000" , 9.1
10 , "PCCS1 143 G323.96-67.57 "   ,, 1.14667 , -47.59111 , 323.96684 , -67.57812 , "441.7+/-40.4" , "366+/-265.9" , "337.8+/-49" , "474.2+/-89.5" , 0.7 , "No" , 0 , 2 , " " , "15.1+/-1.3" , "6.1+/-1.4" , "5.4+/-0.000" , 9.6
11 , "PCCS1 143 G338.65-74.42 "   ,, 1.17125 , -39.29139 , 338.65353 , -74.42274 , "164.1+/-32" , "168.5+/-99.3" , "140.5+/-25" , "333.6+/-43.1" , 0.7 , "Yes" , 0 , 0 , " " , "18+/-1.9" , "7.4+/-1.2" , "125.7+/-0.000" , 11.5
12 , "PCCS1 143 G118.10+02.94 "   ,, 1.21958 , 65.38306 , 118.10466 , 2.94877 , "275.1+/-53.1" , "281.9+/-166.3" , "204.9+/-46.2" , "438+/-49.1" , 0.7 , "No" , 32 , 0 , " " , "15+/-0.5" , "6+/-0.8" , "91+/-0.000" , 9.5
13 , "PCCS1 143 G117.53-00.41 "   ,, 1.30333 , 61.97306 , 117.53059 , -0.41297 , "290.3+/-53.6" , "626.1+/-253.6" , "511.3+/-45.2" , "935.9+/-118.7" , 0.7 , "Yes" , 13 , 0 , " " , "13.7+/-2.1" , "8.7+/-1.4" , "134.6+/-0.000" , 10.9
14 , "PCCS1 143 G113.20-23.67 "   ,, 1.48208 , 38.33833 , 113.20553 , -23.67221 , "760.8+/-36.3" , "839.1+/-117.6" , "805.6+/-27.6" , "876.6+/-35.6" , 0.7 , "No" , 3 , 2 , "PLCKERC143 G113.22-23.66" , "8.2+/-0.4" , "7.4+/-0.3" , "38.9+/-0.000" , 7.8
15 , "PCCS1 143 G093.49-66.64 "   ,, 1.55125 , -6.39306 , 93.49089 , -66.64391 , "1211.9+/-42.3" , "1103.5+/-233.7" , "1091.5+/-47.7" , "1066.3+/-79.3" , 0.7 , "No" , 5 , 2 , "PLCKERC143 G093.54-66.65" , "7.7+/-0.6" , "6.7+/-0.5" , "159.1+/-0.000" , 7.2
16 , "PCCS1 143 G118.73+05.19 "   ,, 1.775 , 67.70889 , 118.73272 , 5.19941 , "287.4+/-57.2" , "1259.3+/-617.9" , "641.9+/-179.2" , "-" , 0.7 , "Not available" , 32 , 1 , " " , "-" , "-" , "-" , -9.9
17 , "PCCS1 143 G118.28+02.48 "   ,, 1.82958 , 64.95417 , 118.28189 , 2.48171 , "479.8+/-51.4" , "549.2+/-316.9" , "597.3+/-51.7" , "1108.8+/-147.4" , 0.7 , "Yes" , 25 , 0 , "PLCKERC143 G118.28+02.51" , "15.3+/-2.5" , "8.8+/-1.5" , "72.7+/-0.000" , 11.6
18 , "PCCS1 143 G118.43+03.15 "   ,, 1.91333 , 65.64472 , 118.4338 , 3.15617 , "324.2+/-59.2" , "691.8+/-431.5" , "603.8+/-90.9" , "2562.9+/-305.6" , 0.7 , "Yes" , 38 , 0 , " " , "24.2+/-3.3" , "9.9+/-1.6" , "55.8+/-0.000" , 15.5
19 , "PCCS1 143 G117.00-05.25 "   ,, 1.94917 , 57.11472 , 117.00858 , -5.25409 , "260+/-39.1" , "495.1+/-104.3" , "451.6+/-29" , "1400+/-77.8" , 0.7 , "Yes" , 2 , 1 , " " , "19.3+/-1.5" , "11.8+/-1" , "62.4+/-0.000" , 15.1
20 , "PCCS1 143 G102.49-57.28 "   ,, 1.95417 , 3.84667 , 102.49095 , -57.28365 , "201.8+/-42.3" , "310.9+/-186.1" , "241.4+/-50.9" , "-" , 0.7 , "Not available" , 3 , 0 , " " , "-" , "-" , "-" , -9.9
21 , "PCCS1 143 G114.38-20.56 "   ,, 2.13292 , 41.59667 , 114.38276 , -20.56165 , "206.8+/-42.3" , "268.4+/-179.1" , "304.6+/-36.7" , "1537.1+/-189.2" , 0.7 , "Yes" , 1 , 0 , " " , "25.5+/-4.4" , "12.3+/-2.2" , "52.7+/-0.000" , 17.7
22 , "PCCS1 143 G118.60+02.81 "   ,, 2.45333 , 65.33361 , 118.60373 , 2.8123 , "476.6+/-65.1" , "1224+/-443.8" , "975.8+/-102.2" , "2844.5+/-314.8" , 0.7 , "Yes" , 28 , 0 , " " , "19.4+/-3.1" , "12.2+/-2.1" , "159.9+/-0.000" , 15.4
23 , "PCCS1 143 G118.67+03.06 "   ,, 2.52458 , 65.59861 , 118.67549 , 3.0691 , "331.5+/-64.2" , "756.5+/-249.4" , "783.4+/-76.2" , "3307.5+/-204.6" , 0.7 , "Yes" , 30 , 1 , " " , "22.6+/-2.2" , "12+/-1.2" , "170.4+/-0.000" , 16.5
24 , "PCCS1 143 G106.96-50.62 "   ,, 2.62125 , 10.97417 , 106.96766 , -50.62386 , "1300.2+/-41.9" , "1262.1+/-153.9" , "1211.8+/-38.7" , "1208.8+/-55.2" , 0.7 , "No" , 3 , 2 , "PLCKERC143 G106.96-50.63" , "7.5+/-0.4" , "7.4+/-0.4" , "115.7+/-0.000" , 7.5
25 , "PCCS1 143 G109.21-44.39 "   ,, 2.63458 , 17.38083 , 109.21677 , -44.39877 , "302.8+/-41.7" , "130.3+/-148.8" , "138.8+/-34" , "122.1+/-36.1" , 0.7 , "No" , 1 , 2 , " " , "6.5+/-2" , "4.9+/-1.5" , "158.6+/-0.000" , 5.7
26 , "PCCS1 143 G042.10-80.69 "   ,, 2.69167 , -25.28 , 42.10464 , -80.69517 , "195.5+/-36.5" , "163.3+/-181.4" , "140.4+/-43.8" , "225.6+/-67.1" , 0.7 , "No" , 0 , 0 , " " , "10.7+/-3.5" , "6.9+/-2.3" , "121.8+/-0.000" , 8.6
27 , "PCCS1 143 G118.47+01.18 "   ,, 2.75083 , 63.70444 , 118.47158 , 1.18366 , "253.9+/-46.4" , "242.2+/-232.8" , "256.2+/-44" , "323.2+/-66.7" , 0.7 , "No" , 21 , 0 , " " , "11.1+/-2.5" , "5.8+/-1.3" , "35.4+/-0.000" , 8.1
28 , "PCCS1 143 G116.61-10.55 "   ,, 2.775 , 51.81944 , 116.61093 , -10.55647 , "306.6+/-42.1" , "797.8+/-325.2" , "748.4+/-55.6" , "2929.1+/-391.7" , 0.7 , "Yes" , 15 , 2 , "PLCKERC143 G116.62-10.54" , "18.9+/-3.9" , "15.7+/-3.4" , "170.3+/-0.000" , 17.2
29 , "PCCS1 143 G117.75-03.65 "   ,, 2.85125 , 58.81639 , 117.75868 , -3.65242 , "571.4+/-43.2" , "1389.2+/-325" , "1212.4+/-56" , "2497.6+/-176.1" , 0.7 , "Yes" , 11 , 2 , "PLCKERC143 G117.74-03.65" , "13.1+/-1.3" , "11.7+/-1.1" , "173.6+/-0.000" , 12.4
30 , "PCCS1 143 G119.62+08.14 "   ,, 2.89583 , 70.75667 , 119.6296 , 8.14116 , "222.5+/-45" , "449.5+/-159.2" , "450+/-40.4" , "-" , 0.7 , "Not available" , 6 , 0 , " " , "-" , "-" , "-" , -9.9
