_id , ercsc44_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
1 , "PLCKERC044 G118.07+04.94"   ,, 0.21292 , 67.33917 , 118.07531 , 4.9459 , "3.9e+4+/-1067" , "1.06e+4+/-619" , "3.2e+4+/-576.02" , "7.0e+4+/-1170.58" , 1.81 , 0 , 1 , 6 , "0.99+/-0.045"
2 , "PLCKERC044 G117.62+02.22"   ,, 0.43583 , 64.58083 , 117.62942 , 2.22199 , "1441+/-147" , "1710.82+/-226.1" , "-" , "1388.8+/-202.23" , 1.714 , 1 , 0 , 6 , "0.955+/-0.045"
3 , "PLCKERC044 G093.38-66.59"   ,, 1.49333 , -6.36806 , 93.3884 , -66.59594 , "1494.3+/-198" , "1627.08+/-224.7" , "1740.6+/-135.38" , "2161.5+/-373.42" , 1.81 , 1 , 0 , 2 , "0.919+/-0.047"
4 , "PLCKERC044 G107.03-50.60"   ,, 2.66208 , 11.00083 , 107.03913 , -50.6077 , "2773+/-181" , "2692.7+/-220.7" , "2817.5+/-144.97" , "2840.7+/-345.74" , 1.81 , 0 , 0 , 2 , "0.974+/-0.045"
5 , "PLCKERC044 G119.45-00.92"   ,, 5.49792 , 61.75167 , 119.45476 , -0.92105 , "2854.5+/-186" , "1352.93+/-211.9" , "2565.9+/-103.42" , "5949.1+/-527.59" , 1.81 , 1 , 1 , 5 , "0.888+/-0.049"
6 , "PLCKERC044 G120.07+01.41"   ,, 6.30833 , 64.14111 , 120.07892 , 1.41481 , "5049.8+/-142" , "5211.25+/-240.1" , "5357.5+/-100.13" , "5059.9+/-219.48" , 1.714 , 0 , 0 , 5 , "0.992+/-0.046"
7 , "PLCKERC044 G096.66-87.96"   ,, 11.86083 , -25.29528 , 96.66078 , -87.96005 , "1406.3+/-218" , "1159.36+/-203.9" , "-640.3+/-182.62" , "1208.3+/-312" , 1.81 , 0 , 0 , 4 , "0.827+/-0.069"
8 , "PLCKERC044 G303.28-43.87"   ,, 11.97542 , -73.25417 , 303.28515 , -43.87141 , "2342.2+/-146" , "1019.98+/-161.6" , "1755.1+/-81.62" , "7296.9+/-634.26" , 1.714 , 0 , 1 , 9 , "0.908+/-0.048"
9 , "PLCKERC044 G303.37-59.50"   ,, 12.43792 , -57.62389 , 303.37635 , -59.50267 , "1384.7+/-212" , "1141.57+/-220.4" , "-8383.3+/-2.08e+5" , "2298.2+/-4612.23" , 1.81 , 0 , 1 , 2 , "0.829+/-0.068"
10 , "PLCKERC044 G122.69-69.71"  ,, 12.77625 , -6.84 , 122.69408 , -69.71185 , "1592.6+/-206" , "1165.01+/-225.7" , "1495+/-142.42" , "1964+/-450.85" , 1.81 , 0 , 0 , 3 , "0.809+/-0.075"
11 , "PLCKERC044 G123.11-06.26"  ,, 13.19292 , 56.60444 , 123.11655 , -6.26667 , "1.3e+4+/-187" , "9460.14+/-239" , "1.2e+4+/-128.42" , "1.6e+4+/-300.46" , 1.81 , 0 , 0 , 2 , "0.998+/-0.045"
12 , "PLCKERC044 G123.17+02.91"  ,, 13.44792 , 65.78333 , 123.17372 , 2.9129 , "3691.6+/-145" , "1660.07+/-230" , "3200.9+/-104.49" , "5797.2+/-399.51" , 1.714 , 0 , 0 , 4 , "0.952+/-0.045"
13 , "PLCKERC044 G302.08-44.97"  ,, 14.80458 , -72.145 , 302.08903 , -44.97039 , "2301.2+/-140" , "1715.13+/-176.1" , "1780.7+/-88.29" , "3372.4+/-325.29" , 1.714 , 0 , 0 , 6 , "0.968+/-0.045"
14 , "PLCKERC044 G290.76-76.13"  ,, 16.67417 , -40.62944 , 290.76725 , -76.13621 , "1412.4+/-181" , "1413.62+/-210" , "1477.2+/-121.5" , "1486.8+/-287.08" , 1.81 , 1 , 0 , 3 , "0.913+/-0.047"
15 , "PLCKERC044 G131.86-61.01"  ,, 17.17667 , 1.55861 , 131.86527 , -61.01311 , "2643.3+/-206" , "2800.71+/-263.2" , "3048.9+/-153.09" , "2999.4+/-357.38" , 1.81 , 0 , 0 , 3 , "0.976+/-0.045"
16 , "PLCKERC044 G134.63-50.38"  ,, 20.45083 , 11.8 , 134.63245 , -50.38049 , "1837.9+/-235" , "1898.08+/-225.5" , "1802.7+/-156.84" , "1760.6+/-349.69" , 1.81 , 0 , 0 , 2 , "0.924+/-0.047"
17 , "PLCKERC044 G126.66-00.77"  ,, 20.78417 , 61.86389 , 126.66016 , -0.77798 , "2731.1+/-147" , "2462.64+/-214.3" , "2753.9+/-103.62" , "2926.5+/-261.83" , 1.81 , 0 , 0 , 6 , "0.973+/-0.045"
18 , "PLCKERC044 G141.33-61.80"  ,, 21.43667 , -0.16111 , 141.33048 , -61.80126 , "1518.7+/-279" , "1102.9+/-205.2" , "1182.6+/-148.5" , "1596.7+/-432.07" , 1.81 , 1 , 0 , 3 , "0.779+/-0.086"
19 , "PLCKERC044 G167.92-76.04"  ,, 23.12417 , -16.90361 , 167.92742 , -76.04627 , "1863.9+/-178" , "1225.28+/-217.4" , "1643.5+/-129.51" , "2040.2+/-505.75" , 1.81 , 0 , 0 , 3 , "0.839+/-0.065"
20 , "PLCKERC044 G130.77-14.32"  ,, 24.23 , 47.85556 , 130.77932 , -14.32195 , "4517.3+/-168" , "4107.52+/-208.2" , "4429+/-112.07" , "4469.4+/-270.5" , 1.714 , 0 , 0 , 3 , "0.994+/-0.047"
21 , "PLCKERC044 G201.23-79.27"  ,, 24.40833 , -24.48361 , 201.23079 , -79.27644 , "2535.1+/-162" , "2755.82+/-228.6" , "2774+/-122.72" , "2678.8+/-280.26" , 1.81 , 0 , 0 , 4 , "0.987+/-0.045"
22 , "PLCKERC044 G140.53-28.12"  ,, 31.23167 , 32.21806 , 140.53215 , -28.12968 , "1817.7+/-180" , "1577.9+/-209.7" , "1729+/-136.36" , "1780.3+/-307.83" , 1.81 , 0 , 0 , 2 , "0.929+/-0.046"
