_id , ercsc143_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
458 , "PLCKERC143 G176.52-00.12"  ,, 84.15542 , 31.81694 , 176.52879 , -0.12117 , "1428.8+/-86" , "699.67+/-81.4" , "1226.6+/-48.53" , "2218.7+/-137.23" , 0.681 , 0 , 0 , 3 , "0.99+/-0.045"
459 , "PLCKERC143 G172.87+02.26"  ,, 84.21792 , 36.18306 , 172.87364 , 2.26866 , "1785.1+/-161" , "837.2+/-81.4" , "1326.6+/-94.87" , "5702.3+/-463.62" , 0.681 , 0 , 1 , 3 , "0.961+/-0.044"
460 , "PLCKERC143 G276.29-32.11"  ,, 84.24875 , -66.37528 , 276.29161 , -32.11285 , "852.6+/-71" , "349.26+/-45.5" , "706.5+/-34.09" , "1315.2+/-499.77" , 0.681 , 2 , 1 , 3 , "0.952+/-0.043"
461 , "PLCKERC143 G208.35-18.51"  ,, 84.31667 , -4.44111 , 208.356 , -18.51079 , "1523.3+/-155" , "516.84+/-74.6" , "954.9+/-52.45" , "2886.2+/-260.87" , 0.681 , 0 , 1 , 3 , "0.958+/-0.056"
462 , "PLCKERC143 G176.49+00.19"  ,, 84.45333 , 32.01639 , 176.49634 , 0.19917 , "2101+/-85" , "1544.27+/-70.3" , "1935.6+/-45.2" , "2440.1+/-104.75" , 0.681 , 0 , 0 , 3 , "0.998+/-0.045"
463 , "PLCKERC143 G173.14+02.35"  ,, 84.49 , 35.99694 , 173.14885 , 2.35485 , "3488.4+/-301" , "1718.12+/-83.2" , "2770.4+/-170.71" , "8634.5+/-556.49" , 0.681 , 0 , 1 , 3 , "1+/-0.046"
464 , "PLCKERC143 G279.44-31.67"  ,, 84.68125 , -69.08028 , 279.44107 , -31.67248 , "1.9e+4+/-527" , "9506.38+/-58" , "1.6e+4+/-329.5" , "2.3e+4+/-338.59" , 0.681 , 0 , 0 , 4 , "1+/-0.046"
465 , "PLCKERC143 G177.72-00.33"  ,, 84.69208 , 30.68806 , 177.72771 , -0.33879 , "1913.4+/-129" , "822.22+/-60.6" , "1565.5+/-50.58" , "2857.1+/-123.64" , 0.681 , 0 , 0 , 4 , "0.998+/-0.046"
466 , "PLCKERC143 G250.08-31.07"  ,, 84.72792 , -44.08667 , 250.08642 , -31.07677 , "6669.4+/-71" , "6128.9+/-35.1" , "6685.8+/-28.89" , "6775.3+/-61" , 0.681 , 0 , 0 , 4 , "1+/-0.046"
467 , "PLCKERC143 G178.29-00.60"  ,, 84.77792 , 30.06583 , 178.29357 , -0.608 , "1415.2+/-104" , "473.23+/-60" , "1132.5+/-57.61" , "3167.6+/-201.52" , 0.681 , 1 , 1 , 4 , "0.978+/-0.044"
468 , "PLCKERC143 G173.47+02.44"  ,, 84.79792 , 35.77111 , 173.47288 , 2.44553 , "3128.7+/-274" , "1892.31+/-83.2" , "2712.8+/-155.29" , "6501.4+/-435.4" , 0.681 , 0 , 1 , 3 , "0.999+/-0.046"
469 , "PLCKERC143 G177.11+00.19"  ,, 84.84333 , 31.48972 , 177.11864 , 0.1984 , "859+/-79" , "494.82+/-69.6" , "672.8+/-39.35" , "1620.3+/-164.27" , 0.681 , 0 , 1 , 3 , "0.962+/-0.044"
470 , "PLCKERC143 G232.93-27.29"  ,, 84.97083 , -28.65889 , 232.93146 , -27.29498 , "539.5+/-38" , "280.44+/-38.5" , "509.3+/-25.45" , "1160.3+/-129.13" , 0.669 , 0 , 1 , 4 , "0.954+/-0.049"
471 , "PLCKERC143 G211.55-19.29"  ,, 84.98042 , -7.4925 , 211.55144 , -19.29056 , "5697.3+/-478" , "1592.24+/-102" , "4290.8+/-335.32" , "2.7e+4+/-1744.1" , 0.681 , 0 , 1 , 3 , "0.982+/-0.044"
472 , "PLCKERC143 G205.14-16.14"  ,, 84.99083 , -0.62861 , 205.14562 , -16.14474 , "1000.9+/-67" , "580.57+/-71" , "832+/-28.66" , "1141.9+/-89.58" , 0.681 , 0 , 0 , 2 , "0.967+/-0.073"
473 , "PLCKERC143 G280.21-31.48"  ,, 84.99958 , -69.75639 , 280.21428 , -31.48409 , "4903.4+/-360" , "1664.12+/-58" , "3803.2+/-174.45" , "8964.1+/-202.44" , 0.681 , 0 , 1 , 2 , "1+/-0.046"
474 , "PLCKERC143 G183.72-03.67"  ,, 85.08833 , 23.83806 , 183.72292 , -3.67946 , "1788.4+/-95" , "861.65+/-64.3" , "1527.8+/-47.72" , "2312.9+/-105.86" , 0.681 , 0 , 0 , 3 , "0.985+/-0.045"
475 , "PLCKERC143 G262.04-31.87"  ,, 85.16708 , -54.30861 , 262.04584 , -31.87952 , "430.5+/-29" , "425.06+/-21.6" , "505.1+/-13.53" , "526.1+/-28.79" , 0.669 , 0 , 0 , 12 , "0.989+/-0.045"
476 , "PLCKERC143 G186.77-05.37"  ,, 85.26375 , 20.35778 , 186.77818 , -5.37111 , "627.2+/-111" , "400.5+/-56.4" , "671.8+/-39.38" , "519.7+/-1103.81" , 0.681 , 0 , 1 , 4 , "0.958+/-0.056"
477 , "PLCKERC143 G205.86-16.19"  ,, 85.27042 , -1.26056 , 205.86302 , -16.19503 , "2347.8+/-320" , "670.99+/-74.6" , "1315.2+/-79.87" , "4663.9+/-336.94" , 0.681 , 1 , 1 , 3 , "0.963+/-0.067"
478 , "PLCKERC143 G173.61+02.82"  ,, 85.29125 , 35.85417 , 173.61467 , 2.82885 , "9070.1+/-525" , "2785.67+/-82.3" , "6537.9+/-249.85" , "1.5e+4+/-845.13" , 0.681 , 0 , 1 , 3 , "1+/-0.046"
479 , "PLCKERC143 G156.28+13.09"  ,, 85.31375 , 55.82917 , 156.2873 , 13.09551 , "370.6+/-56" , "236.51+/-46.9" , "293.9+/-31.74" , "619.2+/-135.67" , 0.669 , 2 , 1 , 3 , "0.964+/-0.068"
480 , "PLCKERC143 G212.11-19.15"  ,, 85.33417 , -7.90889 , 212.11066 , -19.15919 , "3131.2+/-547" , "1963.77+/-103.1" , "3600+/-235.95" , "-" , 0.681 , 0 , 0 , 4 , "0.993+/-0.045"
481 , "PLCKERC143 G212.82-19.44"  ,, 85.37208 , -8.64139 , 212.82602 , -19.44576 , "1469.5+/-140" , "783.31+/-102" , "1272+/-87.59" , "4035.1+/-334.2" , 0.681 , 0 , 1 , 4 , "0.965+/-0.071"
482 , "PLCKERC143 G206.88-16.57"  ,, 85.39083 , -2.30528 , 206.88499 , -16.57578 , "8177.7+/-366" , "3378.55+/-75.4" , "6129.8+/-226.58" , "1.6e+4+/-481.48" , 0.681 , 0 , 1 , 4 , "1+/-0.046"
483 , "PLCKERC143 G206.55-16.36"  ,, 85.42917 , -1.92556 , 206.55299 , -16.36528 , "5.7e+4+/-1244" , "3.92e+4+/-76.3" , "5.0e+4+/-636.77" , "6.2e+4+/-894.47" , 0.681 , 0 , 0 , 4 , "1+/-0.045"
484 , "PLCKERC143 G163.69+08.99"  ,, 85.47083 , 47.47917 , 163.6999 , 8.99312 , "479.3+/-56" , "316.54+/-46.9" , "397+/-32.7" , "-785.2+/-127.02" , 0.681 , 0 , 1 , 2 , "0.961+/-0.063"
485 , "PLCKERC143 G207.65-16.80"  ,, 85.52583 , -3.06306 , 207.65146 , -16.80679 , "1195.8+/-167" , "479.26+/-74.6" , "1057+/-59.6" , "1804.5+/-766.48" , 0.681 , 0 , 1 , 4 , "0.962+/-0.065"
486 , "PLCKERC143 G206.10-15.90"  ,, 85.6325 , -1.32806 , 206.10153 , -15.90695 , "2401.1+/-279" , "868.11+/-74.6" , "2438.7+/-168.35" , "1.2e+4+/-615.8" , 0.681 , 2 , 1 , 4 , "0.953+/-0.048"
487 , "PLCKERC143 G161.69+10.30"  ,, 85.67042 , 49.85139 , 161.69349 , 10.30927 , "449.3+/-48" , "349.78+/-46.9" , "397.3+/-30.6" , "460.1+/-80.05" , 0.681 , 0 , 0 , 3 , "0.954+/-0.05"
488 , "PLCKERC143 G179.66-00.53"  ,, 85.67875 , 28.93972 , 179.66422 , -0.53931 , "509.3+/-57" , "353.49+/-60" , "445.6+/-36.47" , "1678.1+/-260.49" , 0.681 , 1 , 1 , 3 , "0.959+/-0.058"
489 , "PLCKERC143 G214.11-19.65"  ,, 85.71458 , -9.82722 , 214.11587 , -19.65373 , "1743.4+/-245" , "783.2+/-102" , "1725+/-103.69" , "1434.8+/-1300.48" , 0.681 , 0 , 1 , 3 , "0.963+/-0.065"
490 , "PLCKERC143 G279.66-31.19"  ,, 85.97 , -69.31917 , 279.66377 , -31.19245 , "1282.9+/-98" , "349.78+/-57.4" , "1015+/-63.59" , "4014.7+/-262.67" , 0.681 , 1 , 1 , 3 , "0.969+/-0.076"
491 , "PLCKERC143 G177.83+01.03"  ,, 86.12 , 31.31778 , 177.8397 , 1.03323 , "596+/-55" , "421.88+/-69.6" , "565.8+/-29.9" , "709.8+/-82.98" , 0.681 , 0 , 0 , 3 , "0.956+/-0.053"
492 , "PLCKERC143 G196.91-10.37"  ,, 86.14083 , 9.17111 , 196.91872 , -10.37397 , "1839.2+/-116" , "989.54+/-52.6" , "1522.8+/-46.45" , "2283.1+/-116.1" , 0.681 , 0 , 0 , 2 , "0.999+/-0.046"
493 , "PLCKERC143 G277.10-31.20"  ,, 86.39667 , -67.13778 , 277.10667 , -31.20827 , "536.9+/-60" , "251.54+/-48.3" , "403.3+/-22.75" , "1140.6+/-113.67" , 0.681 , 0 , 1 , 4 , "0.964+/-0.069"
494 , "PLCKERC143 G182.18-01.13"  ,, 86.59292 , 26.47389 , 182.18952 , -1.13865 , "919+/-107" , "454.91+/-64.3" , "743.8+/-57.33" , "2588+/-300.49" , 0.681 , 0 , 1 , 3 , "0.963+/-0.065"
495 , "PLCKERC143 G205.38-14.38"  ,, 86.65083 , -0.00278 , 205.38416 , -14.38567 , "7509.1+/-514" , "1978.86+/-85.4" , "5933.4+/-359.9" , "2.4e+4+/-1388.61" , 0.681 , 0 , 1 , 3 , "1+/-0.046"
496 , "PLCKERC143 G186.94-03.82"  ,, 86.76792 , 21.02167 , 186.94239 , -3.82382 , "411.8+/-75" , "476.72+/-59.2" , "417.9+/-30.17" , "157.8+/-442.21" , 0.681 , 0 , 1 , 2 , "0.964+/-0.067"
497 , "PLCKERC143 G205.13-14.10"  ,, 86.77917 , 0.34389 , 205.13072 , -14.10894 , "8421.6+/-413" , "3847.37+/-85.4" , "6797.8+/-234.79" , "1.2e+4+/-531.17" , 0.681 , 0 , 0 , 4 , "1+/-0.046"
498 , "PLCKERC143 G178.74+01.16"  ,, 86.79625 , 30.61 , 178.74608 , 1.1602 , "726.8+/-46" , "516.42+/-60" , "664.6+/-31.43" , "950.2+/-121.43" , 0.681 , 1 , 0 , 2 , "0.963+/-0.044"
499 , "PLCKERC143 G204.91-13.83"  ,, 86.925 , 0.65694 , 204.9173 , -13.83279 , "2450+/-149" , "557.07+/-83.5" , "1860.5+/-83.42" , "3990.2+/-257.03" , 0.681 , 2 , 1 , 3 , "0.959+/-0.059"
500 , "PLCKERC143 G280.49-30.71"  ,, 87.16292 , -70.075 , 280.49887 , -30.71322 , "1124.2+/-48" , "444.32+/-57.4" , "971.3+/-31.38" , "1699.3+/-75.32" , 0.681 , 1 , 0 , 17 , "0.956+/-0.053"
501 , "PLCKERC143 G200.34-11.00"  ,, 87.26417 , 5.93083 , 200.34617 , -11.00337 , "721.5+/-111" , "564.38+/-54.9" , "676.1+/-32.61" , "-131.8+/-655.57" , 0.681 , 0 , 1 , 4 , "0.976+/-0.044"
502 , "PLCKERC143 G185.31-02.13"  ,, 87.43 , 23.28611 , 185.31308 , -2.13359 , "821+/-86" , "343.86+/-61.1" , "690.5+/-40.81" , "1929.3+/-219.02" , 0.681 , 2 , 1 , 3 , "0.967+/-0.073"
503 , "PLCKERC143 G182.28-00.31"  ,, 87.43625 , 26.82194 , 182.2809 , -0.31346 , "1217+/-149" , "407.1+/-65" , "900.9+/-42.8" , "2070.7+/-1180.88" , 0.681 , 2 , 1 , 2 , "0.973+/-0.097"
504 , "PLCKERC143 G265.89-30.73"  ,, 87.52875 , -57.53472 , 265.89954 , -30.73233 , "603+/-23" , "697.85+/-24.3" , "657.6+/-16.14" , "625.9+/-31.39" , 0.681 , 0 , 0 , 15 , "0.999+/-0.046"
505 , "PLCKERC143 G184.87-01.71"  ,, 87.575 , 23.87861 , 184.87217 , -1.71573 , "590.2+/-54" , "375.19+/-61.1" , "463.7+/-30.66" , "497.3+/-88.71" , 0.681 , 1 , 0 , 2 , "0.961+/-0.062"
506 , "PLCKERC143 G198.88-09.62"  ,, 87.76583 , 7.85972 , 198.88346 , -9.62599 , "510.3+/-60" , "251.43+/-46.3" , "434.4+/-42.97" , "2610.1+/-484.53" , 0.681 , 0 , 1 , 4 , "0.968+/-0.076"
507 , "PLCKERC143 G183.35-00.56"  ,, 87.80667 , 25.77306 , 183.35183 , -0.56577 , "2836.6+/-111" , "1530.94+/-65.8" , "2436.1+/-75.52" , "4152.5+/-124.42" , 0.681 , 0 , 0 , 3 , "1+/-0.046"
508 , "PLCKERC143 G181.88+00.32"  ,, 87.8225 , 27.49222 , 181.88122 , 0.32501 , "1303.6+/-141" , "524.57+/-64.3" , "1022.8+/-58.25" , "3362.1+/-237.91" , 0.681 , 0 , 1 , 3 , "0.963+/-0.067"
509 , "PLCKERC143 G182.38+00.23"  ,, 88.02958 , 27.01361 , 182.38685 , 0.23905 , "3474.9+/-109" , "2052.6+/-65" , "3028.1+/-79.02" , "4543.2+/-131.57" , 0.681 , 0 , 0 , 3 , "0.999+/-0.045"
510 , "PLCKERC143 G198.56-09.10"  ,, 88.07042 , 8.39139 , 198.56369 , -9.10245 , "831.9+/-125" , "517.79+/-51.5" , "761.8+/-64.1" , "626+/-1462.56" , 0.681 , 1 , 1 , 3 , "0.989+/-0.045"
511 , "PLCKERC143 G215.87-17.49"  ,, 88.42292 , -10.41 , 215.87713 , -17.4949 , "863+/-63" , "359.84+/-53.4" , "713.7+/-40.16" , "1701.1+/-129.89" , 0.681 , 0 , 1 , 4 , "0.959+/-0.059"
