_id ,fermi2psr_name , RA, Dec, LII, BII, P0, P1 (10-15) , Edot (1034), S1400, Type , Flux 100MeV, Spectral index , Energy Flux, TS , ECutoff , TSCutoff , Luminosity, Luminosity Error , Efficiency , Efficiency Error , Radio Lag , Gamma Peak , History , Distance, Distance Error , Method , Peak Mult. ,other_name
79 , J1813-1246 , 273.34875 , -12.76689 , 17.24 , 2.44 , 48.1 , 1.76e-14 , 6.2e+36 , < 0.017 , YRQ , 4.549e-7±1.72e-8 , 1.887±0.045 , 2.527e-10±5.96e-12 , 4664 , 2580±260 , 272 , - , - , - , - , -9.9±-9.9 , 0.489±0.01 , Gamma , - , - , DMM , 2,
80 , J1823-3021A , 275.91833 , -30.36108 , 2.78 , -7.92 , 5.44 , 3.38e-18 , 8.3e+35 , 0.72 , MSP , 1.49e-8±3.9e-9 , 1.62±0.2 , 1.07e-11±1.5e-12 , 64 , 2540±596 , -5 , 7.4e+34 , 7.58e+33 +7.99e+33 , 0.089 , 0.009 +0.01 , 0.993±0.009 , 0.627±0.01 , Radio , 7.6 , ±0.4 , O , 2,
81 , J1826-1256 , 276.53542 , -12.94278 , 18.55 , -0.38 , 110 , 1.21e-13 , 3.6e+36 , < 0.013 , YRQ , 5.427e-7±2.37e-8 , 1.572±0.048 , 3.827e-10±9.36e-12 , 5160 , 2190±166 , 533 , - , - , - , - , -9.9±-9.9 , 0.48±0.001 , Gamma , - , - , DMM , 2,
82 , J1833-1034 , 278.38958 , -10.56878 , 21.5 , -0.89 , 61.9 , 2.02e-13 , 3.4e+37 , 0.071 , YRL , 7.03e-8±1.08e-8 , 0.866±0.216 , 5.892e-11±4.99e-12 , 258 , 921±165 , 78 , 1.56e+35 , 2.54e+34 +2.76e+34 , 0.005 , ±0.001 , 0.153±0.002 , 0.447±0.004 , Radio , 4.7 , ±0.4 , K , 2,
83 , J1835-1106 , 278.82667 , -11.10369 , 21.22 , -1.52 , 166 , 2.06e-14 , 1.8e+35 , 2.2 , YRL , 3.65e-9±5.7e-10 , 0.001±0.032 , 6.05e-12±2.03e-12 , 30 , 935±210 , 18 , 5.8e+33 , 1.63e+33 +1.76e+33 , 0.033 , 0.009 +0.01 , 0.139±0.006 , 0.421±0.011 , Radio , 2.83 , 0.4 +0.43 , DM , 2,
84 , J1836+5925 , 279.05708 , 59.42489 , 88.87 , 25 , 173 , 1.5e-15 , 1.1e+34 , < 0.004 , YRQ , 6.299e-7±5.17e-9 , 1.24±0.013 , 6.057e-10±4.14e-12 , 142427 , 2040±44 , 5747 , 2.04e+34 , 1.55e+34 +2.6e+34 , 1.785 , 1.355 +2.282 , -9.9±-9.9 , 0.537±0.006 , Gamma , 0.53 , ±0.27 , X , 2,
85 , J1838-0537 , 279.73333 , -5.61928 , 26.5 , 0.2 , 146 , 4.65e-13 , 5.9e+36 , < 0.017 , YRQ , 2.235e-7±2.07e-8 , 1.64±0.057 , 1.876e-10±9.49e-12 , 1325 , 4140±406 , 114 , - , - , - , - , -9.9±-9.9 , 0.298±0.014 , Gamma , - , - , DMM , 2,
86 , J1846+0919 , 281.6075 , 9.32939 , 40.69 , 5.34 , 226 , 9.93e-15 , 3.4e+34 , < 0.005 , YRQ , 1.353e-8±3.1e-9 , 0.735±0.299 , 2.432e-11±2.14e-12 , 428 , 2240±549 , 79 , - , - , - , - , -9.9±-9.9 , 0.244±0.022 , Gamma , - , - , DMM , 2,
87 , J1858-2216 , 284.57417 , -22.28228 , 13.58 , -11.4 , 2.38 , 3.87e-21 , 1.1e+34 , < 0 , MSP , 5.51e-9±2.81e-9 , 0.836±0.739 , 7.23e-12±1.49e-12 , 75 , 1700±1090 , 17 , 7.64e+32 , 1.97e+32 +3.6e+32 , 0.068 , 0.017 +0.032 , 0.727±0.011 , -9.9±-9.9 , Radio , 0.94 , 0.2 +0.13 , DM , 1,
88 , J1902-5105 , 285.51167 , -51.09919 , 345.65 , -22.38 , 1.74 , 9e-21 , 6.9e+34 , 0.9 , MSP , 3.074e-8±3.44e-9 , 1.735±0.131 , 2.157e-11±1.47e-12 , 536 , 3420±1060 , 31 , 3.59e+33 , 1.16e+33 +1.47e+33 , 0.052 , 0.017 +0.021 , 0.994±0.006 , 0.663±0.008 , Radio , 1.18 , 0.22 +0.21 , DM , 2,
89 , J1907+0602 , 286.97792 , 6.038 , 40.18 , -0.9 , 107 , 8.67e-14 , 2.8e+36 , 0.003 , YRQ , 3.374e-7±1.43e-8 , 1.615±0.045 , 2.544e-10±6.23e-12 , 3773 , 2890±252 , 390 , 3.14e+35 , 6.12e+34 +6.35e+34 , 0.111 , ±0.022 , 0.209±0.003 , 0.389±0.004 , Gamma , 3.21 , 0.31 +0.33 , DM , 2,
90 , J1939+2134 , 294.91042 , 21.58308 , 57.5 , -0.29 , 1.56 , 1.05e-19 , 1.1e+36 , 13.2 , MSP , 1.514e-8±8.17e-9 , 1.843±0.407 , 9.18e-12±3.32e-12 , 10 , 3020±2790 , 4 , 1.39e+34 , 2.6e+33 +2.87e+33 , 0.013 , 0.002 +0.003 , 0.997±0.004 , 0.542±0.009 , Radio , 3.56 , ±0.35 , DM , 2,
91 , J1952+3252 , 298.24208 , 32.87808 , 68.76 , 2.82 , 39.5 , 5.83e-15 , 3.7e+36 , 1 , YRL , 1.739e-7±7.5e-9 , 1.51±0.053 , 1.381e-10±3.43e-12 , 4469 , 2490±228 , 365 , 6.61e+34 , 2.89e+34 +3.72e+34 , 0.018 , 0.008 +0.01 , 0.161±0.002 , 0.478±0.003 , Radio , 2 , ±0.5 , K , 3,
92 , J1954+2836 , 298.57958 , 28.60139 , 65.24 , 0.37 , 92.7 , 2.12e-14 , 1e+36 , < 0.005 , YRQ , 1.288e-7±9.57e-9 , 1.602±0.07 , 1.035e-10±4.16e-12 , 1592 , 3280±420 , 168 , - , - , - , - , -9.9±-9.9 , 0.456±0.004 , Gamma , - , - , DMM , 2,
93 , J1957+5033 , 299.44458 , 50.56178 , 84.6 , 10.99 , 375 , 6.83e-15 , 5.1e+33 , < 0.01 , YRQ , 4.044e-8±3.87e-9 , 1.289±0.157 , 2.621e-11±1.42e-12 , 846 , 1050±171 , 105 , - , - , - , - , -9.9±-9.9 , -9.9±-9.9 , Gamma , - , - , DMM , 1,
94 , J1958+2846 , 299.66667 , 28.76478 , 65.87 , -0.36 , 290 , 2.12e-13 , 3.4e+35 , < 0.006 , YRQ , 1.083e-7±9.1e-9 , 1.352±0.106 , 9.144e-11±4.05e-12 , 1519 , 2000±301 , 206 , - , - , - , - , -9.9±-9.9 , 0.454±0.004 , Gamma , - , - , DMM , 2,
95 , J1959+2048 , 299.90292 , 20.80408 , 59.19 , -4.7 , 1.61 , 1.68e-20 , 7.6e+34 , 0.4 , MSP , 2.373e-8±4.94e-9 , 1.356±0.253 , 1.696e-11±1.87e-12 , 185 , 1430±393 , 43 , 1.26e+34 , 4.46e+33 +1.67e+33 , 0.165 , 0.058 +0.022 , 0.997±0.005 , 0.554±0.013 , Radio , 2.49 , 0.16 +0.49 , DM , 2,
96 , J2017+0603 , 304.34458 , 6.0515 , 48.62 , -16.03 , 2.9 , 8.3e-21 , 1.3e+34 , 0.5 , MSP , 1.986e-8±3.12e-9 , 1.039±0.165 , 3.331e-11±2.12e-12 , 1196 , 3390±626 , 100 , 9.82e+33 , 1.79e+33 +2.1e+33 , 0.755 , 0.137 +0.162 , 0.212±0.01 , 0.292±0.015 , Radio , 1.57 , 0.16 +0.15 , DM , 2,
97 , J2021+3651 , 305.27375 , 36.851 , 75.22 , 0.11 , 104 , 9.56e-14 , 3.4e+36 , 0.1 , YRL , 6.85e-7±1.88e-8 , 1.663±0.028 , 4.943e-10±7.53e-12 , 17821 , 2960±156 , 998 , 5.91e+36 , 3.78e+36 +2.6e+36 , 1.75 , 1.12 +0.77 , 0.132±0.001 , 0.478±0.001 , Radio , 10 , 2 +4 , O , 2,
98 , J2021+4026 , 305.37333 , 40.4485 , 78.22 , 2.09 , 265 , 5.42e-14 , 1.1e+35 , < 0.02 , YRQ , 0.000001379±1.97e-8 , 1.652±0.017 , 9.553e-10±8.81e-12 , 53955 , 2570±85.5 , 2343 , 2.57e+35 , 1.31e+35 +1.77e+35 , 2.246 , 1.146 +1.55 , -9.9±-9.9 , 0.687±0.009 , Gamma , 1.5 , ±0.45 , K , 2,
99 , J2028+3332 , 307.0825 , 33.5345 , 73.36 , -3.01 , 177 , 4.86e-15 , 3.5e+34 , < 0.005 , YRQ , 5.812e-8±9.05e-9 , 1.167±0.162 , 5.838e-11±3.89e-12 , 1058 , 1920±287 , 161 , - , - , - , - , -9.9±-9.9 , 0.451±0.003 , Gamma , - , - , DMM , 2,
100 , J2030+3641 , 307.50083 , 36.69089 , 76.12 , -1.44 , 200 , 6.51e-15 , 3.2e+34 , 0.15 , YRL , 2.251e-8±5.89e-9 , 0.672±0.377 , 3.141e-11±3.28e-12 , 313 , 1480±405 , 91 , 3.38e+34 , 1.88e+34 +2.63e+34 , 1.056 , 0.587 +0.822 , 0.269±0.01 , 0.309±0.014 , Radio , 3 , ±1 , O , 2,
101 , J2030+4415 , 307.71375 , 44.26069 , 82.34 , 2.88 , 227 , 6.49e-15 , 2.2e+34 , < 0.008 , YRQ , 9.317e-8±9.83e-9 , 1.599±0.14 , 5.762e-11±3.55e-12 , 504 , 1670±348 , 74 , - , - , - , - , -9.9±-9.9 , 0.505±0.007 , Gamma , - , - , DMM , 2,
102 , J2032+4127 , 308.05458 , 41.45678 , 80.22 , 1.02 , 143 , 2.04e-14 , 2.7e+35 , 0.23 , YRL , 7.373e-8±1.15e-8 , 1.135±0.143 , 1.059e-10±6.22e-12 , 1383 , 3240±483 , 162 , 1.69e+35 , 5.09e+34 +6.11e+34 , 0.617 , 0.186 +0.223 , 0.099±0.001 , 0.516±0.001 , Gamma , 3.65 , 0.61 +0.6 , DM , 2,
103 , J2043+1711 , 310.83667 , 17.19139 , 61.91 , -15.32 , 2.38 , 5.7e-21 , 1.3e+34 , 0.169 , MSP , 2.726e-8±3.07e-9 , 1.43±0.12 , 2.703e-11±1.59e-12 , 918 , 3310±661 , 65 , 1e+34 , 3.31e+33 +1.78e+33 , 0.792 , 0.262 +0.141 , 0.231±0.008 , 0.446±0.01 , Radio , 1.76 , 0.15 +0.32 , DM , 2,
104 , J2043+2740 , 310.93125 , 27.68208 , 70.61 , -9.15 , 96.1 , 1.23e-15 , 5.5e+34 , 9.35 , YRL , 1.547e-8±3.91e-9 , 1.396±0.39 , 9.87e-12±1.44e-12 , 97 , 1200±573 , 18 , 3.83e+33 , 1.34e+33 +1.63e+33 , 0.07 , 0.025 +0.03 , 0.132±0.007 , 0.432±0.01 , Radio , 1.8 , ±0.35 , DM , 2,
105 , J2047+1053 , 311.7925 , 10.8855 , 57.04 , -19.68 , 4.29 , 2.1e-20 , 1e+34 , < 0 , MSP , 8.26e-9±3.61e-9 , 1.468±0.436 , 6.17e-12±1.38e-12 , 69 , 1970±1080 , 11 , 3.1e+33 , 8.16e+32 +1.04e+33 , 0.294 , 0.077 +0.099 , 0.567±0.01 , -9.9±-9.9 , Radio , 2.05 , 0.32 +0.29 , DM , 1,
106 , J2051-0827 , 312.78125 , -8.4605 , 39.19 , -30.42 , 4.51 , 1.28e-20 , 5.4e+33 , 2.8 , MSP , 2.36e-9±1.33e-9 , 0.5±0.76 , 3.38e-12±1.03e-12 , 68 , 1260±631 , 15 , 4.37e+32 , 1.17e+32 +1.45e+32 , 0.081 , 0.022 +0.027 , 0.545±0.042 , -9.9±-9.9 , Radio , 1.04 , 0.16 +0.15 , DM , 1,
107 , J2055+2539 , 313.95375 , 25.66658 , 70.68 , -12.52 , 320 , 4.11e-15 , 5e+33 , < 0.007 , YRQ , 6.196e-8±3.65e-9 , 0.972±0.1 , 5.383e-11±1.77e-12 , 2751 , 1120±105 , 361 , - , - , - , - , -9.9±-9.9 , 0.113±0.017 , Gamma , - , - , DMM , 2,
108 , J2111+4606 , 317.85 , 46.10869 , 88.31 , -1.45 , 158 , 1.43e-13 , 1.4e+36 , < 0.013 , YRQ , 5.265e-8±6.59e-9 , 1.689±0.108 , 4.408e-11±2.81e-12 , 731 , 4870±1150 , 45 , - , - , - , - , -9.9±-9.9 , 0.337±0.011 , Gamma , - , - , DMM , 2,
109 , J2124-3358 , 321.1825 , -33.97908 , 10.92 , -45.44 , 4.93 , 2.06e-20 , 3.7e+33 , 3.6 , MSP , 2.731e-8±2.29e-9 , 0.779±0.129 , 3.677e-11±1.59e-12 , 1993 , 1630±191 , 237 , 3.96e+32 , 1.21e+32 +2.06e+32 , 0.108 , 0.033 +0.056 , 0.871±0.009 , -9.9±-9.9 , Radio , 0.3 , 0.07 +0.05 , P , 1,
110 , J2139+4716 , 324.98292 , 47.27028 , 92.63 , -4.02 , 283 , 1.8e-15 , 3.2e+33 , < 0.014 , YRQ , 3.14e-8±4.72e-9 , 1.251±0.213 , 2.338e-11±1.8e-12 , 369 , 1290±278 , 71 , - , - , - , - , -9.9±-9.9 , -9.9±-9.9 , Gamma , - , - , DMM , 1,
111 , J2214+3000 , 333.66167 , 30.01058 , 86.85 , -21.67 , 3.12 , 1.5e-20 , 1.9e+34 , 0.846 , MSP , 2.955e-8±2.48e-9 , 1.158±0.111 , 3.275e-11±1.5e-12 , 1689 , 2240±325 , 146 , 9.29e+33 , 2.05e+33 +2.44e+33 , 0.484 , 0.106 +0.127 , 0.271±0.01 , 0.546±0.018 , Radio , 1.54 , 0.19 +0.18 , DM , 2,
112 , J2215+5135 , 333.88583 , 51.59339 , 99.86 , -4.16 , 2.61 , 2.34e-20 , 5.2e+34 , 0.474 , MSP , 1.029e-8±2.91e-9 , 1.323±0.251 , 1.179e-11±1.43e-12 , 183 , 3360±1050 , 25 , 1.28e+34 , 2.95e+33 +2.96e+33 , 0.246 , ±0.057 , 0.257±0.004 , 0.44±0.008 , Radio , 3.01 , 0.33 +0.37 , DM , 2,
113 , J2229+6114 , 337.27375 , 61.2345 , 106.64 , 2.94 , 51.6 , 7.79e-14 , 2.2e+37 , 0.25 , YRL , 3.792e-7±8.38e-9 , 1.842±0.024 , 2.533e-10±3.8e-12 , 12101 , 4260±307 , 424 , 1.94e+34 , 8.48e+33 +7.95e+33 , 0.001 , - , 0.187±0.007 , 0.299±0.008 , Radio , 0.8 , 0.15 +0.2 , K , 2,
114 , J2238+5903 , 339.61708 , 59.06239 , 106.56 , 0.48 , 163 , 9.7e-14 , 8.9e+35 , < 0.011 , YRQ , 9.32e-8±8.87e-9 , 1.575±0.099 , 6.421e-11±3.49e-12 , 1165 , 2080±325 , 123 , - , - , - , - , -9.9±-9.9 , 0.502±0.002 , Gamma , - , - , DMM , 2,
115 , J2241-5236 , 340.425 , -52.61008 , 337.45 , -54.93 , 2.19 , 8.7e-21 , 2.6e+34 , 4.1 , MSP , 3.005e-8±2.47e-9 , 1.307±0.102 , 3.331e-11±1.58e-12 , 2150 , 3050±509 , 115 , 1.05e+33 , 2.88e+32 +3.53e+32 , 0.04 , 0.011 +0.014 , 0.139±0.004 , 0.638±0.031 , Radio , 0.513 , 0.08 +0.076 , DM , 3,
116 , J2240+5832 , 340.17875 , 58.54378 , 106.56 , -0.11 , 140 , 1.52e-14 , 2.2e+35 , 2.7 , YRL , 1.108e-8±7.36e-9 , 1.455±0.514 , 1.083e-11±3.16e-12 , 54 , 3430±2200 , 11 , 7.68e+34 , 1.33e+34 +1.46e+34 , 0.35 , 0.061 +0.067 , 0.118±0.014 , 0.476±0.014 , Radio , 7.7 , ±0.7 , O , 2,
117 , J2302+4442 , 345.69542 , 44.70608 , 103.39 , -14.01 , 5.19 , 1.33e-20 , 3.8e+33 , 1.2 , MSP , 2.638e-8±2.33e-9 , 0.937±0.122 , 3.668e-11±1.69e-12 , 1716 , 2150±291 , 189 , 6.21e+33 , 2.17e+33 +9.76e+32 , 1.626 , 0.568 +0.255 , 0.244±0.003 , 0.346±0.006 , Radio , 1.19 , 0.09 +0.23 , DM , 2,
