_id ,fermi2psr_name , RA, Dec, LII, BII, P0, P1 (10-15) , Edot (1034), S1400, Type , Flux 100MeV, Spectral index , Energy Flux, TS , ECutoff , TSCutoff , Luminosity, Luminosity Error , Efficiency , Efficiency Error , Radio Lag , Gamma Peak , History , Distance, Distance Error , Method , Peak Mult. ,other_name
38 , J1105-6107 , 166.35875 , -61.13089 , 290.48 , -0.85 , 63.2 , 1.58e-14 , 2.5e+36 , 0.75 , YRL , 7.832e-8±1.62e-8 , 1.466±0.307 , 4.89e-11±6.22e-12 , 309 , 1300±602 , 42 , 1.45e+35 , 5.1e+34 +6.13e+34 , 0.059 , 0.021 +0.025 , 0.11±0.001 , 0.504±0.006 , Radio , 4.98 , 0.96 +0.97 , DM , 2,
39 , J1112-6103 , 168.06167 , -61.05869 , 291.22 , -0.47 , 65 , 3.15e-14 , 4.5e+36 , 1.4 , YRL , 1.875e-8±9.17e-9 , 1.557±0.281 , 2.034e-11±4.78e-12 , 58 , 5890±3240 , 6 , 3.62e+35 , 1.9e+35 +6.11e+35 , 0.08 , 0.042 +0.135 , 0.192±0.007 , 0.457±0.013 , Radio , 12.2 , 7.8 +3.8 , DM , 2,
40 , J1119-6127 , 169.80958 , -61.46369 , 292.15 , -0.54 , 409 , 4.03e-12 , 2.3e+36 , 0.8 , YRL , 1.127e-7±1.27e-8 , 1.812±0.109 , 7.148e-11±4.75e-12 , 661 , 3200±796 , 37 , 6.04e+35 , 5.61e+34 +5.88e+34 , 0.259 , 0.024 +0.025 , 0.285±0.015 , 0.204±0.02 , Radio , 8.4 , ±0.4 , K , 2,
41 , J1124-3653 , 171.00458 , -36.88858 , 284.09 , 22.76 , 2.41 , 5.75e-21 , 1.7e+34 , 0.039 , MSP , 9.41e-9±2.35e-9 , 1.089±0.263 , 1.212e-11±1.32e-12 , 293 , 2500±687 , 39 , 4.29e+33 , 1.61e+33 +2.41e+33 , 0.25 , 0.094 +0.141 , 0.298±0.011 , 0.214±0.043 , Radio , 1.72 , 0.43 +0.36 , DM , 2,
42 , J1124-5916 , 171.1625 , -59.27219 , 292.03 , 1.74 , 136 , 7.5e-13 , 1.2e+37 , 0.08 , YRL , 1.045e-7±1.08e-8 , 1.755±0.11 , 6.168e-11±3.72e-12 , 1058 , 2140±400 , 79 , 1.7e+35 , 7.44e+34 +5.32e+34 , 0.014 , 0.006 +0.004 , 0.141±0.003 , 0.499±0.004 , Radio , 4.8 , 0.7 +1.2 , X , 2,
43 , J1125-5825 , 171.43458 , -58.42139 , 291.89 , 2.59 , 3.1 , 6.09e-20 , 8.1e+34 , 0.44 , MSP , 1.11e-8±4.8e-9 , 1.73±0.23 , 8.9e-12±2e-12 , 41 , 4810±2430 , 4 , 7.31e+33 , 1.92e+33 +2.4e+33 , 0.091 , 0.024 +0.03 , 0.645±0.002 , -9.9±-9.9 , Radio , 2.62 , 0.4 +0.37 , DM , 1,
44 , J1135-6055 , 173.78375 , -60.92639 , 293.79 , 0.58 , 114 , 7.84e-14 , 2.1e+36 , < 0.03 , YRQ , 7.419e-8±8.67e-9 , 1.699±0.122 , 4.791e-11±3.21e-12 , 498 , 2400±508 , 61 , - , - , - , - , -9.9±-9.9 , -9.9±-9.9 , Gamma , - , - , DMM , 1,
45 , J1231-1411 , 187.79708 , -14.1955 , 295.53 , 48.38 , 3.68 , 2.12e-20 , 5.1e+33 , 0.161 , MSP , 9.202e-8±3.85e-9 , 1.241±0.053 , 1.028e-10±2.58e-12 , 7931 , 2670±213 , 446 , 2.36e+33 , 5.08e+32 +5.94e+32 , 0.459 , 0.099 +0.115 , 0.241±0.002 , 0.408±0.002 , Radio , 0.438 , 0.052 +0.05 , DM , 3,
46 , J1357-6429 , 209.26 , -64.49169 , 309.92 , -2.52 , 166 , 3.57e-13 , 3.1e+36 , 0.44 , YRL , 7.763e-8±1.11e-8 , 1.803±0.384 , 3.388e-11±3.33e-12 , 187 , 908±543 , 20 , 2.53e+34 , 8.13e+33 +1.19e+34 , 0.008 , 0.003 +0.004 , 0.359±0.028 , -9.9±-9.9 , Radio , 2.5 , 0.53 +0.44 , DM , 1,
47 , J1410-6132 , 212.59167 , -61.53308 , 312.19 , -0.1 , 50 , 3.18e-14 , 1e+37 , 6.6 , YRL , 2.803e-8±2.62e-8 , 1.564±0.662 , 2.63e-11±1.03e-11 , 40 , 4260±3620 , 9 , 7.66e+35 , 3.57e+35 +8.99e+35 , 0.077 , 0.036 +0.09 , 0.959±0.023 , 0.458±0.037 , Radio , 15.6 , 7.4 +4.2 , DM , 2,
48 , J1413-6205 , 213.37583 , -62.0935 , 312.37 , -0.74 , 110 , 2.74e-14 , 8.2e+35 , < 0.024 , YRQ , 1.607e-7±1.33e-8 , 1.514±0.068 , 1.574e-10±6.36e-12 , 1795 , 4070±485 , 180 , - , - , - , - , -9.9±-9.9 , 0.372±0.003 , Gamma , - , - , DMM , 2,
49 , J1418-6058 , 214.67792 , -60.96669 , 313.32 , 0.13 , 111 , 1.69e-13 , 4.9e+36 , < 0.029 , YRQ , 3.819e-7±3.35e-8 , 1.765±0.05 , 3.017e-10±1.44e-11 , 3487 , 5490±538 , 172 , 9.24e+34 , 6.32e+34 +9.85e+34 , 0.019 , 0.013 +0.02 , -9.9±-9.9 , 0.467±0.003 , Gamma , 1.6 , ±0.7 , O , 2,
50 , J1420-6048 , 215.03417 , -60.80458 , 313.54 , 0.22 , 68.2 , 8.29e-14 , 1e+37 , 0.9 , YRL , 2.564e-7±3.1e-8 , 1.511±0.082 , 1.698e-10±1.37e-11 , 1220 , 1630±240 , 51 , 6.39e+35 , 1.79e+35 +2.24e+35 , 0.062 , 0.017 +0.022 , 0.196±0.011 , 0.312±0.015 , Radio , 5.61 , 0.91 +0.85 , DM , 2,
51 , J1429-5911 , 217.49375 , -59.1935 , 315.26 , 1.29 , 116 , 3.05e-14 , 7.7e+35 , < 0.021 , YRQ , 1.194e-7±1.07e-8 , 1.617±0.091 , 8.046e-11±4.11e-12 , 822 , 2180±313 , 124 , - , - , - , - , -9.9±-9.9 , 0.479±0.004 , Gamma , - , - , DMM , 2,
52 , J1446-4701 , 221.64875 , -47.02408 , 322.5 , 11.42 , 2.19 , 9.85e-21 , 3.7e+34 , 0.37 , MSP , 7.28e-9±3.08e-9 , 1.366±0.41 , 7.43e-12±1.43e-12 , 71 , 2990±1670 , 9 , 1.89e+33 , 5.28e+32 +6.44e+32 , 0.052 , 0.014 +0.018 , 0.319±0.021 , -9.9±-9.9 , Radio , 1.46 , 0.23 +0.22 , DM , 1,
53 , J1459-6053 , 224.87542 , -60.88878 , 317.88 , -1.8 , 103 , 2.53e-14 , 9.1e+35 , < 0.037 , YRQ , 2.422e-7±1.28e-8 , 1.969±0.063 , 1.292e-10±4.32e-12 , 2046 , 2920±458 , 103 , - , - , - , - , -9.9±-9.9 , 0.063±0.034 , Gamma , - , - , DMM , 1,
54 , J1509-5850 , 227.36292 , -58.84889 , 319.97 , -0.63 , 88.9 , 9.17e-15 , 5.2e+35 , 0.15 , YRL , 1.994e-7±2.12e-8 , 1.901±0.088 , 1.273e-10±7.33e-12 , 1152 , 4590±920 , 67 , 1.05e+35 , 3.55e+34 +4.09e+34 , 0.203 , 0.069 +0.079 , 0.271±0.011 , 0.264±0.013 , Radio , 2.62 , 0.47 +0.49 , DM , 2,
55 , J1513-5908 , 228.48167 , -59.13578 , 320.32 , -1.17 , 152 , 1.53e-12 , 1.7e+37 , 0.94 , YRL , 1.041e-7±2.2e-8 , 1.569±0.38 , 3.243e-11±6.53e-12 , 98 , 227±73.5 , 5 , 6.88e+34 , 1.9e+34 +2.17e+34 , 0.004 , ±0.001 , 0.325±0.055 , -9.9±-9.9 , Xrays , 4.21 , 0.62 +0.63 , DM , 1,
56 , J1514-4946 , 228.57958 , -49.771 , 325.24 , 6.8 , 3.59 , 1.87e-20 , 1.6e+34 , < 0 , MSP , 4.154e-8±5.61e-9 , 1.528±0.109 , 4.5e-11±2.79e-12 , 999 , 5330±1080 , 66 , 4.76e+33 , 1.14e+33 +1.18e+33 , 0.297 , 0.071 +0.074 , 0.214±0.009 , 0.392±0.018 , Radio , 0.94 , 0.11 +0.12 , DM , 2,
57 , J1531-5610 , 232.86625 , -56.182 , 323.89 , 0.03 , 84.2 , 1.38e-14 , 9.1e+35 , 0.6 , YRL , 9.6e-10±2.9e-10 , 0±0 , 1.94e-12±1.19e-12 , 2 , 1170±550 , 2 , 1.01e+33 , 2.95e+32 +3.91e+32 , 0.001 , - , 0.413±0.035 , -9.9±-9.9 , Radio , 2.09 , 0.37 +0.33 , DM , 1,
58 , J1600-3053 , 240.21625 , -30.897 , 344.09 , 16.45 , 3.6 , 9.5e-21 , 7.3e+33 , 2.5 , MSP , 2.23e-9±1.57e-9 , 0.402±0.466 , 5.3e-12±2.79e-12 , 147 , 2050±677 , 26 , 1.68e+33 , 5.12e+32 +7.02e+32 , 0.231 , 0.07 +0.096 , 0.147±0.011 , -9.9±-9.9 , Radio , 1.63 , 0.31 +0.27 , DM , 1,
59 , J1614-2230 , 243.65208 , -22.50869 , 352.63 , 20.19 , 3.15 , 9.62e-21 , 3.8e+33 , 1.2 , MSP , 1.986e-8±3.74e-9 , 0.961±0.22 , 2.436e-11±1.97e-12 , 599 , 1860±358 , 81 , 1.23e+33 , 1.82e+32 +1.97e+32 , 0.326 , 0.048 +0.052 , 0.201±0.005 , 0.51±0.005 , Radio , 0.65 , ±0.05 , P , 2,
60 , J1620-4927 , 245.17333 , -49.46 , 333.88 , 0.4 , 172 , 1.05e-14 , 8.2e+34 , < 0.04 , YRQ , 1.554e-7±1.68e-8 , 1.297±0.096 , 1.567e-10±7.85e-12 , 1407 , 2500±278 , 199 , - , - , - , - , -9.9±-9.9 , 0.231±0.03 , Gamma , - , - , DMM , 2,
61 , J1648-4611 , 252.09167 , -46.18778 , 339.43 , -0.8 , 165 , 2.37e-14 , 2.1e+35 , 0.58 , YRL , 5.251e-8±1.6e-8 , 1.585±0.271 , 5.436e-11±7.92e-12 , 176 , 5830±3890 , 17 , 1.6e+35 , 4.14e+34 +4.54e+34 , 0.766 , 0.198 +0.218 , 0.261±0.01 , 0.298±0.082 , Radio , 4.96 , 0.66 +0.69 , DM , 2,
62 , J1658-5324 , 254.66375 , -53.40189 , 334.86 , -6.63 , 2.44 , 1.1e-20 , 3e+34 , 0.5 , MSP , 5.711e-8±7.21e-9 , 1.768±0.182 , 2.893e-11±2.28e-12 , 327 , 1370±376 , 34 , 2.99e+33 , 7.79e+32 +7.5e+32 , 0.099 , 0.026 +0.025 , 0.359±0.014 , -9.9±-9.9 , Radio , 0.93 , 0.11 +0.13 , DM , 1,
63 , J1702-4128 , 255.71875 , -41.48008 , 344.74 , 0.12 , 182 , 5.23e-14 , 3.4e+35 , 1.1 , YRL , 4.44e-8±5.24e-8 , 1.07±0.87 , 2.84e-11±2.65e-11 , 62 , 756±481 , 7 , 7.67e+34 , 1.7e+34 +1.81e+34 , 0.224 , 0.05 +0.053 , 0.397±0.038 , -9.9±-9.9 , Radio , 4.75 , 0.53 +0.56 , DM , 1,
64 , J1709-4429 , 257.41917 , -44.46519 , 343.11 , -2.67 , 102 , 9.28e-14 , 3.4e+36 , 7.3 , YRL , 0.000001597±1.36e-8 , 1.64±0.01 , 1.347e-9±8.7e-12 , 96893 , 4190±114 , 3433 , 8.53e+35 , 1.82e+35 +2.04e+35 , 0.251 , 0.053 +0.06 , 0.239±0.001 , 0.244±0.002 , Radio , 2.3 , ±0.26 , DM , 2,
65 , J1713+0747 , 258.45625 , 7.79369 , 28.74 , 25.22 , 4.57 , 8.53e-21 , 3.4e+33 , 10.2 , MSP , 1.331e-8±3.71e-9 , 1.572±0.289 , 1.017e-11±1.45e-12 , 126 , 2670±1220 , 17 , 1.34e+33 , 1.25e+32 +1.58e+32 , 0.39 , 0.036 +0.046 , 0.319±0.049 , -9.9±-9.9 , Radio , 1.05 , 0.06 +0.05 , P , 1,
66 , J1718-3825 , 259.55625 , -38.42169 , 348.95 , -0.44 , 74.7 , 1.32e-14 , 1.2e+36 , 1.3 , YRL , 1.449e-7±1.17e-8 , 1.512±0.054 , 8.887e-11±4.84e-12 , 462 , 1360±80.5 , 81 , 1.38e+35 , 3.16e+34 +3.23e+34 , 0.11 , 0.025 +0.026 , 0.397±0.009 , -9.9±-9.9 , Radio , 3.6 , 0.4 +0.44 , DM , 1,
67 , J1730-3350 , 262.63458 , -33.84089 , 354.13 , 0.09 , 139 , 8.48e-14 , 1.2e+36 , 3.2 , YRL , 3.44e-8±8e-10 , 1.45±0.25 , 2.36e-11±3.9e-12 , 100 , 1230±280 , 21 , 3.56e+34 , 9.15e+33 +8.92e+33 , 0.029 , ±0.007 , 0.128±0.007 , 0.419±0.007 , Radio , 3.55 , 0.42 +0.49 , DM , 2,
68 , J1732-3131 , 263.13958 , -31.52278 , 356.3 , 1 , 197 , 2.8e-14 , 1.5e+35 , < 0.015 , YRQ , 1.672e-7±1.04e-8 , 1.017±0.061 , 1.942e-10±5.73e-12 , 2821 , 1880±100 , 550 , 8.62e+33 , 1.94e+33 +2.09e+33 , 0.059 , 0.013 +0.014 , -9.9±-9.9 , 0.419±0.002 , Gamma , 0.609 , 0.07 +0.073 , DM , 2,
