_id , fermi1lac_name , other_name , RA , Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
1 , 1FGL J0003.1+6227 , , 0.79792 , 62.45878 , 117.38 , 0.1 , , (21.4+/-5.1) e-10 , 2.527 , 0.101 , < 3.00e-8 , (16.6+/-2.6) e-9 , (19.8+/-4.9) e-10 , < 4.33e-10 , < 1.36e-10 , Unassociated , N , 15.191
2 , 1FGL J0004.3+2207 , , 1.08042 , 22.12339 , 108.75 , -39.45 , , (6.1+/-2.1) e-10 , 2.349 , 0.21 , < 1.77e-8 , < 3.60e-9 , (4.1+/-1.8) e-10 , (19.4+/-9.1) e-11 , < 8.58e-11 , Unassociated , N , 5.456
3 , 1FGL J0004.7-4737 , PKS 0002-478 , 1.18625 , -47.62458 , 323.86 , -67.57 , , (8.4+/-2.7) e-10 , 2.564 , 0.172 , (24.1+/-7.7) e-9 , (30.6+/-9.7) e-10 , (7.9+/-2.4) e-10 , < 1.97e-10 , < 1.53e-10 , FSRQ , N , 9.321
4 , 1FGL J0005.1+6829 , , 1.28292 , 68.48819 , 118.68 , 6 , , (13.9+/-5.1) e-10 , 2.579 , 0.116 , < 3.90e-8 , (13+/-2.6) e-9 , < 2.17e-9 , < 4.90e-10 , < 1.04e-10 , Unassociated , N , 13.565
5 , 1FGL J0005.7+3815 , B2 0003+38A , 1.43625 , 38.25939 , 113.15 , -23.75 , , (6.3+/-2.9) e-10 , 2.865 , 0.132 , (33+/-9.2) e-9 , (4.9+/-1.3) e-9 , < 1.11e-9 , < 2.47e-10 , < 1.13e-10 , FSRQ , N , 20.548
6 , 1FGL J0007.0+7303 , LAT PSR J0007+7303 , 1.75625 , 73.05228 , 119.65 , 10.46 , 1AGL J0006+7311 , (63.4+/-1.5) e-9 , 1.967 , 0.013 , (20.9+/-1.2) e-8 , (120+/-3) e-9 , (49+/-1.3) e-9 , (136+/-6.5) e-10 , (8.5+/-1.6) e-10 , Pulsar , N , 15.281
7 , 1FGL J0006.9+4652 , , 1.74625 , 46.88158 , 115.08 , -15.31 , , (11.2+/-3) e-10 , 2.554 , 0.11 , (28.8+/-9) e-9 , (7.3+/-1.3) e-9 , (7.8+/-2.7) e-10 , (3+/-1.3) e-10 , < 1.54e-10 , Unassociated , N , 18.754
8 , 1FGL J0008.3+1452 , , 2.08417 , 14.88158 , 107.65 , -46.71 , , (7.7+/-2.3) e-10 , 1.996 , 0.21 , < 9.31e-9 , < 2.18e-9 , (5.7+/-2.1) e-10 , (20.2+/-8.9) e-11 , < 1.22e-10 , Unassociated , N , 3.652
9 , 1FGL J0008.9+0635 , CRATES J0009+0628 , 2.2325 , 6.5865 , 104.42 , -54.75 , , < 8.47e-10 , 2.276 , 0.215 , < 1.57e-8 , < 4.86e-9 , < 5.34e-10 , (21.9+/-9.8) e-11 , < 1.46e-10 , BL Lac , N , 14.31
10 , 1FGL J0009.1+5031 , , 2.28833 , 50.52008 , 116.08 , -11.79 , , (12.8+/-3.1) e-10 , 2.41 , 0.133 , < 3.98e-8 , (5.4+/-1.3) e-9 , (9+/-2.8) e-10 , (3.5+/-1.3) e-10 , < 1.38e-10 , Unassociated , N , 12.63
11 , 1FGL J0011.1+0050 , CGRaBS J0011+0057 , 2.78583 , 0.84119 , 102.19 , -60.4 , , (5.6+/-2.2) e-10 , 2.514 , 0.15 , < 1.16e-8 , (4.5+/-1.1) e-9 , (5.4+/-2) e-10 , < 1.74e-10 , < 8.73e-11 , FSRQ , N , 20.75
12 , 1FGL J0013.1-3952 , PKS 0010-401 , 3.29833 , -39.88328 , 332.39 , -74.99 , , (5.3+/-2.6) e-10 , 2.092 , 0.216 , < 1.19e-8 , < 2.66e-9 , < 8.72e-10 , < 2.29e-10 , < 2.14e-10 , BL Lac , N , 8.492
13 , 1FGL J0013.7-5022 , BZB J0014-5022 , 3.42875 , -50.37219 , 317.62 , -65.67 , , (6.2+/-2.4) e-10 , 2.229 , 0.225 , < 1.65e-8 , < 3.60e-9 , (5.8+/-2.2) e-10 , < 1.57e-10 , < 1.58e-10 , BL Lac , N , 7.935
14 , 1FGL J0016.6+1706 , , 4.15375 , 17.10828 , 111.13 , -44.97 , , (5.3+/-2.6) e-10 , 2.567 , 0.198 , < 3.37e-8 , < 3.61e-9 , < 8.72e-10 , < 3.00e-10 , < 1.28e-10 , Unassociated , N , 10.663
15 , 1FGL J0017.4-0510 , CGRaBS J0017-0512 , 4.37167 , -5.18158 , 101.2 , -66.61 , , (15.4+/-3) e-10 , 2.603 , 0.068 , (59.7+/-7.8) e-9 , (15.8+/-1.4) e-9 , (13.7+/-2.7) e-10 , < 2.90e-10 , < 1.99e-10 , FSRQ , N , 80.804
16 , 1FGL J0017.7-0019 , , 4.42875 , -0.32628 , 104.73 , -62 , , (4.7+/-2.3) e-10 , 2.88 , 0.178 , (4.4+/-1) e-8 , < 4.63e-9 , < 7.84e-10 , < 2.81e-10 , < 9.39e-11 , Unassociated , N , 16.469
17 , 1FGL J0018.6+2945 , BZB J0018+2947 , 4.65208 , 29.76169 , 114.47 , -32.57 , , < 7.96e-10 , 1.484 , 0.35 , < 1.70e-8 , < 1.53e-9 , < 5.10e-10 , < 3.11e-10 , < 2.42e-10 , BL Lac , N , 3.857
18 , 1FGL J0019.3+2017 , PKS 0017+200 , 4.82917 , 20.2945 , 112.78 , -41.95 , , (6.6+/-2.3) e-10 , 2.382 , 0.154 , < 1.51e-8 , (31.4+/-9.7) e-10 , (6+/-2.1) e-10 , < 1.44e-10 , < 1.87e-10 , BL Lac , N , 7.168
19 , 1FGL J0021.7-2556 , CRATES J0021-2550 , 5.44375 , -25.94328 , 41.4 , -83.27 , , (9.3+/-2.4) e-10 , 1.964 , 0.167 , < 9.72e-9 , < 2.57e-9 , (6.1+/-2) e-10 , (2.7+/-1) e-10 , < 1.95e-10 , BL Lac , N , 9.251
20 , 1FGL J0022.2-1850 , , 5.56833 , -18.847 , 82.42 , -79.35 , , (11.5+/-2.5) e-10 , 1.563 , 0.144 , < 4.18e-9 , < 2.54e-9 , (7.7+/-2.2) e-10 , (2.3+/-1) e-10 , (15.9+/-7.2) e-11 , Unassociated , N , 6.942
21 , 1FGL J0022.5+0607 , PKS 0019+058 , 5.63208 , 6.12569 , 110 , -56.02 , , (14.6+/-2.9) e-10 , 2.151 , 0.114 , < 3.03e-8 , (3.9+/-1) e-9 , (11.6+/-2.6) e-10 , (24.7+/-9.9) e-11 , < 1.82e-10 , BL Lac , N , 8.615
22 , 1FGL J0023.0+4453 , B3 0020+446 , 5.75375 , 44.8885 , 117.65 , -17.7 , , (9.7+/-2.5) e-10 , 2.455 , 0.161 , < 4.02e-8 , < 4.26e-9 , (7+/-2.2) e-10 , (2.7+/-1.1) e-10 , < 1.04e-10 , FSRQ , N , 12.221
23 , 1FGL J0023.5+0930 , , 5.88458 , 9.50969 , 111.52 , -52.75 , , (10.7+/-2.9) e-10 , 2.311 , 0.164 , < 2.20e-8 , < 5.17e-9 , (9.3+/-2.6) e-10 , < 3.43e-10 , < 9.26e-11 , Unassociated , N , 7.985
24 , 1FGL J0023.9-7204 , 47 Tuc , 5.99792 , -72.07269 , 305.9 , -44.9 , , (41.4+/-4.7) e-10 , 2.145 , 0.076 , < 3.91e-8 , (10+/-1.4) e-9 , (33.6+/-4.3) e-10 , (7.2+/-1.8) e-10 , < 2.45e-10 , Globular Cluster , N , 8.216
25 , 1FGL J0024.6+0346 , , 6.1725 , 3.77569 , 110.11 , -58.43 , , (9.5+/-2.6) e-10 , 2.33 , 0.116 , (3.4+/-1) e-8 , (5.6+/-1.1) e-9 , (7.9+/-2.3) e-10 , < 3.36e-10 , < 1.63e-10 , Unassociated , N , 30.474
26 , 1FGL J0028.9-7028 , , 7.23 , -70.47389 , 305.66 , -46.54 , , (7.3+/-2.9) e-10 , 2.188 , 0.211 , < 2.64e-8 , (3.8+/-1.2) e-9 , < 9.81e-10 , (20.6+/-9.8) e-11 , < 2.24e-10 , Unassociated , N , 6.802
27 , 1FGL J0029.9-4221 , PKS 0027-426 , 7.4975 , -42.35708 , 317.58 , -74.16 , , (7.4+/-2.4) e-10 , 2.391 , 0.17 , < 2.40e-8 , < 4.89e-9 , (5.8+/-2.1) e-10 , < 3.42e-10 , < 1.49e-10 , FSRQ , N , 5.979
28 , 1FGL J0030.4+0451 , PSR J0030+0451 , 7.61417 , 4.861 , 113.14 , -57.61 , , (90.2+/-6) e-10 , 2.106 , 0.036 , (38.8+/-9.9) e-9 , (26.1+/-1.6) e-9 , (76.5+/-5.6) e-10 , (13.4+/-2.2) e-10 , < 1.60e-10 , Pulsar , N , 15.043
29 , 1FGL J0030.7+0724 , , 7.6775 , 7.40258 , 113.92 , -55.11 , , (4.6+/-2.2) e-10 , 1.679 , 0.353 , < 2.19e-8 , < 2.44e-9 , < 7.23e-10 , < 1.38e-10 , (14.6+/-6.6) e-11 , Unassociated , N , 1.627
30 , 1FGL J0032.7-5519 , , 8.1775 , -55.32369 , 308.53 , -61.61 , , (8.5+/-2.6) e-10 , 2.41 , 0.137 , (25.5+/-8) e-9 , (5.2+/-1.1) e-9 , (6.4+/-2.3) e-10 , < 2.51e-10 , < 3.31e-10 , Unassociated , N , 32.892
31 , 1FGL J0033.5-1921 , RBS 76 , 8.39125 , -19.365 , 94.15 , -81.22 , , (27.9+/-3.6) e-10 , 1.887 , 0.078 , < 1.29e-8 , (42.8+/-8.5) e-10 , (17.9+/-3.1) e-10 , (8.2+/-1.8) e-10 , (18.1+/-7.8) e-11 , BL Lac , N , 16.701
32 , 1FGL J0034.3-0534 , PSR J0034-0534 , 8.59083 , -5.57678 , 111.49 , -68.07 , , (29.3+/-3.8) e-10 , 2.187 , 0.078 , < 2.57e-8 , (7.2+/-1.1) e-9 , (26.7+/-3.6) e-10 , (2.4+/-1) e-10 , < 1.36e-10 , Pulsar , N , 11.016
33 , 1FGL J0035.1+1516 , RX J0035.2+1515 , 8.7925 , 15.26939 , 117.12 , -47.42 , , (15.2+/-2.9) e-10 , 1.637 , 0.136 , < 1.10e-8 , < 1.89e-9 , (9.4+/-2.5) e-10 , (3.2+/-1.1) e-10 , (26.2+/-9.3) e-11 , BL Lac , N , 5.202
34 , 1FGL J0035.9+5951 , 1ES 0033+595 , 8.98875 , 59.85228 , 120.98 , -2.96 , , (32.2+/-4.9) e-10 , 1.947 , 0.098 , < 3.16e-8 , (6.2+/-2) e-9 , (23.3+/-4.5) e-10 , (5.1+/-1.6) e-10 , (3.7+/-1.1) e-10 , BL Lac , N , 7.65
35 , 1FGL J0038.0+1236 , , 9.51583 , 12.61078 , 117.83 , -50.13 , , (7.3+/-2.5) e-10 , 2.303 , 0.177 , < 3.27e-8 , < 4.73e-9 , (5.1+/-2.1) e-10 , < 3.45e-10 , < 2.36e-10 , Unassociated , N , 7.392
36 , 1FGL J0038.6+6306 , , 9.66917 , 63.10819 , 121.48 , 0.27 , , (26.2+/-5.6) e-10 , 2.335 , 0.133 , < 3.06e-8 , < 9.28e-9 , (21.9+/-5.4) e-10 , (4.3+/-1.6) e-10 , < 8.62e-11 , Unassociated , N , 3.981
37 , 1FGL J0038.4-2504 , PKS 0035-252 , 9.60917 , -25.0745 , 67.36 , -86.44 , , (10.4+/-2.7) e-10 , 2.447 , 0.134 , (30.7+/-6.3) e-9 , (33.5+/-9) e-10 , (8.5+/-2.3) e-10 , < 4.46e-10 , < 1.05e-10 , FSRQ , N , 32.081
38 , 1FGL J0038.6+2048 , , 9.66208 , 20.80278 , 118.91 , -41.97 , , < 9.33e-10 , 1.632 , 0.284 , < 1.01e-8 , < 1.25e-9 , < 6.21e-10 , < 3.48e-10 , < 2.49e-10 , Unassociated , N , 4.267
39 , 1FGL J0039.2+4331 , , 9.80583 , 43.52169 , 120.58 , -19.3 , , < 9.56e-10 , 2.199 , 0.289 , < 2.44e-8 , < 3.02e-9 , < 6.84e-10 , < 3.93e-10 , < 1.53e-10 , Unassociated , N , 5.152
40 , 1FGL J0041.9+2318 , PKS 0039+230 , 10.48333 , 23.305 , 120.1 , -39.52 , , (8.3+/-2.5) e-10 , 2.519 , 0.174 , < 2.19e-8 , < 4.57e-9 , (7.7+/-2.3) e-10 , < 2.28e-10 , < 9.84e-11 , FSRQ , N , 11.218
41 , 1FGL J0043.6+3424 , , 10.92375 , 34.40597 , 121.11 , -28.44 , , (17.2+/-3.3) e-10 , 2.091 , 0.096 , < 1.67e-8 , (6.1+/-1.1) e-9 , (11.5+/-2.9) e-10 , (4.8+/-1.3) e-10 , < 2.32e-10 , Unassociated , N , 19.687
42 , 1FGL J0045.3+2127 , BZB J0045+2127 , 11.34042 , 21.4605 , 121.04 , -41.39 , , (21.3+/-3.2) e-10 , 1.836 , 0.115 , < 4.11e-8 , < 3.37e-9 , (13.9+/-2.8) e-10 , (5.6+/-1.4) e-10 , (18.3+/-7.5) e-11 , BL Lac , N , 8.181
43 , 1FGL J0046.8+5658 , VCS1 J0047+5657 , 11.71292 , 56.972 , 122.3 , -5.9 , , (22.6+/-4.2) e-10 , 2.273 , 0.12 , < 2.87e-8 , < 6.90e-9 , (18.1+/-4) e-10 , (4.5+/-1.4) e-10 , < 1.07e-10 , AGU , N , 9.482
44 , 1FGL J0047.3-2512 , NGC 253 , 11.82667 , -25.208 , 96.95 , -87.87 , , (7.3+/-2.4) e-10 , 2.149 , 0.171 , < 1.11e-8 , (29.1+/-8.4) e-10 , (5.3+/-1.9) e-10 , < 4.00e-10 , < 1.75e-10 , Starburst galaxy , P , 8.929
45 , 1FGL J0048.0+2232 , , 12.00208 , 22.5405 , 121.89 , -40.33 , , (15.5+/-3) e-10 , 2.388 , 0.09 , < 4.45e-8 , (11.7+/-1.4) e-9 , (11.5+/-2.7) e-10 , (2.8+/-1.1) e-10 , < 2.88e-10 , Unassociated , N , 47.171
46 , 1FGL J0050.0-0446 , PKS 0047-051 , 12.51125 , -4.782 , 122.01 , -67.65 , , (7.2+/-2.7) e-10 , 2.341 , 0.183 , < 3.46e-8 , < 4.44e-9 , < 8.74e-10 , (3.2+/-1.1) e-10 , < 9.01e-11 , FSRQ , N , 13.628
47 , 1FGL J0050.2+0235 , PKS 0047+023 , 12.55167 , 2.58639 , 122.31 , -60.29 , , (5.5+/-2.5) e-10 , 2.268 , 0.189 , < 3.15e-8 , < 4.24e-9 , < 8.68e-10 , < 2.44e-10 , < 2.04e-10 , BL Lac , N , 10.361
48 , 1FGL J0049.8-5738 , PKS 0047-579 , 12.4625 , -57.64478 , 303.35 , -59.49 , , (6.3+/-2.3) e-10 , 2.42 , 0.163 , < 2.59e-8 , (4.5+/-1.1) e-9 , (4.4+/-1.9) e-10 , < 2.80e-10 , < 2.68e-10 , FSRQ , N , 12.725
49 , 1FGL J0048.0-8412 , PKS 0044-84 , 12.0225 , -84.20939 , 303.03 , -32.92 , , < 1.30e-9 , 2.688 , 0.17 , < 4.75e-8 , (7.3+/-1.6) e-9 , < 1.16e-9 , < 3.14e-10 , < 1.07e-10 , FSRQ , N , 8.978
50 , 1FGL J0050.6-0928 , PKS 0048-09 , 12.66458 , -9.48319 , 122.29 , -72.36 , , (45+/-4.5) e-10 , 2.196 , 0.051 , (50.6+/-7.9) e-9 , (16+/-1.3) e-9 , (34+/-4) e-10 , (8.7+/-1.9) e-10 , (22.9+/-8.6) e-11 , BL Lac , N , 62.75
51 , 1FGL J0051.1-0649 , PKS 0048-071 , 12.7825 , -6.81839 , 122.71 , -69.69 , , (18.6+/-3.3) e-10 , 2.356 , 0.089 , < 3.81e-8 , (9.2+/-1.3) e-9 , (15.7+/-3.1) e-10 , (23.4+/-9.9) e-11 , < 1.96e-10 , FSRQ , N , 86.401
52 , 1FGL J0051.4-6242 , , 12.87292 , -62.7065 , 302.92 , -54.43 , , (18.4+/-3.2) e-10 , 1.682 , 0.122 , < 1.66e-8 , < 2.71e-9 , (10.9+/-2.7) e-10 , (5.8+/-1.6) e-10 , (16.7+/-8.2) e-11 , Unassociated , N , 9.341
53 , 1FGL J0054.9-2455 , , 13.73333 , -24.929 , 142.75 , -87.67 , , (7.3+/-2.2) e-10 , 1.954 , 0.221 , < 1.05e-8 , < 2.41e-9 , (4.9+/-1.9) e-10 , (20.3+/-9.3) e-11 , < 1.64e-10 , Unassociated , N , 9.87
54 , 1FGL J0058.0+3314 , CRATES J0058+3311 , 14.52208 , 33.234 , 124.53 , -29.62 , , (17.2+/-3.2) e-10 , 2.332 , 0.113 , < 3.55e-8 , (5.1+/-1.1) e-9 , (14+/-2.9) e-10 , (3.2+/-1.2) e-10 , < 1.09e-10 , BL Lac , N , 39.904
55 , 1FGL J0058.4-3235 , PKS 0055-328 , 14.60083 , -32.58439 , 287.88 , -84.35 , , (7.8+/-2.3) e-10 , 2.311 , 0.151 , < 1.50e-8 , (35.1+/-9.4) e-10 , (5.3+/-2) e-10 , (2.5+/-1) e-10 , < 1.01e-10 , BL Lac , N , 13.843
56 , 1FGL J0059.6+1904 , , 14.90917 , 19.07769 , 125.61 , -43.75 , , (7+/-2.4) e-10 , 2.386 , 0.179 , < 1.29e-8 , (31.1+/-9.9) e-10 , (6.1+/-2.2) e-10 , < 2.27e-10 , < 1.36e-10 , Unassociated , N , 8.264
57 , 1FGL J0100.2+0747 , CRATES J0100+0745 , 15.05083 , 7.79689 , 126.71 , -55.01 , , (26.1+/-3.6) e-10 , 1.856 , 0.088 , < 2.09e-8 , (4.1+/-1) e-9 , (17.4+/-3.1) e-10 , (7.3+/-1.7) e-10 , (13.8+/-6.9) e-11 , AGU , N , 32.092
58 , 1FGL J0101.0-6423 , , 15.26208 , -64.39589 , 301.21 , -52.71 , , (19.2+/-3.3) e-10 , 2.195 , 0.118 , < 2.82e-8 , (4+/-1) e-9 , (16+/-3) e-10 , (3.2+/-1.2) e-10 , < 1.05e-10 , Unassociated , N , 13.148
59 , 1FGL J0102.2+4223 , CRATES J0102+4214 , 15.55875 , 42.38678 , 125.05 , -20.44 , , (6+/-2.7) e-10 , 2.745 , 0.147 , (34.4+/-9.2) e-9 , (6+/-1.2) e-9 , < 9.36e-10 , < 3.31e-10 , < 1.70e-10 , FSRQ , N , 16.721
60 , 1FGL J0102.3+0942 , , 15.57875 , 9.71419 , 127.39 , -53.07 , , (7+/-2.4) e-10 , 2.04 , 0.204 , < 1.60e-8 , < 3.22e-9 , (4.9+/-2.1) e-10 , < 3.60e-10 , < 2.11e-10 , Unassociated , N , 6.618
61 , 1FGL J0101.3-7257 , SMC , 15.34375 , -72.95778 , 301.91 , -44.16 , , (8.3+/-3) e-10 , 3.115 , 0.169 , (5.6+/-1.2) e-8 , (6.3+/-1.4) e-9 , (7.2+/-2.7) e-10 , < 3.49e-10 , < 1.12e-10 , Galaxy , N , 11.703
62 , 1FGL J0102.8+5827 , TXS 0059+581 , 15.705 , 58.46658 , 124.42 , -4.38 , , (42.3+/-5.3) e-10 , 2.378 , 0.067 , (5.4+/-1.4) e-8 , (17.3+/-2.1) e-9 , (34.3+/-4.9) e-10 , (7.3+/-1.9) e-10 , < 2.17e-10 , FSRQ , N , 60.056
63 , 1FGL J0103.1+4840 , , 15.79708 , 48.67069 , 124.93 , -14.16 , , (22.4+/-4.1) e-10 , 2.153 , 0.113 , < 3.99e-8 , < 9.62e-9 , (17.6+/-3.8) e-10 , (4.8+/-1.5) e-10 , < 8.92e-11 , Unassociated , N , 9.452
64 , 1FGL J0104.4-2406 , PKS 0102-245 , 16.1 , -24.1065 , 167.66 , -85.8 , , < 9.60e-10 , 2.277 , 0.199 , < 1.42e-8 , < 3.84e-9 , < 6.77e-10 , (2.3+/-1) e-10 , < 1.07e-10 , FSRQ , N , 12.631
65 , 1FGL J0105.7+3930 , , 16.43625 , 39.50478 , 125.93 , -23.29 , , (12.4+/-3) e-10 , 2.503 , 0.135 , < 3.58e-8 , (3.3+/-1.1) e-9 , (10.3+/-2.8) e-10 , (21.3+/-9.6) e-11 , < 9.14e-11 , Unassociated , N , 14.228
66 , 1FGL J0106.7+4853 , , 16.68125 , 48.8935 , 125.51 , -13.9 , , (34.5+/-4.8) e-10 , 2.048 , 0.09 , < 4.68e-8 , < 8.76e-9 , (26.3+/-4.3) e-10 , (7.9+/-1.9) e-10 , < 1.67e-10 , Unassociated , N , 11.67
67 , 1FGL J0108.6+0135 , 4C +01.02 , 17.17375 , 1.58789 , 131.85 , -60.99 , , (56.5+/-5) e-10 , 2.539 , 0.039 , (159+/-9.7) e-9 , (30.3+/-1.6) e-9 , (49.1+/-4.6) e-10 , (7.1+/-1.6) e-10 , < 1.45e-10 , FSRQ , N , 162.141
68 , 1FGL J0109.0+1816 , CRATES J0109+1816 , 17.26083 , 18.27758 , 128.78 , -44.4 , , (9+/-2.4) e-10 , 1.996 , 0.19 , < 1.42e-8 , < 2.08e-9 , (6.4+/-2.1) e-10 , (20.3+/-8.9) e-11 , < 1.91e-10 , BL Lac , N , 7.962
69 , 1FGL J0110.0+6806 , 4C +67.04 , 17.51417 , 68.11019 , 124.67 , 5.3 , , (20+/-4.5) e-10 , 2.345 , 0.129 , < 3.32e-8 , < 1.06e-8 , (15.9+/-4.3) e-10 , (2.6+/-1.1) e-10 , (14.1+/-7.1) e-11 , AGU , N , 9.434
70 , 1FGL J0110.0-4023 , , 17.525 , -40.38869 , 287.88 , -76.2 , , < 8.01e-10 , 1.336 , 0.321 , < 2.84e-9 , < 1.22e-9 , < 5.33e-10 , < 3.74e-10 , < 1.63e-10 , Unassociated , N , 1.772
71 , 1FGL J0112.0+2247 , CGRaBS J0112+2244 , 18.0175 , 22.7945 , 129.12 , -39.83 , , (53.3+/-4.8) e-10 , 2.232 , 0.05 , (47.5+/-7.8) e-9 , (14.8+/-1.3) e-9 , (46.4+/-4.6) e-10 , (6.4+/-1.5) e-10 , < 1.84e-10 , BL Lac , N , 26.208
72 , 1FGL J0112.9+3207 , 4C +31.03 , 18.2325 , 32.11808 , 128.21 , -30.54 , , (71.3+/-5.5) e-10 , 2.365 , 0.039 , (106+/-8.9) e-9 , (27.1+/-1.6) e-9 , (60.7+/-5.1) e-10 , (9.9+/-2) e-10 , < 2.00e-10 , FSRQ , N , 413.061
73 , 1FGL J0113.8+4945 , CGRaBS J0113+4948 , 18.45917 , 49.75819 , 126.64 , -12.96 , , (6.7+/-3.2) e-10 , 2.294 , 0.176 , < 3.17e-8 , (4.9+/-1.5) e-9 , < 1.16e-9 , < 2.63e-10 , < 1.47e-10 , FSRQ , N , 9.319
74 , 1FGL J0114.4+1327 , BZB J0114+1325 , 18.60125 , 13.46369 , 131.46 , -49.03 , , (10.6+/-2.7) e-10 , 2.669 , 0.13 , (33+/-7.7) e-9 , (5.1+/-1.1) e-9 , (9.9+/-2.6) e-10 , < 2.37e-10 , < 1.03e-10 , BL Lac , N , 6.883
75 , 1FGL J0115.5+2519 , BZB J0115+2519 , 18.88917 , 25.33169 , 129.77 , -37.22 , , (14.1+/-2.9) e-10 , 1.959 , 0.122 , < 1.59e-8 , (4+/-1.1) e-9 , (9.3+/-2.6) e-10 , (3.6+/-1.2) e-10 , < 2.74e-10 , BL Lac , N , 16.825
76 , 1FGL J0115.5-1132 , PKS 0113-118 , 18.875 , -11.54858 , 144.02 , -73.43 , , (6.9+/-2.3) e-10 , 2.485 , 0.169 , < 2.20e-8 , (35.8+/-9.7) e-10 , (6.5+/-2.2) e-10 , < 1.84e-10 , < 9.71e-11 , FSRQ , N , 10.613
77 , 1FGL J0115.7+0357 , , 18.93458 , 3.95869 , 134.54 , -58.37 , , (13.6+/-2.9) e-10 , 2.071 , 0.148 , < 2.62e-8 , < 3.94e-9 , (10+/-2.6) e-10 , (2.6+/-1.1) e-10 , < 2.63e-10 , Unassociated , N , 7.146
78 , 1FGL J0118.7-2137 , PKS 0116-219 , 19.6825 , -21.62758 , 172.86 , -81.71 , , (33.2+/-4) e-10 , 2.399 , 0.057 , (57.6+/-6.9) e-9 , (15.2+/-1.3) e-9 , (28.7+/-3.7) e-10 , (4.5+/-1.3) e-10 , < 1.02e-10 , FSRQ , N , 58.126
79 , 1FGL J0120.5-2700 , PKS 0118-272 , 20.13125 , -27.01578 , 213.57 , -83.53 , , (37.1+/-4.2) e-10 , 1.993 , 0.063 , < 2.66e-8 , (8.5+/-1.1) e-9 , (25.4+/-3.7) e-10 , (9.7+/-1.9) e-10 , (20.3+/-8.3) e-11 , BL Lac , N , 22.29
80 , 1FGL J0122.2+5200 , , 20.5525 , 52.0135 , 127.73 , -10.57 , , (10.8+/-3.3) e-10 , 2.181 , 0.194 , < 3.21e-8 , < 4.09e-9 , (7.8+/-3) e-10 , (3+/-1.3) e-10 , < 9.49e-11 , Unassociated , N , 4.121
81 , 1FGL J0124.6-0616 , , 21.15375 , -6.28278 , 145.14 , -67.72 , , (6.2+/-2.7) e-10 , 2.204 , 0.171 , < 1.50e-8 , (27.5+/-8.9) e-10 , < 9.13e-10 , (20+/-9.2) e-11 , < 1.44e-10 , Unassociated , N , 5.402
82 , 1FGL J0127.0+0322 , , 21.75875 , 3.37858 , 140.02 , -58.31 , , (5.4+/-2.3) e-10 , 2.02 , 0.259 , < 2.24e-8 , < 2.16e-9 , < 6.76e-10 , (19.3+/-9.5) e-11 , < 1.91e-10 , Unassociated , N , 13.47
83 , 1FGL J0128.6+4439 , CLASS J0128+4439 , 22.15333 , 44.65269 , 129.85 , -17.72 , , (8+/-2.5) e-10 , 2.35 , 0.165 , < 1.54e-8 , < 5.33e-9 , (6.2+/-2.3) e-10 , (18.1+/-9) e-11 , < 8.58e-11 , FSRQ , N , 30.862
84 , 1FGL J0131.2+6121 , , 22.82292 , 61.35178 , 127.69 , -1.15 , , (35.8+/-5.2) e-10 , 2.268 , 0.084 , (6.5+/-1.5) e-8 , (12.2+/-2.4) e-9 , (24+/-4.7) e-10 , (7.5+/-1.8) e-10 , (4.2+/-1.2) e-10 , Unassociated , N , 7.206
85 , 1FGL J0132.6-1655 , PKS 0130-17 , 23.16292 , -16.9275 , 168.1 , -76.04 , , (24.7+/-3.6) e-10 , 2.559 , 0.064 , (67.7+/-7.3) e-9 , (13.3+/-1.2) e-9 , (22+/-3.4) e-10 , (23.6+/-10) e-11 , < 1.42e-10 , FSRQ , N , 52.173
86 , 1FGL J0134.4+2632 , , 23.61833 , 26.54319 , 134.74 , -35.34 , , (9.1+/-2.7) e-10 , 2.26 , 0.155 , < 2.09e-8 , (4.3+/-1.2) e-9 , (5.9+/-2.3) e-10 , (2.9+/-1.2) e-10 , < 1.56e-10 , Unassociated , N , 11.845
87 , 1FGL J0136.5+3905 , B3 0133+388 , 24.13042 , 39.08558 , 132.41 , -22.96 , , (45.5+/-4.5) e-10 , 1.733 , 0.063 , < 2.64e-8 , (5.3+/-1) e-9 , (24.4+/-3.6) e-10 , (14.6+/-2.3) e-10 , (6.4+/-1.4) e-10 , BL Lac , N , 9.261
88 , 1FGL J0137.0+4751 , OC 457 , 24.25042 , 47.85208 , 130.79 , -14.33 , , (95.9+/-6.5) e-10 , 2.344 , 0.032 , (14.6+/-1) e-8 , (38.4+/-2) e-9 , (78.1+/-5.9) e-10 , (16.7+/-2.5) e-10 , < 2.62e-10 , FSRQ , N , 82.186
89 , 1FGL J0136.3-2220 , , 24.08042 , -22.34019 , 190.19 , -78.75 , , < 8.70e-10 , 1.6 , 0.252 , < 4.66e-9 , < 1.49e-9 , < 5.65e-10 , < 3.85e-10 , < 2.02e-10 , Unassociated , N , 3.085
