_id , fermi1lac_name , other_name , RA , Dec, LII , BII , Gamma Assoc , Flux1Gev-100 Gev , Spectral index , Spectral index Error , Flux100-300 Mev , Flux300Mev-1Gev , Flux1GeV-3Gev , Flux3-10 Gev , Flux10-100 Gev , Optical classification , TeV CAT , Variability index
789 , 1FGL J1400.1-3743 , CRATES J1359-3746 , 210.035 , -37.71778 , 317.65 , 23.18 , , (7.6+/-3.3) e-10 , 1.913 , 0.193 , < 1.52e-8 , < 4.29e-9 , < 9.34e-10 , (3.5+/-1.3) e-10 , < 2.26e-10 , BL Lac , N , 2.932
790 , 1FGL J1359.1+5539 , CRATES J1359+5544 , 209.78542 , 55.66419 , 104.36 , 58.95 , , (8.5+/-2.3) e-10 , 2.66 , 0.146 , < 3.32e-8 , (39+/-9.4) e-10 , (8.1+/-2.2) e-10 , < 2.01e-10 , < 8.56e-11 , FSRQ , N , 32.275
791 , 1FGL J1400.9-5559 , PMN J1400-5605 , 210.22708 , -55.99547 , 312.58 , 5.56 , , (24.2+/-5) e-10 , 2.616 , 0.103 , (7.4+/-1.8) e-8 , (13.1+/-2.5) e-9 , (21.7+/-4.8) e-10 , (2.5+/-1.2) e-10 , < 1.04e-10 , AGU , N , 29.998
792 , 1FGL J1358.1+7646 , CGRaBS J1357+7643 , 209.52958 , 76.77378 , 118.03 , 39.71 , , (11.4+/-2.4) e-10 , 2.249 , 0.165 , < 3.54e-8 , < 4.15e-9 , (6.8+/-2) e-10 , (4.3+/-1.2) e-10 , < 1.22e-10 , FSRQ , N , 13.658
793 , 1FGL J1405.1-6123c , , 211.29833 , -61.39469 , 311.64 , 0.22 , , (19.3+/-1.7) e-9 , 2.268 , 0.041 , < 3.52e-7 , (8.4+/-1.1) e-8 , (17.3+/-1.6) e-9 , (15.5+/-4) e-10 , (5+/-1.7) e-10 , Unassociated , N , 6.796
794 , 1FGL J1405.5-5846 , , 211.39792 , -58.781 , 312.42 , 2.71 , , (15.8+/-6.1) e-10 , 2.101 , 0.212 , < 2.59e-8 , < 1.04e-8 , < 2.29e-9 , < 5.77e-10 , (21.4+/-9.8) e-11 , Unassociated , N , 7.979
795 , 1FGL J1406.2-2510 , , 211.56792 , -25.17008 , 323.6 , 34.67 , , (8.6+/-3) e-10 , 2.046 , 0.168 , < 1.87e-8 , < 5.04e-9 , < 1.07e-9 , (2.3+/-1.1) e-10 , < 2.57e-10 , Unassociated , N , 8.706
796 , 1FGL J1407.5-4256 , CGRaBS J1407-4302 , 211.88792 , -42.9485 , 317.44 , 17.76 , , (10.3+/-3.2) e-10 , 2.132 , 0.164 , < 2.67e-8 , (4.2+/-1.4) e-9 , (7+/-2.8) e-10 , (3+/-1.3) e-10 , < 1.56e-10 , AGU , N , 7.005
797 , 1FGL J1407.5-0944 , , 211.88917 , -9.74228 , 332.11 , 48.76 , , (5.6+/-2.6) e-10 , 2.222 , 0.194 , < 2.33e-8 , < 4.38e-9 , < 8.86e-10 , < 3.65e-10 , < 9.29e-11 , Unassociated , N , 4.125
798 , 1FGL J1407.9-2928 , , 211.9825 , -29.47489 , 322.26 , 30.5 , , < 9.65e-10 , 2.536 , 0.218 , < 2.96e-8 , < 4.86e-9 , < 7.67e-10 , < 3.22e-10 , < 1.58e-10 , Unassociated , N , 6.503
799 , 1FGL J1408.9-0751 , PKS 1406-076 , 212.23125 , -7.85019 , 333.89 , 50.3 , , (17.7+/-3.4) e-10 , 2.42 , 0.083 , (40.4+/-10) e-9 , (9.5+/-1.3) e-9 , (15.3+/-3.1) e-10 , < 4.35e-10 , < 1.93e-10 , FSRQ , N , 24.002
800 , 1FGL J1410.3-6128c , , 212.59708 , -61.46928 , 312.21 , -0.04 , 1AGL J1412-6149 , (14.1+/-1.7) e-9 , 2.122 , 0.056 , < 5.73e-7 , < 7.21e-8 , (11.2+/-1.6) e-9 , (21.7+/-4.5) e-10 , (7.1+/-2) e-10 , Potential SNR , N , 5.944
801 , 1FGL J1413.4-6205 , LAT PSR J1413-6205 , 213.37458 , -62.094 , 312.37 , -0.74 , 1AGL J1412-6149 , (26.2+/-1.6) e-9 , 2.107 , 0.035 , < 1.31e-7 , (67+/-8.7) e-9 , (20.8+/-1.5) e-9 , (50.1+/-5.4) e-10 , (3.9+/-1.5) e-10 , Pulsar , N , 11.782
802 , 1FGL J1412.6+7406 , , 213.1525 , 74.11228 , 115.6 , 41.84 , , (5.4+/-2.3) e-10 , 2.709 , 0.408 , < 2.72e-8 , < 2.06e-9 , < 8.06e-10 , < 2.43e-10 , < 1.95e-10 , Unassociated , N , 10.419
803 , 1FGL J1416.2-1001 , , 214.0725 , -10.03078 , 334.77 , 47.52 , , (7.2+/-2.7) e-10 , 2.589 , 0.154 , < 4.15e-8 , (4+/-1.2) e-9 , (6.5+/-2.4) e-10 , < 2.58e-10 , < 1.25e-10 , Unassociated , N , 7.489
804 , 1FGL J1417.7-5030 , , 214.43958 , -50.51108 , 316.67 , 10.04 , , (15.1+/-4.3) e-10 , 2.62 , 0.191 , < 6.10e-8 , < 5.64e-9 , (13.1+/-4) e-10 , < 3.96e-10 , < 2.45e-10 , Unassociated , N , 5.596
805 , 1FGL J1417.7-4407 , , 214.42792 , -44.13208 , 318.86 , 16.05 , , (13.6+/-3.6) e-10 , 2.35 , 0.152 , (4.8+/-1.3) e-8 , < 4.90e-9 , (10.6+/-3.3) e-10 , (2.7+/-1.3) e-10 , < 1.77e-10 , Unassociated , N , 8.57
806 , 1FGL J1418.7-6057 , LAT PSR J1418-6058 , 214.68208 , -60.96097 , 313.32 , 0.13 , 1AGL J1419-6055 , (43.9+/-3.3) e-9 , 2.232 , 0.028 , < 7.71e-7 , (11.4+/-2.9) e-8 , (37.9+/-3.2) e-9 , (57.7+/-7.3) e-10 , (2.6+/-1.2) e-10 , Pulsar , N , 10.164
807 , 1FGL J1417.8+2541 , 2E 1415+2557 , 214.46375 , 25.684 , 33.55 , 70.61 , , (8.3+/-2.5) e-10 , 2.123 , 0.173 , < 1.64e-8 , < 3.47e-9 , (6.1+/-2.1) e-10 , < 3.72e-10 , < 2.03e-10 , BL Lac , N , 6.883
808 , 1FGL J1418.3-0235 , SDSS J141826.33-023334.1 , 214.59792 , -2.58919 , 341.53 , 53.63 , , (18.7+/-3.2) e-10 , 1.864 , 0.112 , < 1.06e-8 , < 4.43e-9 , (10.2+/-2.6) e-10 , (7.8+/-1.7) e-10 , < 1.99e-10 , BL Lac , N , 9.002
809 , 1FGL J1420.1-6048 , PSR J1420-6048 , 215.03417 , -60.80458 , 313.54 , 0.22 , 1AGL J1419-6055 , (23.7+/-3.1) e-9 , 2.248 , 0.035 , < 7.65e-7 , (12.6+/-2.7) e-8 , (19.7+/-3) e-9 , (35.9+/-6.4) e-10 , (4+/-1.4) e-10 , Pulsar , N , 9.399
