_id , pccs1f100_name , other_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
3683 , "PCCS1 100 G107.73+03.02 "  ,, 339.15167 , 61.85528 , 107.73501 , 3.02904 , "609.6+/-98.5" , "1044+/-377.6" , "836.2+/-67.6" , "1180.2+/-105.8" , 1 , "No" , 27 , 2 , "PLCKERC100 G107.72+03.07" , "13.6+/-1.6" , "11+/-1.3" , "37.6+/-0.000" , 12.2
3684 , "PCCS1 100 G078.15-39.76 "  ,, 339.36583 , 11.18444 , 78.15933 , -39.76656 , "305.3+/-58.3" , "555+/-153.1" , "399.2+/-39.1" , "777.5+/-66.4" , 1 , "No" , 7 , 0 , " " , "14.6+/-1.9" , "13.1+/-1.7" , "111.5+/-0.000" , 13.8
3685 , "PCCS1 100 G114.64+14.50 "  ,, 339.76542 , 75.20139 , 114.64957 , 14.50202 , "922.4+/-60.6" , "2436.4+/-830" , "1737.8+/-122" , "5305.3+/-805.3" , 1 , "Yes" , 25 , 1 , "PLCKERC100 G114.65+14.50" , "22.5+/-4.7" , "15.3+/-3.6" , "36.1+/-0.000" , 18.6
3686 , "PCCS1 100 G331.76-52.03 "  ,, 339.79708 , -57.04806 , 331.76876 , -52.03058 , "871.1+/-59.3" , "963.4+/-210.9" , "883.2+/-40.1" , "931.3+/-62.5" , 1 , "No" , 0 , 2 , "PLCKERC100 G331.84-52.05" , "11.2+/-0.9" , "9.4+/-0.8" , "83.4+/-0.000" , 10.2
3687 , "PCCS1 100 G107.86+02.29 "  ,, 340.15167 , 61.27806 , 107.86914 , 2.2927 , "554.6+/-96.6" , "785.2+/-547.5" , "649.2+/-74.3" , "1043.1+/-161.1" , 1 , "No" , 26 , 1 , " " , "16.4+/-3.2" , "9.5+/-1.9" , "39.9+/-0.000" , 12.5
3688 , "PCCS1 100 G096.36-18.11 "  ,, 340.23958 , 37.93667 , 96.36051 , -18.11178 , "285.8+/-57.2" , "323.5+/-180.3" , "287.7+/-38.3" , "-" , 1 , "Not available" , 84 , 2 , " " , "-" , "-" , "-" , -9.9
3689 , "PCCS1 100 G078.16-41.44 "  ,, 340.455 , 9.89778 , 78.16522 , -41.44045 , "395.7+/-70.2" , "364.1+/-210.3" , "358+/-48" , "416.9+/-70.7" , 1 , "No" , 6 , 2 , " " , "11.4+/-2.3" , "9.3+/-1.9" , "117.7+/-0.000" , 10.3
3690 , "PCCS1 100 G028.35-61.36 "  ,, 340.83583 , -25.73889 , 28.35278 , -61.36778 , "402.3+/-59.7" , "532.7+/-227.2" , "416.5+/-43.7" , "1178.3+/-110.3" , 1 , "Yes" , 0 , 2 , "PLCKERC100 G028.39-61.37" , "19.8+/-2.6" , "12.5+/-1.8" , "127.4+/-0.000" , 15.7
3691 , "PCCS1 100 G098.48-15.80 "  ,, 341.04208 , 40.94278 , 98.48233 , -15.80922 , "582.4+/-57.5" , "699.8+/-205.2" , "599.5+/-40.6" , "765.5+/-76.5" , 1 , "No" , 20 , 2 , "PLCKERC100 G098.48-15.82" , "12.5+/-1.5" , "10+/-1.3" , "167+/-0.000" , 11.1
3692 , "PCCS1 100 G048.19-58.49 "  ,, 341.32208 , -15.44306 , 48.19954 , -58.49255 , "269+/-53" , "370.4+/-154.5" , "332+/-36.3" , "926.7+/-106.9" , 1 , "Yes" , 0 , 1 , " " , "22.6+/-4.1" , "13.3+/-2.5" , "0.6+/-0.000" , 17.3
