_id ,wmap3_name  , RA, Dec , LII , BII , Redshift , Source classification , Rflux(5GHz) , Rflux(1p4 GHz) , Rflux(23GHz) , Rflux(33GHz) , Rflux(41GHz) , Rflux(61GHz) , Rflux(94GHz) , Ecliptic_coords, other_name
187 , "WMAP3 J1357-1529" , 209.29667 , -15.45806 , "325.42" , "44.52" , 1.89 , "Blazar Q-type" , 841 , 682 , 900 , 0 , 1000 , 1100 , "987" , 211.9589 , "PKS1354-152 "
188 , "WMAP3 J1357+7644" , 209.48083 , 76.72222 , "118.02" , "39.76" , 0 , "Blazar Unknown-type" , 844 , 647 , 700 , 900 , 800 , 800 , 1300 , 124.4886 , "S51357+769 "
189 , "WMAP3 J1408-0749" , 212.235 , -7.87417 , "333.88" , "50.28" , 1.494 , "Blazar Q-type" , 1080 , 689 , 1200 , 1000 , 1100 , 0 , 900 , 212.0661 , "PKS1406-076 "
190 , "WMAP3 J1411+5216" , 212.83542 , 52.2025 , "97.51" , "60.8" , 0.464 , "Misd. NT-AGN RGal-type" , 7374 , 22720 , 800 , 500 , 0 , 0 , "384" , 178.2426 , "3C295 "
191 , "WMAP3 J1419+5425" , 214.94417 , 54.38722 , "98.29" , "58.31" , 0.153 , "Blazar B-type" , 1350 , 788 , 900 , 800 , 900 , 1500 , 1600 , 177.2052 , "1Jy1418+546 "
192 , "WMAP3 J1419+3823" , 214.94417 , 38.36333 , "69.79" , "68.37" , 1.831 , "Blazar Q-type" , 651 , 612 , 900 , 1100 , 1000 , 1100 , "987" , 193.707 , "B31417+385 "
193 , "WMAP3 J1420+2702" , 214.99708 , 27.10694 , "37.96" , "70.32" , 0.536 , "Blazar Q-type" , 415 , 244 , 900 , 1000 , 1100 , 1100 , "987" , 200.7915 , "GB6J1419+2706 "
194 , "WMAP3 J1427-3303" , 216.9225 , -33.09194 , "325.18" , "25.58" , 0 , "Unidentified " , 352 , 161 , 1000 , 1500 , 1700 , 1600 , "1436" , 224.6923 , "PKS1424-328 "
195 , "WMAP3 J1427-4206" , 216.98458 , -42.10528 , "321.44" , "17.26" , 1.522 , "Blazar Q-type" , 2597 , 3910 , 3200 , 3000 , 2900 , 2400 , "2154" , 228.0718 , "PKS1424-41 "
196 , "WMAP3 J1440+4958" , 219.94917 , 49.96806 , "88.05" , "59.18" , 0 , "Blazar B-type" , 198 , 111 , 0 , 0 , 0 , 800 , 1800 , 187.8662 , "GB6J1439+4958 "
197 , "WMAP3 J1442+5156" , 220.76125 , 52.02694 , "90.52" , "57.5" , 0.141 , "Misd. NT-AGN QSO-type" , 1070 , 2543 , 900 , 1000 , 800 , 1100 , "987" , 186.0215 , "3C303 "
198 , "WMAP3 J1458+7140" , 224.78167 , 71.67194 , "109.98" , "42.09" , 0.905 , "Misd. NT-AGN QSO-type" , 3567 , 7469 , 1400 , 1400 , 1100 , 900 , 1000 , 141.2851 , "3C309.1 "
199 , "WMAP3 J1504+1029" , 226.10375 , 10.49389 , "11.37" , "54.58" , 1.839 , "Blazar Q-type" , 2325 , 1774 , 1800 , 1800 , 1600 , 0 , "1300" , 219.5727 , "PKS1502+106 "
200 , "WMAP3 J1506-1644" , 226.77 , -16.875 , "343.64" , "35.05" , 0.876 , "Blazar Q-type" , 2840 , 2711 , 1400 , 1500 , 1000 , 0 , "812" , 228.3458 , "PKS1504-167 "
201 , "WMAP3 J1510-0548" , 227.72292 , -5.71861 , "353.9" , "42.93" , 1.185 , "Blazar Q-type" , 1742 , 3569 , 1100 , 0 , 1400 , 0 , "1137" , 226.1928 , "4C-05.64 "
202 , "WMAP3 J1512-0905" , 228.21042 , -9.1 , "351.28" , "40.13" , 0.36 , "Blazar Q-type" , 3080 , 2701 , 1700 , 1800 , 1800 , 1900 , 1300 , 227.5949 , "PKS1510-08 "
203 , "WMAP3 J1514-1013" , 228.43708 , -10.2 , "350.54" , "39.17" , 1.513 , "Blazar Q-type" , 1220 , 875 , 900 , 900 , 1100 , 800 , "718" , 228.1091 , "PKS1511-10 "
204 , "WMAP3 J1516+0013" , 229.1675 , 0.25056 , "1.38" , "45.98" , 0.052 , "Misd. NT-AGN RGal-type" , 1641 , 923 , 1600 , 1900 , 1700 , 1500 , "1346" , 225.9426 , "4C00.56 "
205 , "WMAP3 J1517-2421" , 229.42417 , -24.37194 , "340.68" , "27.57" , 0.049 , "Blazar B-type" , 2013 , 2042 , 1800 , 1800 , 1900 , 1800 , 2300 , 232.7407 , "APLIB "
206 , "WMAP3 J1540+1446" , 235.20625 , 14.79611 , "24.32" , "48.79" , 0.605 , "Blazar B-type" , 1210 , 1387 , 1100 , 0 , 800 , 1000 , "897" , 227.9487 , "4C14.60 "
207 , "WMAP3 J1549+5037" , 237.32292 , 50.635 , "80.24" , "49.06" , 2.175 , "Blazar Q-type" , 731 , 630 , 1000 , 800 , 900 , 800 , 1100 , 207.3161 , "S41547+507 "
208 , "WMAP3 J1549+0236" , 237.3725 , 2.61694 , "10.84" , "40.9" , 0.414 , "Blazar Q-type" , 1078 , 836 , 2200 , 2400 , 2100 , 1900 , 1900 , 233.7508 , "PKS1546+027 "
209 , "WMAP3 J1550+0526" , 237.64708 , 5.45278 , "14.21" , "42.23" , 1.422 , "Blazar Q-type" , 1766 , 2303 , 2400 , 2400 , 2000 , 1900 , 1900 , 233.3201 , "4C05.64 "
210 , "WMAP3 J1556-7912" , 239.24542 , -79.23444 , "311.17" , "-19.48" , 0.15 , "Misd. NT-AGN RGal-type" , 4676 , 6164 , 800 , 400 , 500 , 0 , "406" , 259.2359 , "PKS1549-79 "
211 , "WMAP3 J1601+3329" , 240.53 , 33.44806 , "53.73" , "48.71" , 1.1 , "Blazar Unknown-type" , 1656 , 2991 , 900 , 800 , 900 , 700 , "628" , 226.7495 , "4C33.38 "
212 , "WMAP3 J1608+1028" , 242.19208 , 10.48528 , "23.02" , "40.78" , 1.226 , "Blazar Q-type" , 1412 , 1392 , 2300 , 2400 , 2200 , 1900 , 2100 , 236.9986 , "4C10.45 "
213 , "WMAP3 J1613+3412" , 243.42083 , 34.21306 , "55.14" , "46.37" , 1.397 , "Blazar Q-type" , 2324 , 4024 , 3900 , 3400 , 3300 , 2800 , 1800 , 230.1706 , "OS319 "
214 , "WMAP3 J1617-7716" , 244.45542 , -77.28833 , "313.43" , "-18.86" , 1.71 , "Blazar Q-type" , 3350 , 4092 , 2400 , 2200 , 2000 , 1700 , "1525" , 259.854 , "PKS1610-77 "
215 , "WMAP3 J1633+8227" , 248.10875 , 82.53889 , "115.76" , "31.19" , 0.024 , "Misd. NT-AGN RGal-type" , 1460 , 801 , 1300 , 1500 , 1400 , 1400 , "1256" , 98.9753 , "NGC6251 "
216 , "WMAP3 J1635+3807" , 248.81417 , 38.13444 , "61.08" , "42.33" , 1.813 , "Blazar Q-type" , 3221 , 2726 , 4200 , 4900 , 4900 , 4500 , 3900 , 235.6598 , "4C38.41 "
217 , "WMAP3 J1637+4714" , 249.43792 , 47.2925 , "73.43" , "41.87" , 0.74 , "Blazar Q-type" , 1244 , 1062 , 800 , 0 , 900 , 700 , "628" , 229.9249 , "4C47.44 "
218 , "WMAP3 J1638+5722" , 249.55583 , 57.34 , "86.63" , "40.36" , 0.75 , "Blazar Q-type" , 1750 , 1199 , 1300 , 1400 , 1500 , 1600 , 1200 , 213.6769 , "S41637+574 "
219 , "WMAP3 J1642+6853" , 250.5325 , 68.94389 , "100.7" , "36.62" , 0.751 , "Blazar Q-type" , 1527 , 1720 , 1000 , 1000 , 900 , 1000 , 800 , 152.4786 , "4C69.21 "
220 , "WMAP3 J1642+3948" , 250.74458 , 39.81028 , "63.45" , "40.95" , 0.593 , "Blazar Q-type" , 8719 , 7099 , 6900 , 6500 , 6000 , 5300 , 4000 , 237.628 , "3C345 "
221 , "WMAP3 J1643-7712" , 251.06708 , -77.26333 , "314.43" , "-19.97" , 0.043 , "Misd. NT-AGN RGal-type" , 2268 , 0 , 800 , 900 , 800 , 600 , "538" , 262.2628 , "PKS1637-77 "
