_id , pccs1f545_name , other_name, RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
16451 , "PCCS1 545 G110.19+02.58 " ,, 344.27875 , 62.59694 , 110.1992 , 2.58609 , "9.6e+4+/-2031.3" , "2.8e+5+/-5.9e+4" , "2.8e+5+/-1.5e+4" , "5.9e+5+/-4.5e+4" , 0.5 , "Yes" , 47 , 2 , "PLCKERC545 G110.22+02.57" , "11.4+/-1" , "7.1+/-0.6" , "48.3+/-0.000" , 9
16452 , "PCCS1 545 G084.03-41.88 " ,, 344.28542 , 12.19472 , 84.03335 , -41.88454 , "1636.5+/-207.2" , "4213.8+/-1664.4" , "4929+/-460.3" , "3.5e+4+/-2693.7" , 0.5 , "Yes" , 26 , 1 , "PLCKERC545 G084.05-41.88" , "22.7+/-2.8" , "10.8+/-1.2" , "84+/-0.000" , 15.7
16453 , "PCCS1 545 G109.92+01.98 " ,, 344.30167 , 61.93778 , 109.92795 , 1.9851 , "3.2e+4+/-2807.8" , "4.5e+4+/-5.0e+4" , "1.1e+5+/-4.5e+4" , "-" , 0.5 , "Yes" , 49 , 1 , " " , "12.6+/-0.6" , "5.2+/-2" , "90.9+/-0.000" , 8.1
16454 , "PCCS1 545 G350.24-61.81 " ,, 344.32042 , -43.38556 , 350.2475 , -61.81455 , "1122.7+/-96" , "1507.3+/-179.2" , "1409.4+/-56.1" , "2398+/-140" , 0.5 , "Yes" , 1 , 2 , "PLCKERC545 G350.26-61.81" , "10+/-0.6" , "6+/-0.4" , "53+/-0.000" , 7.7
16455 , "PCCS1 545 G354.79-62.76 " ,, 344.33958 , -41.06833 , 354.79523 , -62.76352 , "1647+/-100.6" , "3014.2+/-259" , "2468.7+/-81.4" , "3806+/-178.1" , 0.5 , "Yes" , 1 , 2 , "PLCKERC545 G354.81-62.75" , "8.4+/-0.4" , "6.5+/-0.3" , "59.2+/-0.000" , 7.4
16456 , "PCCS1 545 G020.46-64.92 " ,, 344.42667 , -29.63056 , 20.46887 , -64.9222 , "502+/-85.6" , "400.7+/-175.4" , "382.7+/-69.2" , "-" , 0.5 , "Not available" , 1 , 2 , " " , "-" , "-" , "-" , -9.9
16457 , "PCCS1 545 G108.61-00.97 " ,, 344.44625 , 58.70361 , 108.61958 , -0.97361 , "2.9e+4+/-1287" , "5.0e+4+/-2.3e+4" , "5.3e+4+/-2.3e+4" , "-" , 0.5 , "Not available" , 41 , 2 , " " , "-" , "-" , "-" , -9.9
16458 , "PCCS1 545 G005.94-64.39 " ,, 344.48583 , -35.85778 , 5.94075 , -64.39074 , "930.3+/-88.1" , "969.2+/-121.5" , "840.3+/-55.1" , "961.8+/-66.7" , 0.5 , "No" , 2 , 2 , "PLCKERC545 G005.95-64.38" , "7+/-0.5" , "4.7+/-0.3" , "13.1+/-0.000" , 5.7
16459 , "PCCS1 545 G110.28+02.54 " ,, 344.48667 , 62.59833 , 110.28664 , 2.54667 , "5.6e+4+/-2552.5" , "2.5e+5+/-7.0e+4" , "2.8e+5+/-1.5e+4" , "9.7e+5+/-7.2e+4" , 0.5 , "Yes" , 46 , 2 , " " , "16+/-1.5" , "9.2+/-0.9" , "46.3+/-0.000" , 12.1
16460 , "PCCS1 545 G010.78-64.75 " ,, 344.49583 , -33.745 , 10.78908 , -64.75596 , "1081.1+/-94.8" , "1032.2+/-157.7" , "975.7+/-54.4" , "-" , 0.5 , "Not available" , 2 , 2 , "PLCKERC545 G010.79-64.76" , "-" , "-" , "-" , -9.9
16461 , "PCCS1 545 G108.96-00.29 " ,, 344.49583 , 59.46 , 108.96278 , -0.29893 , "2.9e+4+/-2731.3" , "1.1e+5+/-2.8e+4" , "1.6e+5+/-1.1e+4" , "5.8e+5+/-2.6e+4" , 0.5 , "Yes" , 47 , 0 , " " , "14.4+/-0.8" , "9.5+/-0.6" , "74.2+/-0.000" , 11.7
16462 , "PCCS1 545 G098.18-22.12 " ,, 344.50792 , 35.2425 , 98.1821 , -22.1207 , "1130.8+/-149.6" , "2278.6+/-1835" , "3064.5+/-496.2" , "1.3e+4+/-2571.8" , 0.5 , "Yes" , 21 , 1 , " " , "18.8+/-4.6" , "9.1+/-2.3" , "140.4+/-0.000" , 13.1
16463 , "PCCS1 545 G068.73-54.26 " ,, 344.51708 , -3.78833 , 68.73192 , -54.26414 , "496.9+/-93.1" , "782.7+/-377.8" , "956.9+/-89.3" , "4458.8+/-441.7" , 0.5 , "Yes" , 3 , 2 , " " , "19.4+/-2.1" , "7.9+/-1" , "170.8+/-0.000" , 12.4
16464 , "PCCS1 545 G024.36-64.91 " ,, 344.51875 , -27.98333 , 24.36026 , -64.91621 , "1027+/-95.8" , "868.1+/-107.2" , "895.9+/-60.3" , "-" , 0.5 , "Not available" , 1 , 1 , "PLCKERC545 G024.40-64.92" , "-" , "-" , "-" , -9.9
16465 , "PCCS1 545 G110.06+01.93 " ,, 344.60417 , 61.95361 , 110.06346 , 1.93906 , "1.7e+4+/-2241.1" , "3.3e+4+/-1.7e+4" , "-" , "-" , 0.5 , "Not available" , 52 , 1 , " " , "-" , "-" , "-" , -9.9
16466 , "PCCS1 545 G108.81-00.79 " ,, 344.63917 , 58.95 , 108.81407 , -0.79238 , "4.5e+4+/-2260.6" , "4.9e+4+/-3.5e+4" , "4.6e+4+/-2.2e+4" , "2.2e+5+/-3.1e+4" , 0.5 , "Yes" , 38 , 1 , " " , "19.2+/-0.3" , "7.7+/-1.4" , "144.2+/-0.000" , 12.2
16467 , "PCCS1 545 G055.75-60.02 " ,, 344.67125 , -12.85444 , 55.7574 , -60.02274 , "472.3+/-94.5" , "484.9+/-129.1" , "598.3+/-53.5" , "3284.5+/-260.1" , 0.5 , "Yes" , 1 , 0 , " " , "22.1+/-2.7" , "12.9+/-1.6" , "2+/-0.000" , 16.9
16468 , "PCCS1 545 G073.46-51.57 " ,, 344.67208 , 0.12806 , 73.4648 , -51.57479 , "809.9+/-114.4" , "3331.7+/-987.1" , "3557.5+/-210.8" , "1.2e+4+/-844.7" , 0.5 , "Yes" , 7 , 1 , "PLCKERC545 G073.40-51.54" , "18.9+/-1.7" , "9.1+/-0.8" , "55.3+/-0.000" , 13.1
16469 , "PCCS1 545 G109.05-00.33 " ,, 344.6925 , 59.47028 , 109.05772 , -0.33181 , "1.0e+5+/-1778.4" , "2.1e+5+/-5.1e+4" , "1.9e+5+/-9984.5" , "3.5e+5+/-3.3e+4" , 0.5 , "Yes" , 48 , 2 , "PLCKERC545 G109.05-00.32" , "10.2+/-1.1" , "6.7+/-0.7" , "67.3+/-0.000" , 8.3
16470 , "PCCS1 545 G110.34+02.41 " ,, 344.71875 , 62.50778 , 110.34542 , 2.41929 , "2.9e+4+/-2735.6" , "1.0e+5+/-4.5e+4" , "1.1e+5+/-1.9e+4" , "2.0e+5+/-3.0e+4" , 0.5 , "Yes" , 49 , 1 , " " , "15.4+/-0.4" , "6.2+/-1.2" , "45.3+/-0.000" , 9.8
16471 , "PCCS1 545 G108.77-00.97 " ,, 344.71958 , 58.77194 , 108.77693 , -0.97148 , "2.2e+5+/-2528.5" , "3.9e+5+/-3.9e+4" , "3.9e+5+/-1.1e+4" , "5.0e+5+/-2.4e+4" , 0.5 , "Yes" , 39 , 2 , "PLCKERC545 G108.75-00.96" , "8.7+/-0.4" , "6.3+/-0.3" , "44.9+/-0.000" , 7.4
16472 , "PCCS1 545 G044.83-62.90 " ,, 344.76958 , -18.80167 , 44.83722 , -62.90136 , "428.7+/-86.4" , "191.6+/-122.2" , "177.7+/-54.4" , "-" , 0.5 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
16473 , "PCCS1 545 G103.35-12.55 " ,, 344.77167 , 46.00389 , 103.35664 , -12.55379 , "1481.2+/-184.8" , "4977.9+/-813.1" , "4689.3+/-307.3" , "2.8e+4+/-1203.8" , 0.5 , "Yes" , 9 , 1 , "PLCKERC545 G103.36-12.54" , "18.5+/-1.1" , "12.5+/-0.8" , "145+/-0.000" , 15.2
16474 , "PCCS1 545 G322.87-50.25 " ,, 344.86667 , -62.31444 , 322.87447 , -50.2557 , "388+/-75.4" , "600.3+/-206.4" , "580.7+/-44.1" , "1226.8+/-162.8" , 0.5 , "Yes" , 0 , 0 , " " , "14.1+/-2.1" , "6.2+/-0.9" , "42.9+/-0.000" , 9.4
