_id , ercsc_857_name , other_name , RA , Dec , LII , BII , flux density +/- err (mJy) , Detected flux +/- err (mJy) , PSF flux +/- err (mJy) , Gaussian fit flux +/- err (mJy) , PositionError (arcmin) , CMB subtracted , Extended , N. of observations , Reliability +/- err
4285 , "PLCKERC857 G285.56+05.43" ,, 163.0025 , -53.35889 , 285.56746 , 5.43799 , "3.4e+4+/-3460" , "9.39e+4+/-1594.3" , "2.6e+4+/-2817.14" , "1.2e+5+/-1.13e+4" , 0.422 , 0 , 1 , 1 , "0.953+/-0.044"
4286 , "PLCKERC857 G238.33+57.15" ,, 163.01375 , 10.14111 , 238.33266 , 57.15876 , "2000.6+/-226" , "2180.28+/-68.7" , "1954.4+/-129.29" , "2686.4+/-360.37" , 0.305 , 0 , 0 , 2 , "0.893+/-0.043"
4287 , "PLCKERC857 G148.24+52.44" ,, 163.01917 , 58.41694 , 148.24344 , 52.44441 , "812.7+/-100" , "965.15+/-61.8" , "858.7+/-99.8" , "1238.8+/-321.52" , 0.305 , 0 , 0 , 2 , "0.85+/-0.043"
4288 , "PLCKERC857 G286.87+02.90" ,, 163.07333 , -56.205 , 286.87068 , 2.90569 , "2.2e+5+/-1e+4" , "3.11e+5+/-1234.9" , "2.2e+5+/-9186.17" , "2.7e+5+/-1.24e+4" , 0.422 , 0 , 0 , 1 , "0.944+/-0.045"
4289 , "PLCKERC857 G169.63+60.68" ,, 163.08833 , 44.13833 , 169.6379 , 60.6865 , "1123.4+/-181" , "1171.58+/-49" , "1130.3+/-108.74" , "3197.1+/-703.12" , 0.305 , 0 , 1 , 2 , "0.846+/-0.042"
4290 , "PLCKERC857 G184.75+63.16" ,, 163.13375 , 36.62667 , 184.75359 , 63.16412 , "4637+/-175" , "5143.27+/-70.8" , "4639.6+/-216.13" , "5513.5+/-284.05" , 0.305 , 0 , 0 , 2 , "1+/-0.047"
4291 , "PLCKERC857 G215.18+62.82" ,, 163.15167 , 22.93306 , 215.18526 , 62.82191 , "4165.5+/-108" , "4423.37+/-71.8" , "4221.1+/-168.06" , "4442.6+/-260.05" , 0.305 , 0 , 0 , 2 , "0.942+/-0.045"
4292 , "PLCKERC857 G260.42+43.62" ,, 163.15417 , -9.22722 , 260.42465 , 43.62309 , "1650.3+/-298" , "4781.17+/-104.8" , "1558.2+/-194.72" , "9461.6+/-1714.65" , 0.305 , 0 , 1 , 2 , "0.948+/-0.044"
4293 , "PLCKERC857 G271.68+30.38" ,, 163.21792 , -25.19694 , 271.68292 , 30.38424 , "3010.6+/-422" , "3732.05+/-90.6" , "1951.9+/-240.99" , "2937.6+/-1102.1" , 0.305 , 0 , 1 , 2 , "0.839+/-0.042"
4294 , "PLCKERC857 G210.90+63.37" ,, 163.25458 , 24.94472 , 210.90206 , 63.37121 , "1.1e+4+/-1334" , "1.84e+4+/-87.5" , "1.0e+4+/-623.45" , "1.8e+4+/-1844.76" , 0.305 , 0 , 0 , 2 , "1+/-0.047"
4295 , "PLCKERC857 G164.63+59.56" ,, 163.32542 , 46.86528 , 164.63634 , 59.56282 , "2862+/-403" , "5918.94+/-89.1" , "2152.4+/-303.45" , "1.4e+4+/-1536.92" , 0.305 , 0 , 1 , 2 , "0.979+/-0.046"
4296 , "PLCKERC857 G212.11+63.41" ,, 163.42333 , 24.42278 , 212.11297 , 63.41528 , "2705.5+/-359" , "3756.02+/-81.7" , "1942.2+/-163.2" , "5467.9+/-670.54" , 0.305 , 0 , 1 , 2 , "0.867+/-0.043"
4297 , "PLCKERC857 G276.64+22.93" ,, 163.4375 , -33.86 , 276.64067 , 22.93382 , "3602.5+/-366" , "5833.65+/-194.6" , "2668.8+/-264.66" , "1.0e+4+/-1619.45" , 0.305 , 0 , 1 , 2 , "0.845+/-0.042"
