_id ,fermilbas_name,other_name,RA,Dec,LII,BII,Flux100 Mev,Spectral_index,Sigma,Associated_name,Association_Probability,FoM,FluxPeak,Flux_Summed,Redshift,Classification,Variability
22 , 0FGLJ0303.7-2410 , PKS 0301-243 , 45.94 , -24.176 , 214.76 , -60.12 , (38+/-9) e-9 , 2.01 , 12.3 , PKS 0301-243 , 1 , 9.32 , (8+/-2.8) e-8 , (29+/-9) e-9 , 0.26 , BL Lac , - 
23 , 0FGLJ0320.0+4131 , NGC 1275 , 50 , 41.52397 , 150.6 , -13.23 , (22.1+/-1.9) e-8 , 2.17 , 29.7 , 0316+413 , 1 , 33.67 , (35.9+/-5.3) e-8 , (18.2+/-1.4) e-8 , 0.018 , RadioGalaxy , T 
24 , 0FGLJ0334.1-4006 , PKS 0332-403 , 53.54583 , -40.107 , 244.7 , -54.09 , (5.3+/-1.1) e-8 , 2.15 , 13.2 , PKS 0332-403 , 1 , 63.24 , (11.2+/-3.1) e-8 , (4.9+/-1.4) e-8 , 0 , BL Lac , - 
25 , 0FGLJ0349.8-2102 , PKS 0347-211 , 57.465 , -21.046 , 214.38 , -49.04 , (19.2+/-2.3) e-8 , 2.55 , 21.2 , CGRaBS J0349-2102 , 0.99 , 47.4 , (27.8+/-5) e-8 , (17.3+/-1.6) e-8 , 2.944 , FSRQ , - 
26 , 0FGLJ0407.6-3829 , PKS 0405-385 , 61.92292 , -38.491 , 241.35 , -47.76 , (7.5+/-1.5) e-8 , 2.31 , 13.5 , - , 0 , 3 , (22.2+/-4.1) e-8 , (6.9+/-1.3) e-8 , 1.285 , FSRQ , T 
27 , 0FGLJ0412.9-5341 , - , 63.23 , -53.686 , 262.99 , -44.72 , (5.4+/-1.3) e-8 , 2.3 , 10.7 , - , 0 , 1.92 , (12.3+/-3.8) e-8 , (6+/-1.3) e-8 , 0 , AGN , - 
28 , 0FGLJ0423.1-0112 , PKS 0420-014 , 65.785 , -1.204 , 195.12 , -33.1 , (8.1+/-2.2) e-8 , 2.38 , 11.5 , CRATESJ0423-0120 , 0.84 , 4.26 , (13.4+/-4) e-8 , (10.5+/-3.1) e-8 , 0.915 , FSRQ , - 
29 , 0FGLJ0428.7-3755 , PKS 0426-380 , 67.19292 , -37.923 , 240.68 , -43.6 , (24.5+/-1.8) e-8 , 2.14 , 39.6 , CGRaBS J0428-3756 , 1 , 54.09 , (31.5+/-4.7) e-8 , (23.1+/-1.6) e-8 , 1.112 , BL Lac , - 
30 , 0FGLJ0449.7-4348 , PKS 0447-439 , 72.43458 , -43.81497 , 248.77 , -39.87 , (12+/-1.3) e-8 , 2.01 , 28.4 , PKS 0447-439 , 1 , 5.52 , (21.1+/-4.2) e-8 , (12.2+/-1.4) e-8 , 0.205 , BL Lac , - 
31 , 0FGLJ0457.1-2325 , PKS 0454-234 , 74.28792 , -23.432 , 223.73 , -34.89 , (41.8+/-2.3) e-8 , 2.23 , 52.3 , CGRaBS J0457-2324 , 1 , 35.74 , (64.2+/-6.4) e-8 , (36.6+/-1.8) e-8 , 1.003 , FSRQ , T 
32 , 0FGLJ0507.9+6739 , 1ES 0502+675 , 76.985 , 67.65 , 143.77 , 15.9 , (17+/-8) e-9 , 1.67 , 13.2 , 1ES 0502+675 , 1 , 4.74 , (5.2+/-1.7) e-8 , (3+/-1) e-9 , 0.416 , BL Lac , - 
33 , 0FGLJ0516.2-6200 , PKS 0516-621 , 79.06292 , -62 , 271.37 , -34.84 , (5.4+/-1.7) e-8 , 2.17 , 11.2 , CGRaBS J0516-6207 , 0.94 , 12.04 , (11.1+/-3.3) e-8 , (4+/-1) e-9 , 0 , AGN , - 
34 , 0FGLJ0531.0+1331 , PKS 0528+134 , 82.76083 , 13.528 , 191.38 , -11 , (24.3+/-2.9) e-8 , 2.54 , 17.3 , CRATES J0530+1331 , 1 , 65.48 , (39.5+/-6.7) e-8 , (23.6+/-2.1) e-8 , 2.07 , FSRQ , T 
35 , 0FGLJ0538.8-4403 , PKS 0537-441 , 84.72458 , -44.062 , 250.05 , -31.08 , (37.6+/-2.2) e-8 , 2.19 , 48.6 , BZBJ0538-4405 , 0.99 , 53.8 , (49.7+/-5.6) e-8 , (34.3+/-1.8) e-8 , 0.892 , BL Lac , T 
36 , 0FGLJ0654.3+5042 , - , 103.59167 , 50.711 , 165.67 , 21.1 , (5.5+/-1.1) e-8 , 2 , 15.6 , CGRaBS J0654+5042 , 1 , 49.98 , (9.5+/-2.6) e-8 , (4.9+/-1.3) e-8 , 0 , AGN , T 
37 , 0FGLJ0654.3+4513 , B3 0650+453 , 103.58958 , 45.22 , 171.22 , 19.37 , (23.8+/-2.1) e-8 , 2.32 , 29.2 , CGRaBS J0654+4514 , 1 , 42.13 , (56.4+/-7.2) e-8 , (20.3+/-1.6) e-8 , 0.933 , FSRQ , T 
38 , 0FGLJ0700.0-6611 , PKS 0700-661 , 105.01583 , -66.19897 , 276.77 , -23.82 , (3.9+/-1) e-8 , 1.98 , 10.1 , CRATES J0700-6610 , 0.64 , 33.82 , (8.7+/-2.6) e-8 , (4+/-1) e-9 , 0 , AGN , - 
39 , 0FGLJ0712.9+5034 , - , 108.23083 , 50.575 , 166.68 , 23.9 , (3.9+/-1.1) e-8 , 2.04 , 11.2 , CGRaBS J0712+5033 , 0.99 , 44.2 , (10.5+/-2.7) e-8 , (33+/-7) e-9 , 0 , BL Lac , T 
