_id ,fermilbas_name,other_name,RA,Dec,LII,BII,Flux100 Mev,Spectral_index,Sigma,Associated_name,Association_Probability,FoM,FluxPeak,Flux_Summed,Redshift,Classification,Variability
94 , 0FGLJ1847.8+3223 , TXS 1846+322 , 281.95375 , 32.38497 , 62.06 , 14.84 , (14.7+/-2.4) e-8 , 2.37 , 16 , CGRaBS J1848+3219 , 0.94 , 12.76 , (28+/-4.9) e-8 , (94+/-6) e-9 , 0.798 , FSRQ , T 
95 , 0FGLJ1849.4+6706 , S4 1849+67 , 282.365 , 67.10197 , 97.5 , 25.02 , (15.9+/-1.5) e-8 , 2.17 , 28 , CGRaBS J1849+6705 , 1 , 53.89 , (28.8+/-4.1) e-8 , (14.9+/-1.5) e-8 , 0.657 , FSRQ , T 
96 , 0FGLJ1911.2-2011 , PKS 1908-201 , 287.81292 , -20.186 , 16.81 , -13.27 , (22.5+/-2.7) e-8 , 2.43 , 20 , CGRaBS J1911-2006 , 0.97 , 23.51 , (52.3+/-7.2) e-8 , (187+/-8) e-9 , 1.119 , FSRQ , T 
97 , 0FGLJ1923.3-2101 , TXS 1920-211 , 290.83958 , -21.031 , 17.2 , -16.2 , (13.1+/-2) e-8 , 2.31 , 16.4 , CGRaBS J1923-2104 , 0.97 , 37.72 , (41.6+/-6.1) e-8 , (113+/-6) e-9 , 0.874 , FSRQ , T 
98 , 0FGLJ2000.2+6506 , 1ES 1959+650 , 300.05292 , 65.105 , 97.97 , 17.63 , (4.2+/-1) e-8 , 1.86 , 15.8 , 1ES 1959+650 , 1 , 19.12 , (6.3+/-2.1) e-8 , (3.4+/-1.3) e-8 , 0.047 , BL Lac , - 
99 , 0FGLJ2009.4-4850 , PKS 2005-489 , 302.36292 , -48.84297 , 350.36 , -32.61 , (29+/-9) e-9 , 1.85 , 10.9 , PKS 2005-489 , 1 , 72.13 , (5.5+/-2.1) e-8 , (30+/-6) e-9 , 0.071 , BL Lac , - 
100 , 0FGLJ2017.2+0602 , - , 304.30167 , 6.048 , 48.59 , -16 , (37+/-9) e-9 , 1.87 , 12.7 , - , 0 , 7.03 , (6.6+/-2.3) e-8 , (6+/-1) e-9 , 0 , AGN , - 
101 , 0FGLJ2025.6-0736 , PKS 2022-07 , 306.41458 , -7.611 , 36.88 , -24.39 , (48+/-2.6) e-8 , 2.3 , 50.6 , BZQJ2025-0735 , 0.98 , 42.71 , (73.6+/-7.1) e-8 , (43+/-2) e-8 , 1.388 , FSRQ , T 
102 , 0FGLJ2056.1-4715 , PKS 2052-47 , 314.03375 , -47.251 , 352.58 , -40.36 , (11.1+/-2.3) e-8 , 2.56 , 12.5 , CRATES J2055-4716 , 1 , 67 , (21.1+/-5.2) e-8 , (10.7+/-1.7) e-8 , 1.491 , FSRQ , - 
103 , 0FGLJ2139.4-4238 , MH 2136-428 , 324.86458 , -42.642 , 358.23 , -48.34 , (8+/-1.2) e-8 , 2.01 , 20.1 , MH 2136-428 , 1 , 13.48 , (13.1+/-3) e-8 , (7.7+/-1.3) e-8 , 0 , BL Lac , - 
104 , 0FGLJ2143.2+1741 , OX 169 , 325.80667 , 17.688 , 72.01 , -26.05 , (14.1+/-2.2) e-8 , 2.57 , 14.5 , CGRaBS J2143+1743 , 0.96 , 36.88 , (30.7+/-6.2) e-8 , (12+/-1.7) e-8 , 0.213 , FSRQ , - 
105 , 0FGLJ2147.1+0931 , PKS 2144+092 , 326.77667 , 9.519 , 65.8 , -32.24 , (16.6+/-2.1) e-8 , 2.53 , 19.9 , CGRaBS J2147+0929 , 0.99 , 53.97 , (34.7+/-6.1) e-8 , (16.6+/-1.6) e-8 , 1.113 , FSRQ , T 
106 , 0FGLJ2157.5+3125 , B2 2155+31 , 329.38375 , 31.431 , 84.74 , -18.26 , (7.5+/-1.7) e-8 , 2.41 , 10 , CGRaBS J2157+3127 , 0.97 , 54.48 , (13.9+/-3.9) e-8 , (7.3+/-1.5) e-8 , 1.486 , FSRQ , - 
107 , 0FGLJ2158.8-3014 , PKS 2155-304 , 329.70375 , -30.237 , 17.71 , -52.24 , (18.1+/-1.2) e-8 , 1.85 , 43.9 , CGRaBS J2158-3013 , 1 , 54.87 , (29.2+/-3.6) e-8 , (18.5+/-1.4) e-8 , 0.116 , BL Lac , T 
108 , 0FGLJ2202.4+4217 , BL Lacertae , 330.62167 , 42.299 , 92.56 , -10.4 , (8.5+/-1.8) e-8 , 2.24 , 12.3 , BZB J2139-4239 , 1 , 45.62 , (12.8+/-4.3) e-8 , (8+/-2) e-8 , 0.069 , BL Lac , - 
109 , 0FGLJ2203.2+1731 , PKS 2201+171 , 330.81458 , 17.532 , 75.71 , -29.53 , (6.9+/-1.4) e-8 , 2.25 , 12.7 , CGRaBS J2203+1725 , 0.93 , 23.91 , (17+/-3.5) e-8 , (8.3+/-1.6) e-8 , 1.076 , FSRQ , T 
110 , 0FGLJ2207.0-5347 , PKS 2204-54 , 331.765 , -53.786 , 339.94 , -49.84 , (11.5+/-2.5) e-8 , 2.65 , 12.4 , CGRaBS J2207-5346 , 0.99 , 39.56 , (54.6+/-8) e-8 , (11.1+/-1.8) e-8 , 1.215 , FSRQ , T 
111 , 0FGLJ2229.8-0829 , PHL 5225 , 337.45167 , -8.495 , 55.32 , -51.71 , (15.9+/-2.4) e-8 , 2.67 , 16.8 , CGRaBS J2229-0832 , 0.99 , 42.99 , (27.7+/-5.7) e-8 , (120+/-4) e-9 , 1.56 , FSRQ , - 
112 , 0FGLJ2232.4+1141 , CTA 102 , 338.11667 , 11.69 , 77.37 , -38.6 , (14+/-2.3) e-8 , 2.61 , 15.2 , BZQ J2232+1143 , 1 , 45.97 , (24.6+/-6.2) e-8 , (11.2+/-1.3) e-8 , 1.037 , FSRQ , - 
113 , 0FGLJ2254.0+1609 , 3C 454.3 , 343.50167 , 16.151 , 86.12 , -38.19 , (246+/-5.2) e-8 , 2.41 , 149.1 , CGRaBS J2253+1608 , 1 , 70.34 , (38.6+/-2.1) e-7 , (222+/-4.3) e-8 , 0.859 , FSRQ , T 
114 , 0FGLJ2325.3+3959 , B3 2322+396 , 351.33375 , 39.993 , 105.53 , -19.95 , (28+/-8) e-9 , 1.89 , 11.4 , B3 2322+396 , 1 , 29.25 , (11+/-2.7) e-8 , (13+/-4) e-9 , 0 , BL Lac , T 
115 , 0FGLJ2327.3+0947 , PKS 2325+093 , 351.83292 , 9.794 , 91.15 , -47.82 , (18.3+/-2.6) e-8 , 2.73 , 17.1 , CGRaBS J2327+0940 , 0.93 , 21.12 , (51+/-8.4) e-8 , (15.8+/-1.6) e-8 , 1.843 , FSRQ , T 
116 , 0FGLJ2345.5-1559 , PMN J2345-1555 , 356.38875 , -15.985 , 65.67 , -71.1 , (10.5+/-1.7) e-8 , 2.42 , 15.5 , CGRaBS J2345-1555 , 0.93 , 30.19 , (22.3+/-4.3) e-8 , (10.3+/-1.3) e-8 , 0.621 , FSRQ , T 
