_id , gbmcatalog_name , other_name , RA, Dec, trigger time , LII , BII , Error Radius , Redshift , Swift Trigger , GBM trigger , T50, T50 error , T90 , T90 error , Detection Mask , Fitting Mask , best fitting model peak flux , best fitting model fluence , Reduced Chi2 peak model , Reduced Chi2 fln model , TSTART spe peak , TSTOP spe peak , TSTART spe fln , TSTOP spe fln , Fluence, Fluence error, Flux1.024s,Flux1.024sError
208 , GRB090519881 , 090519881 , 142.28 , 0.18 , 264460127 , 233.297 , 34.512 , 0 , - , NULL , 090519881 , 26.625 , 1.14 , 74.18 , 5.18 , 11100000011000 , 11000000010001 , Power Law Model , Comptonized Model , 0.97 , 1.68 , 6.14 , 7.17 , -2.05 , 34.82 , 0.00000573 , 6.12e-8 , 1.49 , 0.159
209 , GRB081006604 , 081006 , 142 , -67.39997 , 244996175 , 285.202 , -11.834 , 8 , - , NULL , 081006604 , 2.301 , 0.57 , 6.4 , 0.92 , 11010000000000 , 11010000000010 , Comptonized Model , Comptonized Model , 0.99 , 1.08 , 0 , 1.02 , -1.02 , 3.07 , 8.33e-7 , 1.87e-8 , 1.46 , 0.247
210 , GRB100709602 , 100709602 , 142.53 , 17.38 , 300378454 , 213.864 , 42.72 , 4.47 , - , NULL , 100709602 , 61.505 , 0.72 , 100.1 , 1.53 , 00001100000000 , 00001100000010 , Comptonized Model , Comptonized Model , 1.03 , 1.38 , 0 , 1.02 , -3.07 , 100.35 , 0.00000808 , 7.53e-8 , 3.75 , 0.241
211 , GRB090831317 , 090831 , 145.09996 , 50.97 , 273396998 , 166.025 , 46.968 , 1.92 , - , NULL , 090831317 , 22.272 , 0.81 , 39.42 , 0.57 , 00001100000000 , 00001100000010 , Power Law Model , Comptonized Model , 1.12 , 1.27 , 31.74 , 32.77 , -1.02 , 75.78 , 0.00000944 , 7.31e-8 , 7.12 , 0.262
212 , GRB081024851 , 081024C , 145.8 , -10.8 , 246572735 , 246.207 , 30.671 , 4.5 , - , NULL , 081024851 , 24.32 , 1.09 , 56.06 , 2.06 , 01011100000000 , 00011100000010 , Power Law Model , Comptonized Model , 0.98 , 1.11 , 11.26 , 12.29 , -3.07 , 56.32 , 0.00000627 , 7.17e-8 , 2.37 , 0.181
213 , GRB090630311 , 090630 , 146.54996 , -46.58 , 268039643 , 272.992 , 5.242 , 5.8 , - , NULL , 090630311 , 0.96 , 0.18 , 2.88 , 0.32 , 01100000011000 , 01100000001001 , Comptonized Model , Comptonized Model , 0.96 , 0.97 , 0 , 1.02 , -1.02 , 3.07 , 0.00000108 , 1.25e-8 , 6.19 , 0.206
214 , GRB090606471 , 090606 , 146.94 , -70.49 , 265979890 , 288.684 , -12.887 , 5.55 , - , NULL , 090606471 , 5.568 , 0.77 , 8.06 , 1.26 , 00100000001000 , 00000000001001 , Power Law Model , Power Law Model , 0.83 , 0.83 , 8.19 , 9.22 , 8.19 , 9.22 , 9.46e-7 , 8.74e-8 , 1.6 , 0.22
215 , GRB100503554 , 100503554 , 147.48 , 3.96 , 294585485 , 232.904 , 40.93 , 1.52 , - , NULL , 100503554 , 35.009 , 13.79 , 129.6 , 10.23 , 00011011100000 , 00011001000010 , Comptonized Model , Comptonized Model , 0.88 , 1.59 , 47.1 , 48.13 , -3.07 , 146.43 , 0.0000173 , 4.1e-7 , 5.87 , 0.177
216 , GRB080717543 , 080717543 , 147.3 , -70 , 237992556 , 288.451 , -12.436 , 4.7 , - , NULL , 080717543 , 13.056 , 0.81 , 36.61 , 2.99 , 00100000001000 , 00100000001010 , Power Law Model , Smoothly Broken Power Law , 0.91 , 1.12 , 3.07 , 4.1 , -5.12 , 13.31 , 0.00000446 , 7.68e-8 , 2.89 , 0.227
217 , GRB100225703 , 100225703 , 147.91 , 34.01 , 288809540 , 191.465 , 51.003 , 3.94 , - , NULL , 100225703 , 1.92 , 0.57 , 4.48 , 1.43 , 10000010011100 , 00000010001101 , Power Law Model , Comptonized Model , 1.04 , 1.06 , 0 , 1.02 , -2.05 , 8.19 , 0.00000161 , 4e-8 , 2.69 , 0.143
218 , GRB090423330 , 090423 , 148.69996 , 18.1 , 262166127 , 215.909 , 48.465 , 0 , 8.1 , 350184 , 090423330 , 3.072 , 1.28 , 7.17 , 2.42 , 00100000011000 , 00100000011001 , Power Law Model , Power Law Model , 1.09 , 1.1 , -2.05 , -1.02 , -4.1 , 2.05 , 8.16e-7 , 7.15e-8 , 1.62 , 0.212
219 , GRB080817161 , 080817A , 148.9 , -16.3 , 240637931 , 253.222 , 29.138 , 1 , - , NULL , 080817161 , 16.064 , 0.2 , 60.29 , 0.47 , 01100100000000 , 01100100000010 , Band Model , Band Model , 1.04 , 1.03 , 7.17 , 8.19 , -3.07 , 75.78 , 0.0000532 , 7.31e-8 , 13.7 , 0.237
220 , GRB081204517 , 081204B , 150.8 , 30.5 , 250086266 , 197.438 , 53.204 , 10.2 , - , NULL , 081204517 , 0.128 , 0.09 , 0.19 , 0.29 , 00000011100100 , 00000011100001 , Comptonized Model , Comptonized Model , 0.95 , 0.99 , -0.06 , 0 , -0.06 , 0.13 , 3.11e-7 , 1.74e-8 , 1.97 , 0.127
221 , GRB081122614 , 081122B , 151.4 , -2.1 , 249057807 , 242.417 , 40.528 , 11.2 , - , NULL , 081122614 , 0.128 , 0.09 , 0.19 , 0.09 , 00011011100000 , 00010011000010 , Power Law Model , Power Law Model , 0.93 , 0.83 , -0.06 , 0 , -0.06 , 0.06 , 1.39e-7 , 7.95e-9 , 1.7 , 0.203
222 , GRB080719529 , 080719529 , 153.19996 , -61.3 , 238164101 , 285.038 , -4.068 , 13.8 , - , NULL , 080719529 , 8.448 , 1.28 , 16.13 , 17.89 , 00000011010000 , 00000011010001 , Power Law Model , Power Law Model , 1.11 , 1.18 , -3.07 , -2.05 , -4.1 , 9.22 , 7.75e-7 , 2.93e-8 , 1.12 , 0.163
223 , GRB080802386 , 080802386 , 154.29996 , 40.7 , 239361311 , 179.664 , 55.585 , 4.1 , - , NULL , 080802386 , 0.448 , 0.09 , 0.58 , 0.09 , 00001100000000 , 00001100000010 , Comptonized Model , Comptonized Model , 0.99 , 0.95 , 0 , 0.06 , -0.13 , 0.45 , 3.98e-7 , 6.85e-9 , 2.95 , 0.174
224 , GRB100216422 , 100216422 , 154.3 , 35.5 , 288007622 , 188.875 , 56.239 , 0 , - , NULL , 100216422 , 0.128 , 0.09 , 0.19 , 0.14 , 00000010010100 , 00000011010001 , Smoothly Broken Power Law , Smoothly Broken Power Law , 1.03 , 1.04 , 0 , 0.06 , -0.06 , 0.13 , 3.88e-7 , 1.46e-8 , 1.29 , 0.19
225 , GRB090708152 , 090708 , 154.629 , 26.637 , 268717100 , 204.82 , 56.032 , 0.05 , - , 356776 , 090708152 , 7.68 , 1.62 , 21.25 , 3.17 , 11110100000000 , 11000100000010 , Power Law Model , Power Law Model , 1.05 , 1.35 , 0 , 1.02 , -4.1 , 8.19 , 0.00000101 , 2.76e-8 , 1.37 , 0.164
226 , GRB090328713 , 090328B , 155.7 , 33.39997 , 259952826 , 192.632 , 57.475 , 7.9 , - , NULL , 090328713 , 0.128 , 0.14 , 0.19 , 1.03 , 00000000011100 , 00000000011101 , Band Model , Smoothly Broken Power Law , 1.04 , 1.03 , 0 , 0.06 , -0.06 , 0.13 , 1.19e-7 , 1.84e-8 , 1.97 , 0.215
227 , GRB100328141 , 100328141 , 155.93996 , 47.03 , 291439366 , 168.405 , 54.949 , 4.82 , - , NULL , 100328141 , 0.192 , 0.09 , 0.38 , 0.14 , 00000011010100 , 00000001010101 , Comptonized Model , Band Model , 0.96 , 1.04 , 0.06 , 0.13 , -0.06 , 1.15 , 0.00000101 , 2.35e-8 , 4.15 , 0.144
228 , GRB080816503 , 080816A , 156.2 , 42.6 , 240581059 , 175.768 , 56.531 , 2 , - , NULL , 080816503 , 23.296 , 0.57 , 64.77 , 1.81 , 11011100000000 , 00011100000010 , Band Model , Band Model , 0.91 , 1.33 , 35.84 , 36.86 , -1.02 , 69.63 , 0.0000133 , 8.25e-8 , 7.44 , 0.182
229 , GRB090206620 , 090206 , 156.19996 , 8.8 , 255624764 , 233.834 , 50.832 , 8.7 , - , NULL , 090206620 , 0.128 , 0.14 , 0.32 , 0.14 , 00000001011100 , 00000001010101 , Band Model , Comptonized Model , 1.03 , 0.95 , 0 , 0.06 , -0.06 , 0.26 , 7.15e-7 , 1.22e-8 , 2.55 , 0.208
230 , GRB090411838 , 090411A , 156 , -68.9 , 261173198 , 290.276 , -9.733 , 2.4 , - , NULL , 090411838 , 9.216 , 1.45 , 21.5 , 3.24 , 10100000000000 , 11100000000010 , Smoothly Broken Power Law , Smoothly Broken Power Law , 1.03 , 1.08 , 0 , 1.02 , -1.02 , 17.41 , 0.00000667 , 1.03e-7 , 5.24 , 0.232
231 , GRB080830368 , 080830 , 160.1 , 30.8 , 241779017 , 197.726 , 61.206 , 2.5 , - , NULL , 080830368 , 9.088 , 0.72 , 40.9 , 5.07 , 11010000000000 , 11010000000010 , Smoothly Broken Power Law , Comptonized Model , 0.89 , 1.31 , 8.19 , 9.22 , -2.05 , 34.82 , 0.000007 , 1.1e-7 , 4.67 , 0.183
232 , GRB090330279 , 090330 , 160.2 , -8.2 , 260088144 , 256.434 , 42.577 , 2.1 , - , NULL , 090330279 , 21.248 , 1.14 , 73.47 , 1.72 , 00000011011100 , 00000010010101 , Comptonized Model , Band Model , 1.04 , 1.62 , 12.29 , 13.31 , -30.72 , 27.65 , 0.0000118 , 4.05e-8 , 5.54 , 0.178
233 , GRB100621529 , 100621529 , 160.86 , 14.72 , 298816938 , 229.025 , 57.763 , 11.41 , - , NULL , 100621529 , 0.384 , 0.14 , 1.02 , 0.2 , 11100000011000 , , undefined , undefined , 0 , 0 , 0 , 0 , 0 , 0 , 1.37e-7 , 4.52e-9 , 1.12 , 0.138
234 , GRB090511684 , 090511 , 161.9 , 51.3 , 263751918 , 158.482 , 56.413 , 7 , - , NULL , 090511684 , 2.496 , 0.32 , 7.62 , 1.61 , 00000000011100 , 00000000011101 , Comptonized Model , Comptonized Model , 0.92 , 1 , 0 , 1.02 , -2.05 , 4.1 , 0.00000249 , 8.47e-8 , 3.46 , 0.185
235 , GRB090529564 , 090529C , 162.7 , 47.3 , 265296722 , 164.315 , 58.977 , 1.5 , - , NULL , 090529564 , 8.576 , 0.09 , 9.85 , 0.18 , 00011001100000 , 00011000100010 , Smoothly Broken Power Law , Band Model , 1.24 , 1.13 , 9.22 , 10.24 , -1.02 , 11.26 , 0.00000869 , 3.33e-8 , 22.6 , 0.273
236 , GRB090117640 , 090117A , 163.99996 , -58.2 , 253898523 , 288.193 , 1.33 , 0 , - , 020097 , 090117640 , 2.24 , 2.08 , 15.55 , 4.58 , 11100000010000 , 11100000000010 , Comptonized Model , Power Law Model , 0.97 , 0.99 , 0 , 1.02 , -6.14 , 10.24 , 0.00000253 , 4.7e-8 , 10.2 , 0.214
237 , GRB091220442 , 091220442 , 166.77 , 4.81 , 282998212 , 250.2 , 56.587 , 1.83 , - , NULL , 091220442 , 5.696 , 0.34 , 18.37 , 0.59 , 11000000011000 , 00000000011001 , Comptonized Model , Comptonized Model , 1.17 , 1.25 , 2.05 , 3.07 , -1.02 , 22.53 , 0.00000583 , 4.5e-8 , 8.69 , 0.25
238 , GRB090810659 , 090810659 , 168.93 , -76.39997 , 271612149 , 297.276 , -14.591 , 5.53 , - , NULL , 090810659 , 75.201 , 2.07 , 123.46 , 1.75 , 00100100000000 , 00100100000010 , Power Law Model , Band Model , 1.15 , 1.4 , 109.57 , 110.59 , 0 , 125.95 , 0.00000989 , 8.75e-8 , 7.45 , 0.327
239 , GRB090626189 , 090626 , 169.29996 , -36.05 , 267683530 , 282.374 , 23.032 , 1 , - , NULL , 090626189 , 31.233 , 0.36 , 48.9 , 2.83 , 11000000000000 , 11000000000010 , Band Model , Band Model , 1 , 1.18 , 3.07 , 4.1 , -1.02 , 58.37 , 0.000063 , 1.07e-7 , 34.3 , 0.635
240 , GRB081113230 , 081113 , 170.29996 , 56.3 , 248247093 , 145.715 , 56.655 , 12.4 , - , NULL , 081113230 , 0.32 , 0.14 , 0.58 , 1.35 , 00011000000000 , 00001000000010 , Power Law Model , Comptonized Model , 0.87 , 0.89 , 0 , 0.06 , -0.06 , 0.38 , 3.3e-7 , 4.3e-8 , 3.01 , 0.181
241 , GRB091103912 , 091103912 , 170.6 , 11.3 , 278978033 , 245.737 , 63.772 , 2.4 , - , NULL , 091103912 , 4.288 , 0.37 , 13.57 , 6.02 , 00011100000000 , 00011100000010 , Comptonized Model , Smoothly Broken Power Law , 0.85 , 1.29 , 1.02 , 2.05 , -5.12 , 18.43 , 0.0000056 , 1.09e-7 , 6.46 , 0.222
242 , GRB081006872 , 081006B , 172.19996 , -61 , 245019336 , 293.083 , 0.282 , 8.7 , - , NULL , 081006872 , 1.536 , 0.81 , 3.33 , 1.31 , 11010000000000 , 11010000000010 , Power Law Model , Power Law Model , 1.05 , 0.95 , 0 , 1.02 , -1.02 , 3.07 , 3.87e-7 , 2.02e-8 , 1.53 , 0.25
243 , GRB081229187 , 081229 , 172.6 , 56.9 , 252217742 , 143.205 , 56.923 , 8.8 , - , NULL , 081229187 , 0.256 , 0.57 , 0.77 , 0.72 , 10011010000000 , 00011010000010 , Comptonized Model , Comptonized Model , 1 , 1.09 , -0.06 , 0 , -0.06 , 0.26 , 0.00000106 , 7.66e-8 , 1.88 , 0.122
244 , GRB090307167 , 090307B , 172.69996 , -23.9 , 258091199 , 280.196 , 35.387 , 12.4 , - , NULL , 090307167 , 18.432 , 1.85 , 29.44 , 1.81 , 00000000011100 , 00000000011101 , Power Law Model , Power Law Model , 0.97 , 1.13 , -5.12 , -4.1 , -6.14 , 7.17 , 0.00000109 , 3.69e-8 , 1.41 , 0.242
245 , GRB100313288 , 100313288 , 172.71 , -52.58 , 290156065 , 290.717 , 8.37 , 2.89 , - , NULL , 100313288 , 3.904 , 0.29 , 12.86 , 2.1 , 10000000011000 , 00000000011001 , Band Model , Comptonized Model , 0.95 , 1.05 , 1.02 , 2.05 , -2.05 , 10.24 , 0.0000044 , 7.6e-8 , 6.05 , 0.206
246 , GRB090908341 , 090908341 , 174.13996 , -25.13 , 274090241 , 282.232 , 34.714 , 4.57 , - , NULL , 090908341 , 15.872 , 1.31 , 36.86 , 0.92 , 00011100000000 , 00011100000010 , Comptonized Model , Comptonized Model , 0.91 , 1.19 , 0 , 1.02 , -1.02 , 38.91 , 0.0000026 , 1.59e-8 , 2.15 , 0.164
247 , GRB090309767 , 090309B , 174.3 , -49.5 , 258315909 , 290.749 , 11.608 , 3.6 , - , NULL , 090309767 , 8.896 , 0.92 , 56.51 , 5.15 , 11000010010000 , 11000000010001 , Band Model , Comptonized Model , 0.97 , 1.28 , 37.89 , 38.91 , -2.05 , 54.27 , 0.00000442 , 6.88e-8 , 3.46 , 0.205
248 , GRB080805584 , 080805584 , 174.5 , -23.1 , 239637667 , 281.74 , 36.731 , 5.7 , - , NULL , 080805584 , 23.808 , 1.2 , 65.66 , 14.68 , 00011100000000 , 00011100000010 , Power Law Model , Comptonized Model , 0.86 , 1.23 , -1.02 , 0 , -5.12 , 40.96 , 0.00000438 , 6.45e-8 , 1.77 , 0.175
249 , GRB091020900 , 091020 , 175.73 , 50.98 , 277767405 , 146.9 , 62.841 , 0 , 1.71 , 373458 , 091020900 , 6.912 , 0.67 , 24.26 , 7.97 , 00100100000000 , 00100100000010 , Power Law Model , Comptonized Model , 0.96 , 1.24 , 2.05 , 3.07 , -6.14 , 45.06 , 0.00000835 , 1.5e-7 , 6.77 , 0.272
250 , GRB080812889 , 080812 , 176.7 , -33.2 , 240268774 , 287.675 , 27.75 , 4.1 , - , NULL , 080812889 , 7.488 , 0.29 , 15.04 , 0.46 , 00011000000000 , 00011000000010 , Power Law Model , Comptonized Model , 0.99 , 1.32 , 3.07 , 4.1 , -2.05 , 14.34 , 0.00000245 , 4.18e-8 , 1.91 , 0.173
251 , GRB080723557 , 080723557 , 176.8 , -60.2 , 238512142 , 295.026 , 1.682 , 0 , - , NULL , 080723557 , 40.513 , 0.23 , 58.37 , 1.99 , 00001000000000 , 00001000000010 , Band Model , Smoothly Broken Power Law , 1.17 , 3.35 , 12.29 , 13.31 , -1.02 , 86.02 , 0.0000722 , 2.54e-7 , 30.5 , 0.491
252 , GRB100615083 , 100615A , 177.204 , -19.482 , 298259946 , 283.238 , 40.983 , 0.001 , - , 424733 , 100615083 , 26.368 , 0.69 , 37.38 , 0.98 , 00000011100000 , 00000011100001 , Band Model , Band Model , 0.98 , 1.96 , 10.24 , 11.26 , -1.02 , 39.94 , 0.00000872 , 8.2e-8 , 8.33 , 0.22
253 , GRB091107635 , 091107635 , 182.34996 , 38.94 , 279299641 , 156.892 , 75.288 , 4.46 , - , NULL , 091107635 , 2.048 , 0.57 , 11.01 , 10.55 , 10011011000000 , 10001000000010 , Power Law Model , Comptonized Model , 1.03 , 1.13 , -1.02 , 0 , -3.07 , 2.05 , 9.33e-7 , 4.04e-8 , 3.62 , 0.252
254 , GRB080906212 , 080906B , 182.8 , -6.4 , 242370312 , 285.277 , 55.087 , 1.3 , - , NULL , 080906212 , 1.28 , 0.36 , 2.88 , 0.77 , 11010100000000 , 11010000000010 , Band Model , Band Model , 1.04 , 1.18 , 0 , 1.66 , -34.18 , 5.76 , 0.00000587 , 1.39e-7 , 20.3 , 0.333
255 , GRB090320801 , 090320B , 183.39996 , 49.8 , 259269228 , 138.169 , 66.194 , 9.5 , - , NULL , 090320801 , 10.24 , 4.38 , 29.18 , 4.54 , 00000000011100 , 00000000011101 , Power Law Model , Power Law Model , 1.06 , 1.11 , -1.02 , 0 , -1.02 , 5.12 , 0.00000167 , 6.16e-8 , 4.36 , 0.247
256 , GRB090310189 , 090310 , 184.9 , -34.2 , 258352371 , 295.465 , 28.21 , 4.7 , - , NULL , 090310189 , 57.089 , 4.78 , 116.93 , 1.06 , 00000001100100 , 00000001100101 , Comptonized Model , Comptonized Model , 0.99 , 1.82 , 0 , 1.02 , -5.12 , 119.81 , 0.00000554 , 6.2e-8 , 3.43 , 0.198
257 , GRB100313509 , 100313509 , 186.36996 , 11.72 , 290175139 , 280.099 , 73.43 , 9.64 , - , NULL , 100313509 , 17.408 , 1.28 , 34.05 , 3 , 00000011010100 , 00000011010001 , Power Law Model , Power Law Model , 1.07 , 1.16 , 1.02 , 2.05 , -6.14 , 27.65 , 0.00000254 , 3.99e-8 , 1.87 , 0.205
258 , GRB080714425 , 080714425 , 187.49996 , -73.99997 , 237723122 , 301.428 , -11.191 , 8.7 , - , NULL , 080714425 , 11.776 , 1.62 , 40.19 , 1.14 , 10000000011000 , 00000000011001 , Power Law Model , Power Law Model , 1.2 , 1.13 , 33.79 , 34.82 , -4.1 , 34.82 , 0.00000181 , 2.09e-8 , 2.02 , 0.205
259 , GRB091020977 , 091020977 , 187.79996 , -13.4 , 277773996 , 295.392 , 49.175 , 2.17 , - , NULL , 091020977 , 21.696 , 0.37 , 37.5 , 0.91 , 11011100000000 , 00011100000010 , Comptonized Model , Comptonized Model , 1.01 , 1.54 , 1.02 , 2.05 , 0 , 50.18 , 0.0000107 , 6.11e-8 , 5.95 , 0.149
260 , GRB080714745 , 080714 , 188.1 , -60.2 , 237750775 , 300.566 , 2.584 , 0 , - , 316910 , 080714745 , 25.088 , 7.94 , 59.65 , 11.28 , 00000100000000 , 00000100000010 , Comptonized Model , Band Model , 0.99 , 1.04 , 2.05 , 3.07 , -1.02 , 31.74 , 0.00000633 , 1.41e-7 , 6.93 , 0.387
261 , GRB090912660 , 090912 , 188.04 , 61.48 , 274463431 , 126.993 , 55.496 , 0.0005 , - , 362633 , 090912660 , 88.257 , 2.53 , 147.65 , 9.72 , 00011100000000 , 00011100000010 , Power Law Model , Comptonized Model , 0.92 , 1.42 , 86.02 , 87.04 , -3.07 , 113.66 , 0.0000104 , 1.73e-7 , 2.09 , 0.174
262 , GRB100323542 , 100323542 , 188.87 , -18.66 , 291042046 , 297.67 , 44.049 , 4.2 , - , NULL , 100323542 , 53.505 , 1.95 , 60.67 , 3.62 , 00000000100100 , 00000001100101 , Band Model , Comptonized Model , 1.01 , 1.19 , 52.22 , 53.25 , -6.14 , 183.3 , 0.00000204 , 1.27e-7 , 3.22 , 0.225
263 , GRB090126227 , 090126B , 189.2 , 34.1 , 254640384 , 146.328 , 82.352 , 3.6 , - , NULL , 090126227 , 2.816 , 0.57 , 5.63 , 0.81 , 00000011010000 , 00000011010001 , Comptonized Model , Comptonized Model , 1.03 , 1.15 , -1.02 , 0 , -3.07 , 6.14 , 0.0000011 , 2.02e-8 , 4.02 , 0.181
264 , GRB090424592 , 090424 , 189.5 , 16.8 , 262275130 , 285.489 , 79.214 , 0 , 0.544 , 350311 , 090424592 , 3.072 , 0.09 , 14.14 , 0.26 , 00000011100100 , 00000001100101 , Band Model , Band Model , 1.14 , 1.61 , 1.02 , 2.05 , -1.02 , 59.39 , 0.0000463 , 3.86e-8 , 110 , 0.49
265 , GRB081021398 , 081021 , 190.3 , -25.6 , 246274409 , 300.033 , 37.214 , 4.1 , - , NULL , 081021398 , 10.496 , 1.14 , 26.11 , 3.97 , 00001100000000 , 00001100000010 , Comptonized Model , Comptonized Model , 1 , 1.21 , 2.05 , 3.07 , -1.02 , 17.41 , 0.00000574 , 7.9e-8 , 3.53 , 0.225
266 , GRB081115891 , 081115891 , 190.59996 , 63.29997 , 248476949 , 124.651 , 53.798 , 15.1 , - , NULL , 081115891 , 0.192 , 0.26 , 0.32 , 0.65 , 11011100000000 , 10010100000010 , Smoothly Broken Power Law , Smoothly Broken Power Law , 1.16 , 1.1 , -0.19 , -0.13 , -0.19 , -0.06 , 8.56e-8 , 1.31e-8 , 1.02 , 0.183
267 , GRB090323002 , 090323 , 190.7 , 17.1 , 259459364 , 291.227 , 79.775 , 0 , 3.57 , 020102 , 090323002 , 53.249 , 2.29 , 135.17 , 1.45 , 00000011010100 , 00000001010101 , Comptonized Model , Smoothly Broken Power Law , 0.93 , 1.4 , 65.54 , 66.56 , -3.07 , 245.76 , 0.000118 , 1.74e-7 , 12.6 , 0.218
268 , GRB100519204 , 100519204 , 191.48996 , 57.41 , 295937604 , 124.394 , 59.703 , 1 , - , NULL , 100519204 , 24.96 , 0.68 , 62.91 , 3.93 , 00010011100000 , 00000011100001 , Comptonized Model , Comptonized Model , 0.87 , 1.1 , 20.48 , 21.5 , -3.07 , 75.78 , 0.0000207 , 2.27e-7 , 6.66 , 0.194
269 , GRB100414097 , 100414A , 192.11196 , 8.69169 , 292904423 , 300.597 , 71.55 , 0.0005 , 1.368 , 020136 , 100414097 , 13.248 , 0.27 , 26.5 , 2.07 , 00000011010100 , 00000001010101 , Band Model , Comptonized Model , 1.08 , 1.38 , 23.55 , 24.58 , -1.02 , 62.46 , 0.0000885 , 1.86e-7 , 21.9 , 0.241
270 , GRB090112729 , 090112B , 192.3 , 25.4 , 253474217 , 286.623 , 88.2 , 1.7 , - , NULL , 090112729 , 4.864 , 0.36 , 14.08 , 5.13 , 00000000011000 , 00000000011001 , Band Model , Comptonized Model , 1.05 , 1.42 , 2.05 , 3.07 , -5.12 , 17.41 , 0.00000923 , 1.08e-7 , 13.3 , 0.3
271 , GRB081226156 , 081226C , 192.99996 , 26.8 , 251955893 , 323.868 , 89.649 , 2.4 , - , NULL , 081226156 , 41.473 , 0.57 , 65.79 , 1.62 , 00010011100000 , 00000011100001 , Power Law Model , Power Law Model , 1.08 , 1.15 , 1.54 , 2.56 , -73.22 , 40.45 , 0.00000395 , 1.95e-8 , 3.74 , 0.189
272 , GRB090304216 , 090304 , 195.9 , -73.39997 , 257836250 , 303.815 , -10.549 , 12.3 , - , NULL , 090304216 , 2.048 , 0.57 , 2.82 , 0.92 , 00000011110000 , 00000010110001 , Power Law Model , Power Law Model , 1.05 , 1.15 , -1.02 , 0 , -1.02 , 222.21 , 8.99e-7 , 1.02e-7 , 1.91 , 0.158
273 , GRB091231206 , 091231206 , 199.36 , -60.7 , 283928195 , 306.11 , 2.011 , 1.74 , - , NULL , 091231206 , 17.984 , 1 , 42.56 , 3.66 , 10011011000000 , 10010000000010 , Comptonized Model , Comptonized Model , 0.98 , 1.18 , 6.14 , 7.17 , -1.02 , 60.42 , 0.00000976 , 2.1e-7 , 3.83 , 0.189
274 , GRB090720276 , 090720 , 199.46 , -16.4 , 269764690 , 312.066 , 46.003 , 4.99 , - , 357811 , 090720276 , 1.597 , 0.41 , 3.71 , 0.72 , 00100100000000 , 00100100000010 , Smoothly Broken Power Law , Comptonized Model , 1.11 , 1.03 , 0 , 1.02 , -2.05 , 4.1 , 0.00000322 , 2.95e-8 , 10.2 , 0.31
275 , GRB100228544 , 100228544 , 199.83 , 15.62 , 289054963 , 333.707 , 76.795 , 9.29 , - , NULL , 100228544 , 33.28 , 1.85 , 67.07 , 4.72 , 00000000011100 , 00000000011101 , Power Law Model , Smoothly Broken Power Law , 1.02 , 1.31 , 28.67 , 29.7 , -4.1 , 31.74 , 0.00000277 , 5.05e-8 , 1.69 , 0.156
276 , GRB100301223 , 100301223 , 201.84996 , 19.83 , 289113708 , 353.297 , 78.995 , 4.9 , - , NULL , 100301223 , 6.784 , 0.93 , 26.62 , 1.43 , 10000000011000 , 00000000011001 , Comptonized Model , Comptonized Model , 0.98 , 1.1 , 4.1 , 5.12 , -1.02 , 29.7 , 0.0000024 , 6.07e-8 , 3.41 , 0.192
277 , GRB100330309 , 100330309 , 202.08 , -0.9 , 291626693 , 321.981 , 60.6 , 2.52 , - , NULL , 100330309 , 4.096 , 0.27 , 10.05 , 0.32 , 00000001011100 , 00000000011101 , Comptonized Model , Smoothly Broken Power Law , 1.07 , 1.06 , 1.54 , 2.56 , -4.61 , 72.19 , 0.0000043 , 5.3e-8 , 7.06 , 0.292
278 , GRB081224887 , 081224 , 201.69996 , 75.1 , 251846276 , 119.892 , 41.819 , 1 , - , NULL , 081224887 , 4.672 , 0.2 , 16.45 , 1.16 , 00000011010000 , 00000011010001 , Comptonized Model , Comptonized Model , 1.09 , 1.15 , 2.05 , 3.07 , 0 , 34.82 , 0.0000376 , 1.69e-7 , 23.8 , 0.279
279 , GRB090720710 , 090720B , 203 , -54.8 , 269802178 , 308.809 , 7.608 , 2.91 , - , NULL , 090720710 , 6.144 , 0.57 , 10.75 , 1.06 , 11010100000000 , 11000100000010 , Comptonized Model , Comptonized Model , 0.9 , 1.07 , 0 , 1.02 , 0 , 16.38 , 0.0000142 , 2.37e-8 , 9.91 , 0.242
280 , GRB091223191 , 091223191 , 203.23 , 76.34997 , 283235712 , 119.728 , 40.519 , 8.85 , - , NULL , 091223191 , 0.192 , 0.14 , 0.58 , 0.18 , 00010011100000 , 00010011000001 , Smoothly Broken Power Law , Comptonized Model , 1 , 1.06 , -0.06 , 0 , -0.26 , 0.06 , 2.79e-7 , 4.18e-9 , 1.76 , 0.136
281 , GRB090217206 , 090217 , 204.9 , -8.4 , 256539404 , 322.797 , 52.604 , 0 , - , NULL , 090217206 , 9.728 , 0.36 , 33.28 , 0.72 , 00000011010100 , 00000011010001 , Comptonized Model , Comptonized Model , 1.11 , 1.27 , 6.14 , 7.17 , -1.02 , 72.7 , 0.0000275 , 3.19e-8 , 9.74 , 0.247
282 , GRB090706283 , 090706 , 205.06996 , -47.07 , 268555662 , 311.508 , 14.987 , 3.01 , - , NULL , 090706283 , 59.137 , 4.2 , 119.81 , 5.03 , 00000010010000 , 00000000010001 , Power Law Model , Power Law Model , 1.17 , 1.09 , -1.02 , 0 , -1.02 , 68.61 , 0.00000747 , 7.61e-8 , 3.07 , 0.244
