_id , gbmcatalog_name , other_name , RA, Dec, trigger time , LII , BII , Error Radius , Redshift , Swift Trigger , GBM trigger , T50, T50 error , T90 , T90 error , Detection Mask , Fitting Mask , best fitting model peak flux , best fitting model fluence , Reduced Chi2 peak model , Reduced Chi2 fln model , TSTART spe peak , TSTOP spe peak , TSTART spe fln , TSTOP spe fln , Fluence, Fluence error, Flux1.024s,Flux1.024sError
154 , GRB100511035 , 100511A , 109.29 , -4.65 , 295231798 , 220.014 , 3.577 , 1 , - , 421695 , 100511035 , 9.408 , 0.09 , 42.43 , 1.48 , 00010011000000 , 00010011000001 , Comptonized Model , Comptonized Model , 0.94 , 1.6 , 24.58 , 25.6 , -5.12 , 44.03 , 0.00003 , 1.03e-7 , 14.5 , 0.233
155 , GRB100301068 , 100301068 , 110.14 , -15.68 , 289100240 , 230.161 , -0.839 , 7.32 , - , NULL , 100301068 , 0.064 , 0.09 , 0.96 , 1 , 00000010010000 , 00000010010001 , Power Law Model , Comptonized Model , 0.88 , 0.9 , -0.06 , 0 , -0.06 , 0.06 , 2.84e-7 , 1.35e-8 , 1.71 , 0.204
156 , GRB091122163 , 091122163 , 110.86 , 0.57 , 280554862 , 216.089 , 7.377 , 17.99 , - , NULL , 091122163 , 0.448 , 1.37 , 1.98 , 1.93 , 00000001010100 , 00000011010001 , Smoothly Broken Power Law , Power Law Model , 0.98 , 1.16 , -0.38 , -0.32 , -0.38 , 0 , 1.1e-7 , 3.41e-8 , 1.6 , 0.218
157 , GRB090112332 , 090112A , 110.9 , -30.4 , 253439845 , 243.547 , -7.087 , 1 , - , NULL , 090112332 , 24.32 , 2.06 , 58.37 , 4.78 , 11010000000000 , 11010000000010 , Power Law Model , Comptonized Model , 1.03 , 0.99 , 4.1 , 5.12 , -19.46 , 37.89 , 0.00000392 , 6.84e-8 , 6.03 , 0.301
158 , GRB090520850 , 090520C , 111.2 , -19.7 , 264543801 , 234.184 , -1.843 , 1.2 , - , NULL , 090520850 , 2.048 , 0.57 , 3.78 , 0.92 , 00011000100000 , 00011000100010 , Comptonized Model , Comptonized Model , 0.95 , 1.11 , 1.02 , 2.05 , -1.02 , 4.1 , 0.00000332 , 1.04e-7 , 5.23 , 0.205
159 , GRB081110601 , 081110 , 111.7 , 21.4 , 248019944 , 197.181 , 17.081 , 1.8 , - , NULL , 081110601 , 4.608 , 1.06 , 11.78 , 2.57 , 00000001100000 , 00000001100001 , Smoothly Broken Power Law , Band Model , 1.03 , 1.27 , 0 , 1.02 , 0 , 19.46 , 0.00000541 , 1.01e-7 , 15.4 , 0.265
160 , GRB081207680 , 081207 , 112.4 , 70.5 , 250359527 , 144.958 , 28.625 , 1.2 , - , NULL , 081207680 , 35.905 , 0.46 , 97.28 , 2.35 , 11000000011000 , 00000000011001 , Band Model , Band Model , 1.06 , 1.32 , 37.89 , 38.91 , -3.07 , 115.71 , 0.0000486 , 9.84e-8 , 4.43 , 0.175
161 , GRB081223419 , 081223 , 112.5 , 33.2 , 251719438 , 185.762 , 21.987 , 3.8 , - , NULL , 081223419 , 0.256 , 0.14 , 0.58 , 0.14 , 00000011010000 , 00000011010001 , Power Law Model , Smoothly Broken Power Law , 0.94 , 0.98 , 0.06 , 0.13 , -0.06 , 0.77 , 8.34e-7 , 3.86e-8 , 6.05 , 0.178
162 , GRB080723913 , 080723913 , 113.3 , -19.7 , 238542924 , 235.13 , -0.107 , 9.9 , - , NULL , 080723913 , 0.064 , 0.14 , 0.19 , 0.34 , 11010000000000 , 11010000000010 , Power Law Model , Power Law Model , 1.03 , 1.12 , 0.13 , 0.19 , -0.06 , 0.19 , 1.34e-7 , 1.36e-8 , 1.41 , 0.127
163 , GRB090701225 , 090701 , 114.69 , -42.07 , 268118637 , 255.43 , -9.792 , 4.2 , - , NULL , 090701225 , 1.344 , 1.16 , 4.16 , 0.69 , 11010000000000 , 11010000000010 , Power Law Model , Power Law Model , 0.93 , 0.95 , -1.02 , 0 , -5.12 , 2.05 , 4.42e-7 , 1.58e-8 , 3.14 , 0.182
