_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
18 , "PCCS1 070 G118.22-55.14 "  ,, 10.14708 , 7.62833 , 118.225 , -55.144 , "600+/-147.9" , "462.5+/-234.7" , "370.2+/-102.8" , "98.9+/-117.9" , 1.4 , "No" , 0 , 0 , " " , "12.1+/-14.6" , "10.8+/-13.2" , "143.9+/-135.3" , 11.4
19 , "PCCS1 070 G121.73-05.75 "  ,, 10.66083 , 57.09917 , 121.732 , -5.752 , "677.2+/-153.2" , "499.2+/-304.1" , "1757.9+/-478.2" , "172+/-100.6" , 1.4 , "No" , 0 , 2 , " " , "15.9+/-9.4" , "7.6+/-4.5" , "50.1+/-29.9" , 11
20 , "PCCS1 070 G097.54-87.96 "  ,, 11.89208 , -25.28194 , 97.54 , -87.96001 , "898.3+/-171.4" , "686.5+/-258.4" , "573.3+/-123.2" , "2599.9+/-357.8" , 1.4 , "Yes" , 0 , 2 , " " , "53.4+/-0.9" , "21.5+/-3.6" , "28.3+/-6.1" , 33.9
21 , "PCCS1 070 G303.32-43.95 "  ,, 11.89417 , -73.17111 , 303.32001 , -43.95399 , "600.3+/-124.9" , "1210.9+/-176.6" , "1110.5+/-82.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G303.34-43.94" , "-" , "-" , "-" , -9.9
22 , "PCCS1 070 G312.40-85.05 "  ,, 11.89958 , -32.00944 , 312.40302 , -85.048 , "580.5+/-142" , "622.5+/-241.8" , "502.8+/-95.2" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
23 , "PCCS1 070 G303.37-59.49 "  ,, 12.44083 , -57.63361 , 303.37299 , -59.493 , "867.2+/-126.4" , "889.5+/-143.7" , "825.4+/-75.3" , "1980.4+/-217.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G303.30-59.49" , "35.9+/-4.2" , "19.5+/-2.3" , "120.1+/-7" , 26.5
24 , "PCCS1 070 G122.76-69.72 "  ,, 12.80083 , -6.84722 , 122.764 , -69.71899 , "1124.9+/-191.5" , "1217.7+/-243.6" , "1184.1+/-115.2" , "1317.9+/-183" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G122.79-69.72" , "19.2+/-2.7" , "12.6+/-1.8" , "62+/-13.1" , 15.5
25 , "PCCS1 070 G123.06+02.96 "  ,, 13.15958 , 65.82833 , 123.055 , 2.957 , "667.6+/-133.2" , "1123.8+/-334.9" , "615+/-123" , "4188.2+/-300.1" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G123.05+02.96" , "51.6+/-4" , "22+/-1.7" , "14.8+/-3.1" , 33.7
26 , "PCCS1 070 G123.12-06.29 "  ,, 13.195 , 56.57806 , 123.118 , -6.293 , "4775.3+/-151.5" , "8676.7+/-400.3" , "6911.5+/-239.7" , "1.7e+4+/-247.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G123.11-06.30" , "25.6+/-0.4" , "22.5+/-0.3" , "59.7+/-4.6" , 24
27 , "PCCS1 070 G300.89-60.11 "  ,, 14.73125 , -56.98639 , 300.88501 , -60.112 , "737.8+/-128.7" , "857.8+/-166" , "756.5+/-76.2" , "1057.3+/-126.5" , 1.4 , "No" , 0 , 2 , " " , "17.2+/-2.1" , "13.4+/-1.6" , "166.4+/-19.5" , 15.2
28 , "PCCS1 070 G302.11-44.98 "  ,, 14.76 , -72.14083 , 302.108 , -44.97501 , "940.5+/-114.3" , "890.8+/-191.8" , "877.7+/-75" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G302.08-44.97" , "-" , "-" , "-" , -9.9
29 , "PCCS1 070 G302.04-41.33 "  ,, 15.5925 , -75.77806 , 302.03799 , -41.33099 , "605.3+/-106.7" , "237.9+/-182.2" , "30.7+/-64.2" , "147.1+/-68" , 1.4 , "No" , 0 , 2 , " " , "10.3+/-4.9" , "9.6+/-4.5" , "61.4+/-79.4" , 10
