_id , pccs1f70_name , RA , Dec , LII , BII , Detection pipeline flux density +/- err (mJy) , Aperture photometry flux density +/- err (mJy) , PSF fit flux density +/- err (mJy) , Gaussian fit flux density +/- err (mJy) , PositionError (arcmin) , Extended , Cirrus flag , External validation , ERCSC source name , Gaussian fit semimajor axis +/- err (arcmin) , Gaussian fit semiminor axis +/- err (arcmin) , Gaussian fit orientation +/- err (degrees) , Gaussian fit effective FWHM (arcmin)
199 , "PCCS1 070 G173.63+02.79 " ,, 85.25875 , 35.815 , 173.634 , 2.786 , "4045.1+/-170.9" , "5203.7+/-410.2" , "4770.8+/-188.5" , "1.1e+4+/-377" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G173.61+02.78" , "25.8+/-0.9" , "22.1+/-0.8" , "38.9+/-8.9" , 23.9
200 , "PCCS1 070 G212.10-19.21 " ,, 85.285 , -7.92056 , 212.099 , -19.208 , "960.5+/-211.6" , "1629.3+/-335.2" , "1160.5+/-164.8" , "5201.4+/-419" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G212.11-19.20" , "48.2+/-2" , "19.7+/-1.9" , "172.4+/-3.6" , 30.8
201 , "PCCS1 070 G206.53-16.35 " ,, 85.43083 , -1.89972 , 206.53 , -16.352 , "4.6e+4+/-194" , "5.0e+4+/-758.9" , "4.7e+4+/-591.4" , "5.6e+4+/-277.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G206.52-16.35" , "18.1+/-0.1" , "13.7+/-0.1" , "27.1+/-0.7" , 15.8
202 , "PCCS1 070 G161.73+10.22 " ,, 85.57708 , 49.77556 , 161.729 , 10.219 , "724.5+/-170.7" , "845.3+/-270" , "207.8+/-106.9" , "1895.5+/-309.8" , 1.4 , "Yes" , 0 , 2 , " " , "48+/-1.8" , "19.6+/-3.9" , "148+/-7.4" , 30.7
203 , "PCCS1 070 G196.92-10.34 " ,, 86.16833 , 9.18556 , 196.92 , -10.343 , "756+/-175" , "789+/-256.3" , "226.7+/-109.4" , "488.8+/-131.3" , 1.4 , "No" , 0 , 0 , " " , "19.4+/-5.3" , "8.5+/-2.3" , "177.6+/-12" , 12.8
204 , "PCCS1 070 G205.32-14.34 " ,, 86.65917 , 0.07194 , 205.32001 , -14.343 , "1562.8+/-175.8" , "2145.9+/-471.3" , "1961.8+/-150.8" , "5071+/-296.4" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G205.36-14.36" , "39.3+/-1.4" , "16+/-1.1" , "44.5+/-2.6" , 25.1
205 , "PCCS1 070 G265.92-30.73 " ,, 87.52917 , -57.55056 , 265.918 , -30.733 , "897.6+/-75.5" , "1029.9+/-163.9" , "983.8+/-55.7" , "2507.9+/-195.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G265.89-30.73" , "27.2+/-2.2" , "22.7+/-1.9" , "137.3+/-18" , 24.9
206 , "PCCS1 070 G182.38+00.25 " ,, 88.03417 , 27.03 , 182.375 , 0.251 , "1043.4+/-182.1" , "1210.1+/-275.3" , "1207.7+/-103.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G182.32+00.21" , "-" , "-" , "-" , -9.9
207 , "PCCS1 070 G204.76-11.76 " ,, 88.68083 , 1.77778 , 204.755 , -11.756 , "816.4+/-172.5" , "1045+/-284.8" , "862.1+/-112.6" , "1493.7+/-239.8" , 1.4 , "Yes" , 0 , 0 , " " , "37.2+/-0.9" , "15.1+/-2.9" , "45.8+/-7.3" , 23.7
208 , "PCCS1 070 G171.64+07.31 " ,, 88.9025 , 39.82778 , 171.644 , 7.308 , "1585.7+/-162.1" , "1360.8+/-311.7" , "1215.5+/-104.1" , "1131.8+/-150.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G171.60+07.30" , "14.9+/-2" , "10.7+/-1.4" , "32.3+/-15.8" , 12.6
209 , "PCCS1 070 G281.01-29.61 " ,, 90.355 , -70.58194 , 281.01099 , -29.611 , "646.4+/-95.5" , "262.8+/-227.7" , "571.7+/-55.5" , "457.2+/-195.1" , 1.4 , "Yes" , 0 , 2 , " " , "40.1+/-2.5" , "16.4+/-8.4" , "44.7+/-19.5" , 25.6
210 , "PCCS1 070 G261.88-28.71 " ,, 90.52417 , -53.86889 , 261.87799 , -28.711 , "464.5+/-106.5" , "-" , "284.9+/-59.4" , "-" , 1.4 , "Not available" , 0 , 0 , " " , "-" , "-" , "-" , -9.9
211 , "PCCS1 070 G180.84+04.11 " ,, 90.97417 , 30.29028 , 180.83501 , 4.113 , "905.7+/-162.3" , "959.6+/-340.4" , "394.1+/-93" , "920.8+/-144.6" , 1.4 , "No" , 0 , 1 , " " , "17.8+/-2.9" , "12.5+/-2" , "6.2+/-17.8" , 14.9
212 , "PCCS1 070 G256.36-27.49 " ,, 91.21958 , -48.86833 , 256.35901 , -27.488 , "570.1+/-117.8" , "0.8+/-178.7" , "315.7+/-65.6" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
213 , "PCCS1 070 G172.02+09.43 " ,, 91.57917 , 40.51417 , 172.02499 , 9.432 , "725+/-170.9" , "694.9+/-473.9" , "319+/-101.2" , "579.7+/-147.7" , 1.4 , "No" , 0 , 0 , " " , "18.1+/-4.7" , "8.9+/-2.3" , "35.4+/-13.6" , 12.7
214 , "PCCS1 070 G146.77+20.83 " ,, 91.86917 , 67.36778 , 146.771 , 20.829 , "642.8+/-159.9" , "284.5+/-225.7" , "378.4+/-95.3" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
215 , "PCCS1 070 G269.54-28.69 " ,, 91.93083 , -60.54194 , 269.53601 , -28.686 , "439.8+/-84.7" , "394.1+/-141.2" , "414+/-67.3" , "1054.4+/-159.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G269.50-28.66" , "42.4+/-2.2" , "17.4+/-3.1" , "135.6+/-6.8" , 27.1
216 , "PCCS1 070 G213.71-12.61 " ,, 91.93958 , -6.39694 , 213.714 , -12.612 , "7589+/-168" , "7927.3+/-345.8" , "7470.9+/-165.5" , "8044.9+/-223" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G213.70-12.60" , "17.4+/-0.5" , "12.2+/-0.3" , "35.7+/-3.2" , 14.6
217 , "PCCS1 070 G215.76-13.56 " ,, 91.97 , -8.60306 , 215.75999 , -13.559 , "2152.4+/-165.5" , "2137.4+/-263" , "1912.1+/-105.2" , "2111.4+/-169.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G215.74-13.53" , "17.8+/-1.5" , "13.7+/-1.1" , "32.6+/-12.5" , 15.6
218 , "PCCS1 070 G194.17-02.04 " ,, 92.19458 , 15.65528 , 194.17101 , -2.037 , "1131.7+/-186.5" , "3272.8+/-751.4" , "2467.9+/-205.6" , "6774.9+/-376.8" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G194.14-02.03" , "28.1+/-1.7" , "24.3+/-1.4" , "33.6+/-15.9" , 26.1
219 , "PCCS1 070 G228.96-18.91 " ,, 92.30917 , -22.35444 , 228.965 , -18.913 , "874.1+/-142.5" , "898.9+/-215.2" , "493.3+/-89.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G228.91-18.96" , "-" , "-" , "-" , -9.9
220 , "PCCS1 070 G190.05+00.47 " ,, 92.40083 , 20.47667 , 190.04601 , 0.468 , "4034.8+/-219.7" , "1.3e+4+/-985" , "1.0e+4+/-438" , "2.7e+4+/-342.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G190.03+00.44" , "29.2+/-0.4" , "22.3+/-0.3" , "171.7+/-1.9" , 25.5
221 , "PCCS1 070 G222.62-16.19 " ,, 92.4125 , -15.72083 , 222.617 , -16.194 , "2497+/-145.1" , "2186.1+/-210.2" , "2067.9+/-95.7" , "1621.1+/-125.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G222.61-16.18" , "14.4+/-1.1" , "10.3+/-0.8" , "31.4+/-9.4" , 12.2
222 , "PCCS1 070 G213.87-11.86 " ,, 92.6825 , -6.19528 , 213.866 , -11.861 , "1413+/-167.6" , "1335.6+/-266.8" , "7470.9+/-165.5" , "1213.4+/-495.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G213.87-11.85" , "14.4+/-5.9" , "13.3+/-5.5" , "163.7+/-48.8" , 13.8
223 , "PCCS1 070 G192.60-00.07 " ,, 93.20792 , 17.97778 , 192.603 , -0.068 , "3181.1+/-204.1" , "4240.8+/-300.2" , "3869.5+/-118.3" , "5675.8+/-249" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G192.60-00.08" , "18.4+/-0.8" , "17.7+/-0.8" , "80.9+/-46.5" , 18.1
224 , "PCCS1 070 G196.42-01.68 " ,, 93.62875 , 13.85639 , 196.416 , -1.685 , "1283.5+/-164.1" , "1212.1+/-241.1" , "1081+/-107.2" , "1499.4+/-204.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G196.41-01.66" , "21+/-2.9" , "11.4+/-1.6" , "70.2+/-8.7" , 15.5
225 , "PCCS1 070 G189.22+02.93 " ,, 94.29458 , 22.38056 , 189.217 , 2.927 , "1282.9+/-225.5" , "4477.7+/-944.9" , "4285.1+/-303.2" , "2.3e+4+/-551.2" , 1.4 , "Yes" , 0 , 1 , " " , "54.6+/-1.5" , "28.1+/-0.8" , "42.4+/-1.4" , 39.2
226 , "PCCS1 070 G188.89+03.15 " ,, 94.34167 , 22.76972 , 188.894 , 3.149 , "1501.3+/-220.7" , "5366+/-838.6" , "4285.1+/-303.2" , "2.3e+4+/-470.5" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G188.91+03.18" , "43.2+/-1" , "28.4+/-0.7" , "47.4+/-2" , 35
227 , "PCCS1 070 G274.29-27.33 " ,, 95.75667 , -64.585 , 274.28699 , -27.328 , "728+/-78.1" , "860.2+/-80.8" , "806.8+/-38.9" , "2680.3+/-191.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G274.28-27.33" , "53.7+/-1" , "21.6+/-1.9" , "107.5+/-3.1" , 34
228 , "PCCS1 070 G228.62-13.66 " ,, 97.34625 , -19.96917 , 228.621 , -13.656 , "858.5+/-168" , "842.3+/-203.2" , "794.2+/-91.3" , "1251.8+/-159.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G228.65-13.64" , "23+/-3" , "12.4+/-1.6" , "78.3+/-7.9" , 16.9
229 , "PCCS1 070 G206.40-02.40 " ,, 97.73083 , 4.70806 , 206.399 , -2.399 , "1619.3+/-390.6" , "3522.5+/-1512" , "6732.1+/-641.9" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
230 , "PCCS1 070 G205.95-02.13 " ,, 97.75917 , 5.23417 , 205.94501 , -2.131 , "2354.3+/-355.8" , "4195.9+/-2127.8" , "6732.1+/-641.9" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
231 , "PCCS1 070 G206.12-01.75 " ,, 98.17875 , 5.25889 , 206.116 , -1.749 , "1785.7+/-388.1" , "4088.2+/-1832.9" , "6732.1+/-641.9" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
232 , "PCCS1 070 G206.67-01.76 " ,, 98.42417 , 4.76417 , 206.668 , -1.76 , "3101.5+/-409.3" , "7264.2+/-2291.3" , "6732.1+/-641.9" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G206.69-01.79" , "-" , "-" , "-" , -9.9
233 , "PCCS1 070 G208.80-02.68 " ,, 98.585 , 2.45278 , 208.79601 , -2.68 , "1103.4+/-202.1" , "2216.8+/-470.8" , "1727.4+/-213.9" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G208.78-02.65" , "-" , "-" , "-" , -9.9
234 , "PCCS1 070 G232.57-13.93 " ,, 98.76333 , -23.57972 , 232.56799 , -13.926 , "687.5+/-145.3" , "708+/-205.1" , "456.1+/-78.1" , "802.9+/-129.6" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G232.58-13.93" , "19.6+/-3.3" , "11.4+/-1.9" , "46.4+/-11.6" , 15
235 , "PCCS1 070 G286.37-27.16 " ,, 98.92208 , -75.27389 , 286.371 , -27.164 , "4060.7+/-90" , "3944.1+/-244.7" , "3949.1+/-82.5" , "4486+/-80.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G286.36-27.15" , "17.1+/-0.3" , "13.9+/-0.3" , "53.3+/-3.7" , 15.4
236 , "PCCS1 070 G201.64+01.64 " ,, 99.13792 , 10.79361 , 201.63901 , 1.642 , "3280.3+/-203.9" , "4913.7+/-308.6" , "4190+/-179.4" , "1.1e+4+/-332" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G201.63+01.61" , "27.4+/-0.9" , "22.4+/-0.7" , "10.8+/-6.4" , 24.8
237 , "PCCS1 070 G210.06-02.30 " ,, 99.50458 , 1.50806 , 210.058 , -2.296 , "776.4+/-183.2" , "681.5+/-315.5" , "999.9+/-245.5" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
238 , "PCCS1 070 G141.26+25.07 " ,, 99.85 , 73.42556 , 141.26199 , 25.069 , "1270.1+/-170.9" , "1222.2+/-209.1" , "1181.8+/-80" , "819.5+/-114.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G141.27+25.04" , "14.4+/-2" , "9.4+/-1.3" , "30.5+/-13" , 11.7
239 , "PCCS1 070 G241.08-16.22 " ,, 100.01417 , -32.03611 , 241.076 , -16.22 , "585.7+/-121" , "637.8+/-217" , "265.6+/-80.4" , "289.5+/-125.1" , 1.4 , "No" , 0 , 1 , " " , "21.7+/-0.7" , "8.8+/-4.5" , "107.4+/-19.8" , 13.8
240 , "PCCS1 070 G203.30+02.06 " ,, 100.29167 , 9.51 , 203.30099 , 2.064 , "2047+/-180.9" , "3263.6+/-413.3" , "2828.4+/-167.1" , "1.0e+4+/-414.1" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G203.31+02.05" , "51.4+/-2.3" , "21.2+/-0.9" , "10.9+/-1.7" , 33
241 , "PCCS1 070 G268.91-23.99 " ,, 101.00208 , -59.24167 , 268.91199 , -23.991 , "440.2+/-103.9" , "356.9+/-148.6" , "240.1+/-65.4" , "339.6+/-103.4" , 1.4 , "No" , 0 , 1 , " " , "27.6+/-1" , "11.2+/-4" , "134.9+/-14" , 17.6
242 , "PCCS1 070 G211.99-01.16 " ,, 101.39875 , 0.31528 , 211.985 , -1.156 , "1806+/-172.4" , "2912.2+/-517.7" , "2947.1+/-185" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G211.95-01.16" , "-" , "-" , "-" , -9.9
243 , "PCCS1 070 G171.10+17.94 " ,, 101.63833 , 44.84389 , 171.101 , 17.945 , "1679.2+/-167.3" , "1782+/-270" , "1697+/-106.2" , "1432.5+/-170.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G171.07+17.94" , "15.6+/-1.9" , "11.4+/-1.4" , "35.5+/-15.1" , 13.3
244 , "PCCS1 070 G227.69-07.75 " ,, 102.56333 , -16.63167 , 227.694 , -7.754 , "1207.3+/-139.4" , "1278.8+/-191.3" , "1216.8+/-95.3" , "2381+/-208.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G227.68-07.72" , "22+/-2" , "18+/-1.6" , "44.7+/-17.7" , 19.9
245 , "PCCS1 070 G216.42-00.43 " ,, 104.06875 , -3.30111 , 216.42101 , -0.43 , "722.2+/-168.2" , "805.5+/-301.7" , "299+/-90.2" , "2514.1+/-296.6" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G216.47-00.47" , "44.1+/-1.8" , "18+/-2.5" , "47+/-5.3" , 28.2
246 , "PCCS1 070 G220.95-02.50 " ,, 104.29333 , -8.27722 , 220.95399 , -2.499 , "769.1+/-154" , "234.7+/-612.7" , "540.2+/-92.5" , "628.1+/-264.5" , 1.4 , "Yes" , 0 , 0 , " " , "43.5+/-15.9" , "17.9+/-5.1" , "21.4+/-17" , 27.9
247 , "PCCS1 070 G218.14-00.40 " ,, 104.88 , -4.81444 , 218.13699 , -0.401 , "872.9+/-178.9" , "731.3+/-313.2" , "789.4+/-117" , "844.7+/-174.8" , 1.4 , "No" , 0 , 0 , " " , "17.3+/-3.7" , "13.8+/-2.9" , "59.5+/-37.3" , 15.5
248 , "PCCS1 070 G198.49+09.54 " ,, 104.98417 , 17.12528 , 198.492 , 9.544 , "1015.9+/-173.9" , "938.6+/-270.2" , "864.7+/-101.2" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G198.47+09.56" , "-" , "-" , "-" , -9.9
249 , "PCCS1 070 G256.82-17.70 " ,, 105.41458 , -46.58667 , 256.82199 , -17.696 , "856.8+/-101.6" , "1130.3+/-135.3" , "1004.1+/-65.5" , "3175.7+/-173.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G256.79-17.67" , "30.4+/-1.8" , "23.9+/-1.4" , "122.9+/-9.3" , 27
250 , "PCCS1 070 G223.73-01.91 " ,, 106.10792 , -10.48 , 223.733 , -1.911 , "2022.5+/-195.5" , "3272.4+/-644.3" , "2486.5+/-239.8" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G223.69-01.91" , "-" , "-" , "-" , -9.9
251 , "PCCS1 070 G224.33-02.00 " ,, 106.30833 , -11.04778 , 224.328 , -1.996 , "1010.1+/-228" , "1865+/-499" , "2486.5+/-239.8" , "-" , 1.4 , "Not available" , 0 , 2 , "PLCKERC070 G224.34-02.01" , "-" , "-" , "-" , -9.9
252 , "PCCS1 070 G225.47-02.58 " ,, 106.31083 , -12.32861 , 225.46899 , -2.58 , "1080.1+/-176.5" , "1155.2+/-345.5" , "1275.3+/-189.8" , "1461.8+/-254.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G225.45-02.59" , "17.9+/-3.2" , "15.9+/-2.9" , "47.6+/-62.3" , 16.9
253 , "PCCS1 070 G231.49-04.39 " ,, 107.48875 , -18.49972 , 231.48801 , -4.391 , "2330.9+/-158.5" , "2484.7+/-263.3" , "2420.2+/-90.2" , "2814+/-146.4" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G231.46-04.40" , "16.5+/-0.9" , "14.1+/-0.8" , "15.5+/-13.7" , 15.3
254 , "PCCS1 070 G250.09-13.18 " ,, 107.66208 , -38.86111 , 250.093 , -13.184 , "831.8+/-120.5" , "929.7+/-201.7" , "155.5+/-99" , "261.7+/-96.8" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G250.06-13.17" , "10.9+/-4" , "9.4+/-3.5" , "15.1+/-103.4" , 10.1
255 , "PCCS1 070 G166.76+23.85 " ,, 108.17417 , 50.49417 , 166.763 , 23.845 , "925+/-173" , "938.5+/-262.8" , "918.2+/-97.5" , "2789.1+/-267.8" , 1.4 , "Yes" , 0 , 2 , " " , "34.4+/-3.5" , "22+/-2.2" , "50.1+/-8.5" , 27.5
256 , "PCCS1 070 G172.10+23.42 " ,, 109.44 , 45.65917 , 172.10001 , 23.416 , "809.6+/-164.1" , "980.4+/-285.6" , "810.6+/-96.1" , "1698.1+/-234" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G172.09+23.42" , "30.6+/-4.4" , "15.2+/-2.2" , "47.4+/-7.5" , 21.6
257 , "PCCS1 070 G227.77-00.10 " ,, 109.65833 , -13.21556 , 227.76601 , -0.096 , "1710.2+/-161.9" , "2468.9+/-312.9" , "1676.2+/-143.7" , "3799.4+/-223.1" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G227.75-00.11" , "25.5+/-1.6" , "17.2+/-1" , "62.2+/-5.9" , 20.9
258 , "PCCS1 070 G185.04+19.80 " ,, 109.76667 , 33.10806 , 185.037 , 19.799 , "966.4+/-166.9" , "1008.7+/-372.6" , "371.8+/-106.5" , "1106+/-180.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G185.03+19.83" , "19.5+/-3.3" , "14+/-2.3" , "0.9+/-19.9" , 16.5
259 , "PCCS1 070 G277.54-21.80 " ,, 110.28667 , -66.32306 , 277.535 , -21.802 , "566.7+/-133.7" , "155.6+/-157.2" , "530.2+/-85.8" , "132.8+/-65.5" , 1.4 , "No" , 0 , 0 , " " , "10.2+/-5.1" , "5.8+/-2.9" , "120.5+/-33.2" , 7.7
260 , "PCCS1 070 G143.96+28.01 " ,, 110.46208 , 71.36167 , 143.96001 , 28.015 , "3283.1+/-147.5" , "3056.8+/-222.7" , "3072.4+/-111.1" , "3091.8+/-141.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G143.98+28.03" , "14.5+/-0.7" , "13.2+/-0.6" , "161.5+/-19.8" , 13.9
261 , "PCCS1 070 G239.57-04.88 " ,, 111.03958 , -25.87472 , 239.573 , -4.879 , "833.2+/-148.1" , "1312.3+/-305.4" , "1012+/-104.8" , "3498.6+/-257.8" , 1.4 , "Yes" , 0 , 1 , " " , "45.6+/-0.8" , "18.4+/-1.6" , "28.7+/-3.3" , 28.9
262 , "PCCS1 070 G217.70+07.24 " ,, 111.47292 , -0.90694 , 217.69501 , 7.242 , "3435.1+/-155.5" , "3403.5+/-240.2" , "3289.8+/-113.3" , "3189.5+/-201.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G217.67+07.23" , "15.4+/-1" , "12+/-0.8" , "25.1+/-10.5" , 13.6
263 , "PCCS1 070 G210.79+11.02 " ,, 111.74375 , 6.87944 , 210.78999 , 11.016 , "875.3+/-157" , "584.6+/-269.1" , "549.5+/-105.2" , "353.4+/-103.8" , 1.4 , "No" , 0 , 0 , " " , "13.5+/-4.1" , "7.4+/-2.2" , "65.8+/-18.9" , 10
264 , "PCCS1 070 G233.74-00.19 " ,, 112.51667 , -18.52528 , 233.744 , -0.19 , "2020.1+/-164" , "1922.7+/-372.4" , "1747+/-127.5" , "2486+/-217.7" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G233.77-00.18" , "31+/-0.7" , "12.6+/-1.3" , "26.2+/-4" , 19.8
265 , "PCCS1 070 G227.77+03.13 " ,, 112.57583 , -11.69333 , 227.772 , 3.134 , "4640.2+/-153.7" , "4374.4+/-224.9" , "4706.4+/-91.2" , "5439.1+/-166.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G227.77+03.13" , "19.3+/-0.6" , "12.9+/-0.4" , "35.6+/-3.1" , 15.8
266 , "PCCS1 070 G232.61+00.92 " ,, 112.96417 , -17.00056 , 232.612 , 0.917 , "930.3+/-159.5" , "1045.8+/-291" , "405.1+/-98.2" , "956.1+/-157.3" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G232.56+00.89" , "19.4+/-3.3" , "12.4+/-2.1" , "17.5+/-14.5" , 15.5
267 , "PCCS1 070 G234.67-00.20 " ,, 112.97458 , -19.3425 , 234.66901 , -0.203 , "1013.6+/-203.3" , "1153.1+/-298.8" , "1747+/-127.5" , "-" , 1.4 , "Not available" , 0 , 1 , " " , "-" , "-" , "-" , -9.9
268 , "PCCS1 070 G167.68+27.10 " ,, 113.45458 , 50.38917 , 167.68201 , 27.105 , "881.2+/-158" , "787.2+/-214.3" , "795.7+/-108.6" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
269 , "PCCS1 070 G163.35+28.46 " ,, 114.64042 , 54.38694 , 163.35201 , 28.458 , "696.9+/-172.5" , "229+/-209.7" , "265.6+/-90.7" , "751.2+/-217.3" , 1.4 , "Yes" , 0 , 0 , " " , "41.4+/-2.4" , "17+/-5.9" , "45.4+/-13.2" , 26.5
270 , "PCCS1 070 G216.94+11.40 " ,, 114.82125 , 1.66833 , 216.942 , 11.4 , "1444+/-176.2" , "1080.6+/-273" , "976.6+/-104.9" , "672+/-104.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G216.97+11.40" , "12.9+/-2" , "7.9+/-1.2" , "53+/-12.2" , 10.1
271 , "PCCS1 070 G260.32-11.70 " ,, 115.45833 , -47.20639 , 260.31799 , -11.696 , "605+/-119" , "591.7+/-198.2" , "667.6+/-70.8" , "1355+/-159" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G260.30-11.68" , "25.3+/-3.1" , "16.6+/-2" , "124.4+/-11.1" , 20.5
272 , "PCCS1 070 G279.44-20.12 " ,, 115.87917 , -67.41139 , 279.444 , -20.12 , "856.7+/-127.4" , "987+/-180.5" , "677.2+/-76.5" , "608.6+/-106" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G279.44-20.12" , "15.5+/-2.7" , "10.4+/-1.8" , "46.4+/-17" , 12.7
273 , "PCCS1 070 G220.01+11.76 " ,, 116.53667 , -0.82778 , 220.01199 , 11.761 , "846.5+/-177.1" , "865.3+/-185.3" , "689.7+/-104.6" , "927.9+/-165.6" , 1.4 , "No" , 0 , 2 , " " , "28.1+/-1" , "11.5+/-2.4" , "14.6+/-8.2" , 18
274 , "PCCS1 070 G230.76+06.01 " ,, 116.62625 , -12.9 , 230.759 , 6.007 , "602.2+/-135.7" , "509+/-218.6" , "379.3+/-80.6" , "484+/-125.8" , 1.4 , "No" , 0 , 1 , " " , "15.6+/-4.1" , "13.6+/-3.6" , "105.6+/-77.1" , 14.5
275 , "PCCS1 070 G189.90+24.47 " ,, 116.6925 , 30.38028 , 189.90401 , 24.468 , "642.6+/-156.3" , "827.1+/-243.6" , "539.6+/-99.4" , "726.1+/-168.3" , 1.4 , "No" , 0 , 0 , " " , "19.3+/-4.6" , "12.4+/-2.9" , "30.5+/-20.8" , 15.5
276 , "PCCS1 070 G248.42-03.99 " ,, 116.83792 , -33.16833 , 248.41901 , -3.986 , "1031.3+/-139.9" , "503.2+/-144.5" , "707.4+/-77.5" , "482.2+/-171.2" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G248.41-03.98" , "26.7+/-3.4" , "11+/-4.6" , "45.7+/-16.5" , 17.1
277 , "PCCS1 070 G251.03-05.36 " ,, 116.96833 , -36.10694 , 251.02699 , -5.361 , "590.6+/-125.1" , "1244.5+/-191.1" , "977.4+/-77.7" , "-" , 1.4 , "Not available" , 0 , 2 , " " , "-" , "-" , "-" , -9.9
278 , "PCCS1 070 G196.65+22.66 " ,, 117.10208 , 23.95222 , 196.646 , 22.658 , "903.1+/-173.1" , "1031.1+/-276.3" , "901.5+/-118.2" , "3390.5+/-381.9" , 1.4 , "Yes" , 0 , 2 , "PLCKERC070 G196.58+22.69" , "51.7+/-6.2" , "21.3+/-2.6" , "173.9+/-4.6" , 33.2
279 , "PCCS1 070 G208.15+18.75 " ,, 117.705 , 12.52472 , 208.149 , 18.753 , "2997.8+/-168.9" , "2898.2+/-262.4" , "2712.5+/-111.5" , "3976.3+/-157.1" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G208.15+18.75" , "18.7+/-0.8" , "14.3+/-0.6" , "41.7+/-5.9" , 16.4
280 , "PCCS1 070 G243.17+00.39 " ,, 118.11875 , -26.42472 , 243.16701 , 0.392 , "7241.1+/-139.8" , "9465.5+/-412.8" , "8271.3+/-217.5" , "1.2e+4+/-161.5" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G243.16+00.39" , "21.1+/-0.3" , "15.9+/-0.2" , "69.5+/-1.9" , 18.3
281 , "PCCS1 070 G170.63+30.16 " ,, 118.72667 , 48.3275 , 170.634 , 30.158 , "763.3+/-149.2" , "966+/-300.3" , "1097.3+/-103.3" , "1678.9+/-189.7" , 1.4 , "No" , 0 , 2 , "PLCKERC070 G170.61+30.14" , "23.6+/-2.7" , "13.8+/-1.6" , "179.6+/-8.3" , 18
