_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
205 , "ROXA J094855.3+403944.6" , 147.23042 , 40.66239 , 1.25 , 17.6 , 0 , 0 , 17.8 , 1600.1 , 4e-13 , "QSO RLoud flat radio sp." , 1.42 , 0.69 , 0.98 , "3.621e+45" , "1.449e+35" , -0.1 , "1RXS J094856.5+4039" , "180.99" , "50.28"
206 , "ROXA J094857.3+002225.5" , 147.23875 , 0.37375 , 0.58 , 18.4 , 0 , 0 , 18.6 , 70.2 , 1.3e-12 , "QSO RLoud flat radio sp." , 1.13 , 0.61 , 0.81 , "1.822e+45" , "9.841e+32" , -1.19 , "1RXS J094856.9+0022" , "236.59" , "38.71"
207 , "ROXA J095127.79+010210.21" , 147.86583 , 1.03617 , 0.5 , 19.2 , 0 , 0 , 19.6 , 22.3 , 8.3e-13 , "BL Lac" , 1.07 , 0.44 , 0.67 , "8.044e+44" , "2.161e+32" , "--" , "1RXS J095127.8+0102" , "236.36" , "39.6"
208 , "ROXA J095227.29+504850.61" , 148.11375 , 50.81406 , 1.09 , 17.6 , 0 , 0 , 17.8 , 86.7 , 1.5e-13 , "QSO RLoud flat radio sp." , 1.59 , 0.45 , 0.87 , "9.717e+44" , "5.616e+33" , -0.15 , "1RXS J095227.2+5049" , "165.44" , "48.83"
209 , "ROXA J095414.7+610455.2" , 148.56125 , 61.082 , 2.62 , 19.5 , 0 , 0 , 19.7 , 81 , 2.2e-13 , "QSO RLoud steep radio sp." , 1.19 , 0.47 , 0.78 , "1.224e+46" , "4.507e+34" , 0.82 , "1RXS J095416.4+6105" , "151.46" , "45"
210 , "ROXA J095409.79+491459.49" , 148.54083 , 49.24986 , "--" , 18.9 , 0 , 0 , 19 , 2.9 , 1.9e-12 , "BL Lac" , 1.03 , 0.24 , 0.51 , "0.000" , "0.000" , "--" , "1RXS J095410.8+4914" , "167.6" , "49.56"
211 , "ROXA J095341.29+014202.3" , 148.42208 , 1.70064 , 0.1 , 14.8 , 0 , 0 , 15.8 , 10.2 , 2.9e-12 , "Radio Galaxy" , 1.52 , 0.06 , 0.56 , "7.039e+43" , "2.476e+30" , "--" , "1RXS J095340.4+0141" , "236.06" , "40.44"
212 , "ROXA J095456.09+624102.39" , 148.73375 , 62.684 , 0.23 , 17.1 , 0 , 0 , 18.6 , 89 , 2.1e-13 , "Radio Galaxy-galaxy dominated" , 1.26 , 0.53 , 0.79 , "3.270e+43" , "1.386e+32" , 0.8 , "1RXS J095456.1+6240" , "149.44" , "44.29"
213 , "ROXA J095455.49+571952.78" , 148.73125 , 57.33133 , 0.98 , 18.9 , 0 , 0 , 19.1 , 199.5 , 2.6e-13 , "QSO RLoud steep radio sp." , 1.3 , 0.51 , 0.81 , "1.295e+45" , "9.936e+33" , 0.93 , "1RXS J095456.4+5719" , "156.21" , "46.77"
214 , "ROXA J095507.8+355100.79" , 148.7825 , 35.85022 , 0.56 , 19.7 , 0 , 0 , 20.3 , 7.9 , 1.3e-12 , "BL Lac" , 0.9 , 0.39 , 0.59 , "1.618e+45" , "9.835e+31" , "--" , "1RXS J095508.2+3550" , "188.53" , "51.74"
215 , "ROXA J095456.8+092955.78" , 148.73667 , 9.49883 , 0.3 , 17.7 , 0 , 0 , 18 , 457.8 , 1.7e-12 , "QSO RLoud steep radio sp." , 1.2 , 0.58 , 0.8 , "4.827e+44" , "1.300e+33" , "--" , "1RXS J095457.4+0930" , "227.3" , "44.85"
216 , "ROXA J095539.79+453217.01" , 148.91583 , 45.53806 , 0.26 , 16.7 , 0 , 0 , 16.9 , 57.5 , 1.7e-12 , "QSO RLoud flat radio sp." , 1.36 , 0.29 , 0.66 , "3.500e+44" , "1.184e+32" , 0.57 , "1RXS J095539.4+4532" , "173.11" , "50.74"
217 , "ROXA J095738.1+552257.68" , 149.40875 , 55.38269 , 0.9 , 17.6 , 0 , 0 , 17.9 , 3079.8 , 7.7e-13 , "QSO RLoud flat radio sp." , 1.32 , 0.71 , 0.95 , "3.066e+45" , "1.226e+35" , 0.35 , "1RXS J095737.3+5523" , "158.59" , "47.92"
218 , "ROXA J095819.6+472507.78" , 149.58167 , 47.41883 , 1.88 , 18.5 , 0 , 0 , 18.5 , 604.3 , 6.8e-13 , "QSO RLoud flat radio sp." , 1.19 , 0.69 , 0.91 , "1.692e+46" , "1.504e+35" , -0.42 , "1RXS J095819.9+4725" , "170.05" , "50.73"
219 , "ROXA J100037.0+591856.7" , 150.15417 , 59.31575 , 0.59 , 18.7 , 0 , 0 , 18.4 , 26.4 , 4.7e-13 , "QSO RLoud" , 1.28 , 0.38 , 0.71 , "6.809e+44" , "3.825e+32" , "--" , "1RXS J100037.3+5918" , "153.14" , "46.54"
220 , "ROXA J100017.59+000523.6" , 150.07333 , 0.08989 , 0.9 , 18.7 , 0 , 0 , 18.7 , 925 , 1.3e-12 , "QSO RLoud steep radio sp." , 1.08 , 0.63 , 0.82 , "5.305e+45" , "3.775e+34" , 0.82 , "1RXS J100019.2+0005" , "239.06" , "40.83"
221 , "ROXA J100120.59+555355.49" , 150.33583 , 55.89875 , 1.41 , 16.7 , 0 , 0 , 16.8 , 552 , 1.4e-12 , "QSO RLoud steep radio sp." , 1.35 , 0.48 , 0.82 , "1.720e+46" , "6.780e+34" , "--" , "1RXS J100121.5+5553" , "157.57" , "48.18"
222 , "ROXA J100412.79+462622.59" , 151.05333 , 46.43961 , 2.08 , 19 , 0 , 0 , 19.1 , 39.9 , 1.6e-13 , "QSO RLoud flat radio sp." , 1.34 , 0.41 , 0.79 , "5.057e+45" , "1.261e+34" , 0.42 , "1RXS J100414.4+4626" , "171.13" , "51.96"
223 , "ROXA J100515.89+480533.21" , 151.31625 , 48.09256 , 2.37 , 17.5 , 0 , 0 , 17.5 , 208.6 , 3.3e-13 , "QSO RLoud steep radio sp." , 1.45 , 0.39 , 0.81 , "1.445e+46" , "9.136e+34" , 0.79 , "1RXS J100516.4+4805" , "168.49" , "51.65"
224 , "ROXA J100612.19+644011.49" , 151.55083 , 64.66986 , 0.68 , 18.9 , 0 , 0 , 19.1 , 44.1 , 1.2e-12 , "BL Lac" , 1.06 , 0.42 , 0.66 , "2.452e+45" , "9.013e+32" , 0.66 , "1RXS J100611.5+6440" , "146.16" , "44.28"
225 , "ROXA J100656.4+345445.1" , 151.735 , 34.91253 , 0.61 , 18.9 , 0 , 0 , 19.1 , 6.7 , 2.1e-12 , "BL Lac" , 0.97 , 0.3 , 0.55 , "3.284e+45" , "1.048e+32" , "--" , "1RXS J100656.9+3454" , "190.04" , "54.16"
226 , "ROXA J100718.79+040808.01" , 151.82833 , 4.13556 , 1.02 , 20.2 , 0 , 0 , 20.6 , 57.1 , 7.6e-13 , "QSO RLoud" , 0.91 , 0.58 , 0.73 , "4.209e+45" , "3.162e+33" , "--" , "1RXS J100719.3+0407" , "236" , "44.62"
227 , "ROXA J100811.4+470521.4" , 152.0475 , 47.08928 , 0.34 , 18.7 , 0 , 0 , 19.5 , 4.9 , 1.1e-11 , "BL Lac" , 0.7 , 0.29 , 0.44 , "4.328e+45" , "1.928e+31" , "--" , "1RXS J100811.5+4705" , "169.8" , "52.42"
228 , "ROXA J100821.49+440016.41" , 152.08958 , 44.00456 , 1.19 , 19 , 0 , 0 , 19.1 , 47.5 , 2e-13 , "QSO RLoud flat radio sp." , 1.33 , 0.43 , 0.78 , "1.596e+45" , "3.791e+33" , 0.5 , "1RXS J100822.3+4400" , "174.71" , "53.28"
229 , "ROXA J100813.09+041639.68" , 152.05458 , 4.27769 , 2.06 , 19.5 , 0 , 0 , 19.8 , 21.1 , 4.5e-13 , "QSO RLoud flat radio sp." , 1.08 , 0.49 , 0.74 , "1.389e+46" , "6.513e+33" , -0.37 , "1RXS J100811.0+0417" , "236.02" , "44.89"
230 , "ROXA J100811.4+003000.0" , 152.0475 , 0.5 , 0.1 , 15.8 , 17.1 , 15.3 , 16.7 , 485.6 , 1e-12 , "Radio Galaxy" , 1.68 , 0.39 , 0.83 , "2.427e+43" , "1.179e+32" , "--" , "1RXS J100811.6+0030" , "240.23" , "42.65"
231 , "ROXA J100958.8+470943.88" , 152.495 , 47.16219 , 0.11 , 16.1 , 0 , 0 , 17 , 7.5 , 7.5e-13 , "Seyfert" , 1.55 , 0.13 , 0.61 , "2.153e+43" , "2.153e+30" , "--" , "1RXS J100958.0+4709" , "169.53" , "52.69"
232 , "ROXA J101027.49+413239.01" , 152.61458 , 41.54417 , 0.61 , 16.4 , 0 , 0 , 16.3 , 499.1 , 3.2e-12 , "QSO RLoud flat radio sp." , 1.3 , 0.53 , 0.82 , "5.005e+45" , "7.806e+33" , -0.45 , "1RXS J101027.9+4132" , "178.64" , "54.17"
233 , "ROXA J101122.49+470042.19" , 152.84375 , 47.01172 , 2.93 , 19.1 , 0 , 0 , 19.4 , 27.3 , 2.7e-13 , "QSO RLoud flat radio sp." , 1.21 , 0.44 , 0.77 , "1.969e+46" , "1.991e+34" , -0.08 , "1RXS J101122.6+4700" , "169.65" , "52.96"
234 , "ROXA J101237.0+524217.71" , 153.15417 , 52.70492 , 0.13 , 17.8 , 0 , 0 , 18.7 , 8.2 , 8.5e-13 , "QSO RLoud" , 1.11 , 0.35 , 0.61 , "3.724e+43" , "3.592e+30" , "--" , "1RXS J101237.6+5242" , "160.93" , "51.04"
235 , "ROXA J101244.29+422957.01" , 153.18458 , 42.49917 , 0.37 , 18.1 , 0 , 0 , 18.6 , 79.6 , 8.3e-12 , "BL Lac" , 0.85 , 0.44 , 0.6 , "3.776e+45" , "3.622e+32" , 0.46 , "1RXS J101244.4+4229" , "176.89" , "54.4"
236 , "ROXA J101258.3+393238.79" , 153.24292 , 39.54411 , 0.17 , 17.4 , 0 , 0 , 18.3 , 19.9 , 1.3e-12 , "BL Lac" , 1.25 , 0.31 , 0.64 , "1.055e+44" , "1.615e+31" , "--" , "1RXS J101257.7+3932" , "181.9" , "54.98"
237 , "ROXA J101447.69+442133.3" , 153.69875 , 44.35925 , 0.8 , 18.9 , 0 , 0 , 18.9 , 68.8 , 3.6e-13 , "QSO RLoud steep radio sp." , 1.27 , 0.42 , 0.73 , "1.071e+45" , "2.047e+33" , 0.95 , "1RXS J101449.1+4421" , "173.64" , "54.31"
238 , "ROXA J101504.09+492600.6" , 153.76708 , 49.4335 , "--" , 15.2 , 0 , 0 , 15.4 , 378.2 , 2e-11 , "BL Lac" , 1.2 , 0.38 , 0.65 , "0.000" , "0.000" , 0.2 , "1RXS J101504.3+4926" , "165.53" , "52.71"
239 , "ROXA J101502.2+023128.09" , 153.75917 , 2.52447 , 0.22 , 17.8 , 0 , 0 , 18.4 , 27.3 , 5.4e-13 , "QSO RLoud" , 1.36 , 0.36 , 0.71 , "7.526e+43" , "3.805e+31" , "--" , "1RXS J101502.6+0231" , "239.44" , "45.24"
240 , "ROXA J101616.69+410812.58" , 154.06958 , 41.13683 , 0.27 , 17.6 , 0 , 0 , 18.5 , 15 , 7.6e-12 , "BL Lac" , 0.92 , 0.3 , 0.52 , "1.720e+45" , "3.396e+31" , "--" , "1RXS J101616.4+4108" , "178.97" , "55.32"
241 , "ROXA J101557.0+010913.71" , 153.9875 , 1.15381 , 0.78 , 16.5 , 0 , 0 , 16.6 , 129.5 , 2.1e-12 , "QSO RLoud flat radio sp." , 1.34 , 0.41 , 0.75 , "5.943e+45" , "3.665e+33" , -0.25 , "1RXS J101557.7+0109" , "241.17" , "44.58"
242 , "ROXA J101643.69+455051.28" , 154.18208 , 45.84758 , "--" , 20.2 , 0 , 0 , 20.5 , 13.7 , 5.4e-13 , "BL Lac" , 1.13 , 0.49 , 0.71 , "0.000" , "0.000" , -0.31 , "1RXS J101644.1+4550" , "171.03" , "54.2"
243 , "ROXA J102013.69+625009.99" , 155.05708 , 62.83611 , 0.25 , 17.8 , 0 , 0 , 18.9 , 30.1 , 6.9e-13 , "BL Lac" , 1.28 , 0.39 , 0.7 , "1.311e+44" , "5.717e+31" , 0.19 , "1RXS J102014.0+6250" , "146.97" , "46.61"
244 , "ROXA J102030.89+072001.78" , 155.12875 , 7.33383 , 1.29 , 17.1 , 0 , 0 , 17.5 , 11.8 , 4.5e-13 , "QSO RLoud" , 1.46 , 0.2 , 0.67 , "4.396e+45" , "1.153e+33" , "--" , "1RXS J102031.3+0720" , "234.84" , "49.14"
245 , "ROXA J102105.99+452331.81" , 155.275 , 45.39217 , 0.36 , 18.3 , 0 , 0 , 18.2 , 131.2 , 8.6e-13 , "QSO RLoud flat radio sp." , 1.24 , 0.49 , 0.76 , "3.888e+44" , "5.931e+32" , 0.39 , "1RXS J102106.8+4523" , "171.36" , "55.07"
246 , "ROXA J102128.8+380643.2" , 155.37 , 38.112 , 0.47 , 19.7 , 0 , 0 , 20.2 , 4.5 , 4.3e-13 , "BL Lac" , 1.1 , 0.34 , 0.62 , "3.505e+44" , "3.668e+31" , "--" , "1RXS J102129.0+3806" , "184" , "56.83"
247 , "ROXA J102212.6+512400.21" , 155.5525 , 51.40006 , 0.14 , 17.7 , 0 , 0 , 18.6 , 5.3 , 5.2e-12 , "BL Lac" , 0.98 , 0.22 , 0.49 , "2.807e+44" , "2.861e+30" , "--" , "1RXS J102212.5+5124" , "161.79" , "52.94"
248 , "ROXA J102237.39+393150.08" , 155.65583 , 39.53058 , 0.6 , 17.2 , 0 , 0 , 17.4 , 92.2 , 8.2e-13 , "QSO RLoud flat radio sp." , 1.39 , 0.39 , 0.75 , "1.242e+45" , "1.397e+33" , "--" , "1RXS J102239.1+3931" , "181.38" , "56.82"
249 , "ROXA J102310.49+475145.5" , 155.79375 , 47.86264 , 0.58 , 18.8 , 0 , 0 , 18.8 , 488.4 , 1.9e-13 , "QSO RLoud steep radio sp." , 1.4 , 0.59 , 0.89 , "2.620e+44" , "6.734e+33" , 0.84 , "1RXS J102308.0+4751" , "167.13" , "54.54"
250 , "ROXA J102311.5+394815.4" , 155.79792 , 39.80428 , 1.25 , 18 , 0 , 0 , 18.4 , 1123.2 , 1.9e-12 , "QSO RLoud flat radio sp." , 1.08 , 0.66 , 0.85 , "1.737e+46" , "1.027e+35" , "--" , "1RXS J102310.6+3948" , "180.85" , "56.87"
251 , "ROXA J102504.2+414332.59" , 156.2675 , 41.72572 , 0.68 , 18.6 , 0 , 0 , 18.5 , 10 , 1.9e-12 , "QSO RLoud flat radio sp." , 1.05 , 0.3 , 0.58 , "3.869e+45" , "2.036e+32" , "--" , "1RXS J102504.2+4143" , "177.28" , "56.8"
252 , "ROXA J102501.6+040202.29" , 156.25667 , 4.03397 , 0.21 , 16.5 , 0 , 0 , 18 , 107.1 , 3.3e-13 , "Radio Galaxy-galaxy dominated" , 1.58 , 0.33 , 0.76 , "4.274e+43" , "1.387e+32" , 0.95 , "1RXS J102504.2+0401" , "239.89" , "48.13"
253 , "ROXA J102522.99+040229.0" , 156.34583 , 4.04139 , 0.21 , 18 , 0 , 0 , 18.8 , 49.9 , 1.4e-12 , "BL Lac" , 1.15 , 0.48 , 0.72 , "1.756e+44" , "6.259e+31" , -0.17 , "1RXS J102523.2+0402" , "239.96" , "48.21"
254 , "ROXA J102724.89+631753.01" , 156.85375 , 63.29806 , "--" , 18.6 , 0 , 0 , 18.9 , 25.8 , 1.2e-12 , "BL Lac" , 1.14 , 0.4 , 0.65 , "0.000" , "0.000" , 0.35 , "1RXS J102724.6+6317" , "145.7" , "46.96"
255 , "ROXA J102713.0+480313.5" , 156.80417 , 48.05375 , 1.29 , 19 , 0 , 0 , 19.2 , 241.9 , 2.1e-13 , "QSO RLoud flat radio sp." , 1.31 , 0.63 , 0.9 , "2.044e+45" , "2.354e+34" , 0 , "1RXS J102713.4+4803" , "166.36" , "55.09"
256 , "ROXA J102815.89+013006.58" , 157.06625 , 1.50183 , 1.06 , 18.1 , 0 , 0 , 18.3 , 67.8 , 8.5e-13 , "QSO RLoud" , 1.22 , 0.42 , 0.73 , "5.079e+45" , "4.052e+33" , "--" , "1RXS J102816.2+0130" , "243.58" , "47.18"
257 , "ROXA J103025.39+551629.49" , 157.60583 , 55.27486 , "--" , 16.9 , 0 , 0 , 17 , 156.9 , 2.1e-12 , "QSO RLoud steep radio sp." , 1.32 , 0.42 , 0.73 , "0.000" , "0.000" , "--" , "1RXS J103024.5+5516" , "155.26" , "52.07"
258 , "ROXA J103033.29+141538.48" , 157.63875 , 14.26069 , 0.32 , 16.8 , 0 , 0 , 18.5 , 8 , 1.5e-12 , "BL Lac" , 1.26 , 0.21 , 0.58 , "4.913e+44" , "2.621e+31" , "--" , "1RXS J103033.0+1415" , "227.16" , "54.78"
259 , "ROXA J103058.99+310255.78" , 157.74583 , 31.04883 , 0.18 , 16.5 , 0 , 0 , 16.7 , 231.4 , 7.1e-12 , "QSO RLoud flat radio sp." , 1.16 , 0.43 , 0.68 , "6.217e+44" , "2.026e+32" , "--" , "1RXS J103058.8+3103" , "197.13" , "59.19"
260 , "ROXA J103118.49+505335.8" , 157.82708 , 50.89328 , 0.36 , 16.7 , 0 , 0 , 16.9 , 38.1 , 5.6e-11 , "BL Lac" , 0.77 , 0.3 , 0.47 , "2.483e+46" , "1.689e+32" , 0.09 , "1RXS J103118.6+5053" , "161.44" , "54.44"
261 , "ROXA J103050.7-024316.39" , 157.71125 , -2.72122 , 0.03 , 0 , 15.8 , 0 , 0 , 4.1 , 1e-12 , "QSO RLoud" , 1.53 , 0.07 , 0.56 , "2.066e+42" , "8.472e+28" , "--" , "1RXS J103051.5-0243" , "248.72" , "44.84"
262 , "ROXA J103144.7+602030.4" , 157.93625 , 60.34178 , 1.23 , 17.9 , 0 , 0 , 18.2 , 321.4 , 5.6e-13 , "QSO RLoud flat radio sp." , 1.31 , 0.55 , 0.85 , "4.881e+45" , "2.801e+34" , 0.2 , "1RXS J103144.8+6020" , "148.64" , "49.23"
263 , "ROXA J103143.5+522535.11" , 157.93125 , 52.42642 , 0.17 , 17.3 , 0 , 0 , 18.5 , 922.8 , 2.9e-13 , "QSO RLoud steep radio sp." , 1.5 , 0.59 , 0.91 , "2.204e+43" , "7.013e+32" , 0.74 , "1RXS J103143.6+5225" , "159.11" , "53.74"
264 , "ROXA J103234.8+650227.88" , 158.145 , 65.04108 , 0.01 , 12.9 , 0 , 0 , 13.5 , 9 , 2.9e-13 , "Seyfert type 2" , 2.23 , -0.12 , 0.68 , "2.312e+40" , "7.174e+27" , "--" , "1RXS J103233.8+6502" , "143.25" , "46.22"
265 , "ROXA J103317.89+422236.3" , 158.32458 , 42.37675 , 0.21 , 17.3 , 0 , 0 , 18.4 , 45.6 , 4.4e-13 , "BL Lac" , 1.43 , 0.38 , 0.75 , "5.699e+43" , "5.906e+31" , "--" , "1RXS J103317.1+4222" , "175.34" , "58.09"
266 , "ROXA J103744.29+571155.6" , 159.43458 , 57.19878 , "--" , 16.4 , 0 , 0 , 16.7 , 71.8 , 2e-12 , "BL Lac" , 1.39 , 0.4 , 0.74 , "0.000" , "0.000" , -0.47 , "1RXS J103744.9+5711" , "151.77" , "51.78"
267 , "ROXA J103808.89+464249.1" , 159.53708 , 46.71364 , 1.92 , 18.5 , 0 , 0 , 18.5 , 12.8 , 4e-13 , "QSO RLoud" , 1.28 , 0.29 , 0.68 , "1.051e+46" , "3.362e+33" , "--" , "1RXS J103809.8+4642" , "167.18" , "57.33"
268 , "ROXA J104022.8+444937.19" , 160.095 , 44.827 , 0.58 , 19.1 , 0 , 0 , 19.1 , 23.9 , 5.1e-13 , "QSO RLoud" , 1.19 , 0.42 , 0.7 , "7.061e+44" , "3.309e+32" , "--" , "1RXS J104023.8+4449" , "170.13" , "58.45"
269 , "ROXA J104146.99+523335.89" , 160.44583 , 52.55997 , 2.3 , 16.7 , 0 , 0 , 16.6 , 697.8 , 9.6e-13 , "QSO RLoud flat radio sp." , 1.4 , 0.51 , 0.87 , "3.884e+46" , "5.098e+33" , 0 , "1RXS J104147.5+5233" , "157.51" , "54.96"
270 , "ROXA J104149.2+390134.28" , 160.455 , 39.02619 , 0.21 , 17.2 , 0 , 0 , 18.3 , 34 , 1.5e-12 , "BL Lac" , 0.94 , 0.5 , 0.66 , "1.902e+44" , "4.311e+31" , "--" , "1RXS J104148.9+3901" , "180.81" , "60.55"
271 , "ROXA J104303.79+005420.41" , 160.76583 , 0.90567 , 0.73 , 19.4 , 19.6 , 0 , 19.8 , 33.3 , 6.6e-12 , "QSO RLoud" , 0.68 , 0.48 , 0.58 , "1.587e+46" , "8.009e+32" , "--" , "1RXS J104303.0+0054" , "247.94" , "49.55"
272 , "ROXA J104350.1+633547.5" , 160.95875 , 63.59653 , 1.03 , 18.1 , 0 , 0 , 18.4 , 5.4 , 3.1e-13 , "QSO RLoud" , 1.39 , 0.21 , 0.65 , "1.729e+45" , "3.012e+32" , "--" , "1RXS J104349.7+6335" , "143.53" , "48.11"
273 , "ROXA J104313.39-001328.99" , 160.80583 , -0.22472 , 0.82 , 20.4 , 20.8 , 0 , 20.5 , 188.5 , 4.8e-13 , "QSO RLoud flat radio sp." , 0.85 , 0.76 , 0.82 , "1.522e+45" , "5.978e+33" , "--" , "1RXS J104313.2-0013" , "249.24" , "48.8"
274 , "ROXA J104410.6+532220.49" , 161.04417 , 53.37236 , 1.9 , 19.5 , 0 , 0 , 19.4 , 490.8 , 5.3e-13 , "QSO RLoud flat radio sp." , 1.08 , 0.7 , 0.88 , "1.352e+46" , "1.252e+35" , 0.1 , "1RXS J104410.1+5322" , "156" , "54.8"
275 , "ROXA J104502.7+471759.2" , 161.26125 , 47.29978 , 0.14 , 16.4 , 0 , 0 , 17.5 , 82.3 , 1.9e-13 , "Radio Galaxy" , 1.72 , 0.31 , 0.79 , "1.073e+43" , "4.649e+31" , 0.76 , "1RXS J104504.8+4718" , "165.22" , "58.12"
276 , "ROXA J104542.1+525112.59" , 161.42542 , 52.8535 , 1.06 , 18.1 , 0 , 0 , 18.5 , 225.2 , 7.8e-13 , "QSO RLoud steep radio sp." , 1.22 , 0.5 , 0.78 , "4.683e+45" , "1.352e+34" , 0.63 , "1RXS J104541.0+5251" , "156.5" , "55.28"
277 , "ROXA J104548.9+534759.71" , 161.45375 , 53.79992 , 0.66 , 19.7 , 0 , 0 , 19.7 , 24.4 , 2e-13 , "QSO RLoud" , 1.25 , 0.46 , 0.76 , "3.787e+44" , "4.621e+32" , "--" , "1RXS J104551.2+5348" , "155.15" , "54.74"
278 , "ROXA J104732.2+483530.91" , 161.88417 , 48.59192 , 0.87 , 18.6 , 0 , 0 , 18.6 , 66.3 , 3.2e-13 , "QSO RLoud flat radio sp." , 1.33 , 0.45 , 0.78 , "1.171e+45" , "2.427e+33" , 0.3 , "1RXS J104734.2+4835" , "162.7" , "57.85"
279 , "ROXA J104732.59+472532.01" , 161.88583 , 47.42556 , 0.8 , 18.8 , 0 , 0 , 19 , 789.1 , 2.7e-13 , "QSO RLoud flat radio sp." , 1.32 , 0.66 , 0.92 , "8.081e+44" , "2.362e+34" , 0.56 , "1RXS J104731.4+4725" , "164.62" , "58.43"
280 , "ROXA J104857.6+500945.28" , 162.24 , 50.16258 , 0.4 , 19.1 , 0 , 0 , 20 , 7.9 , 1e-12 , "BL Lac" , 1.02 , 0.36 , 0.6 , "5.744e+44" , "4.538e+31" , "--" , "1RXS J104858.0+5010" , "159.99" , "57.22"
281 , "ROXA J105125.3+394325.71" , 162.85542 , 39.72381 , 0.5 , 18.6 , 0 , 0 , 18.9 , 11 , 4.5e-12 , "BL Lac" , 0.89 , 0.32 , 0.54 , "4.258e+45" , "1.041e+32" , "--" , "1RXS J105125.1+3943" , "178.36" , "62.15"
282 , "ROXA J105232.7+612520.89" , 163.13625 , 61.42247 , 0.42 , 16.8 , 0 , 0 , 16.8 , 989 , 3.3e-12 , "QSO RLoud steep radio sp." , 1.24 , 0.5 , 0.77 , "2.102e+45" , "6.300e+33" , 0.83 , "1RXS J105232.8+6125" , "144.76" , "50.36"
283 , "ROXA J105344.09+492955.89" , 163.43375 , 49.49886 , 0.14 , 16 , 0 , 0 , 17 , 64.7 , 1.3e-12 , "BL Lac" , 1.46 , 0.32 , 0.72 , "6.803e+43" , "3.386e+31" , 0.08 , "1RXS J105344.2+4929" , "160.23" , "58.23"
284 , "ROXA J105342.19-001420.11" , 163.42583 , -0.23892 , 0.68 , 19 , 18.9 , 0 , 18.9 , 46.7 , 4.1e-13 , "QSO RLoud flat radio sp." , 1.24 , 0.5 , 0.78 , "8.171e+44" , "9.307e+32" , -0.09 , "1RXS J105342.5-0014" , "252.13" , "50.64"
285 , "ROXA J105610.49+653947.48" , 164.04375 , 65.66319 , 1.71 , 19 , 0 , 0 , 19.1 , 87.8 , 1.1e-13 , "QSO RLoud steep radio sp." , 1.41 , 0.41 , 0.8 , "2.175e+45" , "1.736e+34" , 1.19 , "1RXS J105612.0+6539" , "140.01" , "47.46"
286 , "ROXA J105534.3-012617.3" , 163.89292 , -1.43814 , "--" , 0 , 19 , 18.4 , 0 , 12.2 , 1.5e-12 , "BL Lac candidate " , 1.15 , 0.32 , 0.6 , "0.000" , "0.000" , "--" , "1RXS J105534.3-0126" , "253.95" , "50.08"
287 , "ROXA J105837.69+562811.09" , 164.65708 , 56.46975 , "--" , 16 , 0 , 0 , 16.5 , 228.6 , 4.7e-12 , "BL Lac" , 1.29 , 0.43 , 0.73 , "0.000" , "0.000" , -0.06 , "1RXS J105837.5+5628" , "149.59" , "54.42"
288 , "ROXA J105951.89+405114.18" , 164.96625 , 40.85394 , 1.75 , 17.3 , 0 , 0 , 17.4 , 267.1 , 3.9e-13 , "QSO RLoud flat radio sp." , 1.46 , 0.46 , 0.85 , "8.117e+45" , "5.559e+34" , "--" , "1RXS J105949.4+4051" , "174.84" , "63.28"
289 , "ROXA J110021.0+401927.98" , 165.0875 , 40.32444 , 0.22 , 17.2 , 0 , 0 , 17.3 , 18.4 , 1.2e-11 , "BL Lac" , 0.97 , 0.26 , 0.51 , "1.796e+45" , "2.753e+31" , "--" , "1RXS J110021.3+4019" , "175.86" , "63.56"
290 , "ROXA J110011.4+044401.49" , 165.0475 , 4.73375 , 0.89 , 19.3 , 0 , 0 , 19.4 , 575.2 , 7.4e-13 , "QSO RLoud steep radio sp." , 1.08 , 0.66 , 0.83 , "2.866e+45" , "2.228e+34" , 0.68 , "1RXS J110009.9+0444" , "248.17" , "55.29"
291 , "ROXA J110047.8+104613.18" , 165.19917 , 10.77033 , 0.42 , 18.5 , 0 , 0 , 18.5 , 720.7 , 1.5e-12 , "QSO RLoud steep radio sp." , 1.11 , 0.67 , 0.83 , "9.608e+44" , "4.616e+33" , "--" , "1RXS J110046.9+1046" , "239.74" , "59.27"
292 , "ROXA J110124.7+410847.4" , 165.35292 , 41.1465 , 0.39 , 18.8 , 0 , 0 , 19.1 , 23.6 , 6.7e-13 , "BL Lac" , 1.18 , 0.41 , 0.69 , "3.498e+44" , "1.232e+32" , "--" , "1RXS J110124.4+4108" , "173.99" , "63.44"
293 , "ROXA J110140.49+400422.9" , 165.41875 , 40.07303 , 0.46 , 19.5 , 0 , 0 , 19.9 , 32.3 , 1.9e-13 , "Galaxy NELG" , 1.27 , 0.49 , 0.78 , "1.463e+44" , "2.487e+32" , "--" , "1RXS J110140.1+4004" , "176.19" , "63.89"
294 , "ROXA J110313.3+301442.68" , 165.80542 , 30.24519 , 0.39 , 18.3 , 0 , 0 , 18.3 , 166.4 , 9.9e-13 , "QSO RLoud flat radio sp." , 1.21 , 0.53 , 0.77 , "5.263e+44" , "8.847e+32" , "--" , "1RXS J110313.0+3014" , "199" , "66.12"
