_id , roxa_name , RA, Dec, Redshift , Rmag , Bjmag , Vmag , Gmag , Radio_Flux_Density , X-ray_Flux, Source_classification , aox , aro , arx , X-rayLuminosityat0.1-2.4 keV, Radio_powerat1.4 GHz, Alpha_radio, other_name, LII, BII
84 , "ROXA J074836.1+240024.08" , 117.15042 , 24.00669 , 0.41 , 18.5 , 0 , 0 , 19.2 , 958.1 , 3e-12 , "Galaxy NELG" , 0.95 , 0.76 , 0.84 , "1.784e+45" , "5.699e+33" , -0.23 , "1RXS J074836.6+2400" , "196.6" , "22.71"
85 , "ROXA J074843.39+211545.1" , 117.18083 , 21.26253 , 0.26 , 17.3 , 0 , 0 , 18.9 , 11.5 , 7.9e-13 , "BL Lac" , 1.3 , 0.28 , 0.64 , "1.684e+44" , "2.452e+31" , "--" , "1RXS J074843.4+2115" , "199.38" , "21.74"
86 , "ROXA J075019.5+481502.01" , 117.58125 , 48.25056 , 1.96 , 18.3 , 0 , 0 , 18.5 , 716.2 , 5.1e-13 , "QSO RLoud flat radio sp." , 1.25 , 0.63 , 0.89 , "1.395e+46" , "1.959e+35" , "--" , "1RXS J075019.8+4815" , "170.59" , "29.39"
87 , "ROXA J075109.49+291335.5" , 117.78958 , 29.22653 , 0.19 , 17.7 , 0 , 0 , 19 , 11.8 , 4.6e-13 , "BL Lac" , 1.35 , 0.3 , 0.67 , "4.938e+43" , "1.267e+31" , "--" , "1RXS J075110.0+2913" , "191.44" , "25"
88 , "ROXA J075124.59+173043.88" , 117.8525 , 17.51219 , 0.19 , 16.6 , 0 , 0 , 18 , 10.5 , 3.8e-12 , "BL Lac" , 0.87 , 0.36 , 0.54 , "3.670e+44" , "1.014e+31" , "--" , "1RXS J075124.3+1730" , "203.36" , "20.9"
89 , "ROXA J075307.6+460439.39" , 118.28167 , 46.07761 , 0.47 , 19.2 , 0 , 0 , 19.3 , 28.9 , 6.3e-13 , "QSO RLoud" , 1.14 , 0.45 , 0.7 , "5.162e+44" , "2.368e+32" , "--" , "1RXS J075306.4+4604" , "173.14" , "29.51"
90 , "ROXA J075407.9+431610.59" , 118.53292 , 43.26961 , 0.35 , 17.2 , 0 , 0 , 17.3 , 16.3 , 3.8e-12 , "QSO RLoud" , 1.15 , 0.24 , 0.57 , "1.546e+45" , "6.633e+31" , "--" , "1RXS J075408.7+4316" , "176.34" , "29.18"
91 , "ROXA J075435.8+454645.08" , 118.64917 , 45.77919 , 0.46 , 19.2 , 0 , 0 , 21 , 80.8 , 4.4e-13 , "BL Lac" , 1.08 , 0.6 , 0.78 , "3.389e+44" , "6.223e+32" , "--" , "1RXS J075436.1+4546" , "173.53" , "29.71"
92 , "ROXA J075445.59+482350.71" , 118.69 , 48.39742 , "--" , 17 , 0 , 0 , 17.5 , 265.1 , 1.2e-12 , "BL Lac" , 1.37 , 0.49 , 0.79 , "0.000" , "0.000" , "--" , "1RXS J075446.2+4823" , "170.55" , "30.14"
93 , "ROXA J075448.79+303355.11" , 118.70333 , 30.56531 , 0.8 , 17.4 , 0 , 0 , 17.5 , 48.6 , 2.1e-12 , "QSO RLoud flat radio sp." , 1.2 , 0.44 , 0.73 , "6.228e+45" , "1.441e+33" , -0.71 , "1RXS J075449.0+3033" , "190.29" , "26.17"
94 , "ROXA J075607.0+383401.09" , 119.02917 , 38.56697 , 0.22 , 17 , 0 , 0 , 18.4 , 65.1 , 1.5e-12 , "QSO RLoud BL/FSRQ transition obj." , 1.25 , 0.4 , 0.7 , "2.026e+44" , "8.794e+31" , "--" , "1RXS J075606.7+3834" , "181.69" , "28.55"
